Year,Accession,Plot_rep,PAR_1800,PAR_1100,PAR_500,PAR_300,PAR_150,PAR_50
2022,SSA_00001,1117_1,14.3487,13.1105,10.47,7.18497,3.29522,0.894456
2022,SSA_00001,1117_3,32.5654,31.1021,22.293,12.9367,5.24762,-0.697859
2022,SSA_00001,2228_2,41.2047,35.0491,21.2738,13.2667,6.15092,-0.237481
2022,SSA_00001,2228_3,23.8105,21.7578,14.8296,7.99337,1.61238,-4.85892
2022,SSA_00003,1017_1,19.8414,19.2955,14.7267,9.69541,4.00155,-0.396838
2022,SSA_00003,1017_2,15.5211,14.8122,13.3887,10.6459,4.02219,-1.23253
2022,SSA_00003,1017_3,10.6542,9.81532,8.19467,6.43167,2.72207,-1.91652
2022,SSA_00003,2042_1,26.324,23.9367,16.5042,11.3204,3.90575,-1.41319
2022,SSA_00003,2042_2,17.3929,16.9396,14.1809,10.1261,4.29648,-1.48874
2022,SSA_00003,2042_3,18.5072,16.337,11.9432,8.81053,5.1423,-0.558405
2022,SSA_00004,1175_1,26.7091,26.1207,21.4151,13.6637,5.44508,-1.59972
2022,SSA_00004,1175_2,30.5815,28.7338,20.4411,12.5613,3.92976,-3.00051
2022,SSA_00004,1175_3,30.4468,29.4883,21.8629,14.5174,5.60089,-0.992753
2022,SSA_00004,2032_1,26.2741,24.8253,18.1283,11.6578,4.49017,-0.564354
2022,SSA_00004,2032_2,26.5818,24.9166,18.7799,12.1612,5.58057,0.113329
2022,SSA_00004,2032_3,32.5506,28.9281,16.9798,10.6233,3.77424,-1.49609
2022,SSA_00005,1113_1,14.5242,13.1692,11.5733,5.57041,0.63193,0.63193
2022,SSA_00005,1113_2,11.4397,11.4499,8.34347,4.84373,-0.133156,-2.98417
2022,SSA_00005,1113_3,30.3243,29.2745,23.908,15.8666,5.63833,-1.7961
2022,SSA_00005,2141_1,32.916,31.7236,22.8411,14.7321,5.99385,-1.26657
2022,SSA_00005,2141_3,13.7091,12.9158,11.3425,9.47045,5.69368,0.484483
2022,SSA_00006,1027_1,9.11126,8.19091,7.84138,7.44152,5.91247,2.63491
2022,SSA_00006,1027_2,9.0624,8.39175,7.70494,6.73616,4.52823,0.939178
2022,SSA_00006,1027_3,10.2627,9.94324,8.42819,7.00646,3.85069,-0.130663
2022,SSA_00006,2304_1,11.3852,10.4517,8.5817,7.15469,2.9722,-0.559806
2022,SSA_00006,2304_3,8.06091,7.74388,7.23712,6.18579,4.34737,0.849157
2022,SSA_00007,1111_1,13.441,11.8292,9.31855,6.43112,3.09883,0.167511
2022,SSA_00007,1111_2,24.044,22.9403,13.9724,8.28474,2.49713,-2.22959
2022,SSA_00007,1111_3,17.9239,15.8034,10.6933,6.66569,2.48154,-0.888169
2022,SSA_00007,2253_1,22.7821,21.1218,14.824,9.60147,3.55621,-1.48617
2022,SSA_00007,2253_2,15.4243,13.826,11.5892,8.02281,3.58375,-0.744313
2022,SSA_00007,2253_3,30.1403,26.8616,17.9791,11.4013,4.572,-2.3416
2022,SSA_00008,1088_1,42.706,36.9754,24.3882,15.6387,7.02345,0.0694815
2022,SSA_00008,1088_2,41.0056,34.599,23.1101,15.3381,6.03439,-0.751222
2022,SSA_00008,1088_3,40.6338,35.0998,22.3346,14.9655,6.21723,0.26098
2022,SSA_00009,1049_1,37.4985,35.0031,25.429,15.9236,5.86382,-1.08058
2022,SSA_00009,1049_2,32.6355,29.6978,20.6128,13.7931,6.42842,0.868883
2022,SSA_00009,1049_3,26.8567,26.121,20.8979,13.3666,5.11295,-1.53194
2022,SSA_00009,2011_1,12.7431,13.0708,10.4992,9.1205,4.45809,0.865366
2022,SSA_00009,2011_2,27.322,25.4995,19.5442,13.3003,5.58399,-0.6487
2022,SSA_00010,1032_1,27.9971,23.9244,17.0743,11.0543,5.06204,-0.578137
2022,SSA_00010,1032_2,24.5876,22.4165,16.0879,12.0135,5.86353,0.574835
2022,SSA_00010,1032_3,31.0371,27.7553,19.091,12.826,4.97284,-1.50368
2022,SSA_00010,2180_1,23.7771,22.5418,15.4865,10.3623,4.06646,-2.46507
2022,SSA_00010,2180_2,31.9335,27.942,19.6482,13.1957,6.44737,0.485573
2022,SSA_00010,2180_3,26.1196,24.3912,18.1971,13.2125,6.65014,0.0347847
2022,SSA_00013,2055_1,20.0865,18.1918,13.3865,8.98621,4.38296,0.445012
2022,SSA_00013,2055_2,38.6192,32.4334,21.9845,13.6438,5.51087,0.0245418
2022,SSA_00013,2055_3,26.2978,24.2033,18.5298,11.3132,4.85717,-0.607235
2022,SSA_00018,1156_1,32.9081,29.7502,21.4858,14.9452,7.84107,0.880664
2022,SSA_00018,1156_2,32.3757,30.1039,20.819,14.2134,6.8614,0.758912
2022,SSA_00018,1156_3,37.3211,33.4658,22.7435,15.3868,8.55958,3.24702
2022,SSA_00018,2105_1,28.358,25.9596,18.7889,11.7878,4.29001,-2.512
2022,SSA_00018,2105_2,23.1107,20.385,14.0993,10.1137,4.51171,-0.141016
2022,SSA_00018,2105_3,20.5389,18.7737,12.3776,8.08122,3.05527,-1.19384
2022,SSA_00024,1197_1,13.6855,13.899,10.5909,8.5916,4.85542,-0.740621
2022,SSA_00024,1197_2,22.495,21.9442,17.5719,14.1351,8.25502,0.473282
2022,SSA_00024,1197_3,25.8451,24.4495,18.685,12.4465,6.18789,0.6173
2022,SSA_00024,2207_1,30.0728,28.2248,21.0227,14.2454,6.53338,-0.0327545
2022,SSA_00024,2207_2,17.4391,15.666,11.6755,8.59205,3.23192,-0.859807
2022,SSA_00024,2207_3,29.8546,28.3483,21.583,16.8472,7.3757,0.877223
2022,SSA_00033,1137_1,24.6317,22.4249,16.4023,12.1769,5.85676,0.289394
2022,SSA_00033,1137_2,25.0644,23.0434,17.5396,12.6731,6.34024,0.662667
2022,SSA_00033,2298_1,25.83,24.5365,19.4929,12.7201,4.90463,-1.39921
2022,SSA_00033,2298_2,28.4847,27.307,19.4966,13.2506,5.62842,-0.866965
2022,SSA_00033,2298_3,23.1388,23.8011,18.7372,13.1632,5.7864,-2.10718
2022,SSA_00041,1051_1,30.7269,26.5809,21.133,13.878,7.29621,1.13859
2022,SSA_00041,1051_2,24.6637,23.9714,19.2024,12.4785,4.78198,-1.04783
2022,SSA_00041,1051_3,19.1781,16.964,11.5866,8.55649,3.59187,0.201689
2022,SSA_00041,2133_1,26.3349,25.3487,19.6587,12.3558,5.226,-1.38944
2022,SSA_00041,2133_2,31.6053,28.4898,19.6618,12.2398,5.53263,-1.37369
2022,SSA_00041,2133_3,24.2067,23.2932,17.9526,11.9445,5.20119,-0.105306
2022,SSA_00050,1287_1,36.8025,30.8483,22.112,15.3889,6.66531,0.465178
2022,SSA_00050,1287_2,22.1651,20.5099,15.8933,10.5923,5.59418,0.688114
2022,SSA_00050,1287_3,18.0677,15.7224,11.965,8.71489,4.96265,2.06881
2022,SSA_00050,2013_1,32.1414,29.1749,20.4467,13.8681,6.9563,0.278222
2022,SSA_00050,2013_2,33.4294,30.8285,21.4525,13.7238,6.20001,-0.987756
2022,SSA_00050,2013_3,36.7201,33.6575,23.242,16.1,7.34475,0.392678
2022,SSA_00062,1144_1,40.319,34.4065,23.6207,14.4964,5.90296,-0.206294
2022,SSA_00062,1144_2,36.3036,32.5706,23.4726,15.3923,7.00508,-0.471078
2022,SSA_00062,1144_3,33.9206,32.1848,25.0821,16.8858,8.26732,1.2359
2022,SSA_00062,2066_1,16.1581,15.6439,12.0022,9.75101,5.40722,2.01749
2022,SSA_00062,2066_2,8.25492,6.93823,6.83264,6.40973,4.35132,1.90288
