"Accession","minTemperature","maxTemperature","meanTemperature","Year","CO2_400","CO2_600","CO2_800","CO2_1000","CO2_1250","CO2_300","CO2_250","CO2_200","CO2_100","CO2_75","CO2_25"
"SSA_00083",12.74,20.24,16.49,2021,22.05938,30.78526,34.75576,35.52732,35.97248,13.7719,12.321968,10.686162,5.50894,4.540678,1.516518
"SSA_00091",14,17.95,15.975,2021,28.0900333333333,35.51785,37.0791333333333,36.8653833333333,36.7364666666667,18.1838333333333,16.4385333333333,13.9447166666667,7.25065,5.76000166666667,1.96053666666667
"SSA_00096",13.7,17.7,15.7,2021,28.6375333333333,36.2192,37.7746333333333,37.31745,36.2903166666667,19.4202,17.0934833333333,14.38445,7.53515166666667,6.029775,2.15264166666667
"SSA_00097",15.1,23.8,19.45,2021,28.8563333333333,33.0639,33.5597333333333,33.44225,33.3837333333333,22.00125,19.4345166666667,16.4359166666667,8.68444333333333,6.92491833333333,2.37094166666667
"SSA_00105",11,23,17,2021,19.7273333333333,27.7469666666667,32.6891333333333,35.0534666666667,36.1053333333333,14.0377666666667,12.0764,10.0246466666667,5.10620666666667,4.12378333333333,1.33905333333333
"SSA_00111",13.3,17.9,15.6,2021,27.9801,36.2969666666667,39.7749666666667,41.1644333333333,41.8551,20.6746,18.2693666666667,15.5277666666667,8.08973,6.48911666666667,2.23369
"SSA_00113",15,21.76,18.38,2021,14.768526,19.2111,20.76234,21.51564,21.82492,10.700668,9.38693,7.985546,4.052018,3.403734,1.0829394
"SSA_00114",14.1,17.5,15.8,2021,22.4484666666667,30.473,32.6241333333333,31.1504,31.2175333333333,14.7509333333333,13.2959,11.60841,6.19721,5.21892333333333,1.97532333333333
"SSA_00119",13.65,23.95,18.8,2021,23.98655,32.6147833333333,35.6691,35.6365166666667,35.8671,17.52535,15.2398333333333,12.8177833333333,6.63241333333333,5.42123166666667,1.910545
"SSA_00126",15.3,25.95,20.625,2021,24.9289,30.61475,31.4616,30.9300833333333,30.9198666666667,18.93145,16.84495,14.0965666666667,7.32613833333333,5.88213333333333,2.18139166666667
"SSA_00135",14.6,24.75,19.675,2021,29.8430666666667,36.63535,38.1833,38.2035333333333,37.85615,19.3230166666667,16.8555666666667,14.0828333333333,7.30770333333333,5.81300666666667,1.98395
"SSA_00138",13.5,22.8,18.15,2021,26.29184,33.12646,35.1505,35.58772,36.06832,19.88092,17.50762,14.87442,7.849054,6.290246,2.218834
"SSA_00139",12.55,25.15,18.85,2021,29.369075,34.93975,35.8224,35.419875,34.897825,21.217825,18.96665,16.053925,8.49657,6.98391,2.5405
"SSA_00151",13.85,21.025,17.4375,2021,28.3278,34.253625,36.34505,36.971925,37.0741,17.60015,15.5434,13.224875,7.107525,5.9991975,2.24146
"SSA_00156",13.1,21.82,17.46,2021,21.58904,28.81438,32.26312,33.657,34.27722,15.7655,13.507484,11.17074,5.617538,4.507008,1.4709398
"SSA_00173",16.2,25.8,21,2021,25.6113833333333,33.2281,35.6671,36.3488166666667,36.5405166666667,18.4748283333333,16.0495216666667,13.1915266666667,6.58089666666667,5.11130333333333,1.61485533333333
"SSA_00178",16.6,24.44,20.52,2021,27.30014,34.27638,35.60148,35.36398,34.9673,17.06372,15.26228,13.0167,6.897898,5.636328,2.010318
"SSA_00179",14.18,22.9,18.54,2021,16.626874,21.303246,22.79385,23.076716,23.053088,11.901564,10.504074,8.874136,4.50616,3.696188,1.1315394
"SSA_00187",13.6,18.15,15.875,2021,30.4329333333333,34.7923,35.00175,34.4943833333333,34.2035,21.6448833333333,19.8914666666667,17.4379666666667,9.4142,7.80143333333333,2.64146166666667
"SSA_00197",13.66,24.32,18.99,2021,19.548106,24.43174,26.14682,26.48672,26.61002,14.933984,13.188854,11.384084,6.007914,4.97586,1.675985
"SSA_00204",14.7,17.2,15.95,2021,27.1306333333333,35.1825666666667,36.1862166666667,35.5582166666667,35.0663666666667,19.89275,17.4485,14.6559,7.65741,6.25153333333333,2.58418
"SSA_00209",16.2,25.8,21,2021,24.33678,30.2053,32.04724,32.31138,32.4465,17.64105,15.563724,13.096088,6.777166,5.435128,1.9117762
"SSA_00227",11.7,20.8,16.25,2021,22.5896166666667,28.2097,29.1108166666667,28.6048,28.5442166666667,17.5164,15.4067833333333,13.02458,6.92706666666667,5.759275,2.24533
"SSA_00235",16.52,25.6,21.06,2021,30.78814,36.29578,37.16718,37.10956,36.8792,23.16672,20.15428,16.5081,8.413074,6.566208,2.258668
"SSA_00238",16.35,26.4,21.375,2021,25.161075,29.471875,30.61995,31.06285,31.26765,18.90732,16.58815,14.1427625,7.4443575,6.00913,2.147617
"SSA_00239",16.3,23.4,19.85,2021,35.0116,43.3925,45.1601666666667,44.8584666666667,43.8818666666667,21.4175,19.6532666666667,17.0567666666667,9.14367333333333,7.61101333333333,2.78936
"SSA_00240",13.65,29.05,21.35,2021,21.6169166666667,28.933,32.1393833333333,32.8458833333333,33.14055,15.05455,13.0281333333333,10.756675,5.41332333333333,4.36125333333333,1.45663166666667
"SSA_00246",12.9,16.7,14.8,2021,20.6274216666667,23.0196166666667,23.0714166666667,23.1035666666667,23.0851666666667,16.2516566666667,14.8770083333333,13.1375566666667,7.29678666666667,6.344655,2.315995
"SSA_00254",14.3,20.6,17.45,2021,25.8610166666667,33.7917333333333,37.0886166666667,37.9789333333333,37.9476166666667,17.5034833333333,15.6104,13.3407833333333,7.137975,5.83939666666667,2.17797333333333
"SSA_00262",14.3,20.6,17.45,2021,22.4529333333333,28.72275,30.2478333333333,30.1889833333333,30.1006166666667,14.8648066666667,13.327095,11.3121583333333,5.77030666666667,4.65638166666667,1.51378316666667
"SSA_00263",13.38,18.14,15.76,2021,31.13988,37.5828,38.59478,38.58218,38.36074,21.0736,18.78184,15.791214,8.244778,6.534018,2.2165786
"SSA_00271",11,23,17,2021,20.6314333333333,29.2861666666667,34.4114,34.1385333333333,32.9891333333333,12.94809,11.4558333333333,9.53190666666667,4.86613,3.89704666666667,1.24623433333333
"SSA_00279",13.7,19.1,16.4,2021,29.2737,33.49095,33.65695,33.49305,33.47665,21.78545,19.26525,16.09565,8.36095,6.51034,2.127195
"SSA_00281",12.86,19.7,16.28,2021,24.16326,30.52892,31.73124,31.36806,30.93926,16.31446,14.95258,13.06978,6.93009,5.845102,1.970558
"SSA_00285",13.3,17.9,15.6,2021,13.8058675,18.429625,19.897225,20.180775,20.512125,9.57432,8.4510525,7.0647075,3.5311925,2.905205,0.89787175
"SSA_00286",14.45,21.6,18.025,2021,24.0334,32.5760833333333,35.3110833333333,35.24825,34.82415,17.00142,14.848985,12.54083,6.42142166666667,5.16508333333333,1.85631633333333
"SSA_00299",14.8,20.35,17.575,2021,34.4744,43.3798333333333,45.5743333333333,45.7854166666667,45.5468,20.6322,18.3574,15.64125,8.20778333333333,6.615835,2.44369166666667
"SSA_00301",14.75,21.85,18.3,2021,18.5683833333333,22.8231833333333,23.302,23.3528833333333,23.34865,13.7548183333333,12.3989383333333,10.9742166666667,5.9219,4.97948,1.68790833333333
"SSA_00308",13.9,20.95,17.425,2021,24.5518,31.024725,32.820325,32.45125,32.18795,18.50065,16.297975,13.55415,6.935055,5.485785,1.8124175
"SSA_00312",13.4,17.55,15.475,2021,28.5003166666667,35.2839333333333,36.78675,37.0587166666667,37.0641166666667,22.6946,19.9116833333333,16.6721166666667,8.63143333333333,6.84506666666667,2.34399666666667
"SSA_00315",11.7,20.8,16.25,2021,26.9802666666667,32.0201,33.1042,33.4872,33.7894833333333,19.9661166666667,17.5531833333333,14.8245333333333,7.88618333333333,6.335075,2.19485333333333
"SSA_00343",15.95,19.8,17.875,2021,26.1763333333333,31.9184666666667,33.3271166666667,33.41525,33.38535,19.3426666666667,17.06425,14.4337333333333,7.70478833333333,6.28128,2.32030666666667
"SSA_00359",13.58,21.26,17.42,2021,37.57176,47.8907,50.51954,50.6327,49.7396,25.7311,22.9308,19.54906,10.409424,8.728114,2.998074
"SSA_00367",14.75,21.85,18.3,2021,18.2227,23.2158166666667,25.09445,25.5553666666667,25.8971,12.4536666666667,11.0385516666667,9.351015,4.74721166666667,3.867865,1.27885533333333
