"Accession","minTemperature","maxTemperature","meanTemperature","Year","CO2_400","CO2_600","CO2_800","CO2_1000","CO2_1250","CO2_300","CO2_250","CO2_200","CO2_100","CO2_75","CO2_25"
"SSA_00001",13.5,17.1,15.3,2021,27.59335,33.7117166666667,34.5435166666667,34.51835,34.58065,19.8854666666667,18.02625,15.5905666666667,8.26486,6.65686833333333,2.34586166666667
"SSA_00002",15.95,19.8,17.875,2021,24.15525,27.22215,27.649375,27.5604,27.64395,17.354325,15.691625,13.55865,7.2593475,5.869365,2.730115
"SSA_00003",14.7,17.2,15.95,2021,30.1283166666667,36.0515333333333,37.50735,37.8218166666667,38.0858666666667,21.8654166666667,18.8858,15.5594,8.05744,6.400165,2.143895
"SSA_00004",14.7,17.2,15.95,2021,38.3917666666667,47.5803833333333,49.0088,48.7400333333333,48.2963333333333,28.4119666666667,24.7579833333333,20.6872166666667,10.76993,8.53565333333333,3.14355
"SSA_00005",15.3,20.1,17.7,2021,30.39554,38.66752,41.15964,41.07702,40.07568,19.98082,17.72324,14.863066,7.6348,6.206006,2.10392
"SSA_00006",13.68,24.7,19.19,2021,6.59618,8.930584,10.02686,10.533194,11.084102,4.688334,4.322118,3.7671,1.841644,1.658554,0.3873426
"SSA_00007",14.45,21.6,18.025,2021,24.5259,29.0863,29.6780666666667,29.74775,29.8147,18.334,15.9525333333333,13.0842333333333,6.641015,5.07557666666667,1.67600333333333
"SSA_00008",13.7,19.1,16.4,2021,26.9386,32.5230333333333,33.6371333333333,33.7548666666667,33.6274666666667,16.8768,15.1444333333333,12.9400666666667,6.88165,5.60274,1.97816333333333
"SSA_00010",14.1,24.6,19.35,2021,26.5373833333333,32.61985,34.4068,35.0628166666667,35.4650666666667,17.3800166666667,15.6062333333333,13.3539283333333,7.05650666666667,5.74717333333333,2.02436166666667
"SSA_00013",13.8,22.3,18.05,2021,34.8712333333333,44.1962333333333,46.2612666666667,46.2796333333333,46.2934333333333,23.4378,21.1038,18.0124333333333,9.67481333333333,7.91525,3.02219
"SSA_00016",13.7,17.8333333333333,15.7666666666667,2021,28.6372666666667,36.4454,39.023,39.5875666666667,39.5741333333333,19.9958666666667,17.7934,14.7203666666667,7.68774666666667,6.18795666666667,2.09061
"SSA_00018",14.1,17.5,15.8,2021,24.2816333333333,29.5755666666667,31.1399666666667,31.6420333333333,31.5708666666667,15.472,13.5550333333333,11.3397466666667,5.88565333333333,4.64997666666667,1.52712666666667
"SSA_00024",16.3,23.4,19.85,2021,23.32528,32.20188,37.69018,40.152,41.23306,16.12936,14.038644,11.713258,5.967056,4.715496,1.6261922
"SSA_00031",14.55,21.2,17.875,2021,17.80685,24.63065,27.46765,27.2868,26.56965,10.859185,9.88896,8.6918775,4.5794675,3.901545,1.3385685
"SSA_00033",14.66,30.04,22.35,2021,21.54892,26.617,27.7956,27.43284,27.15814,15.41564,13.97264,12.13595,6.511258,5.488844,1.97034
"SSA_00038",13.78,18.82,16.3,2021,16.3593,19.85714,20.47638,20.40194,20.49818,12.197356,11.141846,9.907658,5.33328,4.617272,1.559176
"SSA_00041",12.16,25.24,18.7,2021,19.78972,26.63202,29.55498,30.75158,30.80196,12.879812,11.49948,9.687462,5.099734,4.140094,1.459036
"SSA_00050",14.3,20.6,17.45,2021,21.6905666666667,29.1977,32.5887,33.4855666666667,33.7896333333333,12.6207333333333,11.3945333333333,9.63158,4.91739333333333,3.93073,1.23281533333333
"SSA_00055",13.8,22.3,18.05,2021,23.0446333333333,30.3443666666667,32.71305,32.2972833333333,32.3350666666667,14.8098833333333,13.612855,11.75363,6.18394,5.169035,1.77976
"SSA_00062",13.8,22.3,18.05,2021,35.9669333333333,44.1718666666667,45.7371,46.2473333333333,46.6822333333333,25.2110333333333,22.8128333333333,19.6810333333333,10.57991,8.58069,3.18972
"SSA_00067",14.6,20.05,17.325,2021,25.4366,29.49475,29.7096833333333,29.53155,29.4465333333333,18.42645,16.7748333333333,14.3347333333333,7.49373666666667,6.01562666666667,2.02993833333333
"SSA_00068",14.9,20.3,17.6,2021,24.67008,32.28152,34.81834,34.6747,34.87432,15.96582,14.34754,12.242336,6.413388,5.29121,1.820282
"SSA_00070",15.7,21.42,18.56,2021,31.17564,38.1577,39.23422,38.25716,37.82734,20.98304,18.87494,16.21666,8.630078,6.98939,2.495896
"SSA_00075",13.8,22.3,18.05,2021,29.9686,38.9068666666667,41.133,41.4491833333333,41.5791,19.8475333333333,17.9793833333333,15.38295,8.11494166666667,6.56511,2.32577
"SSA_00078",13.5,18.5,16,2021,20.75125,25.265475,25.916975,25.737625,26.2261,15.045325,13.492725,11.69458,6.1621775,5.00495,1.41384275
"SSA_00079",15.3,22.96,19.13,2021,31.91414,40.81606,43.19374,44.04728,44.17616,19.67232,17.2961,14.61344,7.595782,6.06172,2.10036
"SSA_00080",13.9,18.4,16.15,2021,32.1076,37.7608,39.1303,39.1878333333333,39.4442666666667,22.9599333333333,21.1666,18.4917333333333,9.82102666666667,7.94922666666667,2.80005333333333
