Accession,ACa2022_400,ACa2022_600,ACa2022_800,ACa2022_1000,ACa2022_1250,ACa2022_300,ACa2022_250,ACa2022_200,ACa2022_100,ACa2022_75,ACa2022_25,ACa2023_400,ACa2023_600,ACa2023_800,ACa2023_1000,ACa2023_1250,ACa2023_300,ACa2023_250,ACa2023_200,ACa2023_100,ACa2023_75,ACa2023_25,GsCa2022_400,GsCa2022_600,GsCa2022_800,GsCa2022_1000,GsCa2022_1250,GsCa2022_300,GsCa2022_250,GsCa2022_200,GsCa2022_100,GsCa2022_75,GsCa2022_25,GsCa2023_400,GsCa2023_600,GsCa2023_800,GsCa2023_1000,GsCa2023_1250,GsCa2023_300,GsCa2023_250,GsCa2023_200,GsCa2023_100,GsCa2023_75,GsCa2023_25,AQ2022_1800,AQ2022_1100,AQ2022_500,AQ2022_300,AQ2022_150,AQ2022_50,AQ2023_1800,AQ2023_1100,AQ2023_500,AQ2023_300,AQ2023_150,AQ2023_50
SSA_00001,31.4756,39.4676,40.4689,39.6605,39.7325,23.627,20.3815,17.185,9.0781,7.28971,2.78185,27.6004,33.145,32.9547,32.1193,31.8207,23.307,20.4139,17.6161,8.55118,7.51148,2.59766,0.117165,0.117625,0.102681,0.082065,0.0664487,0.113963,0.117519,0.12677,0.141294,0.170976,0.185345,0.117844,0.119106,0.10416,0.0920739,0.0817249,0.129499,0.137246,0.149923,0.164783,0.182908,0.190649,27.9823,25.2549,17.2166,10.3454,4.07654,-1.22495,25.7686,23.5333,17.7673,12.4847,6.54882,1.52102
SSA_00003,16.9935,21.8056,23.369,23.7657,24.4613,12.1919,10.6642,8.74183,4.29965,3.48851,1.0325,15.8518,19.3759,20.871,21.3301,21.4127,12.1516,10.568,8.73195,4.38318,3.4416,1.0656,0.0685194,0.0685965,0.062154,0.0555252,0.0512487,0.0653155,0.0680359,0.0705346,0.0735747,0.076728,0.0792994,0.0680051,0.0685295,0.0621797,0.0535771,0.0459771,0.0680299,0.0709456,0.0745758,0.0780777,0.0822327,0.0855451,18.0401,16.8561,13.1564,9.505,4.01506,-1.16771,18.588,16.9289,13.0133,9.38609,4.1959,0.076587
SSA_00004,33.0298,40.9763,41.7816,42.0284,42.2761,24.2836,20.7017,17.0648,8.83333,7.11943,2.46044,39.9624,49.1257,49.9,50.0992,50.0548,29.033,25.2443,21.1763,11.0369,8.87648,3.05334,0.131529,0.131537,0.120484,0.106468,0.0953084,0.123918,0.128443,0.135438,0.142599,0.159858,0.168002,0.182464,0.186887,0.173994,0.155627,0.137765,0.16922,0.18057,0.194016,0.207995,0.229006,0.237988,28.8573,27.1688,19.6012,12.5308,4.80345,-1.25668,30.8271,27.5357,18.5218,11.5493,4.17285,-0.977362
SSA_00005,30.7844,40.3607,43.2319,43.7676,43.8437,22.2669,19.3154,16.185,8.32485,6.63631,2.30126,28.718,34.9518,36.5103,36.4447,36.7999,19.6135,17.4821,14.7827,7.84958,6.46448,2.16542,0.12163,0.124732,0.117837,0.109835,0.100686,0.117533,0.126185,0.133343,0.140546,0.15187,0.157392,0.117114,0.112911,0.0931581,0.0739926,0.061985,0.102625,0.112922,0.121578,0.132347,0.150197,0.158753,20.5827,19.7066,15.6017,10.0967,3.56492,-0.986084,32.1836,28.9152,20.2967,13.7848,6.74053,0.732112
SSA_00006,13.0072,16.9795,18.8906,19.5954,20.4328,9.44018,8.30436,7.17755,3.66247,3.12131,0.982655,13.2672,17.1845,18.6668,18.7588,18.9712,10.4231,9.26231,8.05017,4.32804,3.73619,1.22411,0.0501047,0.0508121,0.0495483,0.0466389,0.0432967,0.0474709,0.0501958,0.0554293,0.0593385,0.0664857,0.0720031,0.0617201,0.063269,0.0610027,0.0558427,0.0498488,0.0628741,0.0674355,0.0748269,0.0842246,0.0996184,0.106111,9.5765,8.94429,7.95867,6.90493,4.32219,0.746556,8.58304,7.87709,7.19039,6.45259,3.96147,0.0797822
SSA_00007,18.8898,22.4786,23.0216,21.6429,21.646,13.951,12.4463,10.8647,5.65319,4.70458,1.57125,20.5459,23.3721,23.5749,23.5962,23.5057,16.7858,14.7739,12.4024,6.3363,4.93921,1.50469,0.0734286,0.0734393,0.0576277,0.0384645,0.0308917,0.0692069,0.0754753,0.084431,0.0899605,0.100218,0.107464,0.096608,0.0987264,0.0951659,0.0905701,0.0847927,0.0997936,0.103465,0.10812,0.112533,0.119752,0.123581,20.6259,18.7304,13.0628,8.40119,3.29824,-1.25372,16.1082,14.9282,11.1132,7.48055,3.48344,-0.33878
SSA_00008,39.3292,46.9276,47.7265,47.5507,46.2035,28.6305,24.8295,21.1613,11.2099,8.93402,2.99096,26.7749,32.3318,31.1017,28.5846,29.0642,21.0463,18.8747,16.4919,8.95019,7.71612,2.3456,0.161447,0.16121,0.141164,0.109004,0.0824248,0.147038,0.156644,0.174236,0.187159,0.204005,0.214989,0.0994753,0.0993019,0.0747564,0.0546402,0.0449454,0.100835,0.11147,0.126005,0.144068,0.174991,0.189599,41.4485,35.5581,23.2776,15.3141,6.42503,-0.140254,23.8192,22.4654,17.9254,12.1119,6.08819,-0.181499
SSA_00009,27.5128,36.3826,38.9431,37.8547,37.4099,20.5261,17.6802,14.762,7.72422,6.22793,2.18396,25.9762,32.9947,34.5091,34.3007,34.1411,17.6863,15.6742,13.2979,6.98421,5.82039,1.96512,0.101712,0.10172,0.0903493,0.0693009,0.0554627,0.101393,0.106627,0.112924,0.122435,0.135042,0.144838,0.124552,0.124891,0.112231,0.094092,0.0803177,0.108215,0.115331,0.124139,0.133693,0.151081,0.163578,27.4111,25.8784,19.3966,13.1008,5.48945,-0.305395,26.7015,23.9494,16.9196,11.0578,5.15037,-0.107008
SSA_00010,29.2706,34.9696,36.0386,35.9953,35.7737,21.8298,18.9712,15.9103,8.36637,6.7385,2.22672,29.4021,34.1579,34.8682,34.7193,34.5764,24.3415,21.4077,18.0167,9.49033,7.58029,2.55353,0.11454,0.112812,0.0947822,0.0759707,0.0623768,0.106888,0.114128,0.123014,0.134221,0.1497,0.163659,0.118308,0.118897,0.0961249,0.0740726,0.061426,0.127362,0.137411,0.147909,0.162095,0.177755,0.187582,27.5753,24.8285,17.5975,12.1107,5.5104,-0.575282,25.3389,23.099,17.2022,11.9314,5.651,-0.158141
SSA_00013,37.7331,46.5108,47.9759,47.178,46.6502,27.1094,23.408,19.4648,9.99622,7.95664,2.68267,30.8801,37.523,38.5383,38.4031,38.4211,21.0157,19.0322,16.241,8.5301,6.94927,2.35545,0.148707,0.149451,0.143181,0.131994,0.120691,0.131902,0.141765,0.148624,0.157877,0.168901,0.174188,0.120871,0.118898,0.0992539,0.0819949,0.0687713,0.10402,0.116452,0.126438,0.13767,0.151716,0.16006,28.3345,24.9428,17.9669,11.3144,4.917,-0.0458935,27.3637,25.09,18.7678,13.2115,6.68757,0.762008
