"Plot","Date","minTemperature","maxTemperature","meanTemperature","Year","Accession","CO2_400","CO2_600","CO2_800","CO2_1000","CO2_1250","CO2_300","CO2_250","CO2_200","CO2_100","CO2_75","CO2_25"
1010,2021-09-02,13.7,19.1,16.4,2021,"SSA_00008",24.1933,29.6543,30.9238,31.4486,31.9774,19.0001,16.3585,13.5725,7.12298,5.73758,2.20968
1010,2021-09-02,13.7,19.1,16.4,2021,"SSA_00008",25.0277,28.0677,28.4566,27.8675,27.6263,12.5266,11.7934,10.3154,5.66366,4.64482,1.54457
2227,2021-09-02,13.7,19.1,16.4,2021,"SSA_00008",31.5948,39.8471,41.531,41.9485,41.2787,19.1037,17.2814,14.9323,7.85831,6.42582,2.18024
1161,2021-08-23,14.3,20.6,17.45,2021,"SSA_00010",27.5121,34.7455,36.898,37.8283,38.2612,15.996,14.95,12.7672,6.67087,5.42971,1.93044
1161,2021-08-23,14.3,20.6,17.45,2021,"SSA_00010",33.371,40.4096,42.1716,43.0244,43.404,19.9147,17.9892,15.8217,8.38436,6.76832,2.34581
1161,2021-08-23,14.3,20.6,17.45,2021,"SSA_00010",25.977,33.3825,36.4277,37.8918,38.7582,15.2716,13.7562,11.8735,6.38334,5.37438,2.01409
2052,2021-09-08,13.9,28.6,21.25,2021,"SSA_00010",23.0125,28.4412,29.672,30.0002,30.3598,16.5877,14.7995,12.557,6.65286,5.43966,1.93465
2052,2021-09-08,13.9,28.6,21.25,2021,"SSA_00010",18.0993,22.5819,23.7227,23.8781,24.1142,13.2483,11.5502,9.83007,5.10646,4.15062,1.3319
2052,2021-09-08,13.9,28.6,21.25,2021,"SSA_00010",31.2524,36.1584,37.5488,37.7541,37.893,23.2618,20.5923,17.2741,9.14115,7.32035,2.58928
2065,2021-08-19,13.8,22.3,18.05,2021,"SSA_00013",38.9747,47.1239,48.0713,48.0153,48.3277,25.0039,22.5151,19.0979,10.3277,8.31528,3.33241
