Year,Accession,Plot_rep,A_sat
2021,SSA_00001,1037_2,13.3454
2021,SSA_00001,1037_3,28.5433
2021,SSA_00001,2161_1,35.2238
2021,SSA_00001,2161_2,32.0149
2021,SSA_00001,2161_3,14.3032
2021,SSA_00004,1007_1,27.1996
2021,SSA_00004,1007_2,31.5605
2021,SSA_00004,1007_3,45.2625
2021,SSA_00004,2063_1,34.6767
2021,SSA_00004,2063_3,38.5576
2021,SSA_00006,1165_1,2.92825
2021,SSA_00006,1165_2,5.33673
2021,SSA_00006,1165_3,2.77757
2021,SSA_00006,2122_1,4.43871
2021,SSA_00006,2122_2,2.77926
2021,SSA_00006,2122_3,5.52085
2021,SSA_00007,1143_1,23.6526
2021,SSA_00007,1143_2,14.7285
2021,SSA_00007,1143_3,28.3186
2021,SSA_00007,2172_1,11.8256
2021,SSA_00007,2172_2,12.1289
2021,SSA_00007,2172_3,15.9221
2021,SSA_00008,1010_1,30.4538
2021,SSA_00008,1010_2,27.8343
2021,SSA_00008,1010_3,18.1323
2021,SSA_00008,2227_1,35.8999
2021,SSA_00008,2227_2,27.6201
2021,SSA_00008,2227_3,32.1097
2021,SSA_00010,1161_1,31.8528
2021,SSA_00010,1161_2,26.3222
2021,SSA_00010,2052_1,14.7689
2021,SSA_00010,2052_2,27.0283
2021,SSA_00010,2052_3,15.9857
2021,SSA_00018,1046_1,11.3629
2021,SSA_00018,1046_2,29.3443
2021,SSA_00018,1046_3,28.5354
2021,SSA_00018,2016_2,30.5862
2021,SSA_00018,2016_3,24.8272
2021,SSA_00033,1149_1,15.7761
2021,SSA_00033,1149_2,22.6619
2021,SSA_00033,1149_3,24.1277
2021,SSA_00033,2118_1,21.8995
2021,SSA_00033,2118_2,5.73748
2021,SSA_00033,2118_3,16.3265
2021,SSA_00067,1244_1,24.8092
2021,SSA_00067,1244_2,29.0143
2021,SSA_00067,1244_3,17.1406
2021,SSA_00067,2282_1,24.6435
2021,SSA_00067,2282_3,31.7979
2021,SSA_00075,1181_1,31.6268
2021,SSA_00075,1181_2,38.0511
2021,SSA_00075,1181_3,32.2008
2021,SSA_00075,2177_1,23.9153
2021,SSA_00075,2177_3,32.7963
2021,SSA_00080,1072_1,29.7048
2021,SSA_00080,1072_2,22.021
2021,SSA_00080,1072_3,25.5506
2021,SSA_00080,2234_1,26.3464
2021,SSA_00080,2234_2,24.7227
2021,SSA_00080,2234_3,30.5337
2021,SSA_00097,1087_1,12.2198
2021,SSA_00097,1087_2,34.6758
2021,SSA_00097,1087_3,21.8585
2021,SSA_00097,2083_1,19.611
2021,SSA_00097,2083_2,27.1021
2021,SSA_00097,2083_3,16.315
2021,SSA_00105,1188_1,13.4
2021,SSA_00105,1188_2,0.985996
2021,SSA_00105,1188_3,2.17605
2021,SSA_00105,2044_1,15.8523
2021,SSA_00105,2044_2,8.21951
2021,SSA_00108,1176_1,16.3483
2021,SSA_00108,1176_2,11.7196
2021,SSA_00108,1176_3,11.7277
2021,SSA_00108,2283_1,13.4321
2021,SSA_00108,2283_3,17.8292
2021,SSA_00110,1156_1,17.0474
2021,SSA_00110,1156_2,22.0691
2021,SSA_00110,2292_1,16.2235
2021,SSA_00110,2292_2,22.2935
2021,SSA_00110,2292_3,23.2452
2021,SSA_00113,1151_1,9.10652
2021,SSA_00113,1151_2,5.84606
2021,SSA_00113,1151_3,11.093
2021,SSA_00113,2287_1,8.88315
2021,SSA_00113,2287_2,13.0121
2021,SSA_00121,1095_1,13.888
2021,SSA_00121,1095_2,17.9041
2021,SSA_00121,1095_3,8.34625
2021,SSA_00121,2259_1,11.573
2021,SSA_00121,2259_2,11.5239
2021,SSA_00121,2259_3,9.54276
2021,SSA_00151,1001_1,27.7264
2021,SSA_00151,1001_3,20.9996
2021,SSA_00151,2246_1,23.3303
2021,SSA_00151,2246_2,33.505
2021,SSA_00151,2246_3,32.2807
2021,SSA_00179,1231_1,20.8644
2021,SSA_00179,1231_2,9.32202
2021,SSA_00179,1231_3,23.36
2021,SSA_00179,2054_1,4.28604
2021,SSA_00179,2054_2,2.15111
2021,SSA_00179,2054_3,20.2356
2021,SSA_00197,1195_1,17.8766
2021,SSA_00197,1195_2,13.1442
2021,SSA_00197,1195_3,27.8735
2021,SSA_00197,2262_1,2.67658
2021,SSA_00197,2262_3,12.0743
2021,SSA_00209,1237_1,14.2077
2021,SSA_00209,1237_2,11.9048
2021,SSA_00209,1237_3,16.5156
2021,SSA_00209,2124_1,4.56473
2021,SSA_00209,2124_2,26.5326
2021,SSA_00216,1063_1,7.06999
2021,SSA_00216,1063_2,22.8671
2021,SSA_00216,1063_3,16.2365
2021,SSA_00216,2300_1,10.9832
2021,SSA_00216,2300_3,9.76932
2021,SSA_00229,1211_1,20.5672
2021,SSA_00229,1211_2,17.8124
2021,SSA_00229,1211_3,16.8771
2021,SSA_00229,2187_1,20.8502
2021,SSA_00229,2187_3,23.774
2021,SSA_00312,1260_1,26.7539
2021,SSA_00312,1260_2,28.8722
2021,SSA_00312,2195_1,28.5665
2021,SSA_00312,2195_2,28.3477
2021,SSA_00312,2195_3,22.8825
2021,SSA_00367,1185_1,10.3659
2021,SSA_00367,1185_2,13.2492
2021,SSA_00367,1185_3,7.79963
2021,SSA_00367,2007_1,12.2169
2021,SSA_00367,2007_2,16.5587
2021,SSA_00367,2007_3,13.4926
