ID,Accession,Year,Plot,Block,Replicate,Repeat,PAR_1800
2021_1122_1,SSA_00200,2021,1122,2,1,1,16.4687
2021_1122_2,SSA_00200,2021,1122,2,1,2,14.4894
2021_1122_3,SSA_00200,2021,1122,2,1,3,23.6011
2021_1123_2,SSA_00161,2021,1123,3,1,2,26.8816
2021_1123_3,SSA_00161,2021,1123,3,1,3,22.5064
2021_1124_1,SSA_00191,2021,1124,4,1,1,34.4417
2021_1124_2,SSA_00191,2021,1124,4,1,2,25.2957
2021_1124_3,SSA_00191,2021,1124,4,1,3,22.5433
2021_1127_2,SSA_00147,2021,1127,7,1,2,11.1795
2021_1127_3,SSA_00147,2021,1127,7,1,3,11.8962
2021_1134_1,SSA_00170,2021,1134,6,1,1,8.23113
2021_1134_2,SSA_00170,2021,1134,6,1,2,11.2791
2021_1134_3,SSA_00170,2021,1134,6,1,3,2.57998
2021_1140_1,SSA_00112,2021,1140,4,1,1,22.4588
2021_1140_2,SSA_00112,2021,1140,4,1,2,16.3229
2021_1140_3,SSA_00112,2021,1140,4,1,3,23.6885
2021_1141_1,SSA_00056,2021,1141,5,1,1,32.8994
2021_1141_2,SSA_00056,2021,1141,5,1,2,11.9045
2021_1141_3,SSA_00056,2021,1141,5,1,3,9.95126
2021_1142_1,SSA_00228,2021,1142,6,1,1,10.51
2021_1142_2,SSA_00228,2021,1142,6,1,2,33.1932
2021_1142_3,SSA_00228,2021,1142,6,1,3,33.2726
2021_1143_1,SSA_00007,2021,1143,7,1,1,23.6526
2021_1143_2,SSA_00007,2021,1143,7,1,2,14.7285
2021_1143_3,SSA_00007,2021,1143,7,1,3,28.3186
2021_1144_1,SSA_00317,2021,1144,8,1,1,23.7734
2021_1144_2,SSA_00317,2021,1144,8,1,2,9.91481
2021_1144_3,SSA_00317,2021,1144,8,1,3,17.4066
2021_1145_1,SSA_00233,2021,1145,1,1,1,8.03775
2021_1145_2,SSA_00233,2021,1145,1,1,2,23.5124
2021_1145_3,SSA_00233,2021,1145,1,1,3,21.3702
2021_1146_1,SSA_00144,2021,1146,2,1,1,19.3128
2021_1146_2,SSA_00144,2021,1146,2,1,2,11.3422
2021_1146_3,SSA_00144,2021,1146,2,1,3,16.7536
2021_1149_1,SSA_00033,2021,1149,5,1,1,15.7761
2021_1149_2,SSA_00033,2021,1149,5,1,2,22.6619
2021_1149_3,SSA_00033,2021,1149,5,1,3,24.1277
2021_1150_1,SSA_00218,2021,1150,6,1,1,30.5935
2021_1150_2,SSA_00218,2021,1150,6,1,2,24.6962
2021_1150_3,SSA_00218,2021,1150,6,1,3,8.66302
2021_1151_1,SSA_00113,2021,1151,7,1,1,9.10652
2021_1151_2,SSA_00113,2021,1151,7,1,2,5.84606
2021_1151_3,SSA_00113,2021,1151,7,1,3,11.093
2021_1153_2,SSA_00284,2021,1153,1,1,2,26.2896
2021_1153_3,SSA_00284,2021,1153,1,1,3,21.6056
2021_1154_1,SSA_00100,2021,1154,2,1,1,10.136
2021_1154_2,SSA_00100,2021,1154,2,1,2,11.7386
2021_1154_3,SSA_00100,2021,1154,2,1,3,16.2396
2021_1156_1,SSA_00110,2021,1156,4,1,1,17.0474
2021_1156_2,SSA_00110,2021,1156,4,1,2,22.0691
2021_1159_1,SSA_00034,2021,1159,7,1,1,13.6396
2021_1159_2,SSA_00034,2021,1159,7,1,2,3.55378
2021_1159_3,SSA_00034,2021,1159,7,1,3,25.6328
2021_1161_1,SSA_00010,2021,1161,1,1,1,31.8528
2021_1161_2,SSA_00010,2021,1161,1,1,2,26.3222
2021_1162_1,SSA_00088,2021,1162,2,1,1,27.4441
2021_1162_2,SSA_00088,2021,1162,2,1,2,28.4689
2021_1162_3,SSA_00088,2021,1162,2,1,3,23.7615
2021_1163_1,SSA_00038,2021,1163,3,1,1,8.24878
2021_1163_2,SSA_00038,2021,1163,3,1,2,4.49598
2021_1163_3,SSA_00038,2021,1163,3,1,3,8.55302
2021_1165_1,SSA_00006,2021,1165,5,1,1,2.92825
2021_1165_2,SSA_00006,2021,1165,5,1,2,5.33673
2021_1165_3,SSA_00006,2021,1165,5,1,3,2.77757
2021_1167_1,SSA_00127,2021,1167,7,1,1,17.8673
2021_1167_2,SSA_00127,2021,1167,7,1,2,19.3819
2021_1167_3,SSA_00127,2021,1167,7,1,3,25.1327
2021_1171_1,SSA_00149,2021,1171,3,1,1,2.93915
2021_1171_2,SSA_00149,2021,1171,3,1,2,0.604331
2021_1171_3,SSA_00149,2021,1171,3,1,3,0.0802654
2021_1172_1,SSA_00171,2021,1172,4,1,1,12.2418
2021_1172_2,SSA_00171,2021,1172,4,1,2,3.2677
2021_1172_3,SSA_00171,2021,1172,4,1,3,32.6672
2021_1174_1,SSA_00259,2021,1174,6,1,1,21.0389
2021_1174_2,SSA_00259,2021,1174,6,1,2,24.275
2021_1176_1,SSA_00108,2021,1176,8,1,1,16.3483
2021_1176_2,SSA_00108,2021,1176,8,1,2,11.7196
2021_1176_3,SSA_00108,2021,1176,8,1,3,11.7277
2021_1178_1,SSA_00101,2021,1178,2,1,1,10.914
2021_1178_2,SSA_00101,2021,1178,2,1,2,12.6263
2021_1178_3,SSA_00101,2021,1178,2,1,3,17.1503
2021_1181_1,SSA_00075,2021,1181,5,1,1,31.6268
2021_1181_2,SSA_00075,2021,1181,5,1,2,38.0511
