"","Km2_HCO3","Km2_PEP","Km6_CO2","Km6_O2","Km7_PGA","Km10_GAP","Km12_DHAP","Km12_E4P","Km14_GAP","Km18_Ru5P","Ki57","Vm6y22","Jmaxy22","KaRac","tao_ActRubisco","Perm_CO2","BBslope","MRd"
"SSA_00001",0.0545936422147372,0.0388673519966121,0.00298793846657562,0.0623707057129805,4.3876420866034,0.122236951186177,1.16226691865413,0.194277209133924,0.043883133125355,0.0361364004320509,1.10073190519117,0.0568679834644811,0.989188986576506,8.54834242127965,597.676467619498,0.0192752184160337,2.2627330856838,1.47181624825345
"SSA_00003",0.0549158743379364,0.153859476497681,0.0115836817806663,0.0809410553307886,7.47171543735752,0.051865403727126,0.136868729692305,0.0765395441112563,0.734817900892637,0.0182117582840756,0.0566883661683622,0.0592868943420272,1.14337687950688,6.91285982171598,247.638137439333,0.214994144970922,1.84050730912146,2.43660652623565
"SSA_00004",0.0927327661300833,0.0275183412168939,0.0107962328035764,0.0827296022424255,3.53778910060747,0.0150946957703451,0.414691982622742,0.275434454300206,0.0213988791415784,0.0483610559277812,0.185018097780002,0.12009338510492,2.03633468135526,1.55019274600297,25.708150950341,0.292286850031061,3.08152075389586,0.716004699462383
"SSA_00005",0.0972239239866469,0.0606551655359888,0.0225042435310672,0.18287290357482,3.1042633314224,0.031191904955491,0.205990062507883,0.301117301106369,0.0693562730130614,0.0721677938705717,0.383288880232499,0.0625632631193464,0.895223399464285,13.9045310960334,222.105672821607,0.0147952858852961,2.3740023850534,0.850245934072703
"SSA_00006",0.0446512229075242,0.248091493602928,0.00991180713159595,0.309471871340071,18.4428528784793,0.0321185727042116,0.234616626776743,0.0593821396329001,0.0576553182727476,0.060120055604001,0.0363121590696931,0.0540154936374976,1.00282467964232,14.111005307963,241.142348240676,0.148147293219423,3.04869531272712,0.753336354734328
"SSA_00007",0.0221916150165565,0.081498321335062,0.00272622241817918,0.211572881290535,0.932330900916287,0.014107314681593,0.325761881108653,0.990884259711969,0.0347767886727979,0.0394546249369916,1.07764706756692,0.0528377135164872,0.926606760965786,7.28279851146097,176.444291937029,0.361076502554566,1.76288935958409,1.36602673767317
"SSA_00008",0.0955622523509588,0.0250225888969249,0.0127730608969241,0.608207466697141,6.97781638462844,0.0381726325158299,0.302134715702985,0.381387885052089,0.0452889938934209,0.0438899043390292,0.213285006917919,0.0635064765381228,0.922835126716992,4.18088141678299,560.490594087657,0.122286685532417,2.93754201312347,0.350913394446005
"SSA_00009",0.0836723157677454,0.0593189417589363,0.0525944846129573,0.216223317932986,1.77888632628404,0.0340836923458189,0.268481451550974,0.202851431663387,0.126401345664393,0.197853036421,0.247608291944906,0.10027589797415,1.00130009062975,11.3802699840355,518.634414913722,0.0233362817632435,2.3426667355331,1.2806217992398
"SSA_00010",0.0142301351167802,0.0297806871060507,0.0251096185824142,0.142193507722864,2.0921249504403,0.112576624090079,0.318045031719084,0.933121968339349,0.2120329269023,0.0283632613725169,0.144459598499283,0.0849224848013225,0.939490351237784,26.993060476774,82.6563257541685,0.26036030087487,2.14543654046172,1.5716777097321
"SSA_00013",0.0510645617805808,0.0511737478413991,0.0109594408138549,0.561464386291146,5.93574629354772,0.0338834607799217,0.568443693039356,0.460460062116726,0.234564562683104,0.0159024203794336,0.149184279144175,0.0734161257375272,0.77512594741291,17.0960037092163,204.139878570149,0.100171818184625,2.67076082704566,0.731004434232739
"SSA_00018",0.019619769675922,0.0476722670601624,0.0286119617974945,0.0948399453981135,2.70040872597982,0.0265423329715799,0.258718830723541,0.302584538853322,0.0348255705939702,0.0389783509309895,0.159490179521989,0.0607839893225085,0.919857692964007,13.1163591425049,132.72522106108,0.093003349153424,2.35232489371354,0.749961238544196
"SSA_00024",0.0856663138406899,0.044559020601279,0.0171232064204663,0.118769521141756,4.29678262761162,0.0572090911416931,0.779692331897198,0.435016552958489,0.0558650816412515,0.0211250352862759,0.160686169106071,0.0590680201561185,0.857952363595356,8.47555225221878,382.764269733486,0.0322528290714493,1.84284712250038,1.50274872811675
"SSA_00033",0.0304874471463926,0.363560022829249,0.0101880996526792,0.149105468447725,2.63894355093938,0.0337630368527728,0.111110229113937,0.108216194696792,0.0444490590851874,0.0432161777433253,0.130776229656037,0.062330740357559,1.07425465357004,15.3473861361235,535.242391794177,0.0556887388851307,2.77869923061953,0.689081356945637
"SSA_00041",0.137962957102072,0.06404911077642,0.0116793021221929,0.18687516681771,15.5263530380599,0.0931285661327129,2.42307706875754,0.0652511013671814,0.0323867674762818,0.0633702574070192,0.303417556777061,0.0676827630010838,0.801156969252276,2.91780946041585,62.8529179952962,0.0314900935390865,3.32359226528168,0.98769270118214
"SSA_00050",0.00927069799777436,0.429770251071091,0.056482479546332,0.275918354157459,3.17420031243885,0.143968634027906,0.353251809285943,0.598969052848003,0.117854879171096,0.0664297257520236,0.208478593256617,0.067406115007653,0.816755944235319,6.72713945738716,47.8876459604311,0.122127294000807,2.36021653045575,0.831898144497753
"SSA_00062",0.00525963620599763,0.0139290677592621,0.0197748645512796,0.123465950477584,8.21353390185336,0.0672952142773219,0.662828879444849,1.57752026820469,0.0171827857279994,0.0205688664735058,0.177343556719892,0.0765266397634898,0.881958458555552,60.2510761677839,107.520189057897,0.0159099245120745,2.27606100783638,0.464009540120301
"SSA_00067",0.0409357804597002,0.0337166747263353,0.0287722512042628,0.195071098913634,4.27246379313572,0.0241773736907231,0.860735830240066,0.0823673532209692,0.0719595973594894,0.0657531085125646,0.243203947723114,0.0794335587588483,0.917553975748634,78.6260201512439,264.664791049733,0.0435629731202441,2.3653863752689,1.52927769115298
"SSA_00068",0.10950288383113,0.0206693764675484,0.0519220133624311,0.206266251425613,2.40955444428365,0.0306926506097964,0.706726625557369,0.0246915317470182,0.0449775311878378,0.239773116467328,0.248862027372402,0.0795867968039292,0.844839527829393,40.6117507537708,241.781469681461,0.0382077232115172,3.12785256914111,1.95111423139361
"SSA_00070",0.127519509602214,0.0221609822315997,0.00600226823597374,0.204879549401067,8.77274733071567,0.024520580861176,0.607439372431801,0.123047600764398,0.248600790450791,0.0452737414644465,0.329753801052182,0.100789598977381,0.771177144365776,43.742636110822,38.164735300565,0.0927645877467841,3.24446731761406,0.258329604393529
"SSA_00075",0.0350869231236464,0.115363305520637,0.04808708607322,0.231596852914812,10.3920939317497,0.0992343721210432,0.182232262578933,0.0298875952624951,0.470532539233159,0.175306868413838,0.126125148251092,0.0884080863724147,0.905760219415437,5.28832383590195,317.380312538258,0.014113044330593,2.28394550519579,2.04561781718784
"SSA_00079",0.0630041831305292,0.171243230691796,0.0313949916244078,0.238801943518708,3.9287510897383,0.0271994493897967,0.298301350404568,0.0774690487440685,0.089836719356491,0.0354982641693964,0.296549070208024,0.0660587861838205,0.979056313751775,3.37345063742123,273.042730902529,0.0763881696385637,3.15952631504123,1.30886425079359
"SSA_00080",0.0385018106698563,0.170767351763968,0.00885147832041851,0.374286022914576,4.46745176590394,0.0623688731148015,0.607939970838937,0.0691283839466352,0.0802290296591519,0.100772630392842,0.0716089248644722,0.0889859353176503,0.762276170595311,18.3905126319393,271.485766612284,0.152443004385618,3.50459621499627,0.846896496707662
"SSA_00091",0.0779613130173223,0.053316419357547,0.0121313815339556,0.110335784016497,3.77746738480913,0.040663820074253,0.256893061602654,0.298195543172855,0.0138145861737015,0.0178901914938961,0.109311835939765,0.0756830481344705,1.02221981948274,29.4929640923638,362.577579317978,0.199153675324927,3.58924622289979,1.95612847252945
"SSA_00096",0.0261943942559119,0.0494587882411009,0.00713160482296799,0.0765778538844874,4.59771773627814,0.0182367087792264,0.297449593172527,0.208430521474063,0.153036014410352,0.0647660891970626,0.0821519609294298,0.0774150086648542,0.858499319754933,8.54173544377008,165.561871198199,0.503885621659059,2.99856810329671,0.782664649206766
"SSA_00097",0.032061687167144,0.0660815498503576,0.0256640511708409,0.362224999169397,2.33194128495018,0.0234217496145082,0.110385577997139,0.241529724882179,0.0198939915743145,0.0228871546239755,0.266751192438909,0.0671437671316947,0.823728987024285,3.27760854765548,239.957946663552,0.576687751959776,2.59995562668231,0.938979253641253
"SSA_00105",0.107661336356308,0.0413582011237928,0.0184004948107789,0.0878763472158587,4.1734863968433,0.0380844019244362,1.19984665990206,0.0638802256910429,0.0196327478607599,0.0896918306974493,0.228264164743499,0.0826499340637489,0.782361889957221,5.83117136167805,95.6762997498707,0.0551499371655528,2.79880489968676,2.27199867200192
"SSA_00108",0.11577679382683,0.041853769655077,0.0213132471010292,0.315557511850696,2.62736668458906,0.0925700470174116,0.768673074249797,0.170955044607498,0.0926361881338562,0.14953945599877,0.0531769022575943,0.0650543670249358,0.832600453807554,9.12593855648986,456.700628100805,0.0406126288028643,4.49467693014145,1.70049174893867
