"","Km1_CO2","Km2_HCO3","Km2_PEP","Km6_CO2","Km6_O2","Km7_PGA","Km10_GAP","Km12_DHAP","Km12_E4P","Km14_GAP","Ki18_Pi","Km18_ATP","Km18_Ru5P","Km33_NADP","Ki57","Vm2y22","Vm3y22","Vm4y22","Vm5y22","Vm6y22","Vm7_8y22","Jmaxy22","KaRac","tao_ActRubisco","Perm_CO2","BBslope","MRd"
"SSA_00002",4.82473290235047,0.0280911032292355,0.0838835769048698,0.0110934091685181,0.226917921725459,6.48146072545912,0.059345297354591,0.479433708599077,0.160191068109389,0.171804516559377,5.67374300872674,0.767964042647168,0.0505183830565428,0.0248572784659832,0.119976525256213,0.0847954082045784,0.0944356736492857,0.122214095025864,0.098371509704647,0.0908086864653132,0.821665056231227,0.605754648167681,13.5015086352628,241.556974847509,0.169025850526612,3.02448930510981,1.75266520538391
"SSA_00016",4.44503901850195,0.0280900304872223,0.10694651870311,0.0190118692964038,0.226312763003714,6.4812852905284,0.0593450228010838,0.479435641094094,0.176911716023301,0.160222609911645,5.88321102261475,0.76795425783305,0.0503643750539293,0.0364831983171599,0.143334648117682,0.0954607367186967,0.0944340014960712,0.122214096326496,0.0983712324477193,0.090808415711755,0.821665041133054,0.604082879753795,13.5019688099083,241.551705858169,0.169027194383833,2.99408684145355,1.72061482345416
"SSA_00031",4.32750583807058,0.0280903295288174,0.0911473110275751,0.0119085157141202,0.224989437850067,6.48134867084596,0.0593450266599124,0.479432762801646,0.171700757239681,0.171839743849661,6.2424827824028,0.767943274696158,0.0505728967290223,0.0396908897121453,0.171441432241664,0.0770572725556815,0.0944342745327644,0.122214072397778,0.0983712224800658,0.09080843039744,0.821666072369278,0.607971428630207,13.5016655137659,241.552036263532,0.169024393371024,2.99799788414634,1.7028252486321
"SSA_00038",4.46863819618997,0.0280899482617904,0.101766706436142,0.0123159658385154,0.225985097317208,6.48141444004764,0.0593444438918324,0.479436453122918,0.145884356099651,0.128323845205765,5.23842129484647,0.76792615721173,0.0503796693906237,0.0374087687902949,0.153335081653755,0.0884863669618169,0.0944340531874671,0.12221407408199,0.0983712403989052,0.0908084960318841,0.8216674275467,0.603753790451539,13.50143413041,241.550688175669,0.169026989453586,2.99763688955521,1.712506364995
"SSA_00055",4.53383878189151,0.028089795149393,0.105516463615128,0.0154132599187375,0.222906752308458,6.48134158388098,0.0593449563542679,0.479435564258048,0.190951184679172,0.131988722164117,5.98954536757943,0.767925928471764,0.0506024293930524,0.0479262008232265,0.161796516379834,0.0863816306390315,0.0944347227551193,0.122214075337582,0.0983711551517433,0.090808399574774,0.821667188502703,0.60777403606218,13.5018403731164,241.549386275423,0.16902321758418,2.99846792856341,1.70882578757776
"SSA_00078",4.33003664913674,0.0280897961767911,0.100183390298419,0.021548887395332,0.224601394687548,6.48137274308779,0.0593440926381743,0.479444469367798,0.190101283159812,0.137800785673196,6.43199167003467,0.767942643473101,0.0504076770620719,0.0398655822116815,0.169617774726143,0.0923605101550676,0.0944341803315165,0.122214089885435,0.0983711949308483,0.0908083995726153,0.8216671730372,0.605594603439782,13.5017820718877,241.547154761621,0.169026429647221,2.98642750349022,1.70337876738368
"SSA_00083",4.43246027780485,0.0280898180065133,0.083996591768674,0.0165797675880477,0.222850193008673,6.48141367712805,0.0593449769345115,0.479445905753508,0.181063403476437,0.149719406137033,6.33595857668591,0.767950777329481,0.0505880103214598,0.0259246617040822,0.161106925564502,0.084900814262258,0.0944343879669911,0.122214092634649,0.0983713006498598,0.0908083802737415,0.821668056061123,0.604024859955614,13.5017607426583,241.547414135332,0.169023200737739,2.99949069471749,1.7080118525825
"SSA_00111",4.77762913559707,0.0280900161166869,0.0752564729294204,0.0151461585473316,0.223631533336939,6.48134633665009,0.0593452684545841,0.479438849494081,0.142771787315168,0.130199155206239,5.83884404604215,0.767944035900238,0.0506344931500431,0.0311637392702378,0.151199440613565,0.0741805711075062,0.0944342779234231,0.122214086149925,0.0983713163654456,0.0908085195240267,0.821666033812207,0.60202276778239,13.5017320878059,241.548920384651,0.169027045929351,3.00425906348473,1.72268762677853
"SSA_00114",4.38832603279522,0.0280897219469014,0.111396771334627,0.0108197959791828,0.222076651099501,6.48148334208055,0.0593452059452542,0.479436415880848,0.210150670138984,0.16996437738776,6.79154758611788,0.767940053179126,0.0506237504126973,0.0350842255183019,0.180416839724561,0.0879134441237009,0.0944338892229039,0.122214094549066,0.09837123273407,0.0908083526495591,0.821668078034777,0.607862427837771,13.5018639957641,241.550367784485,0.169025487759454,2.986995424876,1.71890735587244
"SSA_00246",4.51367544401844,0.0280901757303155,0.112600505755416,0.0110085053559321,0.223691814175859,6.48138704183169,0.0593453947390747,0.479439354660489,0.171954744014451,0.174351576590302,6.19885801254348,0.767951052343727,0.0503987131287883,0.0355770696124788,0.156730217842838,0.082933151436961,0.0944344932018183,0.122214090948085,0.0983712974563019,0.0908084453046513,0.821665268175129,0.605619464844462,13.50180523267,241.548596031741,0.169026583382132,3.00331145625246,1.71141560131483
