"","Km1_CO2","Km2_HCO3","Km2_PEP","Km6_CO2","Km6_O2","Km7_PGA","Km10_GAP","Km12_DHAP","Km12_E4P","Km14_GAP","Ki18_Pi","Km18_ATP","Km18_Ru5P","Km33_NADP","Ki57","Vm2y22","Vm3y22","Vm4y22","Vm5y22","Vm6y22","Vm7_8y22","Jmaxy22","KaRac","tao_ActRubisco","Perm_CO2","BBslope","MRd","Vm2y23","Vm3y23","Vm4y23","Vm5y23","Vm6y23","Vm7_8y23","Jmaxy23"
"SSA_00002",4.82473290235047,0.0280911032292355,0.0838835769048698,0.0110934091685181,0.226917921725459,6.48146072545912,0.059345297354591,0.479433708599077,0.160191068109389,0.171804516559377,5.67374300872674,0.767964042647168,0.0505183830565428,0.0248572784659832,0.119976525256213,0.113320261287115,0.138235974938724,0.0919123275785928,0.0794432750449494,0.0881039042170576,0.679376467745202,0.561414760153384,13.5015086352628,241.556974847509,0.169025850526612,3.02448930510981,1.75266520538391,0.140367728346013,0.0968071257946265,0.0640224508734121,0.0605161363586391,0.0853959219957354,0.53715342292653,0.579997966034083
"SSA_00016",4.44503901850195,0.0280900304872223,0.10694651870311,0.0190118692964038,0.226312763003714,6.4812852905284,0.0593450228010838,0.479435641094094,0.176911716023301,0.160222609911645,5.88321102261475,0.76795425783305,0.0503643750539293,0.0364831983171599,0.143334648117682,0.133756490159918,0.0813321277742833,0.0941343157870658,0.0794422325722627,0.0881010200499654,0.679398068862083,0.56142014094881,13.5019688099083,241.551705858169,0.169027194383833,2.99408684145355,1.72061482345416,0.142612974727413,0.0968018997301848,0.0640209366862212,0.0605125999106979,0.0853943197685248,0.537131666074394,0.471972443281871
"SSA_00022",4.39737470921115,0.0280902041280277,0.0854526425818441,0.0178468906666975,0.22464392304904,6.48135864123538,0.0593448794628239,0.479438940425486,0.176303883226592,0.140069672062259,5.75039633279953,0.76794319198769,0.0505544534870463,0.0312494036150549,0.159106504527612,0.117827684331734,0.100560333050434,0.0927166075556554,0.0794424626723594,0.088102321845401,0.679409107484382,0.561420198329804,13.5016637149112,241.550229334761,0.169026524816956,2.99376883306605,1.70906805653488,0.140488743815129,0.0968024027725862,0.064021063849486,0.0605134719178711,0.085395375513902,0.537138801945634,0.517081844343877
"SSA_00029",4.60413806910775,0.0280901437850741,0.0990113402541765,0.00967991596134271,0.22266322209587,6.48142671912177,0.0593454443160125,0.479439543565591,0.181572902248935,0.145101426070086,5.98823441423909,0.767955277567048,0.0503798744923135,0.0368336008246122,0.169278261523438,0.127491727200392,0.0924327289898449,0.0922971238886447,0.0794418447679116,0.088101695331975,0.679396715980438,0.561413652324015,13.5016943239251,241.553303811601,0.169025766527941,2.99749687616548,1.69869727695651,0.141660807507732,0.0968026224850658,0.064020262726087,0.0605133708410095,0.0853945135988136,0.537139881046689,0.51289710016238
"SSA_00031",4.32750583807058,0.0280903295288174,0.0911473110275751,0.0119085157141202,0.224989437850067,6.48134867084596,0.0593450266599124,0.479432762801646,0.171700757239681,0.171839743849661,6.2424827824028,0.767943274696158,0.0505728967290223,0.0396908897121453,0.171441432241664,0.101185428310148,0.0951321724353179,0.0909967720035706,0.079441974516957,0.0881014731166457,0.679407036716049,0.561419682487065,13.5016655137659,241.552036263532,0.169024393371024,2.99799788414634,1.7028252486321,0.138534673695628,0.0968021998500809,0.0640205300927747,0.0605126933493992,0.0853941100440707,0.537133335257652,0.568172466978694
"SSA_00035",4.57830843536182,0.0280898833588392,0.124131792447861,0.0190071219603974,0.229058737824648,6.48126866295509,0.0593447921925069,0.479442446502256,0.118397773633609,0.185473049411217,5.85002143721241,0.767949652793107,0.0505397259235735,0.0443212369962842,0.151806801328314,0.0828956892683294,0.0991307353962696,0.093377804250762,0.0794415805578093,0.088102115882552,0.679397612952051,0.561414422507453,13.5020389802279,241.546651009149,0.169024511219149,3.00738182404269,1.70662770247013,0.136248848801946,0.096802082264717,0.0640214376492619,0.0605129968802182,0.0853927826225378,0.537130880348405,0.413922256884497
"SSA_00046",4.5248426297859,0.0280902432024391,0.0931213404869576,0.0139760738950803,0.226887945487838,6.48126552672044,0.0593448724320538,0.479441145026594,0.157444170942348,0.153399126341922,5.41000878973463,0.767954237683084,0.0504233568210311,0.0272724665311101,0.153928347822217,0.121197444151676,0.104619979946862,0.0931676365049746,0.0794423410869412,0.0881020872366398,0.679396685810528,0.561418055759477,13.5016556903574,241.553019232382,0.169025742927404,2.9987204603556,1.73463240869395,0.141983979986308,0.0968038387949841,0.0640218989894481,0.0605148397854931,0.0853962228973856,0.537136057169745,0.52884844723769
"SSA_00055",4.53383878189151,0.028089795149393,0.105516463615128,0.0154132599187375,0.222906752308458,6.48134158388098,0.0593449563542679,0.479435564258048,0.190951184679172,0.131988722164117,5.98954536757943,0.767925928471764,0.0506024293930524,0.0479262008232265,0.161796516379834,0.121304406456775,0.115780930691188,0.0914684138912075,0.0794414538525631,0.0881003251092018,0.679413003262681,0.561416728711024,13.5018403731164,241.549386275423,0.16902321758418,2.99846792856341,1.70882578757776,0.140147960282708,0.0968029974651848,0.0640205274464235,0.0605121020810916,0.0853947473190458,0.53713888144934,0.587706041150194
"SSA_00078",4.33003664913674,0.0280897961767911,0.100183390298419,0.021548887395332,0.224601394687548,6.48137274308779,0.0593440926381743,0.479444469367798,0.190101283159812,0.137800785673196,6.43199167003467,0.767942643473101,0.0504076770620719,0.0398655822116815,0.169617774726143,0.130848197450542,0.096573184986636,0.0929886415504702,0.0794417440482163,0.0881008822475422,0.679417797365422,0.561417880211146,13.5017820718877,241.547154761621,0.169026429647221,2.98642750349022,1.70337876738368,0.141272556173434,0.0968015503958158,0.0640210821783375,0.0605124688405808,0.0853941901449357,0.537133927822395,0.536099639271646
"SSA_00171",4.3722326499222,0.0280901151023313,0.102312730950828,0.0170220549666084,0.22464605530144,6.4813608969535,0.0593446079133179,0.479441750572997,0.173592136762697,0.158565566743612,7.59085672773006,0.767957484286695,0.0503627674495825,0.0372939101464539,0.17706109250619,0.11793458995379,0.0753792794718076,0.0943637623425494,0.0794435283980918,0.0881018596355864,0.679399058225269,0.561410571800309,13.5021034413884,241.550193051936,0.169024547927188,2.99002687931401,1.71019464567933,0.137440710600568,0.0968012279219301,0.0640210305418778,0.0605137272046561,0.0853939004969163,0.537134906991923,0.442522497087873
"SSA_00208",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
