"","Km1_CO2","Km2_HCO3","Km2_PEP","Km6_CO2","Km6_O2","Km7_PGA","Km10_GAP","Km12_DHAP","Km12_E4P","Km14_GAP","Ki18_Pi","Km18_ATP","Km18_Ru5P","Km33_NADP","Ki57","Vm2y22","Vm3y22","Vm4y22","Vm5y22","Vm6y22","Vm7_8y22","Jmaxy22","KaRac","tao_ActRubisco","Perm_CO2","BBslope","MRd"
"SSA_00002",4.82473290235047,0.0280911032292355,0.0838835769048698,0.0110934091685181,0.226917921725459,6.48146072545912,0.059345297354591,0.479433708599077,0.160191068109389,0.171804516559377,5.67374300872674,0.767964042647168,0.0505183830565428,0.0248572784659832,0.119976525256213,0.0847954082045784,0.0944356736492857,0.122214095025864,0.098371509704647,0.0908086864653132,0.821665056231227,0.605754648167681,13.5015086352628,241.556974847509,0.169025850526612,3.02448930510981,1.75266520538391
"SSA_00012",4.56180027675642,0.02809003108123,0.0989393247188788,0.0146090146562273,0.226402249738801,6.48131170539497,0.0593439348319085,0.47943972440778,0.158974995544249,0.168335170591694,5.61134370922359,0.767935410664927,0.0505535992744756,0.0385309022208124,0.149088500422889,0.0858343037811377,0.0944339206972594,0.12221407628887,0.0983712002555578,0.0908084558408281,0.821666670598453,0.603877684122297,13.501991380816,241.547764481948,0.169026342275026,3.00470096791575,1.72860903805638
"SSA_00014",4.62548791478913,0.0280900504608042,0.10682450936505,0.016553317330079,0.226071018843338,6.4813572430242,0.0593446137667858,0.47944410009519,0.146481211462071,0.170453506300154,5.35377231922561,0.767949860120552,0.0505021355516479,0.0233970447516213,0.147606848967444,0.0836760764421461,0.0944343929266945,0.122214097641063,0.0983712375803483,0.0908084411389342,0.821666388458731,0.601108763607451,13.5020727549486,241.548134007963,0.169025417848086,3.00398254307276,1.72659816998565
"SSA_00015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SSA_00019",4.22771202587095,0.0280895638079883,0.0860237814185068,0.0159220212099139,0.228847222281384,6.48132523541305,0.0593448898901901,0.479437840798777,0.183741374144094,0.141973880172702,5.73264831732417,0.767939681453815,0.0504480279046979,0.0224893721253107,0.156720946597902,0.0806219850492072,0.0944346604415448,0.122214072043213,0.0983713834113123,0.0908085460207247,0.821667487663322,0.612497732373329,13.5016228057881,241.552990507985,0.169025157303508,2.98981204561408,1.74449114432438
"SSA_00020",4.50373862434377,0.0280901845023325,0.0889394646722103,0.0170241349222626,0.224553320606641,6.4813504290361,0.0593459709401149,0.479431819849996,0.133442182684989,0.166487198534164,6.4449053844166,0.767971028185737,0.050629270235584,0.0341524156138941,0.153170769753899,0.0818717174094758,0.0944348280219816,0.12221408234903,0.0983712518457873,0.0908084577064402,0.821665141605452,0.606752274036551,13.5018706724958,241.550568753536,0.169024400898675,2.99695710994943,1.72452142730122
"SSA_00021",4.55498979831329,0.0280897437040277,0.111060053454723,0.0126635075547452,0.223007639329457,6.48139560301228,0.059345403620523,0.479438208786743,0.157704288736416,0.153458039552902,6.3767827269934,0.767952368652114,0.0504934820789129,0.0403907017814669,0.16919400617,0.0832329670321499,0.0944342388171124,0.12221410602403,0.0983712493355877,0.0908085006281696,0.821666893030067,0.601231635532265,13.5017913580079,241.552402572976,0.169024059624835,3.00026903095857,1.70305321978863
"SSA_00022",4.39737470921115,0.0280902041280277,0.0854526425818441,0.0178468906666975,0.22464392304904,6.48135864123538,0.0593448794628239,0.479438940425486,0.176303883226592,0.140069672062259,5.75039633279953,0.76794319198769,0.0505544534870463,0.0312494036150549,0.159106504527612,0.0860365709444689,0.0944343763302506,0.122214088263508,0.0983712991811048,0.0908085579891655,0.821666803108282,0.605926656139268,13.5016637149112,241.550229334761,0.169026524816956,2.99376883306605,1.70906805653488
"SSA_00025",4.53178198144585,0.0280902889510696,0.0898122888071562,0.0160883530811645,0.22371129753527,6.48136118727372,0.059345321007533,0.479434635621865,0.167021044917717,0.160508883385276,6.10390234883482,0.767954405907004,0.0506026105852693,0.0339527136439436,0.167586142735082,0.0816611547853203,0.0944345407885113,0.122214094317215,0.0983712803652767,0.0908085408121892,0.821666259139739,0.603376278370037,13.5018312813208,241.551578394973,0.169026424621773,2.99790310048537,1.7041075437473
"SSA_00032",4.54800986595074,0.0280898535374279,0.0881001047382064,0.0101252664154741,0.219538714411617,6.48145503542874,0.0593460401963389,0.479445529346559,0.120931332077094,0.126916867187522,6.10700159757979,0.767942519449513,0.0504640630486038,0.0405740205182628,0.158246309976922,0.0712822360028696,0.0944340230085725,0.122214098496211,0.0983712700414966,0.0908084899870631,0.821666858133271,0.601246900414184,13.501406968219,241.549427145112,0.169025708560388,3.00442358825307,1.69166814118764
