"","Km2_HCO3","Km2_PEP","Km6_CO2","Km6_O2","Km7_PGA","Km10_GAP","Km12_DHAP","Km12_E4P","Km14_GAP","Km18_Ru5P","Ki57","Vm6y22","Jmaxy22","KaRac","tao_ActRubisco","Perm_CO2","BBslope","MRd","Vm6y23","Jmaxy23"
"SSA_00002",0.0533022833647566,0.163281733503509,0.0253149897615575,0.243130360450149,4.54239731181417,0.0586603053654129,0.637013747844762,0.25498465663632,0.115416449101418,0.0532533956827323,0.204108665701059,0.0702163142178635,0.786943262798917,17.0810152675601,218.727098676119,0.0988830029080645,2.85389613795356,1.29381276754685,0.0760061334870148,0.572072227622536
"SSA_00016",0.0533028425353819,0.163271180497579,0.0253152416563227,0.243123722568874,4.54235329298744,0.05662300009852,0.542292699185274,0.254988939625993,0.124847442229163,0.0532553157686216,0.220764793232383,0.0703016499963849,0.786921505802863,17.0811432339264,218.726084070816,0.104349795810751,2.85387471923007,1.28816147085813,0.0707823726942301,0.656123782833429
"SSA_00022",0.0533029260200792,0.163269530362758,0.0253154407667331,0.243124940531738,4.54240981490984,0.0548992025829395,0.497469536719834,0.254989513353819,0.122858508396711,0.053254717447944,0.206879953916527,0.0702264687793732,0.786912590156245,17.0809714770567,218.727575955068,0.127347598744039,2.85387802897522,1.13795546077557,0.0622351864053484,0.595535042574459
"SSA_00029",0.0533021694283234,0.163274115952794,0.0253154044958048,0.243127476347733,4.54240527021512,0.0637131274907197,0.567013337381946,0.254989990436307,0.119095978244498,0.0532554361180269,0.217365309961426,0.0702543440594489,0.786917040727053,17.0807200121101,218.729816986465,0.126409816930888,2.85387405999317,1.20039664261052,0.0756976809748971,0.618990476047313
"SSA_00031",0.0533027931332064,0.163272434498525,0.0253151972150843,0.243121676498936,4.54239818734452,0.0591769234728625,0.560356325067403,0.254990563273233,0.109519257318333,0.0532553806374565,0.215161150144966,0.0703161720399508,0.786906566387724,17.0808102269094,218.722473207602,0.127204138339262,2.8538839690247,1.34795869827423,0.0741921580754039,0.584398902435727
"SSA_00035",0.0533027686758222,0.163273986846169,0.0253149750486146,0.243121921438145,4.54231557855131,0.0490745711709361,0.545662302816353,0.2549927990847,0.103316597588285,0.0532553663677137,0.236047628650544,0.0702710929678698,0.786909730664919,17.0809222339002,218.725666989305,0.133552481173239,2.85389238022715,1.17634150963669,0.0579919383422405,0.674981263228992
"SSA_00046",0.0533027951243923,0.163274055962385,0.0253150650342427,0.243129435530061,4.54243018763941,0.057622745129134,0.578925543622992,0.254989318864381,0.123812265492472,0.053254030996323,0.211665939714205,0.070231190858379,0.786927885029152,17.0808600993922,218.724086840574,0.14005614984078,2.85388120395987,1.19681728343115,0.0741675473186512,0.613994213981126
"SSA_00055",0.0533025629444684,0.163270287663262,0.0253160072549334,0.243125199588522,4.54234661667382,0.0620538314009568,0.518452528140657,0.254995064806385,0.123009932992216,0.0532552250976051,0.196998657680809,0.0703548654657039,0.786910886890607,17.0810406201202,218.725015711665,0.136548528492737,2.85388427312236,1.61451269086396,0.0754468241975871,0.656711539324431
"SSA_00078",0.0533028490554928,0.163270510949762,0.0253156456481025,0.243133937233737,4.54246043717081,0.0548556947760801,0.639516573329178,0.254988880557688,0.128547788921454,0.0532549625400046,0.2031464990787,0.0702557672237441,0.786910636173165,17.0813491513665,218.724527729421,0.163858374171343,2.85385730431504,1.44758130446389,0.06864314324543,0.640602016070971
"SSA_00171",0.0533025563221071,0.163270021869071,0.0253156945532727,0.243130683142786,4.54238482259429,0.061969318273414,0.600584020665784,0.254991426995936,0.117140511062869,0.0532556162870425,0.219491272099012,0.0703119056726949,0.786910173127869,17.0808361962785,218.722644853793,0.167745314645093,2.85387427856186,1.09412334819437,0.0688463783039186,0.674648955861328
