"","Km2_HCO3","Km6_CO2","Km6_O2","Km7_PGA","Km18_Ru5P","Ki57","Vm6y22","KaRac","tao_ActRubisco","BBslope"
"SSA_00001",0.0548420782532601,0.0184145303684235,0.229334214507156,2.5214200857175,0.0829307452202212,0.195679215211918,0.0592036121707219,13.5980521546207,193.519771386205,2.95095851829401
"SSA_00003",0.0447661780733736,0.0212643675644256,0.239581503550711,3.94614925135329,0.0490408728583258,0.125878103736175,0.0645403143857198,11.6911281905371,413.831564150711,2.46398568700829
"SSA_00004",0.050103084326682,0.0117925544030336,0.167216459079007,1.89500508660173,0.0322263831338472,0.167691052947742,0.0597109238024623,10.8698921248917,217.168102334126,2.79925791577088
"SSA_00005",0.0740438938398287,0.0239947184550043,0.538973476903197,2.0038831557763,0.0321140392038735,0.375440643490466,0.0645736649741226,13.030751007132,263.109567676928,2.80983183509601
"SSA_00006",0.0324270350907016,0.0144686909326478,0.123375864393749,2.48416560649547,0.0402931399174101,0.133391204362637,0.0600330889955075,20.4423191405832,326.568119840997,2.3340033615177
"SSA_00007",0.0479129042595486,0.0201461456528386,0.292775381745062,3.52423883757962,0.0761464314841338,0.114892753758491,0.0646109075393689,14.9842241002068,260.634373210035,2.9654650672824
"SSA_00008",0.04845825769681,0.033248226113154,0.381428958032413,2.31002627709342,0.0361555166829983,0.360576066727584,0.0598600863800594,10.4808343578066,356.641571106036,2.86069759639737
"SSA_00009",0.0538184428742128,0.0112945135083574,0.141055024360453,2.36228613403896,0.0307867834721523,0.15823145671641,0.063842761820376,15.8951456381285,179.757155338185,2.61724270025927
"SSA_00010",0.0388050604825822,0.0185446337777261,0.206142234617226,2.87620020379448,0.0450251388785163,0.193127919764778,0.0592818217008423,10.4879392651843,454.560880666768,2.52421128755377
"SSA_00013",0.0598962741373649,0.0225182670712427,0.183884270258075,2.79198171124857,0.0369665457943436,0.169681387712554,0.0636388721685744,30.0643535120761,185.327524478998,2.74042889320031
"SSA_00018",0.0983277739793227,0.0205227405642662,0.210064518728347,1.84697520237031,0.0429106046816825,0.163309053731933,0.0603767309926639,12.7914525526227,555.694845818987,3.15620617715659
"SSA_00024",0.0785203207383319,0.0540272289599633,0.374306594588937,2.797229141411,0.0308837366217268,0.184242324851261,0.0640438495716192,10.5783069767395,309.895985838313,2.80062508987808
"SSA_00033",0.0657015241917787,0.0127674586802287,0.21534476450657,2.6907279409585,0.0366742166877846,0.18560386394372,0.0598529546476013,18.4173950359188,167.194245484345,2.79046765178444
"SSA_00041",0.0467805252033735,0.0460931313609075,0.219738703153247,2.67542517254668,0.0425666777705511,0.231764446340183,0.0646204806389096,15.724235588449,223.597530310815,2.88413377243717
"SSA_00050",0.0378680325834412,0.0435367589222193,0.57279399677271,2.29177773505889,0.0343482176801527,0.187929217028534,0.060155214770234,11.235715302956,213.739438763292,2.70736471846211
"SSA_00062",0.0321858588306044,0.0184237448087563,0.354484036679923,1.96221179247848,0.0532631874233692,0.273953132191615,0.0637661476566771,17.5906784267951,247.603329819678,2.50590109173618
"SSA_00067",0.0389709709695488,0.0203763967569544,0.287544609053301,3.25265395115136,0.0524249169524719,0.155609323833512,0.0604078740821022,13.8780015825405,264.581221125184,3.33120379697054
