"","Km2_HCO3","Km2_PEP","Km6_CO2","Km6_O2","Km7_PGA","Km10_GAP","Km12_DHAP","Km12_E4P","Km14_GAP","Km18_Ru5P","Ki57","Vm6y22","Jmaxy22","KaRac","tao_ActRubisco","Perm_CO2","BBslope","MRd"
"SSA_00002",0.0533022833647566,0.163281733503509,0.0253149897615575,0.243130360450149,4.54239731181417,0.0586603053654129,0.637013747844762,0.25498465663632,0.115416449101418,0.0532533956827323,0.204108665701059,0.0729681582932888,0.95370706063503,17.0810152675601,218.727098676119,0.0988830029080645,2.85389613795356,1.29381276754685
"SSA_00016",0.0533028425353819,0.163271180497579,0.0253152416563227,0.243123722568874,4.54235329298744,0.05662300009852,0.542292699185274,0.254988939625993,0.124847442229163,0.0532553157686216,0.220764793232383,0.0735315252766571,0.953706879140173,17.0811432339264,218.726084070816,0.104349795810751,2.85387471923007,1.28816147085813
"SSA_00031",0.0533027931332064,0.163272434498525,0.0253151972150843,0.243121676498936,4.54239818734452,0.0591769234728625,0.560356325067403,0.254990563273233,0.109519257318333,0.0532553806374565,0.215161150144966,0.0740216719578524,0.953699812471674,17.0808102269094,218.722473207602,0.127204138339262,2.8538839690247,1.34795869827423
"SSA_00038",0.0533035562264817,0.163267795183448,0.0253153133422784,0.243127624381459,4.54232516020811,0.0547261533006463,0.528298894154877,0.25498741075622,0.119138148986538,0.0532545678487426,0.205420751242981,0.0722247509960166,0.953703025858747,17.0807758374247,218.727153918561,0.0783018504324932,2.85388484276638,1.13531420050311
"SSA_00055",0.0533025629444684,0.163270287663262,0.0253160072549334,0.243125199588522,4.54234661667382,0.0620538314009568,0.518452528140657,0.254995064806385,0.123009932992216,0.0532552250976051,0.196998657680809,0.0747925473649432,0.953704525727411,17.0810406201202,218.725015711665,0.136548528492737,2.85388427312236,1.61451269086396
"SSA_00078",0.0533028490554928,0.163270510949762,0.0253156456481025,0.243133937233737,4.54246043717081,0.0548556947760801,0.639516573329178,0.254988880557688,0.128547788921454,0.0532549625400046,0.2031464990787,0.0726524645239782,0.953703820858273,17.0813491513665,218.724527729421,0.163858374171343,2.85385730431504,1.44758130446389
"SSA_00083",0.0533036016599964,0.163270002314873,0.0253153169235981,0.243127197960894,4.54250088915801,0.0627098920108503,0.670574447785552,0.254987015241828,0.121458279000469,0.0532559994900309,0.215634312936228,0.0714029987052839,0.953704150249704,17.0807577387456,218.7234899087,0.110794331053108,2.85389130498212,1.09593960484391
"SSA_00111",0.0533022755036706,0.163273746155775,0.0253157945027578,0.243128034938232,4.54235691576475,0.0631887323513973,0.573832282033331,0.254985542320324,0.114584194110761,0.0532555118040348,0.21266427974214,0.0737488798730054,0.953705026790867,17.0812351827642,218.728720753393,0.127502827457861,2.85387973677393,1.2501063968548
"SSA_00114",0.0533026805046848,0.163270774832296,0.0253156602218795,0.243128569817278,4.54236896653703,0.0727777837733878,0.54801105153173,0.254996824593066,0.116450719191308,0.0532564935122634,0.205019030252526,0.0720884541567926,0.953699787294995,17.0808991574295,218.724349185985,0.110255442215727,2.85387967276877,1.42932712255813
"SSA_00246",0.0533030613362063,0.163275048029173,0.0253153396429946,0.24313124317975,4.5423706653432,0.0584460616257875,0.607822782971691,0.254993230348778,0.112724409997916,0.0532541014455516,0.219762940002013,0.0714140920200779,0.953701200907875,17.0808916766549,218.726499861794,0.0724795867530382,2.85389089842923,1.15045981841548
"SSA_00263",0.0533025357395313,0.163275553871347,0.0253152636147275,0.243128171873857,4.54241903365871,0.0585095998682619,0.535626296270053,0.254990855126788,0.117465447442296,0.0532547625321397,0.212029895985919,0.0737479009486733,0.953704450968286,17.081006487123,218.727729941878,0.114688663893873,2.85388699607929,1.22727119436866
"SSA_00281",0.0533024046389116,0.163276914175729,0.0253152252828608,0.243124983884445,4.54241541065345,0.0530328158475317,0.524659220979099,0.25498864584523,0.117138006802652,0.0532549634484067,0.210084399925918,0.0744403175722377,0.953704171639452,17.081207261261,218.725864592721,0.119363523663266,2.85387458926961,1.01675481875666
"SSA_00285",0.0533025211507083,0.163272068638426,0.0253152038928023,0.243126504015702,4.54240251559333,0.057163876474728,0.545091284602464,0.254992823988312,0.116708471533558,0.0532548207610924,0.218398579985214,0.0736491061726049,0.953703267467574,17.0810328875035,218.725800022358,0.158464028520844,2.85388390226743,1.20873546815249
"SSA_00301",0.0533025104221851,0.163274860432747,0.0253157832958641,0.243130914318858,4.54240333780618,0.0625555045662492,0.590530375756641,0.254990274783504,0.116315983085559,0.0532543857840983,0.224700583366514,0.0724709128376799,0.95370360305992,17.0807934142826,218.727220951631,0.167700451173944,2.85388544854158,1.21391700305718
"SSA_00308",0.0533021189436939,0.163264833567374,0.0253158026735014,0.243125896068931,4.54242615978154,0.0823432674772181,0.52085221420247,0.255000235606224,0.126805082468084,0.0532529625992926,0.203623411481435,0.0700144685847016,0.953705827958784,17.0809294056723,218.721708328275,0.193907976764227,2.85387975572116,1.98038209378238
"SSA_00315",0.0533025428730632,0.163274951639609,0.0253153545894799,0.243126608469126,4.54239551674025,0.0620712561233118,0.549317668810994,0.254990089303748,0.114809675086492,0.0532545701320654,0.21286346746269,0.0723984881988657,0.953703662808354,17.0808791894003,218.72583248082,0.152067219641932,2.8538916265287,1.20135828564738
"SSA_00343",0.0533025244580368,0.163274660875586,0.0253153344101721,0.243128027365724,4.54236100630149,0.0550421037055934,0.505806937609228,0.254987115225655,0.121091332295784,0.0532540101600339,0.202480103608046,0.0726765016959555,0.953701814322093,17.0808914850174,218.728967711802,0.0913758488147587,2.85387229667424,1.2576209520521
