"","Km2_HCO3","Km6_CO2","Km6_O2","Km7_PGA","Km18_Ru5P","Ki57","Vm6y22","KaRac","tao_ActRubisco","BBslope","Vm6y23"
"SSA_00001",0.0562714293536152,0.0195923205434225,0.238318735140252,2.48576159074616,0.0865926256469266,0.21472548443414,0.0716031923973025,11.4001013066601,189.506325411141,2.9424107702777,0.0686810414837997
"SSA_00003",0.0481599972669174,0.0215833479562671,0.239183070107584,3.87054741993813,0.0503605409037506,0.117766171506518,0.0487927917141319,11.6358638577587,425.467260543537,2.42407703304013,0.056918593279737
"SSA_00004",0.0506868047347368,0.0122349351294573,0.155795874129012,1.92271568292485,0.0309936244933273,0.163920501584198,0.0538086171679783,10.0195133926201,199.768369437296,2.80897490458316,0.0960502793319344
"SSA_00005",0.0724523239409789,0.0233621625580678,0.524533593229821,1.9255054062175,0.0284698965481195,0.396353936261131,0.0650030604397048,12.2540991802485,242.675870127004,2.78848875561875,0.0598373300980805
"SSA_00006",0.0372809984224157,0.0163396879348831,0.12339629860278,2.55641754387835,0.0414417778999464,0.113531685521158,0.0580870248890928,22.6381871966594,319.945772360884,2.22013166857767,0.0613265018829753
"SSA_00007",0.0506492209999434,0.0195455552734093,0.299774494584014,3.66706032069051,0.072430100922598,0.112094236440861,0.0541882372013613,14.8492711725726,285.88698399394,2.92647870629751,0.0408122202894836
"SSA_00008",0.0483466865483917,0.0323703457521134,0.405085068414663,2.3497109436277,0.0336973008574211,0.377463229976788,0.0713703830842691,9.82336676665416,355.245996239639,2.8415965255404,0.0569788402947128
"SSA_00009",0.0555493099557494,0.0119858240305442,0.152381366170603,2.33192788144496,0.0300419072536241,0.163368407248279,0.0500769138326808,15.6837529269619,173.941671291598,2.62248161370062,0.0523439633876333
"SSA_00010",0.0413134546606358,0.0180114140352087,0.203010722235499,2.71933301197845,0.0399265083799866,0.190396364492925,0.0593528582126293,8.39280328169881,469.793149930411,2.42954858525923,0.0543296935033877
"SSA_00013",0.0601078182799893,0.0223983754719681,0.190075005144734,2.69115372354537,0.0380277757849633,0.175973166474555,0.160610257784821,36.6992532204588,185.015207739322,2.69611330359467,0.162227254442842
"SSA_00018",0.0921257525637068,0.0183983138274424,0.207364920453468,1.71843983250708,0.043468101611563,0.146426490756632,0.079019598376785,11.7831762735042,577.879289362813,3.11359911232829,0.0546890862087644
"SSA_00024",0.073483294462761,0.053562438721212,0.36298191720252,2.68057179183773,0.029827277208467,0.180657511188342,0.0753550532606977,9.25828610411547,289.998443117648,2.70010674320193,0.0581443522677176
"SSA_00033",0.064831739617609,0.0142412273448852,0.218587980757039,2.62245179835614,0.0372036013111797,0.174597341586779,0.0449671416917444,19.9345056293792,159.123267635246,2.76511899066155,0.0523802506479738
"SSA_00041",0.0500043457271726,0.0463544821848746,0.231117970894725,2.59396707015625,0.0437931584628288,0.243418548433851,0.0696605049422727,14.1536285282199,223.216540517209,2.94667887984779,0.0710390764161317
"SSA_00050",0.0418397548041155,0.0399015141903316,0.569344504966626,2.32154377049605,0.0318390313813842,0.190014456517222,0.0559134432414567,10.3405720269376,218.9090943072,2.64946377998846,0.0504167698764859
"SSA_00062",0.0369522394964508,0.017215298418112,0.347343382365266,1.7804402792436,0.0504013719415031,0.28004089646366,0.0544489941483694,17.409826012906,246.129051434109,2.50736208417758,0.117403864000607
"SSA_00067",0.0412573719201509,0.0202244075963077,0.287546747564269,3.39273236746363,0.0506495370500875,0.149012097065632,0.052988062892199,14.0846502788593,266.444940904416,3.40667215299812,0.0493602179296328
"SSA_00068",0.0574470607699907,0.0156747225924489,0.184362948415585,1.72007561830741,0.0605584159398015,0.109000705358577,0.058452164246028,33.150469736244,255.885745347285,3.77161995530247,0.0642109856042626
"SSA_00070",0.0628072856922599,0.0193480374285201,0.290310675143162,2.34562917463062,0.0348544613654359,0.476969899375677,0.0518305441444978,7.92506872552642,222.0004945335,2.89992410274936,0.0537281005325538
"SSA_00075",0.0407792569004116,0.0315959279864016,0.363038117498034,2.60763103954925,0.049390737595519,0.18544532829154,0.0598607199106015,18.2995400272515,198.339092474082,2.61702238837418,0.0445264659379461
"SSA_00079",0.057426400945351,0.0219991753108904,0.342065336873146,2.49555637298636,0.0345902354568468,0.174664780275589,0.0878427462826909,25.5433181778383,272.772511067331,2.96183768118412,0.0709832125859653
"SSA_00080",0.0405564064263277,0.0168769896210759,0.348724492032184,3.93579460669721,0.0367390357575695,0.120353412321801,0.0518476890052557,15.341490879822,164.8896628002,3.10295203748234,0.0394298352790906
"SSA_00091",0.0611239940899913,0.0149964798174148,0.266493446643621,2.41206017186533,0.0782337287424954,0.177693995619279,0.0915414909540884,11.1297373721088,206.631567959885,2.85964736798352,0.0534827526393891
"SSA_00096",0.0614088952206711,0.0193604102819655,0.208382986677939,1.89895913011936,0.0714793704264158,0.183855501942673,0.183033439378786,9.1840631124333,183.169443097153,2.97854933178803,0.075525652341666
"SSA_00097",0.0588430644427013,0.0155263257356684,0.305516973764284,2.61392294788572,0.0578999238443901,0.211538111462884,0.0547760367592095,8.50930399757278,421.098258551619,2.72393175261636,0.0497791593250948
"SSA_00105",0.0638618353332863,0.0168351806100043,0.254302461277969,2.07161186079405,0.0947155818782778,0.324727191352766,0.0870415267814104,11.0536262749489,250.704217145101,2.62706817995642,0.0999961281475599
"SSA_00108",0.0582849496827681,0.0218017726096517,0.245882695364652,2.30704019738404,0.0298636564249432,0.166848518209786,0.0595561228107987,19.3585238646905,407.108980041095,3.19391570539238,0.059033923363204
"SSA_00110",0.0698668841039173,0.0191809978370359,0.252643363551916,3.41664460659252,0.0243487654528992,0.112092448368352,0.066373561277029,23.8457717306197,418.082409693,3.52282138515376,0.0625594029029741
"SSA_00113",0.0611684600633655,0.0234378787468781,0.352926314043335,2.85718337537141,0.0446129845366273,0.204618549115917,0.0395679039465401,9.06380789799528,350.966585054917,2.90267225848079,0.0438762441313667
"SSA_00119",0.0531441461848103,0.0227499252877922,0.267723253977606,2.9075093186654,0.0515075728672288,0.220998184177635,0.0680971736955621,14.7969370128823,285.849645940127,2.48372107444477,0.0660754296779497
