"","Km1_CO2","Km2_HCO3","Km2_PEP","Km6_CO2","Km6_O2","Km7_PGA","Km10_GAP","Km12_DHAP","Km12_E4P","Km14_GAP","Ki18_Pi","Km18_ATP","Km18_Ru5P","Km33_NADP","Ki57","Vm2y22","Vm3y22","Vm4y22","Vm5y22","Vm6y22","Vm7_8y22","Jmaxy22","KaRac","tao_ActRubisco","Perm_CO2","BBslope","MRd"
"SSA_00001",5.16322438639005,0.0280907440104124,0.0752628143526898,0.00877066291426682,0.217814793232403,6.48128960028998,0.0593477603763813,0.479452471595859,0.140515846379727,0.128087971539963,4.8861866795326,0.767923131093302,0.0506585115214524,0.0373013926075546,0.139177776501675,0.0800898617725673,0.0944336711524331,0.122214123275872,0.0983714111287974,0.0908086188330254,0.821662849345811,0.596007874452337,13.5010480569679,241.545709768057,0.169031553615425,3.02009223198257,1.65559850742737
"SSA_00003",4.23595824639932,0.0280891147660739,0.0912122357168166,0.0133237444000034,0.227069481679808,6.48126114667688,0.0593437139480761,0.479422218966392,0.428169539156676,0.118274407448796,7.36313437070299,0.767940772965758,0.0501026295394761,0.0387639466366885,0.115485008023361,0.197397295496595,0.0944338662857868,0.122214065414949,0.0983709575594072,0.0908084429478957,0.821662263633719,0.613552912372848,13.5020430043372,241.561934383372,0.169025353588013,2.95358416998713,1.8272909339368
"SSA_00004",4.70677923360831,0.0280906160480934,0.0463898245146088,0.00972617696882875,0.228750158874366,6.48116335328191,0.0593440177607563,0.479435362580972,0.314745233472127,0.119072219779099,7.81514995635347,0.767949202053367,0.0506316637217247,0.0157973860259217,0.166665002246928,0.0937192078315499,0.094433659772255,0.12221412863992,0.0983711630098768,0.0908086308416297,0.82166987573255,0.605083521140352,13.5018269922522,241.547143781929,0.169025270005557,2.98736980581941,1.75792723415251
"SSA_00005",3.89275665849419,0.0280893943589571,0.0614052109111747,0.00996563602504877,0.223163955692986,6.48150366624394,0.0593451764900793,0.479435736953514,0.196378712529644,0.0820712855674629,4.99184109050353,0.767877960605529,0.0507006120568066,0.044622835556286,0.201533349420176,0.0643834557128175,0.0944337738311764,0.122214060864672,0.0983713462036698,0.0908085671297058,0.821672637041733,0.614263726977469,13.5012384918291,241.544721393799,0.169023685894192,2.97615939598843,1.65163170545875
"SSA_00006",3.86279881923216,0.0280906649073318,0.0533359694075217,0.0256340709157391,0.220219228422421,6.48129405751685,0.059344123332682,0.479416032989846,0.132312513138665,0.187731259805278,6.65018010063994,0.768011787791047,0.0505163470094364,0.0199793152345515,0.226675449471807,0.0540471894287071,0.0944338182091179,0.122214064211539,0.0983713037950038,0.090808184548742,0.821672927680981,0.615948747122427,13.5017051594778,241.548408384282,0.169032023950629,2.98035741752312,1.61871232942587
"SSA_00007",4.31264303245758,0.0280892713037508,0.259428646248955,0.0206900038894953,0.233693430130575,6.48130512295642,0.0593436383425531,0.479461351651137,0.191286518128792,0.359594701463767,9.19955030496637,0.767944388033728,0.050510744745362,0.055984382434803,0.186984110212418,0.0907302535555937,0.094433240813186,0.122214117609198,0.098371400258044,0.0908081062673142,0.821665301368706,0.593060535009744,13.5036288522577,241.54426318924,0.169017315810478,2.97659122445872,1.77646908966174
"SSA_00008",4.42019761873284,0.0280908028147099,0.101068113010476,0.0125195572419043,0.224923962682506,6.48152575457568,0.0593459586349404,0.479436558810988,0.0834229558210221,0.155932849687291,4.72248042855958,0.767950343700027,0.0502200497398267,0.01843817126281,0.143869684116,0.0741364765027656,0.0944348597014616,0.122214100329179,0.0983712807243827,0.0908086748128852,0.821663562554241,0.600601100238925,13.5015788552518,241.549443531819,0.169028736021705,3.01368709416256,1.74059088240895
"SSA_00009",5.20545309087573,0.0280890772540467,0.0845003400034812,0.0191877296153814,0.225577373236697,6.48141405097591,0.0593432685213412,0.479463362361887,0.065152088461225,0.0977949155607011,6.20276974899775,0.767968965138171,0.0503891128386488,0.0493032970507318,0.14863772396487,0.0800944876371336,0.0944341272907783,0.122214067665466,0.0983710711600405,0.0908083864236496,0.82166437560657,0.59522031919707,13.5025275656248,241.548332696666,0.169023325712523,2.99136838151945,1.73106430237776
"SSA_00010",4.45878249442961,0.0280900854202416,0.170530029785339,0.00993244095933038,0.22187383601814,6.48128236303574,0.0593459099398846,0.479444081991535,0.318550432883138,0.0817851592404154,4.27344880916043,0.767925091097355,0.0505812758445498,0.0408952741891054,0.155277707539557,0.109847508348985,0.0944334647395519,0.122214114475811,0.0983710881726469,0.0908082979558918,0.8216654654664,0.601208790525192,13.5011118112474,241.549389056712,0.169023873784556,2.98760339705042,1.70858366438732
"SSA_00013",4.65352665404081,0.0280895043931177,0.140790522116888,0.0120020857453751,0.222735990864787,6.48149296030888,0.0593485475838168,0.479443669350412,0.218396800351823,0.152192255929687,5.69679358830564,0.76794874068075,0.0503243541587397,0.0258682341317249,0.163594754256565,0.0905761556269159,0.0944347199002513,0.122214085947492,0.0983713077239301,0.0908085179632164,0.82166603812831,0.608757512154211,13.5017009949617,241.548849105941,0.16902705169565,2.98856469055149,1.71271673955061
