"","Km2_HCO3","Km2_PEP","Km6_CO2","Km6_O2","Km7_PGA","Km10_GAP","Km12_DHAP","Km12_E4P","Km14_GAP","Km18_Ru5P","Ki57","Vm6y22","Jmaxy22","KaRac","tao_ActRubisco","Perm_CO2","BBslope","MRd","Vm6y23","Jmaxy23"
"SSA_00001",0.0533024108760244,0.163270668525717,0.0253148217850414,0.24312295200288,4.54230893454387,0.0815155486420647,0.671972304918045,0.254987190158939,0.110904893171532,0.0532535419547422,0.287299743043628,0.0702345832380147,0.786919100250016,17.0805252703626,218.741694506418,0.0498300529972543,2.85388176749624,1.46274424225476,0.0588165185727998,0.596494062859882
"SSA_00003",0.0533036104643727,0.163262660132992,0.0253147521672062,0.243117526027672,4.54239011835079,0.0563626478701374,0.450620758127631,0.254983081644543,0.194348814177439,0.0532516766942824,0.163578629068045,0.0700362932734767,0.786935078923719,17.0806719632249,218.72385266671,0.204015386091205,2.85384219593331,2.35797863134702,0.055997385550902,0.740305470253135
"SSA_00004",0.0533046226907209,0.163266276647726,0.0253148192911068,0.243119430279742,4.54231955370565,0.0451133496225684,0.507868111530686,0.254990172806631,0.116490803549255,0.0532550880852172,0.208366859988797,0.0702783346986107,0.787035821685193,17.0803086925593,218.717197095807,0.266532743945353,2.85388958503972,0.802901826840027,0.169114784069324,0.995115362537459
"SSA_00005",0.0533039427530273,0.163265792288584,0.0253161600978832,0.243115202164217,4.5421419809222,0.0487128630413542,0.408469192568946,0.254991312582631,0.111528251436673,0.0532559880715037,0.201531484500531,0.0703213175851224,0.786878370124035,17.0807626550149,218.71488840169,0.042523352218537,2.85384396810048,0.902461447792224,0.0677222733839944,0.505504707967195
"SSA_00006",0.0533026254694361,0.163276808404046,0.0253154721652006,0.243130014751282,4.54302930684263,0.0605057337706684,0.569062363924132,0.254973253813899,0.103253619001599,0.0532567501506591,0.161855045956467,0.0704858363313039,0.786900811460786,17.0811574179094,218.717461141095,0.146515030037983,2.85391115896513,0.851316481534999,0.0518901980770299,0.596049531137915
"SSA_00007",0.0533016723504373,0.163265061397806,0.0253156369464179,0.243123659172689,4.54207556620027,0.0504895836464659,0.520677656430712,0.255029973363443,0.101044767099811,0.0532546931704674,0.320494204337797,0.0699474362126645,0.78687899446018,17.0801390888836,218.712056881879,0.332280385332194,2.85385816846698,1.40785682063737,0.0496050093243868,0.673828870816675
"SSA_00008",0.0533034460478355,0.163273256459718,0.0253148434327726,0.243137231851329,4.54237114121344,0.0532249637414066,0.505572179779961,0.254993774831497,0.11273159412481,0.0532534340607233,0.198793682481511,0.0702897554402602,0.78693661156672,17.0809421392587,218.734427945798,0.131260680013395,2.8538980511133,0.54860479206828,0.0624756049719224,0.563327052406432
"SSA_00009",0.053303245923487,0.163271936729159,0.0253166519271335,0.243128975283839,4.54229651598021,0.0563183311665056,0.542161320350169,0.254986018518686,0.120336255284416,0.0532607823310194,0.198692177340419,0.070623641859879,0.786909414797918,17.0815892259641,218.736994801689,0.045403288082768,2.85386731791338,1.33794495996933,0.110716335921431,0.700201088294307
"SSA_00010",0.0533020209218638,0.163261518855679,0.0253156671446545,0.243118778482548,4.54221007953199,0.0744326744639744,0.457107153934078,0.255019090557161,0.130029083031593,0.0532543399675484,0.2070342393547,0.070156832537823,0.786918371029019,17.0812200718266,218.721973841614,0.234611631713267,2.85386069682488,1.5601535848791,0.106598006625635,0.545251862511457
"SSA_00013",0.0533029473289997,0.163270339341718,0.0253147721475,0.243136934938705,4.54244288814825,0.0525689829989684,0.581312722622274,0.254994438912836,0.128882133076549,0.053252927574396,0.208071481650121,0.0702490646674823,0.786916599798118,17.0812201295661,218.728310400036,0.100481034969111,2.85388066826085,0.837780392532187,0.0693635306103404,0.577012094635703
