"","Km2_HCO3","Km6_CO2","Km6_O2","Km7_PGA","Km18_Ru5P","Ki57","Vm6y22","KaRac","tao_ActRubisco","BBslope"
"SSA_00002",0.0600776910312119,0.0235044326580833,0.313649641820381,2.36578075182373,0.0499508560124235,0.26095002856368,0.061254193005534,12.7074122488969,320.471608951862,3.08212066715184
"SSA_00011",0.0454371772515473,0.02113490428604,0.290897041444941,2.42977194201404,0.0554178430570362,0.214909496788897,0.0623090032613957,21.5127955625266,259.327419125191,2.76279744917302
"SSA_00012",0.0595893721985516,0.0201915175557507,0.239332370224655,3.23484226162196,0.0527627967090266,0.219115221070164,0.061918898897414,12.557954105303,296.369689545085,2.93062452638038
"SSA_00014",0.0487325831723103,0.0243002176496173,0.380642731832561,2.72576627281845,0.0353192121119367,0.187324101043225,0.0618653531772504,16.3652386904148,247.606504141902,2.96584500264162
"SSA_00015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SSA_00016",0.0491253579285325,0.0194946371359399,0.362035109020901,2.53508372422456,0.0452613571644606,0.183563816599702,0.0614981494280133,15.5116262196664,290.583912345438,2.87087419366079
"SSA_00017",0.0527323252161363,0.0202334247003153,0.277198586388319,2.65271892315391,0.0411636043360226,0.22464236154201,0.0633499312000011,13.3617605818612,270.059390966955,2.89485892286694
"SSA_00019",0.0667105658661162,0.0182950702302006,0.275381924233977,1.83008518860544,0.0556495506539953,0.184372297848011,0.0617247844744204,16.3950457712843,292.018724424568,2.81684569241257
"SSA_00020",0.0489643744227467,0.016865491435156,0.235190960977429,2.19294097940204,0.0458741082122913,0.215957488181957,0.0613472931441548,14.3882394689349,310.499049864199,2.70567159493371
"SSA_00021",0.0537611906299627,0.0231571148082352,0.382792540972246,2.09716488402603,0.0491452724219528,0.227762594487979,0.0623905472540338,13.9786155490295,264.152074387829,2.93815467565281
"SSA_00022",0.0538299278071642,0.0220557843612141,0.317123373922663,2.59012788083093,0.0470969379789679,0.215148981645995,0.0615531485521501,15.1400470489728,280.075515123891,2.91292996316793
"SSA_00023",0.0524276420102305,0.021306002403615,0.249404469235316,2.95711401082231,0.049572001687689,0.176940926627488,0.0627065605896468,13.6861769719062,256.573072657059,2.888223521156
