"","Km2_HCO3","Km6_CO2","Km6_O2","Km7_PGA","Km18_Ru5P","Ki57","Vm6y22","KaRac","tao_ActRubisco","BBslope"
"SSA_00002",0.0559475057495314,0.0209123435213057,0.287210094686439,2.70143183035326,0.0481250615648642,0.259354780699191,0.0619752244756065,14.4626955453763,351.198818960493,2.83872898605216
"SSA_00016",0.055946849032756,0.0209123758336837,0.287211677172023,2.70145924672199,0.0481250105849674,0.185221446486808,0.0619752671909952,14.46287261227,287.186563630946,2.83870185582628
"SSA_00031",0.0559478468679232,0.0209119926628492,0.287202525330631,2.70143097418319,0.048125526899229,0.25759632144791,0.0619754076748908,14.4628060503118,284.182016750979,2.83869905557951
"SSA_00038",0.0559472521132746,0.0209122802321011,0.28720859381462,2.70147288345309,0.0481245382468872,0.226887869504294,0.0619752568416368,14.4625584341487,217.310376891942,2.83870103311263
"SSA_00055",0.0559471390109807,0.0209123056718077,0.287208115836693,2.70140912726658,0.0481254998918172,0.219569428336672,0.0619752904696902,14.4630154904627,248.00019703262,2.83869883148043
"SSA_00078",0.0559473178093556,0.0209121643007916,0.287206065955527,2.70147400237874,0.0481247790905305,0.232058066234286,0.0619751871926866,14.4628500318261,331.591501393802,2.8386906164837
"SSA_00083",0.0559471896413053,0.0209125500447583,0.287208602591843,2.70144165959023,0.048124975038765,0.214111482862767,0.0619752828609979,14.4632451052748,221.7993387901,2.83871358076846
"SSA_00111",0.0559477023334227,0.0209120223834461,0.287205686403987,2.70140750988014,0.0481251372714308,0.211847708044837,0.0619750832723777,14.4629967995283,332.314849892999,2.83871380086264
"SSA_00114",0.0559474765852518,0.0209120710390313,0.287207246521601,2.70143814454327,0.0481248542138973,0.220544626019892,0.0619753497898227,14.4631429409104,271.16149761973,2.83870292628379
"SSA_00246",0.0559473601664925,0.0209121943886837,0.287209960072622,2.70149026825847,0.0481249554767891,0.231112767081113,0.0619752758248752,14.4628990790111,301.093728156555,2.83870939773417
"SSA_00263",0.0559468004915534,0.0209121984101207,0.287208113666768,2.701467160011,0.0481250565168198,0.224220539715846,0.061975241270854,14.4629661367506,242.407146552473,2.83870376360191
"SSA_00281",0.055947499544703,0.0209119472698536,0.287208412023253,2.70143680220133,0.0481246020215889,0.241198718338035,0.0619753243180377,14.4630266946847,234.596831144329,2.83870362315235
"SSA_00285",0.0559467448371497,0.0209123734537689,0.287207718449948,2.70144649506544,0.0481254642562189,0.223784918972624,0.0619753059857536,14.4628322232067,184.976219699521,2.83870354950484
"SSA_00301",0.055947177004891,0.020912092437448,0.287208710910121,2.70148525569637,0.0481251820876582,0.219556186466413,0.0619752591748055,14.4629312806939,258.059499057987,2.83870559552411
"SSA_00308",0.0559471961360763,0.0209122390807825,0.287212674816523,2.70143964941134,0.0481247519631832,0.225190510990687,0.0619754349506205,14.4629072791988,187.984001550377,2.83869482109032
"SSA_00315",0.0559468534437897,0.0209122354091198,0.287205828899778,2.7014941567321,0.0481247971327847,0.173112016608079,0.0619751868879995,14.4630122963803,334.70042690624,2.83869737003587
"SSA_00343",0.0559474132699615,0.0209114976596837,0.287215297300626,2.70150200719501,0.0481245889084312,0.25685872584778,0.0619751420246475,14.4624926884877,319.458942047633,2.83869142337943
