"","Km2_HCO3","Km2_PEP","Km6_CO2","Km6_O2","Km7_PGA","Km10_GAP","Km12_DHAP","Km12_E4P","Km14_GAP","Km18_Ru5P","Ki57","Vm6y22","Jmaxy22","KaRac","tao_ActRubisco","Perm_CO2","BBslope","MRd"
"SSA_00001",0.0506305186510926,0.146003404440415,0.019645864945495,0.17714388082705,4.00319354520629,0.0976244637316134,0.839825166537597,0.215184728982476,0.0831842654251888,0.0409793431856511,0.484785576433988,0.0682376212946562,0.955755473089669,13.62715822719,368.967945993198,0.0876092956795404,2.7745604855857,1.41554851376421
"SSA_00003",0.057754376977491,0.117510320754515,0.0204931121980431,0.159714919463536,5.1865702209345,0.0570673228723721,0.380604352575235,0.146996329473323,0.507066473573102,0.0269975374516615,0.0721566148376378,0.0648868274962794,1.05086979392935,15.4763524368837,204.19636249663,0.179167764612536,2.46540219673245,2.14023340476541
"SSA_00004",0.0685093430100515,0.112848454348834,0.0190691561097792,0.154286725587356,4.21890393613937,0.0347551803049772,0.453782456594381,0.252796593011511,0.0741520511846293,0.0514164761910128,0.183162467668346,0.0997024402399682,1.44668767311025,11.6776977217979,120.004443338923,0.212674947235705,2.93548106066715,0.895559337937186
"SSA_00005",0.0657891924489205,0.110551191625601,0.0297230915425423,0.16473777370603,3.41675002531264,0.0459431484938804,0.311372901321323,0.263622592297139,0.0964310763006176,0.0634806205933646,0.209856093816618,0.0731509229358429,0.870351498121568,16.7575684462779,157.137214249676,0.0847554380256669,2.58272695359258,0.979654438628898
"SSA_00006",0.0488043899801742,0.211774805772843,0.0231080210228457,0.286399952919295,9.18797604468996,0.0591777721039295,0.507857359963425,0.102404495570142,0.0593138871311004,0.0636992962585497,0.0495419004434962,0.0693521387424236,0.919613966035708,17.9974876616466,165.475507126599,0.134157969501829,3.13784105451248,0.96770415030014
"SSA_00007",0.0393548384674974,0.118549604164067,0.0214926670068699,0.219150917058541,2.57668414346094,0.0417246846011279,0.461821962260018,0.663298643221917,0.0467320268385912,0.0469648929964258,0.573814921473186,0.0627191673709244,0.940353874368358,12.3025725319223,128.423998518418,0.261921725298745,2.50913646546974,1.38968158224425
"SSA_00008",0.0601258310101686,0.166122949039318,0.0209480163672,0.385307433946324,4.38959682886561,0.0497487022403722,0.399042509247585,0.30832228905289,0.0792828105523447,0.0428002000387673,0.144943976735553,0.0712862086618891,0.936824455968098,16.9234265121647,319.224847331726,0.135680291547587,3.03029925412961,0.750495927715972
"SSA_00009",0.0616691459908014,0.162059205278348,0.0369953807100698,0.262279882312278,3.82501034999142,0.0534565191141191,0.485408307261337,0.225601874740687,0.122543838725109,0.120316509946827,0.158096229851424,0.0928920270362743,0.968266069994535,20.1847533861026,331.581558033637,0.0817299881806343,2.68287705568981,1.37150909670406
"SSA_00010",0.0421656775999611,0.0914662506257378,0.0275475117241335,0.167059842096476,3.51140680883809,0.0830642472082336,0.34489095000473,0.605752424169484,0.173343212225324,0.0435990834849699,0.188321027903029,0.0793603900124496,0.946747163298343,21.5396334264217,175.098427744091,0.190142660280581,2.61115669785165,1.48265071482953
"SSA_00013",0.0525157492825439,0.129223282183953,0.0178708658144546,0.387235542990231,5.13632105908394,0.0464663316406712,0.583292203209804,0.345951582287301,0.180816211380857,0.029131307057061,0.199547685107461,0.0719390842181267,0.902568620423173,18.7917905347468,238.687942527864,0.108273919867483,2.80616699560563,1.02743967400608
"SSA_00018",0.0369181471640822,0.114042383458699,0.0266282143445548,0.175321652279814,3.17883510822402,0.0429935445251393,0.398685068554692,0.316192059761848,0.0703112221909947,0.0451409649457225,0.175594716007092,0.0645083919302106,0.95203523290025,17.9092557486354,173.401804266957,0.112116440900266,2.61348219413019,1.02327365354968
"SSA_00024",0.0717806806771942,0.0721431512645028,0.0199238612951984,0.196103910767793,4.83123914971808,0.0558158903149504,0.650808687520462,0.361094197993761,0.0958313269214602,0.0391733393495397,0.16239139718307,0.0650637799714165,0.894189983832315,14.5369036316953,296.384364270332,0.0917899673172168,2.37420756723699,1.39401116418679
"SSA_00033",0.0432342369155057,0.232354297380316,0.0213802184895316,0.211694395455746,4.25438243756605,0.0482398719346159,0.368378937570197,0.16366969879909,0.0883442759575771,0.0522003723314821,0.183949556638958,0.0688411868828012,0.990699031658057,17.8934381951557,357.340492722222,0.0946428059860589,2.74107118816617,0.916734832494629
