"","Km1_CO2","Km2_HCO3","Km2_PEP","Km6_CO2","Km6_O2","Km6_RuBP","Km7_PGA","Km10_DHAP","Km10_GAP","Km12_DHAP","Km12_E4P","Km14_GAP","Km15_GAP","Ki18_Pi","Km18_ATP","Km18_Ru5P","Km33_NADP","Ki57","Vm2y22","Vm3y22","Vm4y22","Vm5y22","Vm6y22","Vm7_8y22","Vm12y22","Jmaxy22","Vm33y22","Vm35Mc_OAAy22","KaRac","tao_ActRubisco","Perm_CO2","gm","BBslope","MRd","Vm2y23","Vm3y23","Vm4y23","Vm5y23","Vm6y23","Vm7_8y23","Vm12y23","Jmaxy23","Vm33y23","Vm35Mc_OAAy23"
"SSA_00002",2.89328222962185,0.0371676660754127,0.0901914229406664,0.0107832703873833,0.298524446094063,0.0249246926851158,5.49397124878934,0.663489042792331,0.0559841932263285,0.713936448830167,0.22318301173889,0.0831032519195531,0.0903840162952396,6.56218928110823,0.839748092366525,0.0391671712022554,0.042542503799199,0.117677386969921,0.150870327766455,0.10686166594093,0.0860383808977305,0.0874617855504904,0.0769755079721101,0.695359189759242,0.0971058285137628,0.98116258463712,0.282911625034204,0.11182606406694,13.147318861117,247.795719342792,0.103993803346539,2.59629036392226,3.55017916400284,1.28290661978678,0.141254747463238,0.108447878481636,0.0764288147483987,0.0442142043260177,0.0634515215079554,0.469903778452141,0.0895869465449514,0.555012465359359,0.183491208438295,0.113346882662509
"SSA_00011",3.93481705818062,0.0340432280148819,0.122171247869852,0.0141560420348414,0.233174002832834,0.0199529590609562,3.7614417576915,0.781189238396203,0.0469828670828551,0.443089699599139,0.258437904286904,0.105721837693272,0.0878576595491387,8.04193205836968,0.613923969520495,0.0443346616245843,0.0469435350331645,0.154109814253354,0.126118679521393,0.0963611385822641,0.0692276773474611,0.0694923013581618,0.0812672518794607,0.674112869913143,0.123694842289632,0.674992007684442,0.257431892294452,0.0817576377517226,12.6301981863731,233.717090798302,0.127764415811098,2.72396437874063,2.95779732972033,1.66143560936794,0.15282492605778,0.0956313834398074,0.0737467748518374,0.0619080908771453,0.0612095546050533,0.448833100139863,0.10787927246227,0.523374653905329,0.147973077765716,0.096523875607438
"SSA_00012",3.38066709744677,0.0305128944489153,0.12059955212554,0.0137946844274803,0.25389320930421,0.018778895626726,5.08985227108572,0.605541987288933,0.0528172364684639,0.49723228568028,0.206004068436761,0.0867423329545418,0.110898810858721,5.96741017771443,0.933745805718548,0.0397392709361515,0.0445796913487343,0.139376530215705,0.121012901444466,0.0941818818877208,0.0874702267028992,0.0678368378027504,0.101587863362745,0.664558902243397,0.110647473676698,0.898811990000762,0.265665404380994,0.118581575717791,13.0238436937735,252.639373189483,0.173478879977385,2.50189421091968,3.27511440702901,1.61166973588548,0.197132749018225,0.102720280584282,0.109377079832559,0.0679368083961995,0.074084945040898,0.413951959592741,0.0901142846888046,0.562801001342527,0.201949341561928,0.107942007197085
"SSA_00014",3.34033959375288,0.0278363283085187,0.135253076943232,0.0138681192449766,0.223439147801112,0.0206313217127543,5.17697660051705,0.771894648379623,0.0495554814896553,0.495204132500022,0.198583714371994,0.104229083482953,0.0826163143725568,6.33205729756496,0.720022484659083,0.0468675058658789,0.0369239353148857,0.158370298629582,0.128266314052062,0.0928165530877033,0.0695461402954826,0.072126694727893,0.0892623136900886,0.577486437625765,0.107258005102356,0.842705119135322,0.245497641046747,0.104998334000664,10.8375361198447,226.382223325848,0.0792967054825157,3.05488795497659,3.0456799052218,1.64297193098119,0.146750943847831,0.0975251898279002,0.0941890489990151,0.0625990812179905,0.0513872323542877,0.421391727147235,0.109118933790305,0.5211428725389,0.184059459504742,0.0996149379229103
"SSA_00015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SSA_00016",2.77171633960602,0.0289388607960397,0.153034503645052,0.0129167671053689,0.201475859589471,0.0158760290849884,4.23677044272418,0.596783564661492,0.0484677800939661,0.562625828784676,0.195049934762405,0.1125693575666,0.0840236987425922,6.30822035687424,0.806739918223289,0.0436136353025679,0.0518373660525298,0.181421204654444,0.132151140934221,0.127600888465806,0.0515827655378584,0.0708384265637431,0.107529705180484,0.501891998215662,0.137850530905539,0.730028510060043,0.233495181816949,0.0771794115316376,12.6391116748097,220.739608357825,0.12599333580458,3.12983559128476,2.96848580347213,1.75405513958389,0.144749738330062,0.12029464735076,0.0819867759996358,0.0682844770021979,0.067594140442654,0.428993432446886,0.115195723275337,0.377009466447573,0.241781056790443,0.099510748225444
"SSA_00017",2.69123408849853,0.0280956884061952,0.132778099861385,0.0168974814425841,0.254441436146526,0.0197567453296611,3.65787830257017,0.698003416155247,0.0565435453488683,0.485661014455878,0.185531806542985,0.0960295955395538,0.0886488613416165,4.1201759820749,0.819388765997565,0.0468345732332885,0.0526067772330861,0.179116612834444,0.0983994605284992,0.0965192271160822,0.0668684344833935,0.0623403671611816,0.0938265472086634,0.563382709740425,0.110937292793327,0.799714540109763,0.227272140814263,0.0816600042392641,9.96227844869671,260.004054034156,0.133657661866521,3.477136707482,3.1260024664979,1.49318102230497,0.130707120459802,0.0990186808591582,0.105575576971174,0.0585532103804513,0.058276300721002,0.420511114872233,0.0993257115007663,0.556582616016125,0.196045457481057,0.0873396588644738
"SSA_00019",3.33074489113921,0.028638594076138,0.143934308047489,0.0134382526981576,0.26317188153767,0.0188552435172085,5.01709613912379,0.651051286956166,0.0550943939903608,0.552586418258442,0.303062808666445,0.112049038117151,0.0573671491987877,8.25734720805108,0.693575542220282,0.0461001814420229,0.0380486388478591,0.156827309831546,0.112937843418969,0.0577405655255512,0.0638200277941245,0.0894554952557789,0.130093352226396,0.460374223934972,0.11947348104958,0.660532657497491,0.178700194302364,0.125943449602469,10.2564067300506,213.97575662341,0.123948021682028,2.70389360668028,2.99941403987634,1.74099600293753,0.122238335431997,0.116591038770072,0.0683560806206302,0.0614157771013829,0.0613888892438514,0.4434722869273,0.136911989288268,0.581233153179796,0.252640201627882,0.0682044550728204
"SSA_00020",3.44678384059845,0.0347314940648785,0.122111849187143,0.0157509688915236,0.235758158815074,0.0221295252164564,3.8722764090669,0.642552143957353,0.0447794963252708,0.467581177618289,0.214352934404492,0.134717068335418,0.0824594009825553,6.26042832100769,0.693662014177407,0.0436143526401847,0.042194535567067,0.149297483478027,0.11698041865385,0.0853926872677948,0.0618082147606368,0.0823717659878826,0.0928885193622397,0.59266918961809,0.106116772356637,0.662778664223519,0.295134146714787,0.0940147798518413,13.7962591988729,246.641266212379,0.0760683771212022,3.21488161976255,2.98180203404141,1.59534638192141,0.113703670806826,0.0926748476785551,0.0950852895175405,0.0656760884086372,0.0585071646383606,0.52291840621625,0.0964365149110613,0.63874731291037,0.223007234538897,0.0884474539918638
"SSA_00021",3.30375734056272,0.0363596745709456,0.141766475583776,0.0192654920978561,0.249035463119224,0.017541996774559,4.21260984368794,0.723694622490662,0.0500494589829488,0.595099288323514,0.232787055536155,0.11332365644103,0.0793499721844783,7.09132470790403,0.542389613016535,0.043532119430207,0.0394509325267378,0.165465681899464,0.153346633016255,0.0801230883305094,0.093123673302417,0.0700707253171414,0.10786750214654,0.660370346002659,0.108145742774782,0.762567833034659,0.215033803329731,0.0790035887988804,13.0314185789956,253.309686573147,0.117728085040749,3.10298739874045,3.10612138656972,1.69776118994398,0.208277940394324,0.0996731401526243,0.0887378158869445,0.0594082778113381,0.0615095413266494,0.41399330973711,0.129626640836216,0.531102770418173,0.179477575542433,0.0802345678603358
