"","Km1_CO2","Km2_HCO3","Km2_PEP","Km6_CO2","Km6_O2","Km6_RuBP","Km7_PGA","Km10_DHAP","Km10_GAP","Km12_DHAP","Km12_E4P","Km14_GAP","Km15_GAP","Ki18_Pi","Km18_ATP","Km18_Ru5P","Km33_NADP","Ki57","Vm2y22","Vm3y22","Vm4y22","Vm5y22","Vm6y22","Vm7_8y22","Vm12y22","Jmaxy22","Vm33y22","Vm35Mc_OAAy22","KaRac","tao_ActRubisco","Perm_CO2","gm","BBslope","MRd","Vm2y23","Vm3y23","Vm4y23","Vm5y23","Vm6y23","Vm7_8y23","Vm12y23","Jmaxy23","Vm33y23","Vm35Mc_OAAy23"
"SSA_00002",2.96216025118841,0.0427842015443955,0.129863334928761,0.010690950161126,0.260102204137682,0.0218736646476688,4.70369121895299,0.674492145534593,0.0527582290626895,0.477699345597613,0.212709237835605,0.113502930818335,0.0873343192024247,6.30325474367943,0.695494983448806,0.0450531292241027,0.0431969601079209,0.126818637905055,0.115086823677725,0.0803634241529396,0.0839141666191954,0.0764483081876566,0.0975877736529534,0.601103145671338,0.108839744302583,0.959192799283001,0.236421129588646,0.0951373038664327,11.9845921385594,248.142341536146,0.116569976463619,3.06383059627167,3.0950146274278,1.51368317003756,0.141038206914897,0.103774816535934,0.0736076174573676,0.0664250503715991,0.0585742183346929,0.430470876709924,0.0776680628086752,0.529404606393644,0.190405042252651,0.101641339348446
"SSA_00016",3.06702525039862,0.0239104449401805,0.129869666560731,0.0128057110041226,0.260093672595954,0.0218729051491831,4.70357414333859,0.674498631157142,0.0527571659579331,0.477677428390411,0.212709062640427,0.113506138689605,0.084837783986725,6.34507798796989,0.695479406896994,0.0439802099124281,0.0431977120837106,0.169562376745635,0.115084092601395,0.080364797811609,0.0553063231540213,0.076447003559573,0.0975907160659589,0.601090579038981,0.10884257127995,0.756365089589729,0.236418003662667,0.095133962992768,11.9845612710836,248.142378698368,0.116862588573727,3.19711198254299,3.0740022215812,1.6701074471824,0.141038776950201,0.103776272166822,0.0846916908253816,0.0664282320505308,0.0585745689886279,0.43046695382756,0.112479737663819,0.456626461950267,0.232037645688131,0.0955902301673522
"SSA_00022",3.49828101894066,0.0299826601349362,0.12986851922743,0.0153999212158195,0.260098398773008,0.0218732532079962,4.70364611554014,0.674495157927995,0.0527572029230267,0.477679584906702,0.21270878718678,0.113505836218471,0.0863542408282199,6.2919917946836,0.695476101060943,0.0417453289282028,0.0431968710459763,0.172837013074518,0.11508466999207,0.0803618488257221,0.0794164175372562,0.0764474240817415,0.097590392727781,0.601102103197832,0.108838958567015,0.806451044735271,0.236416349525637,0.0951343205045065,11.9847368412288,248.144103321258,0.116178468095355,3.14386001294692,3.07530003323001,1.600637875743,0.141041321237729,0.103774972060035,0.0845889843943221,0.0664267500804698,0.0585744762584104,0.430466196355303,0.105783492217131,0.522628154936933,0.190249036051084,0.0866519811768435
"SSA_00029",3.4306654474912,0.0319812294952734,0.129867289174744,0.0131279237764148,0.260100508544758,0.0218734653279435,4.70354077718782,0.674494960307973,0.0527566306217592,0.477682105353887,0.212710542869434,0.113504295920436,0.0839790397447146,6.26421641171705,0.695471021601695,0.0495042412502839,0.0431969283235268,0.15611891865709,0.115082625746485,0.0803622374512269,0.0675257569425626,0.0764468997184285,0.0975892256628928,0.601096259728899,0.108841016393799,0.740707670013389,0.23642079206057,0.0951337435033377,11.9845132409424,248.145303377012,0.11636173754203,3.35609844756237,3.0796536368102,1.58810158371466,0.141036284335077,0.103774352454164,0.0943521284922757,0.0664263647589478,0.0585738286403581,0.430467654834174,0.0916076244354541,0.539818613590676,0.174296826064386,0.0943767371492306
"SSA_00031",3.23095709453741,0.0198960654191838,0.129866495912772,0.0145232216142736,0.26010149456087,0.0218731064063642,4.70353272626125,0.674504976229048,0.0527575839847349,0.477669866419533,0.212708335966279,0.113505920551326,0.0824300634298899,6.31106195101948,0.69547562121668,0.0502617929577869,0.0431968768185317,0.159268357006465,0.115081275470658,0.080360259698466,0.0661350177298372,0.0764478909401834,0.0975912302006144,0.601087908969998,0.108840784575719,0.70439071888486,0.236416737063772,0.0951364915683608,11.9843789286552,248.146249562312,0.117288488923047,3.22979429285412,3.08117502273205,1.65632249366061,0.141034908253184,0.103775661588475,0.0868159825932291,0.0664277466785716,0.0585744269844446,0.430465790677981,0.104346929239084,0.520798807081622,0.192346743760828,0.0893874883296069
"SSA_00035",3.08350320288215,0.025360007852821,0.129864623604563,0.0153705437414708,0.260099787960333,0.0218732130261799,4.70361468988136,0.674501079427584,0.0527577258320169,0.477667182701301,0.212710125420569,0.113507065346119,0.0831461453166348,6.44111030437014,0.695476207329273,0.0476195149949419,0.0431973699818602,0.149350365320946,0.115086225088186,0.0803619482452925,0.0751856061868955,0.0764478041274785,0.0975904947846115,0.601088992020616,0.10884277948055,0.743830741550863,0.236417703605064,0.0951355588701133,11.984555996765,248.139945741171,0.118244630613897,3.12246132041347,3.08200240596813,1.66444767712114,0.141040344881385,0.103777395176526,0.0958275889156326,0.0664296419990674,0.0585749191013096,0.430469583338369,0.112318915622856,0.477244123451555,0.208583978824243,0.0957204857780038
"SSA_00046",3.11685594420415,0.0312035586982876,0.129865522477977,0.015009673496216,0.26009914591193,0.0218730738583923,4.70365291472163,0.674496665877733,0.0527574732142905,0.47768284300849,0.21270894597263,0.113504957674405,0.0877228185468223,6.22778687512192,0.695493851925609,0.0465013607588124,0.0431968462355244,0.146906570718377,0.115083822043,0.0803607965443042,0.0768032824209814,0.0764472933035597,0.0975892166294153,0.601099789813212,0.108839163538612,0.835695120213213,0.236421557269969,0.0951349658026236,11.984617310955,248.142149666808,0.116581893277363,3.14033524085832,3.07962992132559,1.57517757814736,0.141039448067504,0.103774059890923,0.0836274907316479,0.0664267025678456,0.0585745236343272,0.430468877969876,0.112809845430499,0.57604330119297,0.198531011215845,0.0947569035616327
"SSA_00055",3.72079110651255,0.0303056485025925,0.129866595190526,0.0176611095947975,0.26010158441595,0.0218728379393061,4.70350869210391,0.674518720838808,0.052756492608699,0.477672061543318,0.212710210568772,0.113506198565802,0.085005567739685,6.50633351913309,0.695458933710654,0.0416283491962981,0.0431967910958394,0.160840215926415,0.115081402069976,0.0803617307976636,0.082241541341428,0.0764493053509759,0.0975901020119137,0.60110047484892,0.108841137828842,0.71286296052759,0.236416173714754,0.0951354897174845,11.984302102191,248.144935685652,0.11631990721826,3.06497608682521,3.07641200234644,1.65802349669847,0.141039552190537,0.103775595435534,0.0835055906564757,0.0664271795742445,0.0585744755469116,0.43046843046995,0.0959279937724214,0.518137189349905,0.220721251702677,0.0910367329625223
"SSA_00078",3.18803306859647,0.0170785832923045,0.129870604558936,0.01570174147658,0.260099241526918,0.02187294066351,4.70367504056968,0.674497824673913,0.0527564099789049,0.477671973494513,0.212708384652847,0.113506478314741,0.0857312781448206,6.19070655937364,0.695474846527974,0.0441797064100733,0.0431972396447141,0.17048851521347,0.115082407024061,0.0803627330678683,0.0719754527650912,0.0764467470346057,0.0975898546634529,0.601103046077763,0.10884132760535,0.726693519618689,0.236417132531818,0.0951344976637652,11.9845976997556,248.14931249512,0.117200726986364,3.16597771694432,3.06917713917558,1.64245968983257,0.141038065687625,0.103774775123275,0.116541621046608,0.066427124675879,0.0585753840276393,0.430468721550147,0.0988931943815526,0.614231877862387,0.190294536408974,0.0833459312682871
"SSA_00171",2.68830530073339,0.0277370770346596,0.129866475882779,0.0138239582874407,0.260100113897911,0.0218731733695506,4.70366581579071,0.674491699422002,0.0527582242441166,0.477674058387544,0.212708737248691,0.113505883516984,0.0857570691599547,6.24313867454599,0.695473562461118,0.0490062375809262,0.0431971634754173,0.17319821496812,0.115084099896609,0.0803608775526638,0.0707085910896935,0.0764462711413927,0.0975895591610688,0.601092825804254,0.108841446633412,0.757753571965501,0.236416441129247,0.095133948370406,11.9846552302109,248.141749231372,0.117929802362218,3.23191042127621,3.07498089324188,1.63521859282342,0.14103791658324,0.103774329121233,0.0968020011732825,0.0664270824081108,0.0585745436558874,0.430466312640516,0.112371751192521,0.506831054799984,0.178872921779767,0.0933633862295926
