"","Km2_HCO3","Km6_CO2","Km6_O2","Km7_PGA","Km18_Ru5P","Ki57","Vm6y22","KaRac","tao_ActRubisco","BBslope","Vm6y23"
"SSA_00002",0.0559475057495314,0.0209123435213057,0.287210094686439,2.70143183035326,0.0481250615648642,0.259354780699191,0.064366593846189,14.4626955453763,351.198818960493,2.83872898605216,0.0601564184290095
"SSA_00011",0.0559464399726578,0.0209124996429478,0.287207922746199,2.70143530213352,0.0481255884754908,0.215360063139038,0.0643673489051244,14.463490932748,184.917797582534,2.83870122332446,0.0601573974522941
"SSA_00012",0.0559477020265812,0.0209121567547028,0.287200642048389,2.70151918137682,0.0481256823680245,0.210010360378135,0.0643661805160568,14.4626967089386,298.190554031733,2.83872000902945,0.0601553494125541
"SSA_00014",0.0559465223402397,0.0209127107761221,0.287213889543744,2.70148484438378,0.0481238256938711,0.194592163019529,0.064365864697016,14.4631309553167,182.326209252174,2.83871781186045,0.0601541068587693
"SSA_00015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SSA_00016",0.055946849032756,0.0209123758336837,0.287211677172023,2.70145924672199,0.0481250105849674,0.185221446486808,0.0643663814271674,14.46287261227,287.186563630946,2.83870185582628,0.0601553743572042
"SSA_00017",0.0559468920547497,0.0209120191885222,0.287206227182528,2.70147076319913,0.048124286961797,0.217269312382791,0.0643661923658196,14.4627992049043,297.130310241558,2.8387065274704,0.0601559483550923
"SSA_00019",0.0559485967314934,0.0209120242086268,0.287211341768212,2.70135727939671,0.0481256442033772,0.193049046034079,0.0643677385732195,14.4630126945227,361.814229819303,2.83871394351823,0.060155038270064
"SSA_00020",0.055946906936332,0.0209118970404845,0.287202858402234,2.70141045076595,0.0481247142731389,0.215344068891757,0.0643664939960638,14.4630095577297,358.126999142658,2.83869533860509,0.0601552493797829
"SSA_00021",0.0559475120311472,0.0209122667341429,0.287216106427889,2.70142015622118,0.0481248235685173,0.225560403623463,0.0643663613350557,14.4627883091183,251.262197331704,2.83871532929242,0.060153609497124
"SSA_00022",0.0559474957083433,0.0209121918572175,0.287209653816498,2.70145506122999,0.0481248604132061,0.225069584383697,0.0643661362599065,14.4629062294994,261.087963911648,2.83870407417783,0.0601546421392977
"SSA_00023",0.0559474644976614,0.0209122634524825,0.287204491690402,2.70150152477906,0.0481254469647792,0.185755240354441,0.0643673468916452,14.4627532009839,200.246018113088,2.83870668514431,0.0601551594599872
