"Year","Accession","PAR_1800"
2021,"SSA_00002",30.3915336578322
2021,"SSA_00012",30.203405542762
2021,"SSA_00014",30.2314849571572
2021,"SSA_00015",NA
2021,"SSA_00019",30.0447481467999
2021,"SSA_00020",29.9559793306836
2021,"SSA_00021",30.1014301606107
2021,"SSA_00022",30.0696067355605
2021,"SSA_00025",30.1145655939689
2021,"SSA_00032",30.1892948335026
2021,"SSA_00034",30.1117975265999
2021,"SSA_00035",30.1294105469884
2021,"SSA_00038",30.1457176393382
2021,"SSA_00047",30.1052859226008
2021,"SSA_00048",30.1639004307056
2021,"SSA_00053",30.1491965342125
2021,"SSA_00054",29.9978720678627
2021,"SSA_00056",30.039130331985
2021,"SSA_00059",30.2025724419733
2021,"SSA_00063",30.1269049250019
2021,"SSA_00064",30.1144436364259
2021,"SSA_00065",30.1289472103047
2021,"SSA_00066",30.0889017155763
2021,"SSA_00071",30.1278775287248
2021,"SSA_00073",29.9599758937132
2021,"SSA_00078",29.9119754896065
2021,"SSA_00081",30.2634670337486
2021,"SSA_00082",30.2472497529651
2021,"SSA_00083",30.0836837068933
2021,"SSA_00085",30.2131078735198
2021,"SSA_00086",30.0312371730209
2021,"SSA_00088",29.9724234568044
2021,"SSA_00089",29.9730764781708
2021,"SSA_00090",30.1583510928686
2021,"SSA_00092",30.0364861571122
2021,"SSA_00094",30.157797494591
2021,"SSA_00095",30.2613330810263
2021,"SSA_00098",30.1619098903687
2021,"SSA_00100",30.1668825612801
2021,"SSA_00101",30.0820525024118
2021,"SSA_00104",30.0901652468885
2021,"SSA_00106",30.1107121930272
2021,"SSA_00107",30.1924942897519
2021,"SSA_00112",30.1029966239348
2021,"SSA_00117",29.9174314078923
2021,"SSA_00118",29.9728140571191
2021,"SSA_00120",30.0679975407474
2021,"SSA_00124",29.7980402987066
2021,"SSA_00125",29.8818375186073
2021,"SSA_00127",30.0784838128985
2021,"SSA_00129",29.9741242053866
2021,"SSA_00131",30.0350931334898
2021,"SSA_00133",29.9869933541497
2021,"SSA_00134",29.9598211426091
2021,"SSA_00142",29.9912735506058
2021,"SSA_00144",30.0655200196206
2021,"SSA_00147",29.9817471516517
2021,"SSA_00148",29.9354645021268
2021,"SSA_00149",29.9571871460992
2021,"SSA_00154",30.0448410184928
2021,"SSA_00155",30.1469579824031
2021,"SSA_00157",30.1081977526307
2021,"SSA_00159",30.0510792985072
2021,"SSA_00161",30.2372559487983
2021,"SSA_00162",29.9275481021189
2021,"SSA_00166",29.9606770110502
2021,"SSA_00168",30.159195503098
2021,"SSA_00170",30.0951144570903
2021,"SSA_00171",29.9793773978317
2021,"SSA_00172",30.0153651463886
2021,"SSA_00174",30.2130324085004
2021,"SSA_00180",30.1256761050886
2021,"SSA_00184",30.0671461730259
2021,"SSA_00189",29.9697881687912
2021,"SSA_00191",30.1224002030502
2021,"SSA_00193",30.0709331860236
2021,"SSA_00194",29.9621956620989
2021,"SSA_00195",30.1697562020497
2021,"SSA_00199",30.0566778040306
2021,"SSA_00200",30.1616759449538
2021,"SSA_00201",29.9283919574088
2021,"SSA_00202",NA
2021,"SSA_00205",30.0129102078132
2021,"SSA_00210",30.0315697092332
2021,"SSA_00211",30.0653913540607
2021,"SSA_00215",30.1122370678661
2021,"SSA_00217",30.0313678010214
2021,"SSA_00218",30.0486980502601
2021,"SSA_00219",30.1803147721501
2021,"SSA_00221",30.0559016113562
2021,"SSA_00223",30.0303031914547
2021,"SSA_00225",30.1518100215681
2021,"SSA_00228",30.0927415491574
2021,"SSA_00233",30.1309815046183
2021,"SSA_00237",30.1133394658465
2021,"SSA_00242",30.1155414980391
2021,"SSA_00245",30.0304725935816
2021,"SSA_00248",30.1039579961821
2021,"SSA_00255",30.1046530018283
2021,"SSA_00258",30.1822770275765
2021,"SSA_00259",29.9426044887997
2021,"SSA_00263",30.1210819123387
2021,"SSA_00265",29.9873305243636
2021,"SSA_00267",30.0819107639999
2021,"SSA_00269",29.935461447645
2021,"SSA_00272",30.0074543526402
2021,"SSA_00273",29.9975296377946
2021,"SSA_00277",30.0700301002635
2021,"SSA_00283",30.1365283928851
2021,"SSA_00284",30.182347940146
2021,"SSA_00287",30.0448410732646
2021,"SSA_00290",29.8975937246395
2021,"SSA_00291",30.2432275437089
2021,"SSA_00292",30.0395252775997
2021,"SSA_00296",30.0438692234173
2021,"SSA_00297",30.1922482706138
2021,"SSA_00298",30.1080080688935
2021,"SSA_00300",30.1355220076753
2021,"SSA_00301",29.9810647051646
2021,"SSA_00302",30.010837198718
2021,"SSA_00305",30.0533535497819
2021,"SSA_00306",30.0043009821582
2021,"SSA_00307",29.9100629370988
2021,"SSA_00313",30.0385903388237
2021,"SSA_00314",29.963281383204
2021,"SSA_00316",30.1647334920037
2021,"SSA_00317",30.2621137081584
2021,"SSA_00318",29.8930551107528
