"","Year","AsatCO2"
"SSA_00002",2022,42.0842212094253
"SSA_00016",2022,39.4674825881174
"SSA_00031",2022,38.8563108765813
"SSA_00046",2022,39.9585769741295
"SSA_00051",2022,39.4008739112542
"SSA_00055",2022,39.7128319537631
"SSA_00078",2022,38.4135256154546
"SSA_00083",2022,40.2436944133684
"SSA_00201",2022,38.0628312967611
"SSA_00212",2022,38.7104524548504
"SSA_00246",2022,39.7284482179057
"SSA_00255",2022,39.1314593233273
"SSA_00263",2022,39.8776412191118
"SSA_00277",2022,39.3326623380486
"SSA_00281",2022,39.8102724083203
"SSA_00285",2022,39.1606610328138
"SSA_00301",2022,39.1224450497957
"SSA_00308",2022,36.6990716192942
"SSA_00343",2022,38.6111875868082
"SSA_00353",2022,38.5759228255107
"SSA_000021",2023,32.3893803633037
"SSA_000161",2023,32.3889658136824
"SSA_00022",2023,32.3890526857955
"SSA_00029",2023,32.3891271313067
"SSA_000311",2023,32.3891265495936
"SSA_00035",2023,32.3890814442642
"SSA_000461",2023,32.3892287699039
"SSA_000551",2023,32.3890857861245
"SSA_000781",2023,32.3890443773526
"SSA_00171",2023,32.3889955576847
"SSA_00215",2023,32.3890842232812
"SSA_00220",2023,32.3889934352126
"SSA_002461",2023,32.3891604471865
"SSA_00261",2023,32.3891181824226
"SSA_002631",2023,32.3891727925985
"SSA_002811",2023,32.3891394075522
"SSA_002851",2023,32.3890905175454
"SSA_003011",2023,32.3890450221563
"SSA_003081",2023,32.3888191175872
"SSA_00316",2023,32.3891920772288
"SSA_00341",2023,32.3892882826502
"SSA_003431",2023,32.3892029477737
"SSA_000022",2021,46.6564479398681
"SSA_000162",2021,46.023201555287
"SSA_000312",2021,46.0817187993688
"SSA_00038",2021,46.0989039138152
"SSA_000552",2021,46.1390750567807
"SSA_000782",2021,45.9678203515633
"SSA_000831",2021,46.2435740932801
"SSA_00111",2021,46.32041507729
"SSA_00114",2021,46.0988565716534
"SSA_002462",2021,46.2139933802975
"SSA_002632",2021,46.2373031241366
"SSA_002812",2021,46.2022145252728
"SSA_002852",2021,46.0855891958273
"SSA_003012",2021,46.0455790396363
"SSA_003082",2021,45.5740162538764
"SSA_00315",2021,46.1797160426636
"SSA_003432",2021,46.1160421947478
