"Accession","PAR_1800","PAR_1100","PAR_500","PAR_300","PAR_150","PAR_50"
"SSA_00001",28.8103742877226,25.6023510426657,18.7467042418908,12.5645799632354,6.00894316056794,0.335902104159176
"SSA_00003",20.6914954293294,19.4680824635378,14.7145115067533,10.4367275506993,4.99557408755951,-0.134637075246282
"SSA_00004",28.4800093890239,25.4431290178087,18.4023528924873,11.9638227882904,5.09299432563465,-0.474556508571705
"SSA_00005",26.550460748672,24.7367456233896,18.3004358155129,12.4056652574877,5.76348214183057,0.210569298830485
"SSA_00006",15.8668082068035,15.6530885798815,12.0019715187792,8.95828485983522,5.29070706336978,0.514103894232366
"SSA_00007",22.7549198859029,20.6782094896108,14.7837628237971,9.79551876236186,4.7614176601445,-0.23712318687515
"SSA_00008",30.939660142999,27.5813025533888,20.1309590450651,13.928805370158,6.49648126243276,0.178620585111977
"SSA_00009",27.1322316891859,24.5622288304508,18.3198767104707,12.5360633442495,5.72905374026427,0.14510774733237
"SSA_00010",26.7826024858547,24.2326373566285,17.6620695666109,12.1248012469697,5.59649237435627,-0.135614005734582
"SSA_00013",26.9918641356437,24.4598729391967,18.0988718323137,12.3710014429428,5.79886780866529,0.255783736638953
"SSA_00018",26.5346852422932,23.6700946089436,17.4731735133428,12.084877329621,5.69040898762868,0.124473797733794
"SSA_00024",23.0264056896517,22.0515859326906,16.9259592292966,12.367659077957,5.78859407252487,0.0896290945525795
"SSA_00033",26.6197771481345,24.3014745254005,18.0884836144553,12.2303454519026,5.59232219997856,-0.232467002551764
"SSA_00041",26.9889558167192,24.6607861854393,18.1367932163289,12.1124423475885,5.41609995578207,-0.372720192748684
"SSA_00050",25.9379712759792,23.9224711390069,17.4213692998878,12.1628303436106,5.91540400123452,0.236459503005917
"SSA_00062",26.244683742077,23.936407803857,17.6107859734695,11.984025818511,5.67301863252475,0.149838993993023
"SSA_00067",26.9799577186622,24.4823276408547,17.8689089493428,12.2605215294081,5.91635859300843,0.306607874226469
"SSA_00068",26.5563998765975,24.1020172453591,17.4091522580628,11.8758737223286,5.66430183067554,0.0833465181810636
"SSA_00070",30.793649277708,27.1869325743356,19.5237680393126,13.4093811652674,6.12939274344989,-0.0227400607790506
"SSA_00075",27.5478061623601,24.8366083596197,18.1797275812803,12.6988001542819,6.23057024134239,0.384402213564035
"SSA_00079",29.9299548500912,27.3487180403539,20.1911264904441,13.706151072758,6.2369170818374,0.306432239657024
"SSA_00080",26.0010389322671,23.8874678083848,17.6134637664652,12.4298384771848,6.26738380028284,0.801482136420156
"SSA_00091",27.963994592972,25.4570171088129,18.0578573698534,12.2057382069756,5.78547757615804,0.263164879543648
"SSA_00096",30.4306506242193,27.2085644129285,19.5609827711706,12.9401531961274,5.66725456843538,0.055665502959343
"SSA_00097",29.0380147295318,25.3697030969406,18.0709161058392,12.8033034745469,5.98172446611935,0.188230767202341
"SSA_00105",23.7058827787736,22.2788333002562,16.5402113420918,11.7183007554926,5.60151024960132,-0.00315116918237596
"SSA_00108",25.8335358259557,23.2401472330451,16.4872597513261,11.6617668995909,5.60482172857466,0.00757799918898149
"SSA_00110",28.8233703103102,25.335866218733,18.7957639388558,12.960002085958,6.09981016559649,0.367763503527275
"SSA_00113",21.0681981203514,19.1603575286929,14.6345023103857,10.4316066032582,5.3951251087401,0.265113490337162
"SSA_00119",27.9281068262879,25.4068985061912,18.9950153333799,13.2414142052489,6.06794104997533,0.195409099166058
"SSA_00121",17.2133749998337,16.5809441023338,13.0683988003035,9.61703784588686,5.70751130019486,0.585259658014326
"SSA_00123",24.372329067118,22.3259565853059,16.753667157081,11.9588407562021,5.55536209663629,0.0302357509824008
"SSA_00126",23.0262510094579,21.604383526002,16.5401227179174,12.052757658979,6.43237620801143,1.06391372522701
"SSA_00128",21.4874591435198,20.688470950327,16.0288587804177,11.718562329259,6.25224065974538,0.109290952860475
