Accession,2022_CO2_400,2022_CO2_600,2022_CO2_800,2022_CO2_1000,2022_CO2_1250,2022_CO2_300,2022_CO2_250,2022_CO2_200,2022_CO2_100,2022_CO2_75,2022_CO2_25,2022_PAR_1800,2022_PAR_1100,2022_PAR_500,2022_PAR_300,2022_PAR_150,2022_PAR_50,2023_CO2_400,2023_CO2_600,2023_CO2_800,2023_CO2_1000,2023_CO2_1250,2023_CO2_300,2023_CO2_250,2023_CO2_200,2023_CO2_100,2023_CO2_75,2023_CO2_25,2023_PAR_1800,2023_PAR_1100,2023_PAR_500,2023_PAR_300,2023_PAR_150,2023_PAR_50
SSA_00001,14.0098178,15.7555006,17.4307606,18.9990776,20.8416066,13.2016033,12.7979499,12.3922144,11.6940119,10.5970133,100000,11.867065,11.4592971,10.7613884,5.40757786,0.177442894,-1.98358159,37.7790736,38.3086312,38.8263766,39.3048873,39.7995021,37.6972217,37.0857265,35.5673426,21.2197346,17.0184685,5.5853213,32.0036314,29.9610228,19.0837021,11.4270172,4.92103729,-0.0926931204
SSA_00003,7.750845,9.23044093,10.6933991,12.0530462,13.6520433,7.15969462,6.784999,6.42915568,5.88656365,5.85564672,2.74838005,6.9273565,6.6657404,5.75066747,2.04502598,-0.763486893,-2.0500219,39.2761794,39.831252,40.3613282,40.8501041,41.3532914,39.1465643,38.4930043,36.824332,21.8938613,17.4574666,5.74814636,32.0036314,29.9610228,19.0837021,11.4270172,4.92103729,-0.0926931204
SSA_00004,29.5135824,30.5865897,31.6061363,32.5238518,33.520184,29.1900512,28.7773318,28.297075,17.7017648,15.1678453,100000,25.9069473,25.0324784,19.983983,11.8728204,3.89047531,-1.44733037,38.6494624,39.1968392,39.7287919,40.2179538,40.7210341,38.5527726,37.916901,36.3149197,21.623818,17.256771,5.68137319,32.0036314,29.9610228,19.0837021,11.4270172,4.92103729,-0.0926931204
SSA_00005,15.082978,16.9552773,18.7514096,20.4338905,22.4127842,14.2148729,13.7852997,13.3527939,12.4416992,11.155048,100000,12.0408644,11.6364424,10.9772258,5.56962309,0.227204271,-1.97907024,37.2939032,37.8107858,38.3182162,38.788934,39.2771913,37.2094509,36.6132924,35.1567127,21.0057244,16.9186561,5.53533147,32.0036314,29.9610228,19.0837021,11.4270172,4.92103729,-0.0926931204
SSA_00006,4.90022407,6.44442247,8.20490853,9.78508543,11.4597313,4.68727158,4.21544775,3.77886377,3.215923,3.27376383,2.1136966,4.72336678,4.58864167,3.77271258,1.00513152,-1.03667807,-2.06903288,40.9278809,41.5134342,42.0704539,42.5759877,43.0892732,40.7697917,40.069179,38.2171507,22.6348584,17.8616614,5.92293814,32.0036314,29.9610228,19.0837021,11.4270172,4.92103729,-0.0926931204
SSA_00007,10.8995994,12.4467338,13.9474696,15.3598993,17.0323919,10.227981,9.86461554,9.50409318,8.85137818,8.63428299,3.31443959,9.94192363,9.58260999,8.66317393,3.91915788,-0.255477843,-2.01494069,38.2607791,38.7997339,39.325233,39.8096599,40.3090728,38.1729447,37.5467499,35.9704732,21.431057,17.1322578,5.63556852,32.0036314,29.9610228,19.0837021,11.4270172,4.92103729,-0.0926931204
SSA_00008,31.4075354,32.5258649,33.5784327,34.5284059,35.5572051,31.0908928,30.6374808,30.1255954,18.4001583,15.8221837,5.39286916,26.1792787,25.2865491,19.9669725,11.8752207,3.95040146,-1.41219911,38.6862561,39.2331661,39.7636549,40.2519535,40.7544777,38.5891617,37.9502689,36.3253508,21.6177876,17.2427313,5.68037747,32.0036314,29.9610228,19.0837021,11.4270172,4.92103729,-0.0926931204
SSA_00009,16.4872207,18.3965401,20.2080628,21.8994293,23.8795087,15.5905398,15.1512157,14.7062781,13.2745124,11.7087071,100000,13.2041761,12.769713,12.5850653,6.87678758,0.622472903,-1.94577023,38.1473586,38.6813634,39.199255,39.6786169,40.1743649,38.0465104,37.4249546,35.8725957,21.3837399,17.1456838,5.6260082,32.0036314,29.9610228,19.0837021,11.4270172,4.92103729,-0.0926931204
SSA_00010,14.9188628,16.7109875,18.4262956,20.0304099,21.912409,14.0633681,13.6504307,13.2334661,12.3137559,11.000499,100000,12.4410008,12.023684,11.4795789,5.96098628,0.347659118,-1.96821115,40.4361477,41.0061841,41.5505819,42.0487488,42.557881,40.2799774,39.5908158,37.7729005,22.3882917,17.7201052,5.86552032,32.0036314,29.9610228,19.0837021,11.4270172,4.92103729,-0.0926931204
SSA_00013,16.0173319,17.9235361,19.7446291,21.448762,23.4496629,15.104227,14.6663993,14.2236737,13.0005384,11.532893,100000,12.6681213,12.2515331,11.8029238,6.22065258,0.423286001,-1.96392073,39.5500283,40.1105731,40.6523178,41.1486134,41.6569398,39.4291264,38.7663924,37.0597886,22.016288,17.4870397,5.77541063,32.0036314,29.9610228,19.0837021,11.4270172,4.92103729,-0.0926931204
