Accession,2022_CO2_400,2022_CO2_600,2022_CO2_800,2022_CO2_1000,2022_CO2_1250,2022_CO2_300,2022_CO2_250,2022_CO2_200,2022_CO2_100,2022_CO2_75,2022_CO2_25,2022_PAR_1800,2022_PAR_1100,2022_PAR_500,2022_PAR_300,2022_PAR_150,2022_PAR_50,2023_CO2_400,2023_CO2_600,2023_CO2_800,2023_CO2_1000,2023_CO2_1250,2023_CO2_300,2023_CO2_250,2023_CO2_200,2023_CO2_100,2023_CO2_75,2023_CO2_25,2023_PAR_1800,2023_PAR_1100,2023_PAR_500,2023_PAR_300,2023_PAR_150,2023_PAR_50
SSA_00001,23.036,25.9173,27.7111,28.9941,30.2267,20.1786,18.41,16.1806,9.33743,7.30522,2.14303,19.9323,19.2259,18.165,11.0621,4.42978,-0.065376,37.7791,38.3086,38.8264,39.3049,39.7995,37.6972,37.0857,35.5673,21.2197,17.0185,5.58532,32.0036,29.961,19.0837,11.427,4.92104,-0.0926947
SSA_00003,11.0275,12.8885,14.2293,15.3215,16.5081,9.71211,8.86116,7.79568,4.53363,3.47919,0.787817,9.92105,9.56898,9.73554,9.07157,4.17035,-0.102107,39.2762,39.8313,40.3613,40.8501,41.3533,39.1466,38.493,36.8243,21.8939,17.4575,5.74815,32.0036,29.961,19.0837,11.427,4.92104,-0.0926947
SSA_00004,28.4134,30.4991,31.8876,32.9107,33.8404,25.3371,23.1303,20.3764,11.7281,9.21683,2.82414,25.4828,24.3889,19.0095,11.2522,4.48995,-0.0610865,38.6495,39.1968,39.7288,40.218,40.721,38.5528,37.9169,36.3149,21.6238,17.2568,5.68137,32.0036,29.961,19.0837,11.427,4.92104,-0.0926947
SSA_00005,25.5444,28.6878,30.6199,31.9929,33.2983,22.2036,20.2451,17.7761,10.218,8.0036,2.37864,20.9659,20.2074,18.4258,11.1054,4.44066,-0.0635106,37.2939,37.8108,38.3182,38.7889,39.2772,37.2095,36.6133,35.1567,21.0057,16.9187,5.53533,32.0036,29.961,19.0837,11.427,4.92104,-0.0926947
SSA_00006,8.14804,9.71379,10.9307,11.97,13.135,7.1644,6.51048,5.70543,3.2812,2.46501,0.403564,7.07914,6.81882,6.898,6.80191,3.59189,-0.264644,40.9279,41.5134,42.0705,42.576,43.0893,40.7698,40.0692,38.2171,22.6349,17.8616,5.92294,32.0036,29.961,19.0837,11.427,4.92104,-0.0926947
SSA_00007,14.0213,16.1666,17.615,18.7424,19.9273,12.338,11.2694,9.92249,5.77778,4.47709,1.15348,12.913,12.4619,12.7864,10.2858,4.30648,-0.0873238,38.2608,38.7997,39.3252,39.8097,40.3091,38.1729,37.5467,35.9705,21.4311,17.1323,5.63557,32.0036,29.961,19.0837,11.427,4.92104,-0.0926947
SSA_00008,31.5187,33.3984,34.6837,35.6608,36.5574,28.3839,25.8719,22.7699,13.0656,10.2761,3.18695,27.0388,25.7566,19.0928,11.2847,4.49658,-0.0588264,38.6863,39.2332,39.7637,40.252,40.7545,38.5892,37.9503,36.3254,21.6178,17.2427,5.68038,32.0036,29.961,19.0837,11.427,4.92104,-0.0926947
SSA_00009,22.0301,25.0537,26.9327,28.2997,29.6534,19.1572,17.4715,15.3444,8.84656,6.91446,1.99728,18.2596,17.6224,17.5083,10.9791,4.41303,-0.0706646,38.1473,38.6814,39.1992,39.6786,40.1744,38.0465,37.425,35.8726,21.3837,17.1456,5.626,32.0036,29.961,19.0837,11.427,4.92104,-0.0926947
SSA_00010,23.772,26.7186,28.5459,29.8503,31.0992,20.7234,18.9076,16.6158,9.57433,7.49597,2.2088,20.264,19.5417,18.2598,11.0774,4.43346,-0.0646871,40.4362,41.0062,41.5506,42.0487,42.5579,40.28,39.5908,37.7729,22.3883,17.7201,5.86552,32.0036,29.961,19.0837,11.427,4.92104,-0.0926947
SSA_00013,25.8995,29.043,30.9784,32.356,33.6656,22.4811,20.4949,17.9926,10.3397,8.0988,2.41047,21.1015,20.3362,18.455,11.1109,4.44224,-0.0633173,39.55,40.1106,40.6523,41.1486,41.6569,39.4291,38.7664,37.0598,22.0163,17.487,5.77541,32.0036,29.961,19.0837,11.427,4.92104,-0.0926947
