Accession,2022_CO2_400,2022_CO2_600,2022_CO2_800,2022_CO2_1000,2022_CO2_1250,2022_CO2_300,2022_CO2_250,2022_CO2_200,2022_CO2_100,2022_CO2_75,2022_CO2_25,2022_PAR_1800,2022_PAR_1100,2022_PAR_500,2022_PAR_300,2022_PAR_150,2022_PAR_50,2023_CO2_400,2023_CO2_600,2023_CO2_800,2023_CO2_1000,2023_CO2_1250,2023_CO2_300,2023_CO2_250,2023_CO2_200,2023_CO2_100,2023_CO2_75,2023_CO2_25,2023_PAR_1800,2023_PAR_1100,2023_PAR_500,2023_PAR_300,2023_PAR_150,2023_PAR_50
SSA_00001,20.4597,21.0053,21.5126,21.9652,22.4561,20.2685,19.9834,19.5931,13.8628,11.5208,3.9508,16.3542,15.272,13.9905,10.9843,4.81341,-0.734844,20.036,20.5575,21.0427,21.4778,21.9515,19.8245,19.5492,19.173,13.5967,11.3801,3.89757,16.3542,15.272,13.9905,10.9843,4.81341,-0.734844
SSA_00003,12.5406,13.0688,13.5472,13.9605,14.4056,12.3,12.1099,11.8807,10.2156,8.90962,2.99372,10.5557,9.83332,8.78936,6.22723,2.73607,-1.12487,13.6222,14.2078,14.7356,15.1938,15.6897,13.3404,13.1278,12.8707,10.8542,9.52039,3.1524,10.5557,9.83332,8.78936,6.22723,2.73607,-1.12487
SSA_00004,29.6767,30.1692,30.6596,31.1146,31.5986,29.6413,29.1833,28.4878,18.1741,14.4884,4.84601,25.8073,24.2275,18.9919,11.4492,4.9471,-0.209805,32.0184,32.5587,33.0989,33.6027,34.139,31.9459,31.4191,30.6062,19.2891,15.2482,5.11294,25.8073,24.2275,18.9919,11.4492,4.9471,-0.209805
SSA_00005,23.0722,23.6648,24.2295,24.7367,25.2866,22.8536,22.5149,22.0429,15.4751,12.4802,4.26911,17.0215,15.9098,14.6328,11.1581,4.87317,-0.673138,20.5073,21.0241,21.5067,21.9382,22.4056,20.3347,20.0548,19.6675,13.8443,11.5261,3.94411,17.0215,15.9098,14.6328,11.1581,4.87317,-0.673138
SSA_00006,13.1644,13.7302,14.2407,14.682,15.1576,12.9149,12.7123,12.4672,10.5788,9.25699,3.08315,10.5641,9.84114,8.79664,6.23324,2.73921,-1.12451,14.4074,15.0321,15.5888,16.0757,16.606,14.0803,13.8511,13.573,11.2717,10.1138,3.25593,10.5641,9.84114,8.79664,6.23324,2.73921,-1.12451
SSA_00007,12.5156,13.0137,13.4601,13.8486,14.2701,12.265,12.081,11.8577,10.1784,8.84574,2.98413,10.8976,10.1596,9.0997,6.4871,2.86824,-1.11284,13.6196,14.1867,14.6965,15.1385,15.6154,13.3722,13.166,12.9145,10.8302,9.57418,3.14644,10.8976,10.1596,9.0997,6.4871,2.86824,-1.11284
SSA_00008,25.0273,25.5463,26.0449,26.5006,26.9936,24.8763,24.5145,23.9815,16.3857,13.0639,4.43395,20.3973,19.0894,17.8086,11.4626,4.9723,-0.443143,25.6007,26.1349,26.6585,27.1345,27.647,25.4655,25.0874,24.5292,16.6939,13.238,4.49794,20.3973,19.0894,17.8086,11.4626,4.9723,-0.443143
SSA_00009,20.7128,21.3066,21.8624,22.3581,22.8972,20.4655,20.1658,19.7619,14.0812,11.6685,4.00733,15.3675,14.347,13.0783,10.4743,4.64445,-0.836944,19.0427,19.5786,20.0798,20.5242,21.0061,18.8341,18.5716,18.2193,13.1768,11.0486,3.79337,15.3675,14.347,13.0783,10.4743,4.64445,-0.836944
SSA_00010,21.3456,21.8986,22.4206,22.8875,23.3937,21.1468,20.8452,20.4291,14.3672,11.8416,4.05714,16.688,15.5953,14.3192,11.0858,4.84803,-0.70198,22.2933,22.8776,23.4264,23.9195,24.4554,22.0649,21.7427,21.297,14.9392,12.2259,4.1848,16.688,15.5953,14.3192,11.0858,4.84803,-0.70198
SSA_00013,20.7576,21.3652,21.9215,22.4207,22.9666,20.4853,20.1819,19.7746,14.0866,11.6886,4.01428,15.1623,14.1515,12.8926,10.2837,4.5877,-0.860292,19.6935,20.2642,20.797,21.2699,21.7827,19.4678,19.1892,18.8158,13.549,11.2999,3.8832,15.1623,14.1515,12.8926,10.2837,4.5877,-0.860292
SSA_00018,18.6741,19.3269,19.915,20.438,21.0103,18.3507,18.0685,17.7052,13.215,10.9892,3.78726,13.0562,12.1825,10.9965,8.1671,3.74062,-1.00409,17.3119,17.9119,18.4602,18.9417,19.4638,17.0586,16.8066,16.4831,12.5425,10.4861,3.61147,13.0562,12.1825,10.9965,8.1671,3.74062,-1.00409
SSA_00024,14.1444,14.7557,15.301,15.7764,16.2927,13.8417,13.6191,13.3489,11.1284,9.94774,3.22029,10.6039,9.8841,8.83679,6.26652,2.75653,-1.12258,13.3977,13.973,14.4878,14.934,15.4166,13.1354,12.9287,12.6783,10.7051,9.39176,3.11482,10.6039,9.8841,8.83679,6.26652,2.75653,-1.12258
SSA_00033,22.0128,22.5539,23.0629,23.5213,24.0194,21.8112,21.5017,21.0689,14.7058,12.089,4.13165,17.4445,16.3066,15.0287,11.2283,4.89705,-0.644244,22.9951,23.5618,24.0964,24.5804,25.1078,22.7694,22.4356,21.9679,15.3213,12.4275,4.24762,17.4445,16.3066,15.0287,11.2283,4.89705,-0.644244
SSA_00041,26.2697,26.8496,27.4051,27.9125,28.4615,26.1042,25.7017,25.1122,17.0641,13.4781,4.58464,19.7502,18.4789,17.2449,11.4399,4.96532,-0.483238,25.7904,26.3526,26.8959,27.391,27.9264,25.6226,25.2356,24.6692,16.8513,13.3352,4.53554,19.7502,18.4789,17.2449,11.4399,4.96532,-0.483238
SSA_00050,19.0632,19.6431,20.1774,20.6529,21.1716,18.7928,18.5207,18.1614,13.2957,11.1245,3.82228,14.4351,13.4716,12.2318,9.45797,4.33115,-0.921823,18.6988,19.271,19.8031,20.2731,20.7825,18.4684,18.2036,17.8539,13.0936,10.9485,3.76752,14.4351,13.4716,12.2318,9.45797,4.33115,-0.921823
SSA_00062,20.4949,21.0717,21.6046,22.0807,22.5988,20.265,19.9729,19.5777,13.927,11.5736,3.97297,15.651,14.6149,13.3436,10.6822,4.70842,-0.810121,20.6752,21.2548,21.7912,22.2714,22.7947,20.4338,20.1377,19.7369,14.0195,11.6398,3.99519,15.651,14.6149,13.3436,10.6822,4.70842,-0.810121
SSA_00067,21.2128,21.8013,22.3432,22.8311,23.3647,20.952,20.6448,20.2275,14.2895,11.8353,4.05944,15.7954,14.7469,13.4725,10.7601,4.73484,-0.795069,20.687,21.2611,21.7932,22.2693,22.7877,20.4521,20.1575,19.7577,14.0248,11.6491,3.99682,15.7954,14.7469,13.4725,10.7601,4.73484,-0.795069
SSA_00068,22.7783,23.3605,23.9065,24.3996,24.9368,22.5466,22.2144,21.7521,15.2138,12.3665,4.23041,17.0108,15.8996,14.6225,11.1559,4.87244,-0.673734,21.5222,22.0626,22.5649,23.0186,23.5138,21.302,20.9992,20.5792,14.3871,11.9063,4.07272,17.0108,15.8996,14.6225,11.1559,4.87244,-0.673734
SSA_00070,28.6763,29.2593,29.8313,30.3585,30.9274,28.5142,28.0572,27.3684,18.1272,14.2745,4.83699,21.266,19.9119,18.3673,11.4834,4.9791,-0.398226,26.1116,26.6324,27.1339,27.5945,28.0922,25.9801,25.5933,25.0156,16.8507,13.3858,4.53616,21.266,19.9119,18.3673,11.4834,4.9791,-0.398226
SSA_00075,22.557,23.1418,23.687,24.1773,24.7098,22.3484,22.0213,21.5663,15.111,12.2866,4.2044,17.0045,15.8937,14.6166,11.1546,4.872,-0.674071,22.7573,23.3419,23.8901,24.3843,24.9221,22.5332,22.2014,21.7397,15.2221,12.3581,4.22806,17.0045,15.8937,14.6166,11.1546,4.872,-0.674071
SSA_00079,27.4709,28.0309,28.5774,29.0805,29.6248,27.3024,26.878,26.2438,17.5761,13.8787,4.70668,20.9442,19.604,18.1886,11.4748,4.976,-0.412242,26.7562,27.3014,27.8315,28.318,28.8435,26.6083,26.2021,25.5966,17.2083,13.6166,4.61972,20.9442,19.604,18.1886,11.4748,4.976,-0.412242
SSA_00080,24.4063,24.9892,25.5393,26.0396,26.5841,24.1909,23.8283,23.3121,16.2069,12.91,4.40417,18.1875,17.0013,15.7394,11.3255,4.92873,-0.589701,23.7742,24.3343,24.8703,25.3555,25.8822,23.5747,23.2277,22.7347,15.8319,12.6748,4.32615,18.1875,17.0013,15.7394,11.3255,4.92873,-0.589701
SSA_00091,26.8923,27.4429,27.9769,28.468,28.9995,26.7318,26.3211,25.7097,17.2825,13.6676,4.6376,20.8188,19.486,18.1169,11.4758,4.97682,-0.421875,25.4872,26.0074,26.5097,26.9685,27.4635,25.3539,24.9827,24.4318,16.601,13.2049,4.47876,20.8188,19.486,18.1169,11.4758,4.97682,-0.421875
SSA_00096,28.4061,28.9864,29.5558,30.0797,30.6448,28.247,27.7973,27.1209,18.0111,14.1886,4.80924,21.1629,19.818,18.318,11.4815,4.97852,-0.402984,27.508,28.0668,28.6131,29.1145,29.6549,27.3631,26.9389,26.3026,17.5753,13.8801,4.70603,21.1629,19.818,18.318,11.4815,4.97852,-0.402984
SSA_00097,22.8303,23.4057,23.9387,24.4215,24.9479,22.6061,22.2755,21.8133,15.2086,12.3844,4.23325,17.3174,16.1829,14.907,11.2099,4.89078,-0.655463,22.0406,22.5872,23.1005,23.5631,24.0661,21.8338,21.5222,21.0873,14.7262,12.0946,4.13535,17.3174,16.1829,14.907,11.2099,4.89078,-0.655463
SSA_00105,20.142,20.7364,21.2767,21.7611,22.291,19.8757,19.5847,19.1955,13.7585,11.4643,3.93875,15.007,14.0146,12.7592,10.1239,4.54314,-0.873906,20.0704,20.6592,21.1977,21.6801,22.2076,19.8038,19.5146,19.1278,13.7222,11.4383,3.92989,15.007,14.0146,12.7592,10.1239,4.54314,-0.873906
SSA_00108,21.0772,21.6705,22.2205,22.7127,23.2486,20.8365,20.5315,20.1177,14.2532,11.7832,4.04403,15.6891,14.6496,13.3824,10.7093,4.71599,-0.809093,20.4824,21.0538,21.5894,22.0664,22.5838,20.2613,19.9703,19.5762,13.9332,11.5693,3.97172,15.6891,14.6496,13.3824,10.7093,4.71599,-0.809093
