Accession,2022_CO2_400,2022_CO2_600,2022_CO2_800,2022_CO2_1000,2022_CO2_1250,2022_CO2_300,2022_CO2_250,2022_CO2_200,2022_CO2_100,2022_CO2_75,2022_CO2_25,2022_PAR_1800,2022_PAR_1100,2022_PAR_500,2022_PAR_300,2022_PAR_150,2022_PAR_50,2023_CO2_400,2023_CO2_600,2023_CO2_800,2023_CO2_1000,2023_CO2_1250,2023_CO2_300,2023_CO2_250,2023_CO2_200,2023_CO2_100,2023_CO2_75,2023_CO2_25,2023_PAR_1800,2023_PAR_1100,2023_PAR_500,2023_PAR_300,2023_PAR_150,2023_PAR_50
SSA_00001,23.0603911,23.1311448,23.1527289,23.1713802,23.2034613,22.2579759,22.0176876,21.6877838,15.0915585,13.293907,4.48678344,20.8617866,16.3200437,8.20546653,4.47722014,1.17295733,-1.17970303,22.8460212,22.916605,22.9371634,22.9552113,22.986491,22.0494447,21.8135598,21.4892589,14.9674996,13.208408,4.45334064,20.8617866,16.3200437,8.20546653,4.47722014,1.17295733,-1.17970303
SSA_00003,9.01979448,9.05072814,9.06797878,9.07993665,9.09926061,8.58525476,8.4817227,8.34803012,7.58374626,6.91778152,2.23934111,8.28039652,6.20269747,2.63162591,0.870023495,-0.558646727,-1.55665649,9.37339232,9.40618253,9.42445543,9.437093,9.45798349,8.88474221,8.77410806,8.63094553,7.79704825,7.1083116,2.31152849,8.28039652,6.20269747,2.63162591,0.870023495,-0.558646727,-1.55665649
SSA_00004,31.4663291,31.6298025,31.7020721,31.7652258,31.8424108,30.771675,30.5757977,30.2546161,18.8321772,15.0972867,5.08158053,29.2301888,23.4355522,12.275388,7.01111498,2.47668959,-0.844343823,32.6824196,32.8383097,32.9046583,32.9634198,33.03845,31.8761957,31.663108,31.3091079,19.4762911,15.6144855,5.26588536,29.2301888,23.4355522,12.275388,7.01111498,2.47668959,-0.844343823
SSA_00005,23.960769,24.0360856,24.0586065,24.0775512,24.1111389,23.0844379,22.8276615,22.4705992,15.5906658,13.7245318,4.64206715,20.9566785,16.4010121,8.25078822,4.5051727,1.18679461,-1.17501785,22.7922763,22.8634507,22.8842559,22.902625,22.9340088,22.0061642,21.7728436,21.4526559,14.9577859,13.1671613,4.43547025,20.9566785,16.4010121,8.25078822,4.5051727,1.18679461,-1.17501785
SSA_00006,6.84435682,6.87354421,6.89052063,6.90239015,6.92121624,6.44037956,6.35467508,6.24802438,5.78106959,5.4530453,2.0765322,6.11879544,4.4796758,1.6689,0.288671541,-0.829454768,-1.65913212,7.12757413,7.16038015,7.17851368,7.19127542,7.21188153,6.69281841,6.60041812,6.48580353,5.97953241,5.63404607,2.15017777,6.11879544,4.4796758,1.6689,0.288671541,-0.829454768,-1.65913212
SSA_00007,11.5071944,11.5533356,11.5749053,11.5904157,11.613301,11.0423326,10.9181237,10.750098,9.18006668,8.10859396,2.93278389,10.7808861,8.20859936,3.73998519,1.58216704,-0.24600974,-1.46253109,12.0320122,12.0718962,12.0896139,12.1021277,12.1235868,11.4886452,11.3538772,11.1724391,9.49491716,8.39389459,100000,10.7808861,8.20859936,3.73998519,1.58216704,-0.24600974,-1.46253109
SSA_00008,27.056843,27.1489257,27.1812803,27.2104411,27.2543405,26.2062597,25.9544736,25.6210547,17.2375175,14.2513332,4.81728754,24.6281092,19.4420976,9.95626535,5.5748546,1.74219468,-1.05647035,27.3584219,27.4507305,27.4800041,27.5067562,27.5490921,26.4780868,26.220914,25.8806006,17.3882518,14.3566205,4.86235545,24.6281092,19.4420976,9.95626535,5.5748546,1.74219468,-1.05647035
SSA_00009,20.185494,20.2467762,20.2661345,20.28125,20.3093121,19.4079316,19.1838897,18.8674222,13.0862785,100000,0,17.6749984,13.7394017,6.77572568,3.57121127,0.710727371,-1.26821687,19.474199,19.5307891,19.5498143,19.5651725,19.5922566,18.758774,18.5501456,18.255657,12.7115846,12.0266596,4.14133472,17.6749984,13.7394017,6.77572568,3.57121127,0.710727371,-1.26821687
SSA_00010,23.6244505,23.6935114,23.7160398,23.7354584,23.768728,22.7888009,22.5419881,22.2027498,15.4269149,13.5132343,4.55931593,21.1765597,16.5794073,8.34989063,4.56773532,1.21923109,-1.1688219,24.0650648,24.1356231,24.1575488,24.1762477,24.2095815,23.1801302,22.9246954,22.5698548,15.6674469,13.7429934,4.64216609,21.1765597,16.5794073,8.34989063,4.56773532,1.21923109,-1.1688219
SSA_00013,19.4812182,19.5780529,19.6182963,19.6489393,19.6895807,18.790847,18.5730755,18.2572965,12.9012907,12.1254726,4.25551795,17.0127827,13.2275507,6.49311685,3.3780299,0.600143985,-1.26436769,19.0905446,19.1862644,19.2221737,19.2496974,19.287022,18.4304975,18.2211915,17.9194451,12.6819288,11.8850703,4.16346346,17.0127827,13.2275507,6.49311685,3.3780299,0.600143985,-1.26436769
