Accession,2022_CO2_400,2022_CO2_600,2022_CO2_800,2022_CO2_1000,2022_CO2_1250,2022_CO2_300,2022_CO2_250,2022_CO2_200,2022_CO2_100,2022_CO2_75,2022_CO2_25,2022_PAR_1800,2022_PAR_1100,2022_PAR_500,2022_PAR_300,2022_PAR_150,2022_PAR_50,2023_CO2_400,2023_CO2_600,2023_CO2_800,2023_CO2_1000,2023_CO2_1250,2023_CO2_300,2023_CO2_250,2023_CO2_200,2023_CO2_100,2023_CO2_75,2023_CO2_25,2023_PAR_1800,2023_PAR_1100,2023_PAR_500,2023_PAR_300,2023_PAR_150,2023_PAR_50
SSA_00001,38.43,38.9746,39.5085,39.9984,40.5019,38.3484,37.7181,36.133,21.5244,17.1729,5.65657,32.0036,29.961,19.0837,11.427,4.92104,-0.0926947,20.2382,20.9038,21.5147,22.0966,22.8017,19.7692,19.5296,19.2298,14.6433,12.3213,4.29671,17.4324,16.4139,13.385,8.27853,3.28704,-0.654501
SSA_00003,36.8076,37.315,37.8177,38.2841,38.7682,36.734,36.1527,34.7535,20.7969,16.7858,5.48462,32.0036,29.961,19.0837,11.427,4.92104,-0.0926947,8.02913,8.73394,9.40418,10.058,10.8715,7.42478,7.20903,6.97186,6.13747,5.86429,2.80863,6.57522,6.19587,5.31428,3.23678,0.778407,-0.958799
SSA_00004,36.2254,36.7227,37.2173,37.6767,38.1544,36.1607,35.5975,34.2695,20.5482,16.6402,5.4251,32.0036,29.961,19.0837,11.427,4.92104,-0.0926947,33.9496,34.5241,35.0299,35.5014,36.0336,33.6019,33.1569,32.2788,19.6486,15.9652,5.3845,28.6052,26.4406,18.0619,10.7714,4.48609,-0.461659
SSA_00005,40.9098,41.4927,42.044,42.546,43.0571,40.7399,40.0412,38.2025,22.6336,17.8817,5.92327,32.0036,29.961,19.0837,11.427,4.92104,-0.0926947,21.1032,21.7581,22.3566,22.9251,23.6109,20.657,20.4142,20.108,14.9496,12.5412,4.35669,18.4153,17.3237,13.9777,8.60428,3.44281,-0.637259
SSA_00006,38.2131,38.756,39.2872,39.7751,40.2769,38.1325,37.5112,35.9755,21.4571,17.1584,5.6404,32.0036,29.961,19.0837,11.427,4.92104,-0.0926947,7.88768,8.61992,9.31734,9.99845,10.8464,7.25601,7.03239,6.78755,5.94534,5.67068,2.77866,6.1756,5.81386,4.98519,3.01322,0.665639,-0.977255
SSA_00007,35.7208,36.2079,36.6938,37.1459,37.6169,35.6652,35.1153,33.8257,20.3036,16.4749,5.36645,32.0036,29.961,19.0837,11.427,4.92104,-0.0926947,13.9385,14.6279,15.2697,15.888,16.6497,13.3996,13.1835,12.9279,11.4861,10.2106,3.67018,11.8184,11.1593,9.45754,5.94809,2.15999,-0.773063
SSA_00008,37.9534,38.4868,39.0113,39.4945,39.9927,37.8668,37.2541,35.754,21.3434,17.1116,5.61399,32.0036,29.961,19.0837,11.427,4.92104,-0.0926947,20.4227,21.1076,21.7363,22.3344,23.0589,19.9461,19.7015,19.3958,14.746,12.4349,4.34034,17.2039,16.2023,13.2424,8.19846,3.24891,-0.657508
SSA_00009,40.7473,41.3161,41.8543,42.3486,42.8547,40.5626,39.8659,38.0206,22.5236,17.837,5.89951,32.0036,29.961,19.0837,11.427,4.92104,-0.0926947,19.7118,20.3842,21.0017,21.5918,22.3092,19.2243,18.9865,18.6904,14.4564,12.1849,4.25993,16.8179,15.8446,13.0011,8.06355,3.18389,-0.667669
SSA_00010,39.0862,39.6398,40.1717,40.6615,41.1653,38.9696,38.3212,36.6715,21.8123,17.3899,5.72765,32.0036,29.961,19.0837,11.427,4.92104,-0.0926947,22.5951,23.3025,23.948,24.5643,25.3102,22.0931,21.8257,21.4892,15.7561,13.257,4.6044,18.2491,17.1738,13.8853,8.55477,3.41882,-0.643387
SSA_00013,41.1748,41.757,42.304,42.8033,43.3121,40.9841,40.2783,38.4095,22.7434,17.9658,5.95052,32.0036,29.961,19.0837,11.427,4.92104,-0.0926947,17.3874,18.0962,18.7505,19.3771,20.1437,16.8628,16.6303,16.3467,13.6094,11.5152,4.07506,14.3111,13.5029,11.2939,7.07199,2.70957,-0.710384
SSA_00018,42.5142,43.1084,43.6587,44.1572,44.6616,42.2609,41.5214,39.5123,23.3337,18.3422,6.09177,32.0036,29.961,19.0837,11.427,4.92104,-0.0926947,14.6209,15.3465,16.0201,16.6677,17.4649,14.0641,13.8386,13.5707,11.9962,10.5328,3.78773,11.8292,11.1695,9.46576,5.95324,2.16252,-0.772801
SSA_00024,40.2652,40.8321,41.3736,41.87,42.3781,40.1102,39.4269,37.635,22.3182,17.6877,5.84898,32.0036,29.961,19.0837,11.427,4.92104,-0.0926947,8.73159,9.42694,10.0857,10.7271,11.5243,8.14021,7.92765,7.69169,6.81114,6.53573,2.87649,7.28718,6.87117,5.89119,3.62878,0.98155,-0.926418
SSA_00033,38.7058,39.2502,39.7761,40.2615,40.7621,38.5954,37.9571,36.3409,21.6312,17.2814,5.68473,32.0036,29.961,19.0837,11.427,4.92104,-0.0926947,25.8073,26.4934,27.1162,27.7065,28.411,25.351,25.0578,24.6782,16.9435,14.1207,4.85655,21.0779,19.7677,15.4053,9.36755,3.80817,-0.603518
SSA_00041,40.4779,41.0452,41.5867,42.083,42.5909,40.3115,39.6222,37.8054,22.4085,17.7478,5.87095,32.0036,29.961,19.0837,11.427,4.92104,-0.0926947,26.6781,27.3565,27.9699,28.5505,29.2406,26.2334,25.9315,25.536,17.28,14.3576,4.92497,21.8786,20.4967,15.7793,9.56425,3.90236,-0.593453
SSA_00050,40.0303,40.598,41.136,41.6302,42.1369,39.8798,39.205,37.4579,22.2343,17.6595,5.82922,32.0036,29.961,19.0837,11.427,4.92104,-0.0926947,15.7563,16.4677,17.1276,17.7599,18.5356,15.2241,14.9986,14.7271,12.8182,10.9205,3.89651,12.9852,12.2584,10.3318,6.49042,2.42674,-0.742905
SSA_00062,39.8206,40.3846,40.9202,41.4128,41.9187,39.6765,39.0071,37.278,22.1355,17.5986,5.80577,32.0036,29.961,19.0837,11.427,4.92104,-0.0926947,20.9346,21.6437,22.2945,22.9145,23.6662,20.435,20.1819,19.8655,15.0032,12.6816,4.42854,17.0509,16.0605,13.1449,8.14402,3.22304,-0.659653
SSA_00067,40.6006,41.1724,41.7126,42.208,42.7152,40.4293,39.7366,37.908,22.4641,17.791,5.88468,32.0036,29.961,19.0837,11.427,4.92104,-0.0926947,18.8619,19.5753,20.2299,20.8552,21.6173,18.3506,18.1109,17.8149,14.1494,11.9996,4.22206,15.4359,14.5585,12.0833,7.53755,2.93263,-0.690902
SSA_00068,40.5208,41.0912,41.6306,42.1256,42.6325,40.3511,39.6609,37.8432,22.4305,17.7731,5.8767,32.0036,29.961,19.0837,11.427,4.92104,-0.0926947,20.0097,20.6976,21.3266,21.9265,22.655,19.5248,19.2827,18.981,14.5895,12.3123,4.30416,16.8333,15.859,13.0104,8.06918,3.1866,-0.66755
