Accession,2022_CO2_400,2022_CO2_600,2022_CO2_800,2022_CO2_1000,2022_CO2_1250,2022_CO2_300,2022_CO2_250,2022_CO2_200,2022_CO2_100,2022_CO2_75,2022_CO2_25,2022_PAR_1800,2022_PAR_1100,2022_PAR_500,2022_PAR_300,2022_PAR_150,2022_PAR_50,2023_CO2_400,2023_CO2_600,2023_CO2_800,2023_CO2_1000,2023_CO2_1250,2023_CO2_300,2023_CO2_250,2023_CO2_200,2023_CO2_100,2023_CO2_75,2023_CO2_25,2023_PAR_1800,2023_PAR_1100,2023_PAR_500,2023_PAR_300,2023_PAR_150,2023_PAR_50
SSA_00121,7.93162,8.52208,8.9797,9.34079,9.66975,9.64803,9.88569,10.3192,10.1057,7.56615,2.67793,7.18111,6.74634,4.69792,0.466236,-1.41949,-2.03107,9.08847,9.20298,9.4101,9.62242,9.84908,9.77066,9.98533,10.3977,9.99981,7.67658,2.69887,7.18111,6.74634,4.69792,0.466236,-1.41949,-2.03107
SSA_00123,21.7999,21.9318,22.1781,22.4236,22.6804,22.4167,22.4664,22.7823,15.6509,12.4643,4.22662,18.7287,17.5336,13.3179,4.26874,-0.557536,-1.90789,22.8156,22.9565,23.2161,23.4763,23.7491,23.4724,23.5176,23.8876,16.2136,12.7981,4.34751,18.7287,17.5336,13.3179,4.26874,-0.557536,-1.90789
SSA_00126,18.1434,18.2217,18.4423,18.6704,18.9138,18.8532,19.0242,19.5468,14.2268,11.2725,3.85227,15.1329,14.1896,10.5489,2.75479,-0.906529,-1.9542,18.9904,19.0838,19.3207,19.5655,19.8266,19.7655,19.9464,20.5393,14.8226,11.5895,3.96586,15.1329,14.1896,10.5489,2.75479,-0.906529,-1.9542
SSA_00128,17.2862,17.3723,17.5909,17.8173,18.0591,18.0264,18.2141,18.7519,13.881,10.9679,3.75727,14.4328,13.5374,10.0143,2.50911,-0.961369,-1.96181,17.537,17.6238,17.8483,18.0805,18.3282,18.2971,18.4889,19.0509,14.0764,11.0509,3.78952,14.4328,13.5374,10.0143,2.50911,-0.961369,-1.96181
SSA_00135,19.8024,19.9043,20.1498,20.404,20.6754,20.6013,20.78,21.4116,15.2619,11.894,4.06578,15.3678,14.4074,10.7274,2.83966,-0.887398,-1.95155,18.5869,18.6743,18.897,19.1276,19.374,19.3023,19.4688,19.9995,14.4476,11.4291,3.90367,15.3678,14.4074,10.7274,2.83966,-0.887398,-1.95155
SSA_00138,18.4933,18.5875,18.8118,19.0387,19.278,19.1838,19.3239,19.7712,14.2751,11.3661,3.8772,16.0942,15.083,11.2859,3.11365,-0.825546,-1.94312,19.6646,19.7583,19.9988,20.2439,20.5034,20.401,20.5499,21.0759,15.0137,11.7893,4.02825,16.0942,15.083,11.2859,3.11365,-0.825546,-1.94312
SSA_00139,21.0842,21.2055,21.4497,21.6941,21.9501,21.7375,21.8169,22.186,15.4247,12.2509,4.16237,17.9777,16.838,12.7431,3.9113,-0.642052,-1.91881,21.9659,22.0759,22.3238,22.5754,22.841,22.6098,22.6876,23.0959,15.8935,12.5648,4.26828,17.9777,16.838,12.7431,3.9113,-0.642052,-1.91881
SSA_00151,14.6323,14.7169,14.9462,15.1897,15.453,15.4874,15.7606,16.4318,13.0876,10.0473,3.46686,10.7394,10.0911,7.2591,1.38396,-1.2111,-1.99814,13.1642,13.2631,13.472,13.6907,13.9256,13.9455,14.1822,14.7195,12.0678,9.41446,3.26277,10.7394,10.0911,7.2591,1.38396,-1.2111,-1.99814
SSA_00156,20.7011,20.8162,21.0569,21.303,21.5638,21.4083,21.5284,22.0122,15.4201,12.1563,4.14068,16.8788,15.8191,11.9003,3.43279,-0.753679,-1.93365,21.8727,21.9972,22.2593,22.5273,22.8111,22.6434,22.767,23.3305,16.1371,12.6008,4.29218,16.8788,15.8191,11.9003,3.43279,-0.753679,-1.93365
SSA_00160,17.7268,17.8165,18.0404,18.272,18.5192,18.4799,18.667,19.2159,14.1441,11.1459,3.8163,14.5761,13.6845,10.1346,2.56348,-0.949323,-1.96014,17.6718,17.7603,17.9857,18.2183,18.4658,18.4312,18.6194,19.1818,14.1236,11.0797,3.80016,14.5761,13.6845,10.1346,2.56348,-0.949323,-1.96014
SSA_00173,21.4363,21.5382,21.7816,22.0299,22.2931,22.0964,22.1943,22.6398,15.6958,12.3985,4.21565,17.4661,16.3668,12.3531,3.68371,-0.695353,-1.92584,21.2762,21.3999,21.6462,21.896,22.1596,21.9672,22.0658,22.5052,15.6404,12.3449,4.20018,17.4661,16.3668,12.3531,3.68371,-0.695353,-1.92584
SSA_00178,18.6502,18.7459,18.9692,19.1995,19.445,19.3666,19.5266,20.0418,14.4566,11.442,3.90755,15.562,14.5954,10.8828,2.91412,-0.870507,-1.94921,19.0973,19.1972,19.4259,19.6624,19.9151,19.8337,19.9972,20.5442,14.7443,11.6123,3.96648,15.562,14.5954,10.8828,2.91412,-0.870507,-1.94921
SSA_00179,20.7121,20.8325,21.069,21.3082,21.5605,21.3728,21.4669,21.8698,15.2635,12.1292,4.12263,17.5579,16.4472,12.4213,3.72245,-0.686697,-1.92477,21.2024,21.318,21.5649,21.8142,22.0765,21.8814,21.9765,22.3994,15.5831,12.3115,4.18862,17.5579,16.4472,12.4213,3.72245,-0.686697,-1.92477
SSA_00186,28.9711,29.231,29.56,29.8744,30.196,29.3466,29.1172,28.9072,18.4504,14.6595,4.92912,23.9312,22.3398,16.9118,7.68657,0.378797,-1.79535,29.3929,29.6471,29.9771,30.294,30.6193,29.7477,29.5091,29.2859,18.6488,14.7999,4.97587,23.9312,22.3398,16.9118,7.68657,0.378797,-1.79535
SSA_00187,24.0815,24.2164,24.4963,24.7784,25.0747,24.7729,24.8181,25.2491,16.9805,13.2965,4.51316,18.5876,17.4041,13.2132,4.20104,-0.574155,-1.91013,22.1675,22.3017,22.5517,22.8023,23.0654,22.8041,22.8572,23.2093,15.8766,12.5855,4.2728,18.5876,17.4041,13.2132,4.20104,-0.574155,-1.91013
