Accession,2022_CO2_400,2022_CO2_600,2022_CO2_800,2022_CO2_1000,2022_CO2_1250,2022_CO2_300,2022_CO2_250,2022_CO2_200,2022_CO2_100,2022_CO2_75,2022_CO2_25,2022_PAR_1800,2022_PAR_1100,2022_PAR_500,2022_PAR_300,2022_PAR_150,2022_PAR_50,2023_CO2_400,2023_CO2_600,2023_CO2_800,2023_CO2_1000,2023_CO2_1250,2023_CO2_300,2023_CO2_250,2023_CO2_200,2023_CO2_100,2023_CO2_75,2023_CO2_25,2023_PAR_1800,2023_PAR_1100,2023_PAR_500,2023_PAR_300,2023_PAR_150,2023_PAR_50
SSA_00001,19.6563,19.7416,19.9566,20.177,20.4104,20.4206,20.603,21.568,15.1875,12.0652,4.2064,16.2917,15.3559,13.0806,7.29402,1.43147,-1.49587,19.3033,19.3865,19.5951,19.809,20.0357,20.0412,20.2186,21.0519,14.9671,11.9296,4.15692,16.2917,15.3559,13.0806,7.29402,1.43147,-1.49587
SSA_00003,15.0165,15.1176,15.2962,15.4731,15.6584,15.6089,15.739,16.0939,12.9188,10.3259,3.66615,12.9915,12.273,10.6247,5.89094,0.930541,-1.56449,16.0874,16.2026,16.3986,16.5938,16.799,16.7452,16.8883,17.3066,13.5995,10.8091,3.83164,12.9915,12.273,10.6247,5.89094,0.930541,-1.56449
SSA_00004,30.6575,30.9665,31.3268,31.6686,32.0188,30.9615,30.6565,30.2339,18.6999,15.0131,5.01321,27.1274,25.3359,18.4307,11.0489,3.678,-1.18172,32.7582,33.0828,33.4666,33.8329,34.2087,33.0305,32.6753,32.1033,19.7182,15.6736,5.25356,27.1274,25.3359,18.4307,11.0489,3.678,-1.18172
SSA_00005,21.1677,21.2732,21.5112,21.7566,22.0168,22.0262,22.2258,23.7436,16.1541,12.7341,4.4308,16.4635,15.5033,13.1906,7.35862,1.45754,-1.49129,19.1804,19.2626,19.4718,19.6852,19.9103,19.9159,20.0901,20.8863,14.8701,11.8647,4.13243,16.4635,15.5033,13.1906,7.35862,1.45754,-1.49129
SSA_00006,15.6145,15.7237,15.9157,16.1053,16.3037,16.2533,16.3908,16.7769,13.3254,10.6093,3.76439,13.0017,12.2756,10.6265,5.89225,0.93141,-1.56422,16.8481,16.9634,17.1725,17.3813,17.6012,17.5447,17.6969,18.1597,14.1053,11.1746,3.95342,13.0017,12.2756,10.6265,5.89225,0.93141,-1.56422
SSA_00007,14.5402,14.6417,14.8157,14.9868,15.1652,15.1176,15.242,15.5731,12.6155,10.103,3.58971,13.0082,12.2869,10.6354,5.89784,0.934179,-1.56354,15.6476,15.7622,15.9516,16.1395,16.3369,16.2857,16.4237,16.8126,13.3384,10.6244,3.76866,13.0082,12.2869,10.6354,5.89784,0.934179,-1.56354
SSA_00008,24.8253,24.9523,25.2158,25.4855,25.7689,25.5938,25.6845,26.6432,17.1115,13.6102,4.65293,20.9013,19.6037,16.0366,9.11039,2.13946,-1.39767,25.257,25.3916,25.6701,25.953,26.2485,26.056,26.1462,27.0957,17.4274,13.816,4.72474,20.9013,19.6037,16.0366,9.11039,2.13946,-1.39767
SSA_00009,18.8014,18.9022,19.1223,19.3458,19.5822,19.5711,19.7496,20.5037,15.0126,11.876,4.16738,14.6545,13.8209,11.8808,6.60843,1.18643,-1.52886,17.5296,17.6269,17.8245,18.0247,18.2364,18.2218,18.3841,18.9442,14.1959,11.3163,3.97617,14.6545,13.8209,11.8808,6.60843,1.18643,-1.52886
SSA_00010,20.2334,20.3225,20.5465,20.7762,21.0191,21.0283,21.2157,22.3148,15.5289,12.3061,4.28553,16.512,15.5623,13.2353,7.38443,1.46685,-1.49004,20.9971,21.0904,21.3233,21.5638,21.8191,21.826,22.0229,23.3917,16.021,12.6495,4.40095,16.512,15.5623,13.2353,7.38443,1.46685,-1.49004
SSA_00013,19.405,19.509,19.731,19.9589,20.2009,20.1964,20.3825,21.2975,15.3385,12.1187,4.24438,14.9246,14.0787,12.086,6.72514,1.22776,-1.52332,18.5552,18.6528,18.8658,19.0821,19.3107,19.3016,19.4766,20.1659,14.8121,11.7518,4.12106,14.9246,14.0787,12.086,6.72514,1.22776,-1.52332
SSA_00018,17.6006,17.7138,17.9335,18.1544,18.3877,18.3294,18.49,19.0154,14.5586,11.5043,4.06186,13.008,12.2868,10.6354,5.89779,0.934105,-1.56358,16.4859,16.5965,16.8024,17.0067,17.221,17.1667,17.3146,17.7585,13.853,10.9877,3.89179,13.008,12.2868,10.6354,5.89779,0.934105,-1.56358
