Accession,2022_CO2_400,2022_CO2_600,2022_CO2_800,2022_CO2_1000,2022_CO2_1250,2022_CO2_300,2022_CO2_250,2022_CO2_200,2022_CO2_100,2022_CO2_75,2022_CO2_25,2022_PAR_1800,2022_PAR_1100,2022_PAR_500,2022_PAR_300,2022_PAR_150,2022_PAR_50,2023_CO2_400,2023_CO2_600,2023_CO2_800,2023_CO2_1000,2023_CO2_1250,2023_CO2_300,2023_CO2_250,2023_CO2_200,2023_CO2_100,2023_CO2_75,2023_CO2_25,2023_PAR_1800,2023_PAR_1100,2023_PAR_500,2023_PAR_300,2023_PAR_150,2023_PAR_50
SSA_00001,24.9804,25.3595,25.7061,26.015,26.3271,24.8188,24.368,23.5242,13.3069,11.1094,2.4289,18.4031,15.8126,3.12999,-4.64921,-11.1782,-16.1557,24.3214,24.6847,25.0215,25.3245,25.6328,24.1752,23.7373,22.9256,12.9676,10.8389,2.36988,18.4031,15.8126,3.12999,-4.64921,-11.1782,-16.1557
SSA_00003,19.7246,20.0431,20.3409,20.6045,20.871,19.6148,19.2471,18.6205,10.5275,8.62444,1.65557,14.7949,12.0442,-1.01822,-8.8191,-15.3619,-20.347,22.1953,22.5466,22.8588,23.1309,23.4031,22.0073,21.5826,20.8223,11.633,9.65264,1.84274,14.7949,12.0442,-1.01822,-8.8191,-15.3619,-20.347
SSA_00004,31.3078,31.7559,32.1877,32.584,32.9922,31.2643,30.7575,29.6618,17.554,14.3621,4.10591,27.0741,24.8322,13.1862,5.48809,-1.01369,-5.97656,33.7889,34.2606,34.7111,35.1236,35.5466,33.6492,33.0787,31.7692,18.6985,15.181,4.37229,27.0741,24.8322,13.1862,5.48809,-1.01369,-5.97656
SSA_00005,28.1093,28.5258,28.8918,29.2122,29.5321,27.8545,27.3407,26.3003,14.9228,12.3192,2.78605,19.1109,16.5423,3.90925,-3.85225,-10.3755,-15.3456,24.5057,24.8706,25.213,25.5217,25.8364,24.379,23.9447,23.1396,13.1416,10.9917,2.45904,19.1109,16.5423,3.90925,-3.85225,-10.3755,-15.3456
SSA_00006,21.1543,21.4915,21.7914,22.0572,22.3261,20.9809,20.5815,19.8818,11.1497,9.19959,1.77453,14.7725,12.021,-1.05779,-8.85143,-15.3925,-20.3746,23.8259,24.1918,24.5014,24.769,25.036,23.5288,23.0745,22.2373,12.3822,10.3008,1.98134,14.7725,12.021,-1.05779,-8.85143,-15.3925,-20.3746
SSA_00007,18.5917,18.901,19.1904,19.4473,19.7079,18.5185,18.1769,17.6051,10.0305,8.14144,1.55864,14.7786,12.0266,-1.03856,-8.83901,-15.3818,-20.3666,21.1859,21.5256,21.8293,22.0971,22.3672,21.0207,20.6204,19.9192,11.1736,9.22752,1.77419,14.7786,12.0266,-1.03856,-8.83901,-15.3818,-20.3666
SSA_00008,29.5838,30.0141,30.4156,30.7805,31.1532,29.4586,28.9532,27.9105,16.1707,13.3613,3.45529,23.5305,21.1533,9.06822,1.32787,-5.184,-10.1508,30.2923,30.7402,31.1558,31.5294,31.908,30.1769,29.6508,28.5294,16.5769,13.5676,3.52071,23.5305,21.1533,9.06822,1.32787,-5.184,-10.1508
SSA_00009,25.5109,25.8996,26.2344,26.5257,26.8164,25.2568,24.7779,23.8596,13.3769,11.1189,2.29445,16.6876,14.0173,1.13313,-6.64789,-13.1816,-18.1596,22.9613,23.3122,23.6326,23.9186,24.2085,22.8004,22.3763,21.6094,12.1539,10.1283,2.08554,16.6876,14.0173,1.13313,-6.64789,-13.1816,-18.1596
SSA_00010,26.363,26.7601,27.1194,27.439,27.7614,26.1925,25.7153,24.7885,14.0537,11.6921,2.62515,19.1704,16.6043,3.99544,-3.77404,-10.2991,-15.2726,27.7098,28.1144,28.4683,28.7837,29.1024,27.4574,26.9519,25.9357,14.662,12.175,2.75469,19.1704,16.6043,3.99544,-3.77404,-10.2991,-15.2726
SSA_00013,25.5675,25.9422,26.2598,26.5392,26.8204,25.2586,24.7767,23.8487,13.3105,11.0867,2.26541,16.2923,13.6027,0.690387,-7.09979,-13.6367,-18.6183,23.9747,24.3434,24.6711,24.9586,25.247,23.7665,23.3175,22.4869,12.6038,10.4989,2.12759,16.2923,13.6027,0.690387,-7.09979,-13.6367,-18.6183
SSA_00018,25.4476,25.8208,26.1223,26.3811,26.6391,25.0544,24.5696,23.6394,13.1466,10.9257,2.12621,14.885,12.1364,-0.917867,-8.71785,-15.2603,-20.245,23.1728,23.5315,23.8428,24.1137,24.3847,22.9198,22.4787,21.676,12.0894,10.0504,1.93795,14.885,12.1364,-0.917867,-8.71785,-15.2603,-20.245
SSA_00024,23.1626,23.5241,23.8344,24.1041,24.3737,22.9083,22.4664,21.6622,12.0759,10.038,1.92782,14.7819,12.031,-1.03195,-8.83327,-15.3762,-20.3615,21.5438,21.8871,22.1927,22.4615,22.7322,21.3723,20.9624,20.2384,11.3279,9.37669,1.79654,14.7819,12.031,-1.03195,-8.83327,-15.3762,-20.3615
SSA_00033,26.3816,26.776,27.138,27.4612,27.7878,26.2257,25.7519,24.8322,14.1084,11.7423,2.6702,19.5619,17.0243,4.46807,-3.30213,-9.82649,-14.8006,27.7248,28.1308,28.4907,28.812,29.1369,27.4956,26.9929,25.9838,14.7241,12.2258,2.79978,19.5619,17.0243,4.46807,-3.30213,-9.82649,-14.8006
SSA_00041,31.0224,31.464,31.8599,32.216,32.5769,30.793,30.2406,29.0364,16.7119,13.6892,3.46212,22.4742,20.043,7.80435,0.0647835,-6.4477,-11.4123,30.4289,30.8691,31.2704,31.6302,31.9939,30.2412,29.7014,28.5429,16.4601,13.4835,3.40019,22.4742,20.043,7.80435,0.0647835,-6.4477,-11.4123
SSA_00050,23.7697,24.1375,24.4594,24.74,25.0203,23.5416,23.0912,22.2608,12.4429,10.3551,2.04679,15.6161,12.9076,-0.067514,-7.86497,-14.4051,-19.3893,23.2326,23.5865,23.8983,24.1741,24.4527,23.0116,22.5721,21.769,12.1597,10.1222,2.00726,15.6161,12.9076,-0.067514,-7.86497,-14.4051,-19.3893
SSA_00062,25.273,25.6545,25.9937,26.2924,26.5924,25.0603,24.5907,23.6957,13.3193,11.0897,2.3369,17.3479,14.7004,1.88942,-5.88997,-12.4216,-17.3988,25.5326,25.9166,26.2541,26.5517,26.8507,25.3005,24.8264,23.9188,13.4362,11.1892,2.36285,17.3479,14.7004,1.88942,-5.88997,-12.4216,-17.3988
SSA_00067,26.5261,26.9183,27.2609,27.5628,27.8661,26.2624,25.7727,24.8157,13.962,11.6116,2.50421,17.8384,15.2118,2.44243,-5.32849,-11.8568,-16.8306,25.7753,26.1612,26.5018,26.8039,27.1085,25.5564,25.0801,24.1621,13.5938,11.3232,2.43244,17.8384,15.2118,2.44243,-5.32849,-11.8568,-16.8306
SSA_00068,27.3135,27.7199,28.0792,28.3949,28.7108,27.0764,26.5755,25.5784,14.4742,11.9883,2.66575,18.7047,16.1276,3.45854,-4.3095,-10.8352,-15.8078,25.5511,25.9346,26.2864,26.5996,26.9159,25.3857,24.9231,24.0429,13.608,11.3452,2.50425,18.7047,16.1276,3.45854,-4.3095,-10.8352,-15.8078
