Accession,2022_CO2_400,2022_CO2_600,2022_CO2_800,2022_CO2_1000,2022_CO2_1250,2022_CO2_300,2022_CO2_250,2022_CO2_200,2022_CO2_100,2022_CO2_75,2022_CO2_25,2022_PAR_1800,2022_PAR_1100,2022_PAR_500,2022_PAR_300,2022_PAR_150,2022_PAR_50,2023_CO2_400,2023_CO2_600,2023_CO2_800,2023_CO2_1000,2023_CO2_1250,2023_CO2_300,2023_CO2_250,2023_CO2_200,2023_CO2_100,2023_CO2_75,2023_CO2_25,2023_PAR_1800,2023_PAR_1100,2023_PAR_500,2023_PAR_300,2023_PAR_150,2023_PAR_50
SSA_00001,30.0191,34.7367,36.9427,38.2851,39.3303,23.0289,19.4982,15.7321,7.3776,5.21787,0.957632,25.7847,24.8042,19.1502,11.4037,4.64354,-0.118749,29.581,34.1242,36.2684,37.5817,38.6089,22.7433,19.257,15.5409,7.28816,5.15351,0.9418,25.7847,24.8042,19.1502,11.4037,4.64354,-0.118749
SSA_00003,28.8109,33.1988,35.2688,36.5454,37.549,22.2093,18.7989,15.1693,7.10605,5.01931,0.904284,25.7123,24.7202,19.1445,11.4017,4.64302,-0.119062,30.4601,35.4403,37.7418,39.1277,40.198,23.2851,19.7052,15.8853,7.43978,5.25869,0.962699,25.7123,24.7202,19.1445,11.4017,4.64302,-0.119062
SSA_00004,31.7683,34.1602,35.4816,36.4242,37.2396,26.0732,22.1741,18.1419,8.81846,6.37216,1.39429,28.4593,27.0806,19.2521,11.446,4.63529,-0.0949083,33.7558,36.4811,37.9471,38.9716,39.8439,27.2843,23.2285,18.9967,9.2262,6.66988,1.474,28.4593,27.0806,19.2521,11.446,4.63529,-0.0949083
SSA_00005,31.5363,36.9582,39.426,40.8808,41.9861,23.9754,20.2899,16.3501,7.65771,5.41582,1.00075,25.7231,24.7297,19.1452,11.402,4.6431,-0.119043,29.1487,33.6402,35.7515,37.0487,38.0657,22.437,18.9916,15.3225,7.1785,5.07168,0.917721,25.7231,24.7297,19.1452,11.402,4.6431,-0.119043
SSA_00006,29.8845,34.5401,36.7217,38.0543,39.0943,22.9214,19.402,15.6509,7.33588,5.1861,0.947964,25.7279,24.7568,19.1481,11.4033,4.64383,-0.119301,31.6072,37.0053,39.4686,40.9208,42.0242,24.0573,20.3622,16.4114,7.69061,5.44101,1.00919,25.7279,24.7568,19.1481,11.4033,4.64383,-0.119301
SSA_00007,28.1515,32.2436,34.2007,35.4219,36.3898,21.7968,18.448,14.891,6.97694,4.92628,0.88154,25.7118,24.7125,19.1459,11.4028,4.64391,-0.119722,29.868,34.5437,36.7405,38.0793,39.1226,22.8768,19.3632,15.6176,7.31731,5.17181,0.942874,25.7118,24.7125,19.1459,11.4028,4.64391,-0.119722
SSA_00008,29.795,34.321,36.4586,37.7728,38.8027,22.8361,19.3289,15.5942,7.31086,5.16858,0.944443,25.7213,24.7323,19.1491,11.4046,4.64501,-0.1203,30.1321,34.9407,37.179,38.5354,39.5883,23.1149,19.57,15.7871,7.4017,5.23457,0.960897,25.7213,24.7323,19.1491,11.4046,4.64501,-0.1203
SSA_00009,31.4375,36.7856,39.2287,40.6743,41.7755,23.9156,20.2369,16.3065,7.63669,5.40019,0.996802,25.7216,24.7284,19.1451,11.4019,4.64309,-0.119046,29.739,34.412,36.6049,37.941,38.9822,22.8032,19.3007,15.5671,7.29256,5.15357,0.937797,25.7216,24.7284,19.1451,11.4019,4.64309,-0.119046
SSA_00010,30.387,35.2808,37.5612,38.938,40.0034,23.2084,19.6415,15.8361,7.41766,5.24324,0.959385,25.7185,24.7257,19.1449,11.4019,4.64306,-0.11905,31.153,36.4896,38.9239,40.364,41.4618,23.7487,20.1009,16.2013,7.58845,5.36634,0.989018,25.7185,24.7257,19.1449,11.4019,4.64306,-0.11905
SSA_00013,31.7173,37.2052,39.6932,41.1554,42.2634,24.1211,20.415,16.4519,7.70788,5.45288,1.01104,25.7589,24.7797,19.1471,11.4021,4.64266,-0.118348,30.7099,35.733,38.0498,39.4429,40.5175,23.4673,19.8611,16.0121,7.5026,5.3051,0.975876,25.7589,24.7797,19.1471,11.4021,4.64266,-0.118348
