Accession,2022_CO2_400,2022_CO2_600,2022_CO2_800,2022_CO2_1000,2022_CO2_1250,2022_CO2_300,2022_CO2_250,2022_CO2_200,2022_CO2_100,2022_CO2_75,2022_CO2_25,2022_PAR_1800,2022_PAR_1100,2022_PAR_500,2022_PAR_300,2022_PAR_150,2022_PAR_50,2023_CO2_400,2023_CO2_600,2023_CO2_800,2023_CO2_1000,2023_CO2_1250,2023_CO2_300,2023_CO2_250,2023_CO2_200,2023_CO2_100,2023_CO2_75,2023_CO2_25,2023_PAR_1800,2023_PAR_1100,2023_PAR_500,2023_PAR_300,2023_PAR_150,2023_PAR_50
SSA_00001,19.9868,20.9033,21.7934,22.6146,23.5489,19.7175,19.4353,19.0805,13.3057,10.663,3.46457,16.8976,16.152,16.1833,10.2118,3.70433,-1.39497,19.6494,20.5457,21.4181,22.2222,23.1362,19.3986,19.1235,18.778,13.1362,10.5667,3.42597,16.8976,16.152,16.1833,10.2118,3.70433,-1.39497
SSA_00003,8.10241,8.92035,9.72667,10.4803,11.3625,7.78661,7.5865,7.37763,6.75052,6.2972,2.22136,7.37764,7.12528,6.53632,3.96893,-0.358087,-1.92324,8.48801,9.36445,10.2139,11.0117,11.9504,8.12867,7.91554,7.69345,7.01069,6.51108,2.25057,7.37764,7.12528,6.53632,3.96893,-0.358087,-1.92324
SSA_00004,29.57,30.1942,30.828,31.419,32.0633,29.573,29.1104,28.3695,17.7329,14.0888,4.60969,26.0535,24.7061,18.4998,10.9965,4.56312,-0.586144,31.6598,32.3409,33.0295,33.6725,34.372,31.639,31.1097,30.2428,18.7295,14.6931,4.84115,26.0535,24.7061,18.4998,10.9965,4.56312,-0.586144
SSA_00005,21.8894,22.8704,23.8267,24.7104,25.7149,21.5946,21.2776,20.87,14.3039,11.2744,3.68798,17.4059,16.6322,16.6673,10.2709,3.79732,-1.35624,20.0145,20.885,21.7344,22.5175,23.4057,19.7851,19.509,19.1557,13.2854,10.7007,3.46892,17.4059,16.6322,16.6673,10.2709,3.79732,-1.35624
SSA_00006,7.09948,7.91059,8.70828,9.4572,10.3381,6.79328,6.59477,6.3892,5.82074,5.49961,1.74387,6.33029,6.11385,5.58179,3.21856,-0.642124,-1.9575,7.43937,8.29973,9.14478,9.9408,10.8806,7.09121,6.88097,6.66325,6.04847,5.69549,1.99488,6.33029,6.11385,5.58179,3.21856,-0.642124,-1.9575
SSA_00007,12.9862,13.8649,14.7089,15.4906,16.3944,12.6444,12.4233,12.1808,10.0921,8.83794,2.59353,11.8923,11.4271,10.7656,8.21034,1.45847,-1.72679,13.7496,14.6961,15.6044,16.4481,17.4271,13.3469,13.1085,12.8472,10.487,9.09388,2.69076,11.8923,11.4271,10.7656,8.21034,1.45847,-1.72679
SSA_00008,24.5946,25.3881,26.1766,26.909,27.7321,24.4222,24.0732,23.5688,15.4697,12.3242,4.01567,20.7545,19.783,17.8077,10.5745,4.183,-1.0596,25.0027,25.8221,26.6428,27.4026,28.2529,24.8701,24.5108,23.9869,15.7645,12.3975,4.06287,20.7545,19.783,17.8077,10.5745,4.183,-1.0596
SSA_00009,19.7304,20.7284,21.7034,22.6037,23.6325,19.3878,19.0964,18.7421,13.2591,10.5327,3.43153,15.8699,15.1922,14.9962,10.0694,3.47093,-1.46677,18.5814,19.5014,20.3954,21.2205,22.1628,18.2773,18.0101,17.6859,12.64,10.1932,3.29425,15.8699,15.1922,14.9962,10.0694,3.47093,-1.46677
SSA_00010,21.5274,22.4367,23.3238,24.1445,25.0768,21.2519,20.948,20.5523,14.0268,11.1714,3.64298,17.8174,17.0206,16.9639,10.3197,3.86456,-1.32571,22.2433,23.185,24.1152,24.9757,25.9528,21.9478,21.628,21.2109,14.4389,11.3994,3.72816,17.8174,17.0206,16.9639,10.3197,3.86456,-1.32571
SSA_00013,20.1855,21.1965,22.1794,23.0881,24.1275,19.8249,19.527,19.162,13.4617,10.668,3.48004,16.0192,15.3381,15.1831,10.0979,3.51158,-1.45751,19.4444,20.4014,21.3364,22.1996,23.1855,19.1194,18.8367,18.4915,13.0823,10.4535,3.39768,16.0192,15.3381,15.1831,10.0979,3.51158,-1.45751
