Accession,2022_CO2_400,2022_CO2_600,2022_CO2_800,2022_CO2_1000,2022_CO2_1250,2022_CO2_300,2022_CO2_250,2022_CO2_200,2022_CO2_100,2022_CO2_75,2022_CO2_25,2022_PAR_1800,2022_PAR_1100,2022_PAR_500,2022_PAR_300,2022_PAR_150,2022_PAR_50,2023_CO2_400,2023_CO2_600,2023_CO2_800,2023_CO2_1000,2023_CO2_1250,2023_CO2_300,2023_CO2_250,2023_CO2_200,2023_CO2_100,2023_CO2_75,2023_CO2_25,2023_PAR_1800,2023_PAR_1100,2023_PAR_500,2023_PAR_300,2023_PAR_150,2023_PAR_50
SSA_00001,20.283,20.1054,20.2744,20.5136,20.7877,21.925,22.891,26.3553,15.9764,12.0409,4.01336,16.7118,15.5053,10.106,1.72023,-1.14214,-1.96677,19.9325,19.7095,19.8759,20.1103,20.3787,21.4708,22.3857,25.9233,15.7258,11.9565,3.97015,16.7118,15.5053,10.106,1.72023,-1.14214,-1.96677
SSA_00003,19.3496,19.1762,19.335,19.5595,19.8172,20.8814,21.769,25.2701,15.3377,11.7644,3.89426,16.6113,15.4724,10.0856,1.71392,-1.14372,-1.96711,20.7872,20.6128,20.7823,21.0251,21.3043,22.4781,23.4879,26.892,16.2819,12.2153,4.07343,16.6113,15.4724,10.0856,1.71392,-1.14372,-1.96711
SSA_00004,31.6174,31.9122,32.2688,32.61,32.9583,32.0043,31.7338,31.2855,19.0839,15.2998,4.99938,28.0853,26.0697,17.8893,7.41992,0.0382258,-1.80001,33.6526,33.9464,34.3334,34.7024,35.0767,34.0342,33.7246,33.1216,20.117,15.8822,5.22252,28.0853,26.0697,17.8893,7.41992,0.0382258,-1.80001
SSA_00005,22.6414,22.4186,22.6096,22.8742,23.175,24.3903,25.4362,28.3972,17.2035,12.7866,4.26466,17.4508,16.1863,10.577,1.86267,-1.11319,-1.96165,20.3726,20.2227,20.3954,20.6316,20.8994,21.9467,22.8045,26.0264,15.8103,12.0896,4.00459,17.4508,16.1863,10.577,1.86267,-1.11319,-1.96165
SSA_00006,20.1853,20.0042,20.1688,20.4036,20.6734,21.798,22.7511,26.2218,15.885,12.0296,3.99995,16.6049,15.4665,10.0816,1.71271,-1.14396,-1.96715,21.7742,21.5338,21.7166,21.9768,22.275,23.5201,24.6145,27.9507,16.9294,12.5343,4.18976,16.6049,15.4665,10.0816,1.71271,-1.14396,-1.96715
SSA_00007,18.7165,18.5154,18.6711,18.8891,19.1388,20.1401,20.9606,24.503,14.9266,11.6271,3.81734,16.6678,15.4647,10.0798,1.71226,-1.14397,-1.96714,20.1432,19.968,20.1358,20.3733,20.6456,21.7694,22.7206,26.2225,15.8971,12.0119,3.99931,16.6678,15.4647,10.0798,1.71226,-1.14397,-1.96714
SSA_00008,26.6289,26.6235,26.8736,27.1533,27.4504,27.7669,28.0604,29.1668,17.8709,13.9904,4.57023,22.5316,20.8601,14.1251,3.20653,-0.849544,-1.91882,27.0509,27.0329,27.298,27.592,27.9027,28.2385,28.5404,29.6567,18.1843,14.0792,4.62246,22.5316,20.8601,14.1251,3.20653,-0.849544,-1.91882
SSA_00009,21.668,21.452,21.6333,21.8912,22.1869,23.4167,24.4919,27.838,16.8596,12.5083,4.17926,16.6983,15.5308,10.1225,1.72526,-1.14096,-1.96653,20.1361,19.9375,20.1054,20.3424,20.6138,21.7289,22.6696,26.1648,15.8647,12.0055,3.99476,16.6983,15.5308,10.1225,1.72526,-1.14096,-1.96653
SSA_00010,21.5356,21.3046,21.4844,21.7332,22.0159,23.1453,24.0926,27.2141,16.4953,12.4211,4.13419,17.4344,16.1733,10.5679,1.85987,-1.11379,-1.96175,22.326,22.1325,22.3185,22.5774,22.872,24.0553,25.0661,28.093,17.0154,12.7019,4.23255,17.4344,16.1733,10.5679,1.85987,-1.11379,-1.96175
SSA_00013,22.0799,21.832,22.007,22.2616,22.5554,23.8177,24.9365,28.1442,17.0201,12.6261,4.21388,16.7012,15.5285,10.1207,1.72477,-1.14103,-1.96654,20.9836,20.7512,20.9268,21.1755,21.4604,22.6525,23.681,27.0699,16.4041,12.2443,4.09156,16.7012,15.5285,10.1207,1.72477,-1.14103,-1.96654
