Plot,Repeat,Machine,Date,Plot_Repeat,PAR,Photo,Ci,Cond,Flag_removal,
1001,1,CAP2,Aug-15,1001_1,1800.946655,32.82224772,81.2289896,0.181255726,,
1001,1,CAP6,Aug-17,1001_1,1800.479614,25.38938325,0.404036829,0.107551018,x,
1001,1,CAP6,Aug-17,1001_1,1098.737427,24.50575263,22.726303,0.109842876,x,
1001,1,CAP2,Aug-15,1001_1,1098.143921,28.91455958,136.7881765,0.194724941,,
1001,1,CAP6,Aug-17,1001_1,500.8955078,21.4776532,72.48538779,0.111023492,x,
1001,1,CAP2,Aug-15,1001_1,500.394043,20.63706425,204.5882982,0.188211777,,
1001,1,CAP2,Aug-15,1001_1,301.8575439,14.5747963,240.4248033,0.162243405,,
1001,1,CAP6,Aug-17,1001_1,297.9902344,15.98300993,126.7412554,0.098785224,x,
1001,1,CAP6,Aug-17,1001_1,151.6472321,7.232070455,246.8470347,0.080688384,x,
1001,1,CAP2,Aug-15,1001_1,149.9433594,7.62620539,298.3606717,0.135478131,,
1001,1,CAP2,Aug-15,1001_1,50.76400375,0.363862938,386.6914007,0.104161922,,
1001,1,CAP2,Aug-15,1001_1,50.76400375,0.363862938,386.6914007,0.104161922,,
1001,1,CAP6,Aug-17,1001_1,49.70272064,-0.109114408,396.7452036,0.067543872,x,
1001,1,CAP6,Aug-17,1001_1,49.70272064,-0.109114408,396.7452036,0.067543872,x,
1001,2,CAP1,Aug-15,1001_2,1799.52832,22.44531182,43.93132914,0.107017929,,
1001,2,CAP1,Aug-15,1001_2,1101.167603,21.20590977,115.5138766,0.127891861,,
1001,2,CAP1,Aug-15,1001_2,501.067749,12.75038892,210.1965777,0.115779961,,
1001,2,CAP1,Aug-15,1001_2,299.8613586,6.100977058,308.7037759,0.119962384,,
1001,2,CAP1,Aug-15,1001_2,142.9658051,-0.490260213,403.9986822,0.077225905,,
1001,2,CAP1,Aug-15,1001_2,142.9658051,-0.490260213,403.9986822,0.077225905,,
1001,2,CAP1,Aug-15,1001_2,67.98932648,0.762054115,378.8186538,0.084408921,x,
1001,3,CAP3,Aug-15,1001_3,1799.663818,23.26760198,-12.02305,0.095182948,,
1001,3,CAP3,Aug-15,1001_3,1098.800781,21.12704792,46.41834192,0.100987285,,
1001,3,CAP3,Aug-15,1001_3,500.1361084,15.29120943,135.8453794,0.098124613,,
1001,3,CAP3,Aug-15,1001_3,298.1435852,10.1540166,208.2827801,0.090278309,,
1001,3,CAP3,Aug-15,1001_3,151.1837616,6.221832092,256.0055993,0.07383396,,
1001,3,CAP3,Aug-15,1001_3,50.48254013,1.837377882,345.5803479,0.061862535,,
1001,3,CAP3,Aug-15,1001_3,50.48254013,1.837377882,345.5803479,0.061862535,,
1001,4,CAP3,Aug-26,1001_4,1799.998779,19.4296774,86.64057891,0.105857957,x,
1001,4,CAP2,Aug-26,1001_4,1798.464355,26.013112,76.56124283,0.13913671,x,
1001,4,CAP3,Aug-26,1001_4,1102.071411,18.8397577,101.1748948,0.107176386,x,
1001,4,CAP2,Aug-26,1001_4,1101.089722,23.87760882,117.6046944,0.146716794,x,
1001,4,CAP2,Aug-26,1001_4,502.2249451,18.39076518,175.8969588,0.142487147,x,
1001,4,CAP3,Aug-26,1001_4,499.4126892,13.04865326,188.0820429,0.105417791,x,
1001,4,CAP2,Aug-26,1001_4,300.5335388,12.63812941,215.0006912,0.118502993,x,
1001,4,CAP3,Aug-26,1001_4,300.4035645,9.019818502,231.4667637,0.091526776,x,
1001,4,CAP2,Aug-26,1001_4,150.4867401,7.254320595,270.1985456,0.097690927,x,
1001,4,CAP3,Aug-26,1001_4,148.6538544,4.980297327,281.0305355,0.072387412,x,
1001,4,CAP3,Aug-26,1001_4,51.15262222,1.615947656,346.5590452,0.055896947,x,
1001,4,CAP3,Aug-26,1001_4,51.15262222,1.615947656,346.5590452,0.055896947,x,
1001,4,CAP2,Aug-26,1001_4,49.54828644,2.021035092,349.9237706,0.07685637,x,
1001,4,CAP2,Aug-26,1001_4,49.54828644,2.021035092,349.9237706,0.07685637,x,
1002,1,CAP5,Aug-24,1002_1,1798.758301,27.93578701,60.82358053,0.142421667,,
1002,1,CAP5,Aug-24,1002_1,1098.308228,26.49550868,81.42168837,0.143672639,,
1002,1,CAP5,Aug-24,1002_1,499.1176758,19.4542946,159.6043391,0.140601306,,
1002,1,CAP5,Aug-24,1002_1,298.7872925,14.48877457,196.5285416,0.12343991,,
1002,1,CAP5,Aug-24,1002_1,151.6124268,8.117309267,266.9765633,0.107476406,,
1002,1,CAP5,Aug-24,1002_1,50.90599823,2.019267487,354.4742066,0.088774274,,
1002,1,CAP5,Aug-24,1002_1,50.90599823,2.019267487,354.4742066,0.088774274,,
1002,2,CAP8,Aug-24,1002_2,1800.656006,35.01144196,105.5070498,0.211965112,,
