Plot,Accession
2066,SSA_00062
2067,SSA_00030
2068,SSA_00056
2069,SSA_00185
2070,SSA_00028
2071,SSA_00232
2072,SSA_00078
2073,SSA_00210
2074,SSA_00302
2075,SSA_00191
2076,SSA_00093
2077,SSA_00042
2078,SSA_00106
2079,SSA_00176
2080,SSA_00021
2081,SSA_00299
2082,SSA_00110
2083,SSA_00222
2084,SSA_00039
2085,SSA_00231
2086,SSA_00002
2087,SSA_00008
2088,SSA_00249
2089,SSA_00139
2090,SSA_00311
2091,SSA_00149
2092,SSA_00112
2093,SSA_00123
2094,SSA_00031
2095,SSA_00094
2096,SSA_00316
2097,SSA_00125
2098,SSA_00223
2099,SSA_00224
2100,SSA_00241
2101,SSA_00290
2102,SSA_00174
2103,SSA_00122
2104,SSA_00292
2105,SSA_00018
2106,SSA_00037
2107,SSA_00026
2108,SSA_00209
2109,SSA_00250
2110,SSA_00131
2111,SSA_00065
2112,SSA_00184
2113,SSA_00242
2114,SSA_00246
2115,SSA_00339
2116,SSA_00048
2117,SSA_00017
2118,SSA_00277
2119,SSA_00305
2120,SSA_00227
2121,SSA_00282
2122,SSA_00386
2123,SSA_00029
2124,SSA_00023
2125,SSA_00118
2126,SSA_00236
2127,SSA_00341
2128,SSA_00027
2129,SSA_00090
2130,SSA_00141
2131,SSA_00012
2132,SSA_00207
2133,SSA_00041
2134,SSA_00109
2135,SSA_00212
2136,SSA_00100
2137,SSA_00395
2138,SSA_00199
2139,SSA_00096
2140,SSA_00275
2141,SSA_00005
2142,SSA_00297
2143,SSA_00092
2144,SSA_00063
2145,SSA_00269
2146,SSA_00108
2147,SSA_00137
2148,SSA_00086
2149,SSA_00143
2150,SSA_00235
2151,SSA_00101
2152,SSA_00124
2153,SSA_00040
2154,SSA_00197
2155,SSA_00025
2156,SSA_00145
2157,SSA_00312
2158,SSA_00376
2159,SSA_00156
2160,SSA_00263
2161,SSA_00064
2162,SSA_00317
2163,SSA_00136
2164,SSA_00255
2165,SSA_00146
2166,SSA_00265
2167,SSA_00077
2168,SSA_00147
2169,SSA_00066
2170,SSA_00107
2171,SSA_00173
2172,SSA_00300
2173,SSA_00245
2174,SSA_00047
2175,SSA_00254
2176,SSA_00289
2177,SSA_00120
2178,SSA_00104
2179,SSA_00068
2180,SSA_00010
2181,SSA_00014
2182,SSA_00084
2183,SSA_00204
2184,SSA_00044
2185,SSA_00205
2186,SSA_00291
2187,SSA_00148
2188,SSA_00380
2189,SSA_00215
2190,SSA_00229
2191,SSA_00226
2192,SSA_00247
2193,SSA_00111
2194,SSA_00097
2195,SSA_00105
2196,SSA_00158
2197,SSA_00213
2198,SSA_00187
2199,SSA_00189
2200,SSA_00296
2201,SSA_00293
2202,SSA_00036
2203,SSA_00168
2204,SSA_00135
2205,SSA_00218
2206,SSA_00195
2207,SSA_00024
2208,SSA_00154
2209,SSA_00367
2210,SSA_00058
2211,SSA_00179
2212,SSA_00261
2213,SSA_00346
2214,SSA_00166
2215,SSA_00020
2216,SSA_00208
2217,SSA_00239
2218,SSA_00287
2219,SSA_00045
2220,SSA_00130
2221,SSA_00138
2222,SSA_00087
2223,SSA_00180
2224,SSA_00172
2225,SSA_00175
2226,SSA_00055
2227,SSA_00164
2228,SSA_00001
2229,SSA_00353
2230,SSA_00271
2231,SSA_00248
2232,SSA_00053
2233,SSA_00217
2234,SSA_00314
2235,SSA_00243
2236,SSA_00252
2237,SSA_00366
2238,SSA_00127
2239,SSA_00116
2240,SSA_00152
2241,SSA_00284
2242,SSA_00288
2243,SSA_00016
2244,SSA_00133
2245,SSA_00238
2246,SSA_00022
2247,SSA_00267
2248,SSA_00144
2249,SSA_00285
2250,SSA_00157
2251,SSA_00258
2252,SSA_00088
2253,SSA_00007
2254,SSA_00113
2255,SSA_00019
2256,SSA_00369
2257,SSA_00221
2258,SSA_00186
2259,SSA_00200
2260,SSA_00052
2261,SSA_00274
2262,SSA_00103
2263,SSA_00155
2264,SSA_00286
2265,SSA_00264
2266,SSA_00035
2267,SSA_00150
2268,SSA_00114
2269,SSA_00253
2270,SSA_00237
2271,SSA_00304
2272,SSA_00051
2273,SSA_00061
2274,SSA_00256
2275,SSA_00151
2276,SSA_00159
2277,SSA_00099
2278,SSA_00313
2279,SSA_00080
2280,SSA_00079
2281,SSA_00266
2282,SSA_00076
2283,SSA_00190
2284,SSA_00075
2285,SSA_00170
2286,SSA_00273
2287,SSA_00178
2288,SSA_00306
2289,SSA_00279
2290,SSA_00280
2291,SSA_00057
2292,SSA_00211
2293,SSA_00163
2294,SSA_00196
2295,SSA_00337
2296,SSA_00091
2297,SSA_00359
2298,SSA_00033
2299,SSA_00268
2300,SSA_00162
2301,SSA_00049
2302,SSA_00278
2303,SSA_00142
2304,SSA_00006
2305,SSA_00071
2306,SSA_00134
2307,SSA_00294
2308,SSA_00203
2309,SSA_00230
2310,SSA_00307
2311,SSA_00102
2312,SSA_00128
2313,SSA_00171
2314,SSA_00115
2315,SSA_00301
2316,SSA_00298
2317,SSA_00201
2318,SSA_00082
2319,SSA_00403
2320,SSA_00198
