Row,Y22PAR_1800,Y22PAR_1100,Y22PAR_500,Y22PAR_300,Y22PAR_150,Y22PAR_50
SSA_00002,22.4615399533333,21.0206107033333,16.3243289333333,12.0268547916667,5.44381810916667,-0.602709017166667
SSA_00011,26.861093535,25.6954658983333,19.0455900016667,13.59884812,6.40121824516667,0.877150768333333
SSA_00014,28.8445586466667,26.45516817,18.739453195,12.1680136313333,4.97705450016667,-0.474541782333333
SSA_00016,26.5040819733333,24.7379287233333,19.5395641833333,13.5027391473333,6.56471414133333,0.230289739666667
SSA_00017,30.1421423166667,28.0714045066667,19.64288021,12.8879053695,6.32303627566667,-0.1227142975
SSA_00019,28.382211994,26.082090262,19.020728852,13.5006801572,5.6795163532,-0.0467769517999999
SSA_00020,30.0193243333333,27.5336905966667,20.0666018033333,12.9034091816667,5.82268824883333,-0.234232410333333
SSA_00021,30.3802612383333,27.0681503183333,19.9842970266667,13.571330515,6.3636985185,0.0418656675
SSA_00022,30.99714724,27.569106054,19.267961888,12.6517428514,5.8619565494,0.168403152
SSA_00023,24.787687828,22.887981686,17.986681308,12.6130201018,6.3302276484,0.2871236656
SSA_00025,35.20565136,31.474646902,21.301678032,13.582664746,6.2543807992,-0.1683020318
SSA_00026,21.85997596,20.379712967,16.9569255365,12.6314235991667,6.5776435975,1.40382929033333
SSA_00027,24.3359667566667,22.4160341583333,18.6888604483333,13.3264588933333,5.761046801,-0.455628489
SSA_00028,27.7944280975,25.76497056,17.9747920775,11.884468449,4.279996037,-1.41189387375
SSA_00029,23.438034248,22.280249716,18.5580069024,12.9749829888,6.502769782,1.2302916946
SSA_00030,26.7244524966667,25.0071178166667,17.6635279666667,11.7118740316667,5.24566775383333,-0.346428851833333
SSA_00031,21.713114775,21.03582377,16.2234305116667,10.9947295176667,5.93368367883333,0.384804708333333
SSA_00034,25.291317265,23.6954648633333,19.0817722466667,13.75782807,6.65327856383333,0.8831717635
SSA_00035,25.9239801286667,23.7658965566667,17.742911304,12.6032051248333,5.81404013583333,-0.580059898166667
SSA_00036,27.0698726966667,25.0375417316667,20.2921652416667,14.2339437,6.96700563866667,0.621830721333333
SSA_00037,25.041015665,23.6148267116667,18.243780517,12.7986125513333,5.933219485,0.959224802833333
SSA_00039,37.93150322,34.00716033,22.14240111,13.5173908016667,5.79080787233333,-1.01043957516667
SSA_00040,25.221905394,23.35906665,17.560032652,12.4245532378,6.0453606942,0.2942848574
SSA_00042,30.527208895,27.93473304,19.8030560166667,12.8910358193333,5.6715766025,0.931276507833333
SSA_00043,27.585497755,24.3075648033333,18.2964347983333,12.5263878291667,5.805799884,-0.0137815441666667
SSA_00044,36.7592375,32.3861968516667,21.7749735916667,14.5772828283333,6.33190335166667,-0.0805905028333333
SSA_00045,38.6556780883333,34.5931291533333,23.0225551116667,15.1979830983333,6.61245725116667,-0.170466230833333
SSA_00046,28.231720841,24.9098146348333,17.6167028,11.654961363,5.45300793216667,0.0312287458333333
SSA_00047,35.6102773783333,31.928744865,21.300556105,13.4273523116667,5.59937321633333,-0.836022043333333
SSA_00048,27.3934705666667,24.8584227783333,18.7499289916667,12.5032372783333,4.9137872165,-0.360084909333333
SSA_00049,29.076163466,27.111878732,19.864555424,13.5498930092,6.0119018612,0.570730081
SSA_00051,30.3961806025,26.8905397925,18.830774865,12.857810575,6.755335726,0.67386167625
SSA_00052,33.7485668933333,30.5450408633333,21.7148289033333,14.3977192183333,6.80673322,0.7535861705
SSA_00053,32.7942693433333,29.80760947,21.5415021616667,14.8442258383333,6.67452014183333,0.313275700166667
SSA_00054,26.3757274283333,24.3122658433333,17.1571879716667,10.1642386315,3.60262178533333,-1.12287028383333
SSA_00055,24.5211477096667,23.5302397485,18.1450034596667,12.015082317,5.51314398966667,0.253541701
SSA_00056,32.6300507666667,28.7798066383333,20.070050395,13.1829038366667,4.1735834915,-1.21123163383333
SSA_00057,33.261596785,28.2753907183333,18.05676425,11.7428590741667,5.07090414533333,-0.416779804666667
SSA_00058,31.0556894975,27.0366914,19.58084419,13.17770739675,5.767762461,-0.39886988625
SSA_00059,29.0491442483333,26.94907331,20.020369575,13.2345929783333,5.6961365795,-0.968102878333333
SSA_00060,19.92146887,18.5757488153333,15.5920921916667,11.0865266131667,5.70199766516667,0.6275719095
SSA_00061,39.25850962,34.59744415,23.473769596,14.941770912,6.8394882926,0.3286363602
SSA_00063,28.48257543,26.1572306333333,18.9428406066667,12.3967225743333,5.67541967616667,-0.1361551775
SSA_00064,30.2914913116667,26.6799972466667,19.0440875583333,13.6806546716667,6.18913890183333,0.159297823166667
SSA_00065,34.322365625,29.85381953,20.9630093416667,13.7665610316667,5.7935215015,0.28377638
SSA_00066,20.3904257666667,19.6804030316667,15.9501888633333,12.3548142188333,6.38292653016667,0.5329694175
SSA_00071,34.642672242,30.640222954,22.391210934,15.131817358,6.7423425808,-0.2851861198
