Environment,Genotype,BLUP_PAR_1800,BLUE_PAR_1800
OVERALL,SSA_00001,25.0174805241605,26.3923207460482
OVERALL,SSA_00002,20.8515250082717,20.2241520233852
OVERALL,SSA_00003,18.4890116258603,16.2150640185101
OVERALL,SSA_00004,28.5734991156902,31.4504826961022
OVERALL,SSA_00005,23.4443048738132,24.1503887014058
OVERALL,SSA_00006,11.565479285833,7.07264237030044
OVERALL,SSA_00007,19.3546924117571,18.2271047525155
OVERALL,SSA_00008,28.3840210506285,31.104668325616
OVERALL,SSA_00009,23.6486820611341,24.5398748727194
OVERALL,SSA_00010,24.6381067294119,25.6842198010201
OVERALL,SSA_00011,21.8151116636412,21.5887981709669
OVERALL,SSA_00012,17.6909878249812,14.8006764016638
OVERALL,SSA_00013,24.0563916009585,25.3297925817129
OVERALL,SSA_00014,19.8831936588121,18.9309071524652
OVERALL,SSA_00015,23.2759368299535,23.6777958468953
OVERALL,SSA_00016,20.8861585515833,20.1603676556613
OVERALL,SSA_00017,25.5082655351322,27.5210980313243
OVERALL,SSA_00018,24.9906255010121,26.1270204586164
OVERALL,SSA_00019,24.4594684108168,25.3924801875586
OVERALL,SSA_00020,22.838850020509,23.1322822225706
OVERALL,SSA_00021,24.1589681019962,24.942677712145
OVERALL,SSA_00022,25.0408240721492,26.2084775829091
OVERALL,SSA_00023,23.3961421294679,24.2296616093695
OVERALL,SSA_00024,19.9834774664473,18.6512588627424
OVERALL,SSA_00025,30.3130041367086,33.606565473577
OVERALL,SSA_00026,21.1519004972958,20.5426931703851
OVERALL,SSA_00027,23.7533698335074,24.6687322673445
OVERALL,SSA_00028,26.1824643964661,28.8733965375944
OVERALL,SSA_00029,22.3689310994591,22.4395977282588
OVERALL,SSA_00030,23.7709146288115,24.7152905570947
OVERALL,SSA_00031,20.9953035348559,20.3226635887823
OVERALL,SSA_00032,21.1135386868627,20.3861007825706
OVERALL,SSA_00033,23.4813412424322,24.0059148459627
OVERALL,SSA_00034,22.345786539549,22.3784179332327
OVERALL,SSA_00035,21.8165157475665,21.6538449902582
OVERALL,SSA_00036,23.9857552809988,25.1616703079429
OVERALL,SSA_00037,26.0830136139914,28.4395769532347
OVERALL,SSA_00038,19.0516434900078,15.1571217593291
OVERALL,SSA_00039,26.5647669013842,29.3070571056749
OVERALL,SSA_00040,22.1936925520039,22.2930278175681
OVERALL,SSA_00041,25.0201377233203,26.6871591668706
OVERALL,SSA_00042,26.5469510409354,29.156189359986
OVERALL,SSA_00043,21.9384193306793,21.8370105769486
OVERALL,SSA_00044,27.0472900443559,30.0297083029175
OVERALL,SSA_00045,27.4766057255334,30.6767459946102
OVERALL,SSA_00046,24.0819439956785,25.2503234681945
OVERALL,SSA_00047,22.6671548166344,22.7200414840026
OVERALL,SSA_00048,25.1351524841819,26.4024815172946
OVERALL,SSA_00049,23.6281081701106,24.4801863862946
OVERALL,SSA_00050,22.956518843405,23.507650884415
OVERALL,SSA_00051,25.9923163236498,28.5364596569151
OVERALL,SSA_00052,25.0398504168993,26.7373633792843
OVERALL,SSA_00053,23.1554814361427,23.5149964693899
OVERALL,SSA_00054,26.2165114835759,27.7941134493851
OVERALL,SSA_00055,22.8032852936758,23.2336374107096
OVERALL,SSA_00056,24.9984833756591,26.115197627357
OVERALL,SSA_00057,27.9499310568469,31.3934686734116
OVERALL,SSA_00058,23.5971331663134,24.6007175761739
OVERALL,SSA_00059,24.7344444783642,25.8538569970581
OVERALL,SSA_00060,19.0397966060014,17.1496493916179
OVERALL,SSA_00061,26.5705160711016,29.4522370867605
OVERALL,SSA_00062,23.8071564421825,24.8974814960899
OVERALL,SSA_00063,25.3432566413372,26.6082299472048
OVERALL,SSA_00064,22.5490272192275,22.7192525624862
OVERALL,SSA_00065,26.9260186530762,28.7089773005896
OVERALL,SSA_00066,16.9434397967637,14.6276296075788
OVERALL,SSA_00067,25.5865872160404,26.9905497343893
OVERALL,SSA_00068,24.6055923958734,26.0933455315269
OVERALL,SSA_00069,25.5164881166498,29.4963077160105
OVERALL,SSA_00070,28.3471469076802,31.995081600141
OVERALL,SSA_00071,23.0270667062283,23.4428062727438
OVERALL,SSA_00072,22.3119640005191,22.4618498997154
OVERALL,SSA_00073,19.2756380129739,18.0745119249214
OVERALL,SSA_00075,27.3670840712419,29.5350832188354
OVERALL,SSA_00076,26.7869131337552,29.6640312706282
OVERALL,SSA_00077,24.8999522005679,26.4556402751389
OVERALL,SSA_00078,23.9887634532114,24.7324459681084
OVERALL,SSA_00079,26.8075304261324,29.7669560487434
OVERALL,SSA_00080,25.7275455341693,27.0781196272248
OVERALL,SSA_00081,16.8578113207155,14.3957697560645
OVERALL,SSA_00082,19.5752879593469,18.5323721796446
OVERALL,SSA_00083,21.1570121033149,20.4890150907839
OVERALL,SSA_00084,27.5030552914909,30.843891880793
OVERALL,SSA_00085,24.2039293977859,24.9718202697501
OVERALL,SSA_00086,23.3758527599724,23.8937886751614
OVERALL,SSA_00087,25.112108019742,26.9823894379711
OVERALL,SSA_00088,26.5169398756435,28.3106297289659
OVERALL,SSA_00089,14.1392928460461,10.4502239502658
OVERALL,SSA_00090,23.5741555686885,24.1325646124834
OVERALL,SSA_00091,25.5745946586796,27.637127881888
OVERALL,SSA_00092,17.8356078722829,16.0513792997045
OVERALL,SSA_00093,20.4049078355336,19.490320822515
OVERALL,SSA_00094,24.8045992279897,25.8813329307201
OVERALL,SSA_00095,22.7957848070941,23.0715466031936
OVERALL,SSA_00096,27.6446744486115,30.8558836999867
OVERALL,SSA_00097,26.6446284770583,28.3882258808923
OVERALL,SSA_00098,24.5118846974748,25.5045265938048
OVERALL,SSA_00099,22.1702968520516,22.15239089591
OVERALL,SSA_00100,21.4047546687255,21.0480803813835
OVERALL,SSA_00101,19.7318919139064,18.6987557732296
OVERALL,SSA_00102,24.9083995953553,26.5875491141793
OVERALL,SSA_00103,21.7502099911404,21.5021404622516
OVERALL,SSA_00104,22.1658316848342,22.1151878143013
OVERALL,SSA_00105,19.1458735978634,17.6963853802119
OVERALL,SSA_00106,18.6190062226002,17.1279656098874
OVERALL,SSA_00107,19.5173206707313,18.4237339873183
OVERALL,SSA_00108,21.4312264663496,21.0594338818772
OVERALL,SSA_00109,20.8232638288472,19.1765764271786
OVERALL,SSA_00110,25.9575946481836,27.5078609143165
OVERALL,SSA_00111,22.7001890618627,23.335801088238
OVERALL,SSA_00112,22.5120394793136,22.6926348455943
OVERALL,SSA_00113,17.1475207675754,15.0996140665145
OVERALL,SSA_00114,21.7932810429416,21.5828476983236
OVERALL,SSA_00115,24.3168822507688,25.8204591882308
OVERALL,SSA_00116,24.563673571639,26.1577792356118
OVERALL,SSA_00117,18.1463120059745,15.7534438162754
OVERALL,SSA_00118,16.8430765444589,14.5819438296761
OVERALL,SSA_00119,24.8147222849677,26.4363423934554
OVERALL,SSA_00120,20.8221587086104,20.3056761904996
OVERALL,SSA_00121,14.996489758922,12.0364154147357
OVERALL,SSA_00122,24.0336053264288,25.1152674104199
OVERALL,SSA_00123,22.1320871217624,22.0522784157862
