Km1_CO2,Km2_HCO3,Km2_PEP,Km6_CO2,Km6_O2,Km7_PGA,Km10_GAP,Km12_DHAP,Km12_E4P,Km14_GAP,Ki18_Pi,Km18_ATP,Km18_Ru5P,Km33_NADP,Ki57,Vm2y22,Vm3y22,Vm4y22,Vm5y22,Vm6y22,Vm7_8y22,Jmaxy22,KaRac,tao_ActRubisco,Perm_CO2,BBslope,MRd,Vm2y23,Vm3y23,Vm4y23,Vm5y23,Vm6y23,Vm7_8y23,Jmaxy23
1.05155513459836,1.33550949824689,1.4487489503343,1.38870016689284,1.32191711005848,1.15294591038614,1.06809202047472,1.40232325748638,1.18995129069987,1.51766885778993,1.46208455340353,1.17293766800708,1.29092400674845,1.09101212567667,1.16310497664647,1.05270304811445,1.06045215861057,1.10270189344777,1.60281553862252,1.15499325916493,1.07867445441085,1.44410813428126,1.142216251971,1.27636606026277,1.07142052308383,1.04360478451652,1.07187113612926,1.21364778942903,1.8225551375761,1.32877862883345,1.03814189061029,1.32376152032416,1.2418264540824,1.08034282784868
1.71137979162759,1.35301004771431,1.74652447350358,5.38814697297437,3.15446376854315,1.45508923069266,2.41513801130363,3.96076581963204,1.35921502444598,1.1755111658994,1.91667624970692,2.10710483527283,1.5015060309861,1.78571827087964,1.22109768869951,1.33359081941914,1.37052347921574,2.06614616096117,1.95304116664055,1.24619776606494,3.57850164311446,1.70479118714697,1.80353732377792,3.12244092945257,1.86376196852076,1.21449913189953,1.34327265444863,1.91202951846008,2.07529399498962,1.71065811743522,1.57068864304844,1.78651441426752,2.03094333999778,2.61757405566933
1.31788276817375,2.70218396734169,2.62856070880539,2.10949596991626,10.6777492123894,1.38256626965451,1.88376359150339,1.58575000406084,1.30622975196488,2.27394165387519,2.0407022541069,2.16047856657685,1.16181955772227,7.46716635171474,1.71211358552768,1.78187605783314,1.27899621729603,4.55896968297567,2.25848910835942,3.19396477723313,1.24856847862933,1.2060721693074,1.32729891090342,1.96279598260207,1.71119760120646,1.15802283602562,1.89345739950498,3.14067700389529,1.6155816604145,5.42519903160611,2.24728993642305,3.29503873767224,2.10579863734157,2.50195697478757
1.2400424330356,1.18688612155815,1.43267901852538,1.13480234313832,1.13461278240569,1.25689186901584,1.09899299141917,1.25562463160948,1.01683149734413,1.06598443271474,1.08853882300008,1.24294283596175,1.10968168800021,1.11554462590581,1.28239658475832,1.1151004505523,1.22975272261953,1.15978698676733,1.17053222244222,1.18110002046633,1.28269422386025,1.07037008477985,1.10361494674061,1.18559135086895,1.11724410987558,1.09561736928261,1.26048226888664,1.0355019394196,1.04542951359881,1.1292422017795,1.13720398139743,1.29262429285983,1.1307392203102,1.07473712162013
1.28142977169499,1.33215666187407,1.17142543315339,1.26018723685988,1.6229935036102,1.18171208389624,1.05044065346475,1.20041954063372,1.44955060893005,1.14702285808433,1.42538494486427,1.23286067773145,1.12109834550318,1.35344537773109,1.21312715887908,1.29156803226182,1.65351664516212,1.48052540733429,1.11837822973084,1.04314254722505,1.24536947246316,1.31761574371899,1.27662727247412,1.0747212602455,1.09161340644857,1.20086925432004,1.11543150007708,1.48989051254013,1.3740305100039,1.52082633485207,1.15886981413711,2.02435997771991,1.84485807661896,1.28194251767641
1.5245127498338,1.35066228315409,2.27417708483384,1.46719231962966,1.76812088237072,1.52376926967953,1.37328574561362,1.35222283525367,1.2346843503761,2.23478190688986,1.3342774078163,1.15185703889804,1.18685393925524,1.24913842829405,1.88346993068292,1.34273396865067,1.28622611092997,1.38178577898972,2.07689794322981,1.39950637705337,1.82061070777512,1.15326100861487,1.24114644817269,1.7429941524109,1.44792731718391,1.16296542620344,1.12264969516245,1.22496652147109,1.25802058871653,1.43363723642289,1.17812115375073,1.42832842753823,1.31467298799091,1.24531016757017
1.19992462689273,1.37837756294931,1.61815355026452,1.23311873800721,1.28734836732344,1.19228814906431,1.47436768495728,1.29594763939124,1.23479914170877,1.38505233794549,1.23612420783546,1.09632743515866,1.04846568325678,1.2527261808993,1.13106026334289,1.1346975628063,1.02982049997996,1.03466074777127,1.0295540345852,1.12671979013829,1.02510387700964,1.37093255594831,1.27596463724646,1.26446377808721,1.11541881193311,1.10005535845539,1.20526757291977,1.26487832494811,1.06364940957421,1.49484931019382,1.72244982362307,1.03692620848002,1.02924091186847,1.12075329523793
1.22407375265805,1.10663019934545,1.1957046383854,1.13729949253509,1.12998479304428,1.09072019305667,1.27410357888958,1.0680579070321,1.11129710150736,1.1522595109597,1.07220143841012,1.11571053757014,1.13604035811876,1.13132133301493,1.14373311966363,1.05744809095835,1.09621851672614,1.12678067764429,1.05532414263762,1.02217043341571,1.18194322187112,1.08932314234073,1.16418633714901,1.07497803072319,1.15665544350814,1.05080286565795,1.14390636951604,1.09809649487575,1.03147091977649,1.04019621025556,1.09470007900846,1.0377726322036,1.13823352217526,1.10902431637473
1.40824560893453,1.22714802575097,1.17665988293706,1.20750013697976,1.0784438379728,1.15120807826389,1.09885023533709,1.08314106326516,1.34958877880311,1.18784899016334,1.20383703061378,1.54427392520353,1.04709183197029,1.23249293136672,1.35650943074976,1.27142626445049,1.06109538770897,1.21696274967303,1.27346504922071,1.08991605029639,1.06026843177709,1.29469028978342,1.40302815522034,1.09480039469209,1.20234966157523,1.03329767950676,1.07883952777408,1.32524261076426,1.10517274781304,1.06937642584085,1.03662307378589,1.16939332507057,1.20217193028524,1.14192152242067
1.35998502367421,1.2961361557521,2.09958474308236,2.06368028960226,2.09363917944663,1.5998678045183,1.19326068507937,1.97906476755695,1.25954766320807,1.45103626258508,2.24983086238152,1.44833049361117,1.31293028502117,1.30330000511464,1.32411691758047,1.19951109757392,1.62003680374978,1.34155740055612,1.12877186405529,1.39828836955385,2.71577063283642,2.06577002303477,1.93217972931651,1.33071602012778,1.17556049270265,1.06271683935051,1.45330461611468,1.31828390748579,1.26031854718318,1.05240867019065,1.29809114986596,1.41116141610348,1.4332579197145,1.22750793296614
