Km2_HCO3,Km2_PEP,Km6_CO2,Km6_O2,Km7_PGA,Km10_GAP,Km12_DHAP,Km12_E4P,Km14_GAP,Km18_Ru5P,Ki57,Vm6y22,Jmaxy22,KaRac,tao_ActRubisco,Perm_CO2,BBslope,MRd,Vm6y23,Jmaxy23
2.57607303182879,1.62427676584677,1.20859550128087,1.82802451402599,1.81417135194941,1.49962346151419,1.69690640954381,1.47726764706328,1.76308128888786,2.67792485344277,1.50937865260511,1.24935199419664,2.17795183006726,2.14578979464541,2.31756572272662,2.62629970738674,1.20470500394735,1.25808675080966,1.26043676821271,1.06267637851241
2.29170502533463,1.47878657756343,1.22895761816641,1.78808649406226,1.53639910469858,1.47499303634811,1.43776363104681,1.27994308354754,1.32721923767153,1.29812536533621,1.75224809070775,1.1808885003764,1.70143863228252,1.63613692611288,1.32963509172564,1.34688816128626,1.13479385527419,1.10277880889297,1.09831414192491,1.20091303943886
1.05052463368726,1.18404702722525,1.24247891897207,1.04490294031236,1.07041617902683,1.3997963379724,1.04857935061681,1.16596693516341,1.29934444411272,1.37770386660386,1.12075760188228,1.11589568514324,1.27891028348111,1.12509497478259,1.15787111098286,1.18591299769896,1.02778298310438,1.11429977067098,1.15350037888185,1.27136623118646
1.21903866984919,1.58482364214211,1.06051515514908,1.37141746182846,1.11485462606995,1.2397302217751,1.24229107478162,1.29255062334769,1.17600208551526,1.16375727228257,1.09518274870624,1.30605673446402,1.0857977844139,1.76220161481021,1.09523059359967,1.27139344017123,1.04311046419948,1.16682959740855,1.19199943151174,1.08727811825905
1.24771653463445,3.03969554661399,1.637938157856,1.16972827969778,1.49863382887611,1.32678814910504,2.40054850265733,1.98751623782523,1.23258741928148,3.10518583184395,3.55602609016116,1.16381823313968,2.79953141526127,1.03784156375399,1.3216894235703,2.8845796559529,1.23276622606994,1.418161319671,1.22931291628256,2.34703426350859
1.41360039279176,2.36452094404033,1.74461990780066,1.44296088406756,1.26256012086718,1.05527184942853,1.66091201081467,1.4865589035814,1.40706220950325,1.4207163151213,1.26798438769808,1.13596136142252,1.60529521584069,1.45960662110515,2.34170502274924,1.49182686800628,1.18553740802631,1.38116521137003,1.18648549496599,1.66775834487058
1.15650824991569,1.76346190994071,1.26956841269681,1.24831870557703,1.31735268886138,1.10497737911006,1.80904172758027,1.94183823388381,1.11573207439314,1.76979477520375,1.16845934250262,1.40042177071544,1.09464249001382,2.38876431397379,1.39773745400739,1.13380595366485,1.04725391709661,1.14005850055538,1.17985944686605,1.12866781853577
1.24575897869826,1.3629142300946,1.69454245964696,1.50377703796426,1.32113429246745,1.18598886982629,1.31463439100373,1.6312225636739,1.76487545164941,1.30936957845798,1.34650654624377,1.25661279146139,2.00942988867779,1.40811754708538,1.69538458437505,1.21883031388533,1.05377658591995,1.4452670308177,1.60935276533173,1.23930951445956
1.67599877333523,2.43462169790558,2.05695818653936,1.13781968126576,1.60230687225122,2.02898421207029,1.25909923550435,1.40643717880542,1.87788129648851,1.86001123701834,1.43171389077469,1.50419239934624,1.33373102843758,1.3701234545926,2.21589082612266,1.5761905089692,1.20446839298261,1.30296455260996,1.45654202811421,1.13597149078772
3.37665602084933,3.72123218631884,1.77104815579956,3.33887715892986,2.36297721159565,2.82101746478653,2.3873294758947,8.71922442318549,5.63976449926696,5.86881061022255,2.52074531528467,1.38464870966651,3.29820715059283,5.53149919396338,2.51330267936938,4.1271713135212,1.26866194503583,2.39862979096487,1.99755665212313,5.39129600020291
2.61767816517723,2.11889256600458,1.46247489243948,2.39340915278134,2.23615578141083,2.708089752462,1.80235177443463,2.36285409702148,1.36453354401315,2.76013351065373,1.44248811757213,3.29145572127587,3.33400148016726,1.50809759614315,1.8087805786857,3.43685325218513,1.15351132497492,1.34975710393927,1.6756372182714,1.77042102313877
1.93229327528283,5.0084179542798,1.6342471303724,3.25101300927382,1.62247208686036,1.26146190937468,1.27366975225322,2.56419586664999,2.866246973452,1.29981331561925,1.51062579555712,1.18552650286773,1.64789911563594,1.59223648617556,1.56288295817898,1.43902769630808,1.08502269374735,1.19574535859911,1.29204624784209,1.0861412273095
1.32988417693132,1.15954138103695,1.1157345080466,1.07911046496332,1.37587518871278,2.14389782538328,1.13276454832931,1.84058662979227,1.84633507039623,1.52802226518536,1.01440112595284,1.47161406016375,1.50571179442901,1.45900269797382,1.08883797307211,2.50140983306834,1.02640464361172,1.42710437734786,1.3139314408036,1.07876861939112
1.0868618567496,1.13671329189336,1.05476273720102,1.05138660631276,1.04292973397058,1.11446367568802,1.08147166837238,1.10310951156811,1.15521616379555,1.2025320857011,1.05378081659512,1.03223426495238,1.03771906666625,1.18551693760894,1.12802666195265,1.11259011814791,1.03473696556209,1.09776100133725,1.06509425407332,1.04607376199096
1.43748481037458,1.20322506988601,1.32643214223953,1.9861828324862,1.16148458716924,1.65064279159033,1.70960598494696,2.44616576343972,1.27079216797141,1.17345022187566,1.58838810174789,1.05324345051706,2.46059663358743,2.08196378544245,1.62785871534415,1.41009334658471,1.07361149999211,1.4023563473493,1.15393718925946,1.12854288281034
12.9530413456338,4.04926709987795,3.58475033128491,1.4412167709603,6.41798683695924,3.08940261942083,1.89849460901604,5.28705543451514,6.83663740157737,2.26503910395821,4.64185788707748,1.52789450734766,1.87144444387434,3.44530330623162,3.66991435298906,5.48801958561306,1.14019379784705,2.55074992998371,3.32805176891927,1.27163157458736
1.41414507037061,1.49508622968925,1.3096517404562,1.09944079681183,1.39672848777067,1.47203562744289,1.19241255931277,1.37421816870104,1.63165868065233,1.33674554796123,1.23742891337737,1.15000579849455,1.22880872957528,1.21330250105438,1.15464651477067,1.29737630117793,1.14182658027612,1.43931800061481,1.19769605574363,1.0500246264573
1.25315493877383,2.32384276210453,1.37452230119577,1.38838573992028,1.17652442624922,1.0493303585638,1.06204568025479,1.14611722591523,1.57340773216659,1.57799837775539,1.12516255200874,1.39898838897599,1.29173137405594,1.4833575791144,1.20624375939845,1.06827481512777,1.07935999101346,1.2342290846287,1.42586258221998,1.10332280053424
1.05277664546948,1.43754331453324,1.0679505196592,1.33976551039312,1.14409206926762,1.26643961097515,1.07797234144757,1.03787345046007,1.03514772483751,1.29142890273753,1.12894567415709,1.11302480707708,1.08203867565965,1.10982180445272,1.11339429828074,1.10218811140874,1.02119914190522,1.15817496927096,1.28823442924093,1.02874035909811
1.1912512808783,1.87497352680279,1.50053564396446,1.73772405282381,1.59665754479422,1.50020925264977,1.43035681769817,1.43575257660389,1.62460150952157,1.13479769610737,1.46177046947477,1.19278893437307,1.16954659945484,1.23470925355126,1.4473008747809,1.21998538920042,1.02638250513857,1.35443776789486,1.38376036539276,1.04599522089993
