Km2_HCO3,Km6_CO2,Km6_O2,Km7_PGA,Km18_Ru5P,Ki57,Vm6y22,KaRac,tao_ActRubisco,BBslope,Vm6y23
1.43165170992066,1.49100975893079,1.69341046012943,1.66043358036622,1.47019758112825,1.75866844028974,1.43017999202432,2.34943292868295,2.27151582125293,1.21418022202526,1.67681973335719
2.25078163878535,3.61008123708563,3.64537438237456,1.6590339516504,7.05552616798045,12.154099610435,1.68022036331876,1.90764974175755,4.39881471168958,1.2993070972543,1.22801214452458
1.20044468119138,1.51475804274987,1.6293812036697,1.55061587310212,1.51682107782738,1.19303930222952,1.16748236717528,2.04478996766738,1.4647491416404,1.05796732091982,1.25016425124575
1.19418950701192,1.3180928089752,1.59304875316217,1.7139119127169,1.52798602151052,2.47099661751794,1.1080206443512,1.45623004345628,1.7460317385144,1.08964191085255,1.1474770451467
2.1002539595694,2.02713325744407,2.75418865730147,1.53693835659702,1.85210922270193,1.80925560042537,1.80513709022142,1.64765368809905,2.07480261070187,1.33677573707486,1.69064627563467
4.46932141596889,6.34493244825997,4.18287190123139,3.52808009962935,2.24668982585293,3.2167297600145,1.97928137439276,2.25760538463867,10.3038399738683,1.10693204944643,1.47380578465366
1.00063930026949,1.00040923705117,1.00008659842807,1.00087139440429,1.00027720486323,1.00030361874161,1.00016821420389,1.00071069098704,1.00054255441359,1.00010549456616,1.00049672822868
1.17780712442897,1.48852270080193,1.26191139643668,1.42985195412689,1.90406904308323,1.32346846745267,1.07052659778655,1.50271845579442,2.22594754084886,1.0534806768236,1.13186958098676
2.44405580725481,2.41432094851038,3.09279241042822,2.04227284369846,2.01340016159895,1.92663408737051,1.26465619755041,8.26261711381397,9.58347179782643,1.11349652737728,1.32481341992352
1.12209335211607,1.82181244193252,2.48384359779843,2.5851266805284,1.62263195360994,3.25804143603591,1.47396788044113,1.4357689252431,1.66107566496128,1.13106050306922,1.45126676733638
2.06396051165808,1.58793775759245,4.15647838459156,2.39907589269956,1.25023778466211,2.17187780737637,1.43977846059959,4.94996157336938,2.12099337868748,1.13827848611089,1.31955170426753
1.19807878949565,4.0477785895276,3.74071616641727,1.13785786228878,1.63556956073657,1.15886283079539,1.59553993451331,1.88932379803141,3.09046894325035,1.06551421369468,1.51147518601086
1.14981716254732,1.31768667008102,1.09491481464528,1.07420099483947,1.13444156231887,1.05633894275568,1.06922901219891,1.08843649300171,1.06283628283325,1.0358430706818,1.09338004783686
1.32209209675622,2.39195414226181,1.33818437980651,1.4078844401887,1.92451378072215,1.86923387864244,1.34370431053686,1.16830890773686,1.19002604229339,1.1212571816331,1.28931410621847
1.07588469079947,1.62686399763147,1.41586353492827,1.44093220232889,1.27193433359288,1.44037922723339,1.17045677327456,1.12356720013194,1.37441826327271,1.04397144868587,1.2111754278035
6.07316881267779,8.93673903145534,2.01440026676278,4.14680380356755,5.26989846050536,5.03659176660509,1.37444685034491,2.31314369926666,4.14611801358722,1.39643644068338,1.2016492602586
1.63972939658929,2.20820869895775,1.28559007546788,1.27701928396818,2.24297766330922,1.96571419702229,1.28060538608999,1.86706745416799,1.46943734480635,1.13876045458958,1.20898986645131
1.46817328022239,1.82447893996159,2.12975420498113,1.84371626738304,2.73255899818401,1.98927761281101,1.25772163815323,1.57026942119628,1.46592843861571,1.24845238334536,1.23583092364492
1.12060319163825,1.07911861503267,1.03432136318951,1.13307120986325,1.12868517030242,1.13046822340237,1.04516948121612,1.16283471105398,1.16074129955708,1.0472172668243,1.02704314857486
1.2283394915481,1.65216210636929,2.027763615202,1.41852273071531,1.23836774204164,1.52351808209732,1.16180475826904,1.31501432692259,1.22810732598691,1.0246986954907,1.14179828630047
1.04491955360619,1.58867792475302,2.45444047410174,1.10229887412819,1.19626433196509,2.29639891984515,1.45756677545092,1.87927437631213,1.10981684434592,1.07230615655373,1.36277635685769
1.83834104918019,3.23520951659031,3.70178481630908,1.51737015898914,1.55076583526177,2.02530627583132,1.16894707428219,1.81271787056909,2.25420341708462,1.07293455021626,1.13787220014327
1.29044419078148,1.98538294474629,2.05548290760051,2.9126247694041,1.66223203904956,1.85429933363945,1.48900708660177,3.6367647515585,1.98675278902138,1.14027143944192,1.34369918528776
