ACa22,GsCa22,AQ22,ACa23,GsCa23,AQ23
0.591204653772754,0.271877649506014,0.0263422432687761,0.449565792530017,0.351050726972341,0.335759205594829
0.115565019218984,0.163952437693433,0.281867507824397,0.244368727333153,0.139534898305603,0.0546233225450997
1.04209610880655,0.469781676698773,0.227099053301737,2.4768229026458,0.621844810597583,0.222184583768087
0.14244591260469,0.176836209604662,0.545439261956393,0.539937471880016,1.94732993871408,0.331572734757674
1.334239735687,0.171518683508125,0.0385631079095419,0.456181023592345,0.586616171454882,0.186789251113551
0.499939207577178,1.53015322728556,0.132557039744802,0.082004188978087,0.536865694820925,0.157274546453905
3.85281053289811,2.31459345454339,4.16230162021629,2.71275315194673,0.951212981972901,0.424664934828713
0.387420276333981,3.25941510057939,0.133608923603683,0.156262055315979,0.351579272366773,0.114018603016559
0.222026991320296,0.564650038981088,0.0887843568827791,0.0775268226904802,0.485119556595089,0.0521591915107192
0.155191684912273,0.113352422353211,0.63688530861669,0.448368852942834,0.133769388227872,0.194037293013776
0.291794454993483,0.209282957325246,0.109619316746849,0.167120800858573,0.0528339592634213,0.16720893637978
0.123953413063319,0.436251505197599,0.131000005640996,0.159625517367595,0.0939317446335003,0.0528680918424319
0.922787803547848,2.9335157014379,0.791785208957355,0.627103651355831,0.898101882743039,0.355515217822458
0.146302536122553,0.202862222332843,0.150235146855233,0.447738823693257,0.462075104019282,0.367204082247575
0.325889714464591,0.246620163406216,0.130861406493674,0.828340095831791,3.78282506867917,0.155219840135479
0.274380566914789,0.0435288960391987,0.079716166609621,0.405137196427748,0.0269284249225755,0.0869216722041278
0.0856412517993595,0.0813707649138674,0.141416492540283,0.215068940056096,0.262229521994169,0.20762552081209
0.279329788061515,0.620940138297391,0.0741148493025443,0.11668377142027,0.568236824427557,0.136696742171998
1.86693768536105,1.41945243631258,0.540294182957197,0.341152644406646,1.23806129743438,0.157737785053272
1.56924265853258,3.00051861833237,0.0779749550460158,0.683523430673809,2.4501309432573,0.506661644931196
0.629324698078772,0.523078126366456,0.342376375193045,0.420662582901971,0.215100630698399,0.229339418473066
0.339805812469529,0.316785226836855,0.182659084617953,0.155305872756067,0.124476075510657,0.112384111222384
1.31085755619024,0.522342374135766,0.120907865437859,0.37312776475861,0.351377024493797,0.320229692332024
0.237736632635582,0.102609660070055,0.0715133423565491,0.224133350204847,0.192448953370666,0.165534396128294
0.323826244219773,0.121693474083187,0.341076926038776,0.179272447879713,0.0998653249920847,0.115779279893349
0.147984696568358,0.133457900079488,0.6005100126191,0.384213215442111,0.115256995510749,0.128439081430339
1.36171842189917,1.19560218335023,1.19414161970331,0.958366402728967,0.0763321443159602,0.070324838393974
0.664264385417846,0.180648226860892,0.581259413251259,0.584531228109738,0.0587342798443856,0.850980015867917
0.37521781927202,0.0875715646669272,0.103750058113213,1.10771261056538,0.645533402136075,0.224448855851374
0.566258364676626,0.658317639137798,0.208594280916395,0.181845010278529,0.120224542848687,0.40048874974712
0.193022019449283,0.0476772124780435,0.416821816619901,0.171144358640244,0.449857871086357,0.202726403391506
0.610257896010869,0.731793619686425,0.366932019853516,0.345851921385826,0.493207873538676,0.0868535635304841
0.310445611678629,0.223917853575896,0.186373467392098,0.270046422534273,0.0462499586173873,0.222307367383682
0.136784321603178,0.963854470832161,0.281676027387046,0.0922485283431046,0.17653942928979,0.0595628349939864
0.550874156315557,0.204867845185727,0.363946878843585,0.650856626704637,0.600174359293465,0.10684118677662
0.706409264850764,0.52514532147329,0.413199894685346,0.680272186947264,1.30912822925007,0.87099149829811
0.438253698185811,1.26626845245305,0.286609930248575,0.2669090997623,0.499671002482027,0.0440492058202555
0.128183819181336,0.189867443446079,0.0999748973093362,0.412662724589314,0.831515030375838,0.0939332848003415
0.234422697431348,0.50151620290569,0.497567721586623,0.156962104109086,0.209645487160821,0.105940000871526
0.0826246497422227,0.252575897860271,0.0210696865003823,0.33137187228492,0.136661096980488,0.363085363898445
0.173577667646823,0.0275462520452931,0.271237781704166,0.336627591241344,0.12141830967994,0.0666274686902491
0.727903929090172,0.304765491183535,0.271448755316214,0.910416484571248,0.563275115870238,0.183463745011094
0.0891228531042898,0.101773541025612,0.4825749189669,0.158563161149088,0.112867989476367,0.0503398116303485
0.193224924207219,0.152797497686234,0.316492291800526,0.622258056052665,0.0885751275617978,0.540046807339504
0.58071451177188,0.241861970125985,0.138696011828701,0.290039233028026,0.469285437219946,0.0572195989667508
0.71025107391599,0.611115391841048,0.590742025813952,0.232920920617229,0.643450744074087,0.0511478938496768
0.330894963571736,0.280033760092721,0.162264949862198,0.851570542899151,0.809315000074503,0.25518405893842
0.219356444538869,1.51540892197657,0.198341198432895,0.422136335741802,0.749287647750304,0.200356165659781
0.282403076151048,0.225903698857068,0.121188819528663,1.10144849448962,0.781871929335266,0.17713675531115
0.0635670471431744,0.3502205599982,0.306716578270823,0.0851896586080146,0.0791255234008892,0.108582392539153
0.392385087418192,0.526593505334396,0.298192162722553,0.408196905615666,0.101474124083857,0.197696614438387
4.194875878085,4.15780721677031,1.79005384506135,4.415754252856,1.63383132060067,0.216920016760232
0.370064508984325,0.0881999822255897,0.276835341893377,0.146779739709036,0.101450908305115,0.0892023237046864
0.168754272796013,0.089133393986926,0.179036794432728,0.202752269216369,0.331311933194657,0.0266806550589255
1.86147917327,1.09930029138339,0.0349835380689638,1.15902011891472,0.941090926519693,0.0917415437537645
1.60425924950887,0.108852869568608,0.0470743042911873,1.23635370538905,2.20260928447078,0.638360361466099
0.240936841691173,0.0899345553245953,0.372059932600565,0.536350384434508,0.109924343320477,0.792934466888554
1.14365652395462,1.52817748269014,0.385290259486557,0.257249904423969,0.680215051340126,0.106704050816442
0.294711536058374,0.420432667702506,0.159476895751683,0.221888668789037,0.80924778552497,0.483390242990801
0.14354445974159,0.56882487029449,0.0283973249253591,0.0442407565161895,0.148895828229543,0.0653361136449254
0.763529709744381,0.506775567252751,0.207869043273262,0.846340682851212,0.604211477497652,0.0631691019437799
0.455932280674354,0.171817667658243,0.08286966639037,0.277575713247273,0.219976990096229,0.168468092582371
0.195857876096087,0.356452156249085,0.115885375259836,0.867666332717943,0.589950594668884,0.251672287283739
