Ranked_parameters,Median_coefficient
Km11_FBP,0.24854
Km34_ADP,0.24819
Km51_ATP,0.24019
Ki6_Pi,0.23962
Vm22y23,0.23823
Vm38,0.22879
Ki51_APi_ATP,0.20896
Vm22,0.19995
Ki18_ADP,0.18145
Ki2_MAL,0.18048
Kd57,0.17032
Ki11_F6P,0.17017
Km20_NADPH,0.16274
Ki51_CPP1_ATP,0.15515
Km3_OAA,0.13615
Perm_PYR,0.12717
Km19_ATP,0.12014
Ki6_PGA,0.10617
Vm26y23,0.10189
Km4_NADP,0.096531
PermBC_CO2,0.095782
Km3_NADP,0.070774
Kcat50_EA_PPDKRP_A,0.068482
Vm55y23,0.06286
Km35B_pyr,0.059084
Km23_DHAP,0.057809
Km23_GAP,0.056991
Vm55,0.056527
Km35Mc_OAA,0.05636
Vm48,0.053377
Vm48y23,0.053168
Km5_Pyr,0.049841
Km23_FBP,0.048757
Vm23y23,0.045928
Km3_MAL,0.044598
Ki5_PEP,0.043457
Vm56y23,0.042583
Ki35Mc_mal_OAA,0.041624
Vm56,0.040499
Km13_SBP,0.040343
Vm23,0.039942
Km14_F6P,0.039891
Km56_PGA,0.037899
Km48_PGA,0.030241
Km51_G1P,0.028896
Km4_MAL,0.028664
Km48_PEP,0.026854
Km55_PGA,0.026033
Ki11_Pi,0.025382
Km30_F6P,0.024258
Km35M_PEP,0.024055
Ki24_F26BP,0.023467
Km30_ATP,0.022622
Ki30_DHAP,0.021661
Ki30_ADP,0.020402
Km34_ATP,0.020054
Km31_F26BP,0.019866
Km24_FBP,0.019107
Km22_PGA,0.018877
Km55_DHAP,0.017733
Ki31_F6P,0.015827
Ki6_SBP,0.015467
Vm26,0.015318
Vm24y23,0.014791
Ki13_Pi,0.0144
Km27_UDPG,0.013245
Km14_Xu5P,0.013228
Vm30y23,0.0132
Vm31y23,0.013147
Km26_G1P,0.012431
Ka51_PGA,0.012203
Vm24,0.012165
Km35M_pyr,0.011595
Vm31,0.01158
Km14_E4P,0.011352
Vm30,0.011317
Km30_F26BP,0.010707
Km51_PPi,0.010624
Perm_MAL,0.01019
Km32_Pi,0.0099687
Km56_DHAP,0.0099371
Ki31_Pi,0.0097316
Km27_F6P,0.009346
Km32_ADP,0.0091068
Km15_Xu5P,0.0089367
Km26_UTP,0.0088381
Km35B_mal,0.0086381
Ki27_Pi,0.0085329
Km32_ATP,0.0083437
Km26_PPi,0.0082162
Km26_UDPG,0.0081916
tao_ActGAPDH,0.0081879
Kcat49_EA_PPDKRP_I,0.0081556
tao_ActPEPC,0.0081396
Km43_GOA,0.0081283
Km52_PPi,0.0079297
Km42_GLY,0.0079252
Km50_EA_PPDKRP_A_EP,0.0079203
KmGCA40,0.0078967
Km50_EA_PPDKRP_A_Pi,0.0078634
Km41_GOA,0.0078584
tao_ActATPsynthase,0.0078369
Ki50_EA_PPDKRP_A_ADP,0.0077961
Km49_EA_PPDKRP_I_ADP,0.0077771
Km46_GCA,0.00775
Ki24_F6P,0.0077376
Km15_S7P,0.0077322
Km4_NADPH,0.0077263
Km43_SER,0.0076367
Ki49_EA_PPDKRP_I_Pyr,0.0076363
Ki42_SER,0.0076233
Ki46_GCEA,0.0075997
Km35M_mal,0.0075673
Km44_HPR,0.0075433
Km54_pi,0.0075292
Km47_GCEA,0.0075155
Km43_GLY,0.0075088
Vm27y23,0.0074931
tao_ActRca,0.007478
tao_ActFBPase,0.0074624
Ki47_GCA,0.0074364
Km45_ATP,0.0073746
tao_ActPRK,0.0073536
Ki2_MALn,0.0073127
tao_ActNADPMDH,0.0073095
Km41_GLU,0.0072972
Km49_EA_PPDKRP_I_E,0.0072466
Km45_GCEA,0.0072005
Vm27,0.0071889
Km54_hexp,0.0071338
Ki45_PGA,0.0071136
Ki41_GLY,0.0070736
Ki24_Pi,0.007067
tao_ActSBPase,0.0070054
Ki27_UDP,0.0069437
Ki39_PI,0.0069102
Km39_PGCA,0.0069072
Ki44_HPR,0.0068627
Km55_GAP,0.0067014
Ki6_NADPH,0.0065805
Ki51_AADP_ATP,0.0065632
Km15_Ri5P,0.0065145
Km4_CO2,0.006346
Km53_ADPG,0.0062909
Km56_GAP,0.0059301
Km28_SucP,0.0057534
Ki27_FBP,0.0056672
Ki35M_OAA_mal,0.0056385
Km29_Suc,0.005416
Km4_Pyr,0.004811
Vm43y23,0.004756
Vm40y23,0.0047365
Vm52y23,0.0047312
Vm42y23,0.0046563
Vm41y23,0.0046491
Ki27_SucP,0.0046467
Vm44y23,0.0045855
Vm35_Hepy23,0.0045464
Vm40,0.0045416
Vm45y23,0.0045266
Vm39y23,0.00448
Vm47y23,0.004461
Vm46y23,0.0044129
Vm43,0.0043516
Vm41,0.0042845
Vm52,0.0042795
Vm46,0.0042205
Vm39,0.0041846
Vm35B_PEPy23,0.0041828
Vm35_Hep,0.0041054
Vm42,0.0040727
Vm44,0.004037
Vm47,0.0040171
Vm28y23,0.0039441
Vm45,0.0038765
Km51_ADPG,0.003806
Vm35B_PEP,0.0035996
Vm28,0.0033731
Vm29y23,0.0033213
Ki39_GCA,0.0030764
Vm29,0.0027022
Ki27_Suc,0.00096472
Km28_Suc,7.9544e-06
Km37_NADPH,1.5979e-06
Vm37y23,1.5979e-06
Ki50_EA_PPDKRP_A_AMP,7.0746e-07
Km37_NADP,5.3287e-07
Ki50_EA_PPDKRP_A_PPI,4.85e-07
Vm37,0
