Ranked_parameters,Median_coefficient
Km55_DHAP,0.0080746
Km45_GCEA,0.0078955
Ki31_F6P,0.0078808
Km43_GOA,0.0078554
Km15_S7P,0.0077537
Km35M_mal,0.0077008
Ki49_EA_PPDKRP_I_Pyr,0.0075494
Km44_HPR,0.0075439
Ki46_GCEA,0.0075421
Km41_GLU,0.0075185
Kcat49_EA_PPDKRP_I,0.0074799
Ki27_UDP,0.0074484
Km54_hexp,0.0073332
Ki41_GLY,0.0072756
Ki42_SER,0.0072631
Km47_GCEA,0.0072125
Ki6_SBP,0.0071862
tao_ActRca,0.0071144
Vm26,0.0070711
Km43_GLY,0.0070656
Ka51_PGA,0.0070143
Ki50_EA_PPDKRP_A_ADP,0.0069875
Ki31_Pi,0.0069068
Km54_pi,0.0068221
Vm30y23,0.0068062
Km26_G1P,0.0067622
Km39_PGCA,0.0066978
Km50_EA_PPDKRP_A_Pi,0.0066731
Km55_GAP,0.0066442
Km27_UDPG,0.0065513
Ki47_GCA,0.006547
Ki13_Pi,0.0065363
Km46_GCA,0.0064901
tao_ActPEPC,0.0064859
Km45_ATP,0.006471
Km32_ADP,0.0063783
Km26_UDPG,0.0062689
Vm31y23,0.0062348
Km43_SER,0.006217
Ki27_Pi,0.0061975
Km49_EA_PPDKRP_I_E,0.0061607
Vm31,0.0061179
Vm30,0.0061116
Km14_Xu5P,0.0060795
Km26_PPi,0.0060784
Km42_GLY,0.0060205
Perm_MAL,0.0059775
tao_ActPRK,0.0059715
Ki44_HPR,0.0059551
Ki2_MALn,0.0059476
Ki39_PI,0.0059261
Km51_PPi,0.0058673
Km27_F6P,0.0057971
Km35B_mal,0.0057361
Vm41y23,0.0057168
Ki24_Pi,0.0057071
Km32_ATP,0.005636
Km35M_pyr,0.0056178
Km50_EA_PPDKRP_A_EP,0.0056029
Km32_Pi,0.0055383
Km29_Suc,0.0055318
Km52_PPi,0.0055037
Km30_F26BP,0.0054433
Ki24_F6P,0.00542
Ki51_AADP_ATP,0.0053574
Km26_UTP,0.0053084
Ki27_FBP,0.005155
Km14_E4P,0.0051313
tao_ActSBPase,0.0050173
KmGCA40,0.0049356
Km56_DHAP,0.0048581
tao_ActATPsynthase,0.0047363
Km4_NADPH,0.0046621
Km4_CO2,0.0046472
Km15_Xu5P,0.0046281
Km53_ADPG,0.0046039
Vm47y23,0.0045918
Km28_SucP,0.0044974
Km15_Ri5P,0.0044745
Vm35_Hepy23,0.0044624
Vm43y23,0.0043532
Vm39y23,0.0043296
Vm46y23,0.0042896
Vm41,0.0042708
Vm45y23,0.0042154
Ki35M_OAA_mal,0.004152
Vm47,0.0040019
Vm27y23,0.0039152
Vm27,0.0037922
Vm42y23,0.0037455
Vm42,0.003736
Vm29y23,0.0037322
Km51_ADPG,0.0037085
Vm44y23,0.0036914
Km56_GAP,0.0035007
Vm39,0.0034642
Vm35_Hep,0.0034535
Vm40y23,0.0034421
Vm43,0.0034298
Vm52y23,0.0033232
Km4_Pyr,0.0031853
Vm52,0.0031532
Vm45,0.0030577
Vm29,0.0030478
Vm28y23,0.002945
Ki27_SucP,0.0029203
Vm44,0.0029016
Vm40,0.0028945
Vm46,0.0028459
Vm28,0.002622
Vm35B_PEP,0.002578
Vm35B_PEPy23,0.0023748
Ki39_GCA,0.0021913
Ki27_Suc,0.00072307
Km28_Suc,6.2818e-06
Km37_NADPH,1.4343e-06
Vm37y23,1.3001e-06
Ki50_EA_PPDKRP_A_AMP,5.5655e-07
Km37_NADP,5.0047e-07
Ki50_EA_PPDKRP_A_PPI,4.2263e-07
Vm37,0
