Ranked_parameters,Median_coefficient
BBslope,3.1684
G34,1.9115
E33,1.5662
Y32,1.4333
X32,1.1167
F32,1.1102
Km6_CO2,1.0902
Ki57,0.98165
Km2_HCO3,0.86518
Km7_PGA,0.86121
KaRac,0.84672
tao_ActRubisco,0.84168
Km6_O2,0.82168
Vm6y23,0.80209
Km18_Ru5P,0.76033
Km12_E4P,0.74143
Vm6,0.68475
Jmaxy23,0.67432
Km2_PEP,0.67305
D32,0.67161
Km14_GAP,0.59282
Km12_DHAP,0.58903
Km10_GAP,0.5632
Jmax,0.54672
MRd,0.54017
Perm_CO2,0.53931
Km33_NADP,0.53508
Vm4y23,0.50235
Km18_ATP,0.49842
Vm5y23,0.49166
Ki18_Pi,0.48418
Km1_CO2,0.48021
Vm7_8y23,0.4685
Vm2y23,0.46808
Vm3y23,0.42642
Vm2,0.42469
Vm35Mc_OAAy23,0.42214
Km15_GAP,0.41608
Km6_RuBP,0.41557
Vm4,0.4141
Km10_DHAP,0.41258
gm,0.40197
Vm5,0.39124
Vm12y23,0.37136
Vm7_8,0.37099
Vm33y23,0.36659
Vm13y23,0.36648
Km7_ATP,0.35329
Vm3,0.35268
Q32,0.34581
Vm35Mc_OAA,0.34358
Vm11y23,0.33653
Ki6_FBP,0.31713
Vm13,0.30682
Vm12,0.30682
Vm18y23,0.30601
Vm34y23,0.30353
Vm35M_PEPy23,0.30346
Vm33,0.30008
Km3_NADPH,0.29019
Ki18_RuBP,0.28919
Vm10y23,0.28609
Vm11,0.27926
Vm35B_maly23,0.27414
Vm32y23,0.27178
Vm35B_pyry23,0.27125
Vm35M_pyry23,0.26991
Vm35C_maly23,0.26924
Vm14y23,0.26868
Vm15y23,0.26024
Km19_PGA,0.25683
Vm18,0.25294
Vm35M_PEP,0.25203
Vm34,0.25152
Perm_PGA,0.24766
Vm10,0.23511
Km8_NADPH,0.23235
Vm35B_mal,0.22816
Vm35B_pyr,0.22517
Vm35M_pyr,0.22113
Ki18_PGA,0.21718
Vm35C_mal,0.21366
BBintercept,0.20933
Ki18_ADP2,0.20879
Vm14,0.20606
Vm53y23,0.20338
Km34_Pi,0.19409
Vm32,0.19373
Vm15,0.19348
Vm51y23,0.19281
Vm1y23,0.18221
Km33_NADPH,0.17866
Vm1,0.1747
Vm53,0.1703
Km5_ATP,0.1648
Vm51,0.15498
Vm19_20y23,0.12512
Vm19_20,0.11243
Vm38y23,0.11118
Km10_FBP,0.11113
Km11_FBP,0.10816
Km34_ADP,0.10803
Km51_ATP,0.10481
Ki6_Pi,0.10432
Vm22y23,0.10359
Vm38,0.09946
Km20_NADPH,0.099187
Ki51_APi_ATP,0.091219
Vm22,0.087014
Kd57,0.078944
Ki18_ADP,0.078922
Ki2_MAL,0.078759
Ki11_F6P,0.074033
Ki51_CPP1_ATP,0.068244
Km19_ATP,0.067373
Km3_OAA,0.059192
Perm_PYR,0.055366
Kcat50_EA_PPDKRP_A,0.052328
Ki6_PGA,0.046714
Vm26y23,0.044456
PermBC_CO2,0.042957
Km4_NADP,0.042039
Km3_NADP,0.031186
Vm48y23,0.031124
Vm48,0.030835
Vm55y23,0.027323
Km35B_pyr,0.026195
Km23_DHAP,0.025213
Km23_GAP,0.025141
Km35Mc_OAA,0.02493
Vm55,0.024674
Km5_Pyr,0.021914
Km23_FBP,0.02152
Vm23y23,0.020087
Ki5_PEP,0.019818
Km3_MAL,0.019435
Vm56y23,0.018555
Ki35Mc_mal_OAA,0.01824
Km13_SBP,0.017899
Vm56,0.017625
Km48_PEP,0.017558
Km14_F6P,0.01754
Vm23,0.017497
Km56_PGA,0.016488
Km48_PGA,0.01636
Km51_G1P,0.01481
Km24_FBP,0.013572
Km4_MAL,0.01284
Ki24_F26BP,0.012337
Km30_F6P,0.012024
Km55_PGA,0.011531
Km35M_PEP,0.011484
Km30_ATP,0.011409
Ki11_Pi,0.011405
Km49_EA_PPDKRP_I_ADP,0.011135
tao_ActNADPMDH,0.010639
Km31_F26BP,0.010513
Ki30_DHAP,0.010167
Vm24y23,0.010055
Ki30_ADP,0.0098314
tao_ActFBPase,0.0095394
Km22_PGA,0.0094114
Km34_ATP,0.009231
Km41_GOA,0.0085747
Vm24,0.0085302
tao_ActGAPDH,0.0081748
Ki45_PGA,0.0081421
Ki6_NADPH,0.0080987
