Ranked_parameters,Averaged_coefficient
BBslope,209.9583
G34,127.6087
Vm45,111.7768
E33,104.7327
Y32,100.5104
X32,76.71779
F32,74.17774
Km6_CO2,74.1495
Ki57,66.39533
Km7_PGA,63.68346
Km2_HCO3,59.57725
KaRac,57.38769
tao_ActRubisco,56.27787
Km6_O2,55.83109
Vm6y23,55.76835
Km18_Ru5P,52.67447
Km12_E4P,51.16616
D32,47.08222
Km2_PEP,45.93187
Vm6,45.85197
Jmaxy23,44.32682
Km12_DHAP,41.48188
Km14_GAP,40.40661
Km10_GAP,37.64898
Jmax,37.61635
MRd,37.30577
Perm_CO2,36.08229
Km33_NADP,35.60539
Vm4y23,34.41445
Vm7_8y23,33.65432
Km1_CO2,33.6372
Vm5y23,33.58453
Km18_ATP,33.12507
Vm2y23,32.9762
Ki18_Pi,31.77605
Vm3y23,29.83897
Vm35Mc_OAAy23,29.50659
Vm2,28.90493
gm,28.30334
Vm4,28.18872
Km6_RuBP,27.9852
Km15_GAP,27.33779
Vm5,27.21823
Km10_DHAP,27.18904
Vm12y23,27.0994
Vm13y23,26.55209
Vm33y23,25.86687
Vm7_8,25.12834
Vm11y23,24.21513
Vm3,23.89439
Km43_SER,23.86046
Km7_ATP,23.56636
Vm35Mc_OAA,23.5457
Q32,23.05697
Vm18y23,22.17687
Vm35M_PEPy23,21.84235
Vm34y23,21.84067
Ki6_FBP,21.26531
Vm10y23,20.54686
Vm13,20.30822
Vm12,20.2759
Vm33,20.11257
Vm35B_maly23,19.76903
Vm35B_pyry23,19.624
Km3_NADPH,19.61239
Vm35M_pyry23,19.39862
Ki18_RuBP,19.30852
Vm14y23,19.1359
Vm32y23,19.08266
Vm11,18.83336
Vm35C_maly23,18.5614
Vm15y23,18.39066
Km19_PGA,17.42979
Perm_PGA,16.90087
Vm35M_PEP,16.74846
Vm34,16.69627
Vm18,16.63672
Km8_NADPH,15.65364
Vm10,15.42627
Vm51y23,15.36069
Vm35B_mal,14.97583
Vm35B_pyr,14.90985
Ki18_PGA,14.67847
Vm35M_pyr,14.66308
Vm53y23,14.33746
BBintercept,14.18735
Ki18_ADP2,14.13525
Vm14,13.71984
Vm32,13.54496
Vm35C_mal,13.18544
Km34_Pi,13.0825
Vm15,13.02667
Km51_ATP,12.82212
Vm1y23,12.30923
Vm1,12.06274
Km33_NADPH,11.98692
Vm53,11.30733
Km5_ATP,11.06478
Km43_GOA,11.05444
Vm45y23,10.96016
Vm51,10.60225
Vm19_20y23,8.440191
Vm19_20,7.674635
Km10_FBP,7.488369
Vm38y23,7.365219
Km34_ADP,7.348899
Km11_FBP,7.31398
Ki6_Pi,7.06325
Vm22y23,6.979308
Km20_NADPH,6.598333
Vm38,6.541863
Ki51_APi_ATP,6.072568
Vm22,5.762457
Ki18_ADP,5.362971
Ki2_MAL,5.294233
Kd57,5.151983
Ki11_F6P,5.037667
Vm26y23,5.006934
Ki51_CPP1_ATP,4.520848
Km19_ATP,4.463776
Km3_OAA,4.120513
tao_ActNADPMDH,3.78778
Perm_PYR,3.765487
Kcat50_EA_PPDKRP_A,3.492529
Km44_HPR,3.260515
Vm26,3.232083
Km41_GOA,3.204013
Ki6_PGA,3.160413
Ki41_GLY,3.142656
Km43_GLY,3.038202
tao_ActGAPDH,2.911332
PermBC_CO2,2.907546
Km4_NADP,2.839346
Km49_EA_PPDKRP_I_ADP,2.525824
Vm46y23,2.361997
Vm48,2.132182
Km3_NADP,2.097902
Vm48y23,2.077184
Kcat49_EA_PPDKRP_I,2.055928
Vm55y23,1.822908
Km35B_pyr,1.760285
Km23_DHAP,1.714777
Km35M_mal,1.712945
Km35Mc_OAA,1.700704
Km23_GAP,1.694688
Km50_EA_PPDKRP_A_Pi,1.665945
Km32_ADP,1.652046
Vm55,1.6355
Ki46_GCEA,1.543929
Km5_Pyr,1.495655
Km41_GLU,1.490712
Km15_S7P,1.469138
Km23_FBP,1.460737
Vm47,1.421365
Ki45_PGA,1.395677
Ki49_EA_PPDKRP_I_Pyr,1.389
Vm44,1.374062
Vm23y23,1.372811
Km45_GCEA,1.339115
Km3_MAL,1.333783
Ki5_PEP,1.332903
tao_ActATPsynthase,1.315667
Vm41,1.308694
Ki44_HPR,1.278724
Vm56y23,1.272347
KmGCA40,1.25362
tao_ActPRK,1.237859
Ki35Mc_mal_OAA,1.23127
Km13_SBP,1.212649
Ki42_SER,1.211863
Km48_PEP,1.210787
Vm56,1.21034
Km47_GCEA,1.204711
Vm23,1.191083
Ki39_PI,1.189658
Km54_pi,1.188037
Km14_F6P,1.178532
Km26_PPi,1.174094
Vm47y23,1.149105
Km56_PGA,1.129953
Km26_UDPG,1.102035
Km42_GLY,1.098009
Km48_PGA,1.093111
Km50_EA_PPDKRP_A_EP,1.070619
tao_ActFBPase,1.054307
Km49_EA_PPDKRP_I_E,1.033891
Ki2_MALn,1.027589
Km28_SucP,1.027086
Vm35_Hep,1.011579
Km51_G1P,0.9978797
Vm43,0.9828753
Vm35_Hepy23,0.9665971
tao_ActPEPC,0.9442205
Ki31_Pi,0.9307531
Km32_Pi,0.9253535
Km39_PGCA,0.9198839
Km24_FBP,0.911487
Ki6_NADPH,0.8896394
Vm40y23,0.8867917
Km55_GAP,0.8825529
Ki35M_OAA_mal,0.8692329
Km4_MAL,0.8631306
tao_ActRca,0.8624957
Ki24_F26BP,0.8558991
Km54_hexp,0.8277734
Km4_NADPH,0.8268774
Km52_PPi,0.8242024
Vm52,0.8238479
Km55_PGA,0.8148014
Vm41y23,0.8106406
Km30_F6P,0.8088211
Perm_MAL,0.7940639
Ki47_GCA,0.7931105
Km35M_PEP,0.7890592
Km30_ATP,0.7794831
Ki11_Pi,0.7689011
Vm39y23,0.7655643
Km35B_mal,0.7580367
Km46_GCA,0.7408574
Km53_ADPG,0.7268531
Km31_F26BP,0.7137701
Km15_Xu5P,0.6967961
Ki30_DHAP,0.6965087
Ki50_EA_PPDKRP_A_ADP,0.6936062
Km45_ATP,0.685532
Vm24y23,0.67872
tao_ActSBPase,0.6639481
Km15_Ri5P,0.6636958
Ki30_ADP,0.6556824
Km22_PGA,0.6460237
Ki27_Pi,0.6458688
Vm39,0.6234063
Km34_ATP,0.619005
Ki27_UDP,0.6180116
Ki31_F6P,0.6123157
Vm43y23,0.6080939
Ki27_FBP,0.6054881
Vm28y23,0.6047534
Vm24,0.6023016
Km56_DHAP,0.5829849
Km32_ATP,0.5749106
Ki24_Pi,0.5739438
Km51_ADPG,0.5732743
Km29_Suc,0.5701486
Km55_DHAP,0.5581689
Vm35B_PEPy23,0.5517978
Ki24_F6P,0.5410073
Km26_UTP,0.5214239
Ki51_AADP_ATP,0.5109475
Vm44y23,0.5059327
Km30_F26BP,0.504893
Ka51_PGA,0.5022395
Vm28,0.4969668
Km35M_pyr,0.4963716
Km27_F6P,0.4961169
Ki6_SBP,0.4943468
Vm46,0.4842886
Km26_G1P,0.4770734
Km27_UDPG,0.4694143
Km51_PPi,0.4655696
Vm30y23,0.4645105
Vm42y23,0.4514255
Vm31y23,0.4495719
Ki13_Pi,0.4415347
Vm30,0.4337358
Vm31,0.4304674
Km4_CO2,0.430339
Km56_GAP,0.4227632
Km14_Xu5P,0.408486
Vm42,0.4074949
Ki27_SucP,0.4058776
Vm29y23,0.3812386
Km14_E4P,0.379822
Vm29,0.3760519
Km4_Pyr,0.3589483
Vm40,0.3439652
Vm52y23,0.2955716
Vm35B_PEP,0.293265
Vm27y23,0.290255
Vm27,0.2674915
Ki39_GCA,0.2625128
Ki27_Suc,0.1393663
Ki50_EA_PPDKRP_A_AMP,0.08203733
Km37_NADPH,0.02100972
Km28_Suc,0.01731291
Vm37y23,0.01241265
Vm37,0.01139489
Km37_NADP,0.007836793
Ki50_EA_PPDKRP_A_PPI,0.00364002
