"","Km1_CO2","Km2_HCO3","Km2_PEP","Ki2_MAL","Ki2_MALn","Km3_NADPH","Km3_OAA","Km3_NADP","Km3_MAL","Km4_CO2","Km4_NADP","Km4_NADPH","Km4_Pyr","Km4_MAL","Ki5_PEP","Km5_ATP","Km5_Pyr","Km6_CO2","Km6_O2","Km6_RuBP","Ki6_PGA","Ki6_FBP","Ki6_SBP","Ki6_Pi","Ki6_NADPH","Km7_ATP","Km7_PGA","Km8_NADPH","Km10_DHAP","Km10_FBP","Km10_GAP","Ki11_F6P","Ki11_Pi","Km11_FBP","Km12_DHAP","Km12_E4P","Ki13_Pi","Km13_SBP","Km14_E4P","Km14_F6P","Km14_GAP","Km14_Xu5P","Km15_GAP","Km15_Ri5P","Km15_S7P","Km15_Xu5P","Ki18_ADP","Ki18_ADP2","Ki18_PGA","Ki18_Pi","Ki18_RuBP","Km18_ATP","Km18_Ru5P","Km19_ATP","Km19_PGA","Km20_NADPH","Km22_PGA","Km23_DHAP","Km23_GAP","Km23_FBP","Ki24_F26BP","Ki24_F6P","Ki24_Pi","Km24_FBP","Km26_G1P","Km26_PPi","Km26_UDPG","Km26_UTP","Ki27_FBP","Ki27_Pi","Ki27_Suc","Ki27_SucP","Ki27_UDP","Km27_F6P","Km27_UDPG","Km28_Suc","Km28_SucP","Km29_Suc","Ki30_ADP","Ki30_DHAP","Km30_ATP","Km30_F26BP","Km30_F6P","Ki31_F6P","Ki31_Pi","Km31_F26BP","Km32_ADP","Km32_ATP","Km32_Pi","X32","Y32","F32","Q32","D32","Km33_NADP","Km33_NADPH","E33","Km34_ADP","Km34_Pi","Km34_ATP","G34","Km35Mc_OAA","Ki35Mc_mal_OAA","Km35M_mal","Ki35M_OAA_mal","Km35B_mal","Km35B_pyr","Km35M_pyr","Km35M_PEP","Km37_NADP","Km37_NADPH","Km39_PGCA","Ki39_PI","Ki39_GCA","KmGCA40","Km41_GOA","Km41_GLU","Ki41_GLY","Km42_GLY","Ki42_SER","Km43_GOA","Km43_SER","Km43_GLY","Ki44_HPR","Km44_HPR","Km45_ATP","Km45_GCEA","Ki45_PGA","Km46_GCA","Ki46_GCEA","Km47_GCEA","Ki47_GCA","Km48_PGA","Km48_PEP","Kcat49_EA_PPDKRP_I","Km49_EA_PPDKRP_I_ADP","Ki49_EA_PPDKRP_I_Pyr","Km49_EA_PPDKRP_I_E","Kcat50_EA_PPDKRP_A","Km50_EA_PPDKRP_A_Pi","Ki50_EA_PPDKRP_A_AMP","Km50_EA_PPDKRP_A_EP","Ki50_EA_PPDKRP_A_ADP","Ki50_EA_PPDKRP_A_PPI","Ka51_PGA","Km51_G1P","Km51_ATP","Ki51_APi_ATP","Km51_PPi","Ki51_CPP1_ATP","Km51_ADPG","Ki51_AADP_ATP","Km52_PPi","Km53_ADPG","Km54_pi","Km54_hexp","Km55_PGA","Km55_GAP","Km55_DHAP","Km56_PGA","Km56_GAP","Km56_DHAP","Ki57","Kd57","Vm1y22","Vm2y22","Vm3y22","Vm4y22","Vm5y22","Vm6y22","Vm7_8y22","Vm10y22","Vm11y22","Vm12y22","Vm13y22","Vm14y22","Vm15y22","Vm18y22","Vm19_20y22","Vm22y22","Vm23y22","Vm24y22","Vm26y22","Vm27y22","Vm28y22","Vm29y22","Vm30y22","Vm31y22","Jmaxy22","Vm32y22","Vm33y22","Vm34y22","Vm37y22","Vm38y22","Vm39y22","Vm40y22","Vm41y22","Vm42y22","Vm43y22","Vm44y22","Vm45y22","Vm46y22","Vm47y22","Vm48y22","Vm55y22","Vm56y22","Vm51y22","Vm52y22","Vm53y22","Vm35Mc_OAAy22","Vm35B_pyry22","Vm35M_pyry22","Vm35M_PEPy22","Vm35B_PEPy22","Vm35B_maly22","Vm35C_maly22","Vm35_Hepy22","tao_ActPEPC","tao_ActFBPase","tao_ActSBPase","tao_ActATPsynthase","tao_ActGAPDH","tao_ActPRK","tao_ActNADPMDH","KaRac","tao_ActRubisco","tao_ActRca","Perm_MAL","Perm_PYR","Perm_CO2","Perm_PGA","PermBC_CO2","gm","BBslope","BBintercept","MRd","Vm1y23","Vm2y23","Vm3y23","Vm4y23","Vm5y23","Vm6y23","Vm7_8y23","Vm10y23","Vm11y23","Vm12y23","Vm13y23","Vm14y23","Vm15y23","Vm18y23","Vm19_20y23","Vm22y23","Vm23y23","Vm24y23","Vm26y23","Vm27y23","Vm28y23","Vm29y23","Vm30y23","Vm31y23","Jmaxy23","Vm32y23","Vm33y23","Vm34y23","Vm37y23","Vm38y23","Vm39y23","Vm40y23","Vm41y23","Vm42y23","Vm43y23","Vm44y23","Vm45y23","Vm46y23","Vm47y23","Vm48y23","Vm55y23","Vm56y23","Vm51y23","Vm52y23","Vm53y23","Vm35Mc_OAAy23","Vm35B_pyry23","Vm35M_pyry23","Vm35M_PEPy23","Vm35B_PEPy23","Vm35B_maly23","Vm35C_maly23","Vm35_Hepy23"
"SSA_00001",27.9578082170828,0.196560534301968,0.993466826912279,1.51726644054827,4.08469449637623,0.239098182082043,0.554813689723696,0.00751112675959935,3.34075578551942,0.626811839799064,0.079494992362448,0.023284425281034,4.22407239098632,2.20782524611644,0.0172759973951598,0.817129110925689,0.78787608240283,0.0692676007728138,0.0262269524561002,0.195891261917447,0.255284227176532,0.00404842453118471,0.0839096998929559,0.271469289263366,0.447584461289827,2.09142966837328,17.7881007201382,0.535859453511857,0.0479820549252666,0.901426853065367,0.00472072871233284,0.071034180573417,1.28392131404159,0.654132301158597,3.15581530319281,1.10033283650318,1.2412525417977,0.478034753216695,0.0127466489799831,0.964751096113755,0.913004558932839,0.0112301379187655,0.717511132565658,1.32558017272472,0.0464913749233513,0.0400253170017703,0.252023021913294,0.0401951839449125,0.200807899467998,0.441266306583175,0.0702977046129422,5.9400214596189,0.260986705482174,1.7369747204034,0.501471216584914,0.512051917683445,0.135321642673354,0.0465025056458255,0.00206745809684022,0.0223006560438915,0.00044950230219425,2.24527935671958,45.4311858562468,0.000266951515534879,0.0134190919363772,0.45541305655274,0.459409318273696,0.0421592446000608,0.977051611514928,25.5943714522741,86.2285805205331,0.375467351484125,0.459552835138766,0.36065000269334,0.193185467591555,179.869383596985,1.16370116390024,3.55329678659372,0.0201879150177283,0.0822216166959375,10.141691434339,-0.00434085381147441,11.0480483861129,0.738254425028729,26.4489666264293,0.00471471985557854,0.0674604899091915,0.133638347282174,1.96212342341221,0.229370764826097,0.222447104226506,0.24526146384016,0.0947578309005307,0.280676139964178,0.481582134420087,0.00581998622060265,0.206367780586665,0.139295345914317,1.09783035894442,0.0348357977922732,0.335274291530898,0.51656908720014,0.772208796240521,0.783078642271784,0.363900190252438,4.20694737653441,0.968788960851525,0.780031363635507,3.50065004169449,0.120579241338809,0.152794070305743,0.0701230549355479,5.43987540364757,64.5404766301317,0.326878871918424,0.147283567321569,4.04125108917743,3.44524971014831,15.5945017449879,6.34864230594351,0.370515553069376,7.95121794959139,55.3415123191246,36.2963970202223,0.184098678737965,0.440124146486285,0.510413772799097,1.22991306553582,0.511440719421233,0.538981572101288,0.685355551882624,0.483004619601019,0.498541829258677,0.064212425058043,3.27795836895096,0.121426310063351,-0.0293759910868964,0.00357249521614167,0.154475013798004,2.12368124720051,0.948608009087812,0.00171915721711106,0.0908465941685903,0.413030112635178,0.0382964925111771,0.00811372719761792,0.397516807088417,0.29730861466276,0.209472177839421,0.0135999204204404,0.361976653309413,9.31308823191526,0.0586604611853055,0.326071769828752,3.2795398311447,2.2704001250651,19.2168111493077,1.86686887352461,18.3479030255789,19.7269363220101,1.49490250743078,4.65661041870425,0.0159228508559934,1.08393890117309,20.1207496514491,0.0459043286833124,0.0272078238705711,0.0247688490296037,0.0239721220600914,0.0341338968841765,0.140965147891877,0.286107179585632,0.00960774261905862,0.0304809825970241,0.00739682942750245,0.0374008321919326,0.0298099946925593,0.383364587455311,2.50325104721511,0.0166351698546527,0.067133663264301,0.0213097010264326,0.0170689755386988,0.160642523921288,0.023910817673228,0.00474105099175865,0.000136003579727246,0.00566887929490316,0.241237548464024,0.0729301557481841,0.0496352728029482,0.0566547205327504,0.35726256732189,0.0597454580522025,3.81709355471533,0.0608759681957985,0.276923056074878,0.182580290543808,0.197117077254837,1.09232083379418,0.437332806010703,0.571242872067399,0.434948223413737,0.00566118008842119,0.0755889234543649,0.0757670743511127,0.217557832911527,4.15506852011101,0.00218738397929105,0.0248176515310061,0.022764221862952,0.0225216765333616,0.0266461694761012,0.0524154072900927,0.0230505139267224,0.0205890337348363,0.000848915783553101,306.951205999704,78.5251998699096,669.331511382061,119.264750218852,14.2209035456309,15.732386395367,69.8132052523392,78.8199155836636,1116.78578334496,13.0977463397161,0.0337341321107449,0.00443215808980831,1.12356604064393,0.00327927470910244,3.78382914710106,0.301213201006073,2.19151564404231,0.0059626573155379,18.041000061128,20.1923756503921,0.0345396998897439,0.0194637509977593,0.0172424012611715,0.0170948738394391,0.0266460830551118,0.110397964244505,0.401634278889155,0.00712227404716307,0.023345405629941,0.00569240309888375,0.0313738230936132,0.0274979697055363,0.284788761949822,2.49219825986727,0.0166192565738105,0.0662806395804343,0.0240957406887505,0.0151041437688631,0.174046684422998,0.0287696519184022,0.00420251777174702,0.000123141666717105,0.00529298228089799,0.173486064853026,0.0521649893117832,0.0363625149099748,0.0426653192798543,0.358397778203687,0.0597396422194751,3.47195832303966,0.18157133319926,0.186950319505483,0.165040057351934,0.300647484331703,1.12294835544273,0.452544546099613,0.462601119199575,0.505633292841673,0.00402976234478827,0.0756979867895933,0.0756639078051438,0.222131447955448,4.45421911851336,0.00214442826770828,0.017900781886467,0.017649166133917,0.0175301361387124,0.0205428915769694,0.0921190894478994,0.0179262052914846,0.0173199805190147,0.00106750687563138
"SSA_00003",27.9570193342034,0.196534867876824,0.991818187172434,1.50337492405501,3.85959403745316,0.239099518371526,0.555000445678209,0.00751092849782698,3.33877744374249,0.628006841408594,0.0795126268257692,0.0335691121219409,4.22293231325792,2.20924794811058,0.0161605526252043,0.815890790824876,0.787709111128851,0.0774082561420171,0.0262483963880484,0.187808537030165,0.255306812591395,0.00421745356013953,0.086586682853037,0.271502945384438,0.448265465632746,2.09715865914075,20.3523974616538,0.536502750767778,0.0518294433199726,0.910110952183586,0.00463175436092817,0.0707525539537806,1.28422759962038,0.65688919988236,3.21909126698338,1.20268231720798,1.38204317576342,0.477934010192933,0.0131402322498411,0.964953437366349,0.918494421965385,0.0111641403286691,0.715009579965439,1.36129928602903,0.0459277332093543,0.0409441230988581,0.251545086525283,0.0401853817551462,0.200847270243251,0.435744750712918,0.0712599098381958,5.95130130648177,0.285848544261929,1.73058040048492,0.502408433512204,0.512555896935193,0.134628042406933,0.0462622184871586,0.00206663612257065,0.022284315757702,0.000463916477118363,3.62038929449482,45.1524942465768,0.000278192428374543,0.0263368476469786,0.46299832829566,0.462367863661712,0.0416706110610829,0.283241631208282,25.3372762963804,86.1115937135777,0.379226280412187,0.624559335465311,0.133186431190248,0.222693083371803,200.958747797658,1.52360629918086,3.08886891974997,0.0201170535132051,0.0817513976561862,9.40817935009614,0.0156984861841013,11.0240009091038,0.702489123098874,29.0322193843127,0.00470183057291066,0.0676262935685492,0.133599178465776,1.96833145226315,0.309530081551224,0.224386663413851,0.215728195847126,0.108593299313875,0.281537377597058,0.481581554987667,0.00581971963990156,0.203195584194373,0.139220576085707,1.09789946780467,0.036864735665773,0.317222509495135,0.516541926921227,0.761185319290749,0.843212997382107,0.366405602238402,4.14445547337175,0.969695045838134,0.778332255025532,4.39262469812908,0.120463089004084,0.174415954949661,0.0716289725033079,5.78638294978483,59.9710650646694,0.329619600708384,0.00896249831720217,4.05235061576691,3.4917893041013,15.6574345699305,5.94862848986826,0.388885298799368,7.4957679174403,52.7995116761191,14.4036929901757,0.191837370583264,0.441860354924395,0.1373131657283,1.1639761813978,0.507270051378468,0.519103007456542,0.710452962655719,0.302418710432967,0.500972210250133,0.0642249138486902,2.69183807905593,0.121764757423125,0.0101553950524883,0.00341397277677852,0.154620670207799,2.06792558650169,0.94769903305991,0.00109937534832015,0.0767984670259695,0.412676303415662,0.0347621035405468,0.00819784355713607,0.500541849856619,0.297269565284542,0.205298628909238,0.0135149124528705,0.310668485746426,12.4791557066294,0.0506040075581045,0.325927567277067,3.58492837464647,2.32269164804983,19.1695129694918,1.73204697531784,18.2906515320062,19.7162052056513,5.05248323385082,4.15582867299771,0.0158563477018889,1.07980353024398,20.0928414788052,0.0389210768320294,0.0225975281769288,0.0201580339717373,0.019990009582005,0.0293422640070596,0.119823620145988,0.348196119453358,0.00817802165837929,0.0255436754711031,0.00644147262831604,0.0331487614662832,0.0285620401819558,0.313885683335185,2.48101831084261,0.0166357139832884,0.0663266818942003,0.0220381042479099,0.0158175387138064,0.158153790726483,0.00886405396245375,0.00911767880219758,0.000137785828364949,0.00515650559315529,0.201292447957371,0.0625419808913987,0.0415833458054924,0.0486165896784587,0.418925126064213,0.0597510399206819,4.08858183728622,0.0608763230720583,0.275536913999606,0.255829610645977,0.208134206445112,0.726514892381107,0.448017119248272,0.571363012178684,0.42893983445188,0.00500170692777236,0.0755762824006183,0.0757701476713235,0.217990125631592,3.48557186586166,0.00215801552135842,0.020768839504324,0.020161748779424,0.0199896630493415,0.0235245064401782,0.0524032745296133,0.0204772769839378,0.0179241188035042,0.000847233863069916,361.929483615458,113.062498076991,660.165049359791,121.087961210942,14.8558594272976,10.7130440766383,70.3191463830745,78.1023544362765,1144.12727771813,13.7401930736977,0.0370196640503869,0.00442827649862317,1.08985632108232,0.00327939217360586,3.78025646661577,0.301189198087383,2.18298604934088,0.00596208840653839,17.9783436192909,20.5856541164724,0.0348100999658579,0.0196635409360419,0.0174194399506767,0.01728024179141,0.0268503889297017,0.110978788249151,0.397972226606215,0.00718148739714491,0.0234911612144583,0.00574309107801273,0.0314953276105425,0.0275660982871449,0.286561974340044,2.49295897637364,0.0160839938940906,0.0662948859242494,0.0240359768668529,0.0155568113684226,0.176838252470359,0.0315520418416086,0.00420580375719261,0.000126051387974951,0.0053101514091619,0.175200525188085,0.052322122638271,0.0366908553406084,0.0429678226687836,0.41851371565844,0.0597399732793434,3.47502324984436,0.121310789815699,0.188707773801628,0.31216706903756,0.295616428052434,1.13189554586697,0.44551208672861,0.464790553388605,0.507388295404838,0.00374806456587273,0.075715961348913,0.0756810398874539,0.208573080847193,4.5263329324419,0.00236156086934491,0.0180860323260023,0.0177371460572978,0.0176094547192577,0.020700881020346,0.0919520950372704,0.0180185534381805,0.0173960440893334,0.000972555729984279
"SSA_00004",27.9577603715865,0.197295440535478,0.99256221169481,1.51742467838085,4.04016396583015,0.239237332488513,0.554980082341322,0.00750321134085758,3.34071792654293,0.626789085004198,0.0794985292643919,0.02042598213819,4.22606065454612,2.20858270503153,0.0167717090347919,0.817089648578452,0.787662433130647,0.080520221843745,0.0256543181972115,0.19953875541697,0.255356979214286,0.00401064391402836,0.0906519847735163,0.271495098335881,0.442299374525774,2.09171465003581,20.4437799993044,0.535790395137234,0.0454902114739972,0.909148158795327,0.00454171026210495,0.070893984827463,1.28419102489891,0.655667312956695,3.25871350407674,1.2415467869536,1.43407598792827,0.478356251757654,0.0125357186425188,0.964130751669024,0.923987050503668,0.0111491208485108,0.719467413328147,1.3536066569995,0.0468033415436489,0.0410786432171903,0.251786274393756,0.04019530366029,0.200741796903644,0.425142061134581,0.0702612505889072,6.0712658574221,0.2944915296873,1.73054280863816,0.502421072557865,0.512347480525663,0.135504665522331,0.0464975220439449,0.00206730644524395,0.0223010752159292,0.000463500373191839,3.2557306868235,45.6137885845909,0.00026821070547066,0.0226391725986514,0.454011844671296,0.462102726322825,0.0422793120645392,1.11374289483702,24.2757712689976,86.2346132168836,0.375639692778051,0.435833555929648,0.276753112497161,0.194726060106649,173.974301288638,1.00402984741213,3.19500584648188,0.0201899109006591,0.0822134295456464,10.1002739942052,0.00159831854748179,11.03929740996,0.729192310525172,25.1597579592042,0.00471984280081458,0.0679494902157531,0.128937929740609,1.99398173240335,0.199850240060794,0.212378401843647,0.208980730477897,0.0927004032393683,0.276121816616832,0.485373309073782,0.00581941378359932,0.19770982987452,0.13934388761146,1.09785358359624,0.0336685026537547,0.308327997244597,0.516576136377121,0.782194089798311,0.794459854448075,0.364361290383517,4.18875664767908,0.966818013091463,0.782428493209815,4.3338427952048,0.12150822565274,0.131385980356049,0.0679660143838437,5.315213342982,63.9114313104282,0.325937656457769,0.121330442456603,4.03114071309387,3.49467287820347,15.6365260279701,6.12556214609435,0.389832705164415,7.52199515732305,52.3687391672354,11.4873723699017,0.187318819638195,0.44925686749502,0.526763897385204,1.39976826506215,0.509832751885104,0.535930563038621,0.725187369189519,0.480054040866775,0.499017169196553,0.0642036561752041,3.20412024208838,0.121625180655507,0.205606995024995,0.00345766481405786,0.154448637749104,2.05537798778335,0.962182021232365,0.00148492239602036,0.0908371837864952,0.422977852982946,0.0346163770098583,0.00812055199921643,0.393882807583678,0.297270610317797,0.205753776444869,0.0135514514889134,0.365584117020975,9.27079525294938,0.0483900912991781,0.325819006767768,3.50619139809369,2.29156343166388,19.2420989266295,1.8827767141516,18.3069575270252,19.7177321073543,1.37673838339059,4.83491207841488,0.0158730282280612,1.07879690549641,20.1020051254957,0.0385542487659466,0.0222320372696646,0.0198198984029574,0.0196199036233323,0.0290349509513007,0.119395814087563,0.355939861675225,0.0080550480625531,0.0255631877951364,0.00633900382228981,0.0333416668845055,0.0284195250679842,0.316614244155108,2.49625790668527,0.0166356289602159,0.0662962199902634,0.0235640508728468,0.0167638911691959,0.158056578882158,0.0243916778179668,0.00306034427759798,0.000136180346161383,0.00477420553848519,0.197972486668202,0.0621567472954756,0.0409524432958236,0.0479384242847922,0.383796161044723,0.0597491275743704,4.95822227801551,0.060543422867403,0.278906793349309,0.10110911993125,0.213251522991876,0.86898144175122,0.445005785163335,0.575044730650247,0.436580166840312,0.00387599846844532,0.0755787971340952,0.0757545498497887,0.218847288934101,4.13040442990196,0.00216290588559217,0.0203668932470618,0.0199862935965721,0.0197768980574635,0.0232054775259991,0.049897818405397,0.0202875446516035,0.0190323299332319,0.000839415868715309,76.9470575772648,96.8463831138287,668.794091029358,120.498141939474,14.7193206778667,15.2532304652326,70.6785019547553,79.549428830306,1147.79488352533,13.0151090348363,0.0337867773555295,0.00441247285656562,1.13420946380076,0.00327859835444823,3.78460698677446,0.301210611462551,2.11068599416193,0.00596473659025537,18.1943812333358,20.0404884407287,0.0341971046665081,0.0191747274552648,0.0169761359671883,0.016840340621592,0.0263905794463212,0.109460573024365,0.405294822333775,0.00701171168673214,0.0229379932800898,0.00563211492804554,0.0309928800624604,0.0274031439101442,0.276255973448108,2.49226154806448,0.0167291165941609,0.0662600457956406,0.0240193110937868,0.0151191079681226,0.175272459612382,0.0320317878126988,0.00420793842143946,0.000126785966593746,0.00533814430555454,0.171342514310637,0.0512132563706209,0.0359269655839889,0.0421878970765275,0.431918662210518,0.0598028683406643,3.49451348062239,0.0679410834894788,0.185695655152037,0.121236320812546,0.299520584504939,1.13325366819728,0.452242979968146,0.462298379504917,0.492658749168255,0.00355562904895966,0.0755423809546703,0.0756588517052322,0.19878417654493,4.44568993219703,0.00212264722617358,0.0176354242950088,0.0173815151179508,0.0172749872211943,0.0202976724973453,0.0921228319706817,0.0176243314834327,0.0169106044570239,0.00102316670282398
"SSA_00005",27.9569881030713,0.196538227821511,1.00149486803578,1.51356657173182,4.09128681941638,0.239104046623742,0.554653391323602,0.00750833739839221,3.34028519681813,0.627096168560001,0.0795252888113099,0.0480980335244581,3.83210903209477,2.20796600599804,0.015985615803502,0.816887083010821,0.787804582242239,0.0776253379304512,0.02614240378449,0.199306248545255,0.255347251301255,0.00398418693046608,0.0886854896656886,0.272078789456332,0.444286094110126,2.11463393698137,20.5283013427267,0.542060395401945,0.0448106219640278,0.909517008105218,0.0046264425212339,0.0709115119513458,1.2839372932433,0.659760206081126,3.25311059910628,1.22141522369792,1.30846197928436,0.477839624224207,0.011787519083165,0.964670117276447,0.921948130837435,0.0108483809172704,0.719070332104124,1.3630977548593,0.0468366299579869,0.0410673942992046,0.251659534328677,0.0401931850359739,0.200834681408615,0.420196670339647,0.0703644505489248,6.11465005761479,0.288844873806197,1.7448269562745,0.502340962451166,0.5194247415402,0.142853550491573,0.046561408601691,0.00206741190133438,0.0222842113533218,0.000461973858791311,3.24572512731977,45.3681154882773,0.000344842212597099,0.022257548009495,0.460522921000331,0.464640636602935,0.0420125369431997,0.805245808189671,24.1700994228495,85.9113444911424,0.376349556499338,0.503460819911349,0.25112775801284,0.191765662311901,175.09765715035,1.24984749145125,0.603200756255442,0.020145613577819,0.0801589638494244,9.07280174016898,0.0231828098540581,11.0650986062605,0.733652419992103,31.2863425185819,0.00469426853382536,0.0670453801942353,0.133667194281671,1.97868966396321,0.20576751668563,0.218462111465209,0.214490465892346,0.09502525230856,0.280665011402899,0.4815840891337,0.00581980100581373,0.20025773295034,0.139417840885807,1.09749502051014,0.0341783863204742,0.313369197238197,0.516897575850801,0.777183206622038,1.35834433186814,0.366281805723128,4.07736189699231,0.965342587807594,0.775762936892597,3.6824220338162,0.123797155132934,0.126048600343397,0.0713956754167053,14.5215007352614,86.0421707963689,0.317149008662242,0.345146691167404,3.92831614576886,3.48266594464375,15.5596799676865,6.63769852947557,0.370622631709917,7.31224480608192,66.7428874498886,7.14297062890324,0.218856278283115,0.497175130408278,0.893251805468757,1.25250973594566,0.489459713113739,0.526385124794884,0.712396642405207,0.715764697968761,0.500114557465786,0.0617242532584256,1.79698589175557,0.120279194369339,0.0560317139627909,0.00405658529709606,0.154692546507432,1.52497815823017,0.956015025399754,0.00150879946383323,0.0909186036075197,0.415514577680907,0.0361280297269199,0.00818400293488703,0.774200585246284,0.297314768284835,0.206003540017606,0.0135081443553574,0.365838111488985,8.82296618895321,0.0460987489620012,0.316376279586097,3.531346209985,2.32384786208783,19.0973393699367,1.53910039029391,18.2907382778636,19.7167757297264,1.43279721247585,4.70580342455654,0.0160151846963802,1.08202220859504,20.1079036180539,0.0395637963601231,0.0228432486015135,0.0202751859768569,0.0200657128820116,0.029809921006824,0.125357738594013,0.347205196787757,0.00822263752996676,0.0259114352950373,0.0064631684926869,0.0336522170999391,0.0286148837424975,0.319408827243812,2.48938469460967,0.0166373874950596,0.0666451416919065,0.0210421783890634,0.0186058179862454,0.158216943345216,0.0742147671097853,0.00403447859040587,0.000136079753320754,0.00512549995899807,0.202608919127483,0.0624948393371032,0.0416653276604139,0.0488297145404886,0.399177951981037,0.0597469694969315,5.79576900435235,0.0609071041672871,0.277441021753554,0.0665473694630856,0.213922477923864,1.04218216946791,0.447895529647145,0.55606048206881,0.436364741139321,0.00533634651271715,0.0755855591843231,0.0757471913738094,0.217593603054588,4.14123382913855,0.00216425755692359,0.0207988886545711,0.0201392525172047,0.0199386350335753,0.0237302862124695,0.0524367716828469,0.0202246578698089,0.0185222006144983,0.000838758094564763,95.5156238931047,123.22070729394,643.298783084389,121.219827243577,14.7279655559472,13.2465542029238,70.6719242622569,78.9047555661795,1138.20632119439,13.9758073991252,0.0337576675589321,0.00444422474551982,1.13538021733686,0.00327928059302765,3.77994062579637,0.301209549696771,2.18767617536493,0.0059631584974996,18.076565173043,20.0357489078631,0.0345167208443976,0.0194432526530907,0.0172128120468456,0.0170802462635445,0.0266260624005502,0.110014627060953,0.402023785236498,0.00711593146847215,0.0233295559580553,0.00568862955584149,0.0313546550169946,0.0274903392043862,0.284585506706902,2.49275205652765,0.0167042783746054,0.0662608869177621,0.0240036333930384,0.015062526469353,0.17191586574456,0.00256086198943054,0.00420211680209576,0.000126263691672411,0.00528967955664317,0.173319853228767,0.0521600947972126,0.0363191481683493,0.0426228266386115,0.414815101319245,0.0597394736061377,3.49148008117991,0.232889064971974,0.184010451950624,0.312180240979424,0.297653863944137,1.12235507884095,0.447567033472777,0.464819714219439,0.506634527040025,0.0041079853488042,0.0754463263408753,0.075681863725888,0.169984883155208,4.45803289058775,0.00212459621302448,0.017890556775048,0.0176305920994979,0.0175131942220971,0.0205439357127383,0.0921762636026137,0.0179112280779144,0.017306873317055,0.00100357756326001
