Row,Km1_CO2,Km2_HCO3,Km2_PEP,Ki2_MAL,Ki2_MALn,Km3_NADPH,Km3_OAA,Km3_NADP,Km3_MAL,Km4_CO2,Km4_NADP,Km4_NADPH,Km4_Pyr,Km4_MAL,Ki5_PEP,Km5_ATP,Km5_Pyr,Km6_CO2,Km6_O2,Km6_RuBP,Ki6_PGA,Ki6_FBP,Ki6_SBP,Ki6_Pi,Ki6_NADPH,Km7_ATP,Km7_PGA,Km8_NADPH,Km10_DHAP,Km10_FBP,Km10_GAP,Ki11_F6P,Ki11_Pi,Km11_FBP,Km12_DHAP,Km12_E4P,Ki13_Pi,Km13_SBP,Km14_E4P,Km14_F6P,Km14_GAP,Km14_Xu5P,Km15_GAP,Km15_Ri5P,Km15_S7P,Km15_Xu5P,Ki18_ADP,Ki18_ADP2,Ki18_PGA,Ki18_Pi,Ki18_RuBP,Km18_ATP,Km18_Ru5P,Km19_ATP,Km19_PGA,Km20_NADPH,Km22_PGA,Km23_DHAP,Km23_GAP,Km23_FBP,Ki24_F26BP,Ki24_F6P,Ki24_Pi,Km24_FBP,Km26_G1P,Km26_PPi,Km26_UDPG,Km26_UTP,Ki27_FBP,Ki27_Pi,Ki27_Suc,Ki27_SucP,Ki27_UDP,Km27_F6P,Km27_UDPG,Km28_Suc,Km28_SucP,Km29_Suc,Ki30_ADP,Ki30_DHAP,Km30_ATP,Km30_F26BP,Km30_F6P,Ki31_F6P,Ki31_Pi,Km31_F26BP,Km32_ADP,Km32_ATP,Km32_Pi,X32,Y32,F32,Q32,D32,Km33_NADP,Km33_NADPH,E33,Km34_ADP,Km34_Pi,Km34_ATP,G34,Km35Mc_OAA,Ki35Mc_mal_OAA,Km35M_mal,Ki35M_OAA_mal,Km35B_mal,Km35B_pyr,Km35M_pyr,Km35M_PEP,Km37_NADP,Km37_NADPH,Km39_PGCA,Ki39_PI,Ki39_GCA,KmGCA40,Km41_GOA,Km41_GLU,Ki41_GLY,Km42_GLY,Ki42_SER,Km43_GOA,Km43_SER,Km43_GLY,Ki44_HPR,Km44_HPR,Km45_ATP,Km45_GCEA,Ki45_PGA,Km46_GCA,Ki46_GCEA,Km47_GCEA,Ki47_GCA,Km48_PGA,Km48_PEP,Kcat49_EA_PPDKRP_I,Km49_EA_PPDKRP_I_ADP,Ki49_EA_PPDKRP_I_Pyr,Km49_EA_PPDKRP_I_E,Kcat50_EA_PPDKRP_A,Km50_EA_PPDKRP_A_Pi,Ki50_EA_PPDKRP_A_AMP,Km50_EA_PPDKRP_A_EP,Ki50_EA_PPDKRP_A_ADP,Ki50_EA_PPDKRP_A_PPI,Ka51_PGA,Km51_G1P,Km51_ATP,Ki51_APi_ATP,Km51_PPi,Ki51_CPP1_ATP,Km51_ADPG,Ki51_AADP_ATP,Km52_PPi,Km53_ADPG,Km54_pi,Km54_hexp,Km55_PGA,Km55_GAP,Km55_DHAP,Km56_PGA,Km56_GAP,Km56_DHAP,Ki57,Kd57,Vm1,Vm2,Vm3,Vm4,Vm5,Vm6,Vm7_8,Vm10,Vm11,Vm12,Vm13,Vm14,Vm15,Vm18,Vm19_20,Vm22,Vm23,Vm24,Vm26,Vm27,Vm28,Vm29,Vm30,Vm31,Jmax,Vm32,Vm33,Vm34,Vm37,Vm38,Vm39,Vm40,Vm41,Vm42,Vm43,Vm44,Vm45,Vm46,Vm47,Vm48,Vm55,Vm56,Vm51,Vm52,Vm53,Vm35Mc_OAA,Vm35B_pyr,Vm35M_pyr,Vm35M_PEP,Vm35B_PEP,Vm35B_mal,Vm35C_mal,Vm35_Hep,tao_ActPEPC,tao_ActFBPase,tao_ActSBPase,tao_ActATPsynthase,tao_ActGAPDH,tao_ActPRK,tao_ActNADPMDH,KaRac,tao_ActRubisco,tao_ActRca,Perm_MAL,Perm_PYR,Perm_CO2,Perm_PGA,PermBC_CO2,gm,BBslope,BBintercept,MRd,Vm1y23,Vm2y23,Vm3y23,Vm4y23,Vm5y23,Vm6y23,Vm7_8y23,Vm10y23,Vm11y23,Vm12y23,Vm13y23,Vm14y23,Vm15y23,Vm18y23,Vm19_20y23,Vm22y23,Vm23y23,Vm24y23,Vm26y23,Vm27y23,Vm28y23,Vm29y23,Vm30y23,Vm31y23,Jmaxy23,Vm32y23,Vm33y23,Vm34y23,Vm37y23,Vm38y23,Vm39y23,Vm40y23,Vm41y23,Vm42y23,Vm43y23,Vm44y23,Vm45y23,Vm46y23,Vm47y23,Vm48y23,Vm55y23,Vm56y23,Vm51y23,Vm52y23,Vm53y23,Vm35Mc_OAAy23,Vm35B_pyry23,Vm35M_pyry23,Vm35M_PEPy23,Vm35B_PEPy23,Vm35B_maly23,Vm35C_maly23,Vm35_Hepy23
SSA_00001,0.489313330950831,0.923222891168858,0.725660691785442,0.0809600202515419,0.00246814604201679,0.309361735606989,0.0605901039625864,0.0285534132452196,0.018549529729396,0.000814934519457529,0.0407441231651247,0.00159727259145183,0.000114955090119138,0.00966172668904066,0.0168518422508617,0.179165275369873,0.0200848266547767,1.20379882979731,0.920934634279872,0.479688419723026,0.0457547621069029,0.350776558526539,0.00361047065400288,0.108161271685142,0.00159654787066113,0.380126289295769,0.882289284958585,0.242855362931695,0.473987540817422,0.116782380069521,0.632374656170298,0.0772037768113211,0.00832320492009183,0.115889420011586,0.670317833235117,0.829160427961965,0.00168010320356868,0.0156435444241968,0.00181026069489194,0.0165708883908457,0.670794535348477,0.00271375174599614,0.488689307067918,0.00537120130694169,0.00582325581456521,0.0142523798875247,0.0803018829896944,0.222985090917174,0.230996578074128,0.558793592377081,0.318757067103376,0.580027347882902,0.853579690203503,0.0632408694277861,0.273382290850673,0.0977763258172834,0.0073607737194951,0.0262162610664073,0.0258732879033415,0.0212769702560294,0.00984650345626129,0.00818559795689898,0.00632316615970085,0.0120070970548022,0.00287483418921628,0.00175728851486634,0.00257013981506895,0.00329281957500989,0.00330093597376659,0.0121675548315092,0.000435690108241987,0.00100248365415561,0.0104686229078025,0.0652871271633492,0.00228893369738967,1.23998224551344e-06,0.00141683264466602,0.00303271971289433,0.00682105325822346,0.00827444501958429,0.00831208117384344,0.001796718878445,0.00838422917696954,0.00381611155380102,0.0291303251684715,0.00801056576756376,0.00449620790805375,0.00256199895905597,0.00341706436514892,1.25749938197867,1.59756745842,1.2354207263771,0.365435438067094,0.51094628506513,0.629785698834064,0.181787567169066,1.9059306320286,0.106498250966593,0.18954635031551,0.00619243267392405,2.12484180447775,0.0243997849643333,0.0190060749709036,0.00272006256405769,0.000351317143538029,0.0440662327404298,0.0266553273103224,0.00148456361526064,0.00936908453073746,0,5.05119201146859e-07,0.00144663076528268,0.00587629540164347,0.000996011247979492,0.00224886991095338,0.0102595982417034,0.0137554001014712,0.00478616251022118,0.00422330283628763,0.00226390128177872,0.0010925322267769,0.00552028753461348,0.00601005896917642,0.00218292132184121,0.00138354567113098,0.00202451498331385,0.00103615333044586,0.00129121813345098,0.00126622940263184,0.00170169202335002,0.0013289215912437,0.00882825065990546,0.0132330148308925,0.0151454408073423,0.014159735172552,0.0207281961642754,0.00899888729491639,0.00184410249332348,0.0599570468851784,0.00244232791442174,5.16605191588694e-07,0.00338014842006458,0.0016613909208373,5.16605191588694e-07,0.00281755858170439,0.0170119366477915,0.0966911568473031,0.0831780539977618,0.012051725050156,0.0683277372764282,0.00384579173977046,0.00700201466730432,0.00161243829372802,0.00145962341236042,0.00139842288384238,0.00163543239013054,0.00926431853386638,0.00666409481483184,0.00405508397179217,0.0164830544954693,0.00121826403544002,0.00269114116452959,1.14712405041551,0.101481921648898,0.193794540269248,0.490092668415945,0.438193890437589,0.496327541360306,0.496666714270541,0.807276328583732,0.396465723564255,0.284393383732,0.348042707934632,0.376393263717645,0.385351234794298,0.258830240306408,0.246193152616615,0.308260180853473,0.129137063013855,0.104682016420867,0.0190702979926039,0.00963178784748081,0.0663677315365725,0.0061025051915605,3.8845930304319e-05,0.001116721588502,0.00595169238048988,0.0054405051803182,0.6587226880133,0.193044457722153,0.370969202582892,0.310346172634944,0,0.110261109441953,8.60962337602566e-05,0.000629092524884868,0.00289622645199977,0.000866673406575048,0.000574406045213281,0.000491757395033918,0.00221604582493736,0.00484842552970087,0.00718788535379322,0.0350784687253826,0.024759213726115,0.0192992491050043,0.196759700294522,0.0794889903092699,0.212410694390335,0.438071850149396,0.276322818196111,0.269785264437181,0.307470978055385,0.000433392995308562,0.277045110137435,0.270017131712548,0.00209673539191664,0.00201670685062826,0.00947587710712199,0.0022867867688348,0.00201705841785305,0.0021101912969974,0.00133739263773777,0.00544028774492047,0.952700007999749,0.98481445258493,0.00435966467565568,0.00159671940131514,0.056182472613186,0.606123790295512,0.267387327183699,0.0450793273080551,0.416164984062601,3.78881360841673,0.257510371599079,0.649879375635924,0.166393054632788,0.425844979446886,0.412136675348833,0.473363210724529,0.478099064523244,0.781447089168012,0.433914244941882,0.268331411310647,0.327093603580781,0.357895899164848,0.361308137775036,0.243031423088329,0.232159588778613,0.291844577685021,0.120359024688037,0.099891511783112,0.018826942084247,0.00948746343064812,0.00334483262254578,0.00352041962002672,0.00141082028988407,0.00424149987911844,0.00665100182376138,0.00625179505282493,0.612688325481482,0.18130447660172,0.348429869978628,0.291061860297147,5.16605191588694e-07,0.101354945752067,0.00593538213369367,0.00364204101903954,0.0135686475996932,0.00472551227036686,0.00169149435427408,0.00497466411432868,0.00149781051189545,0.00869391600252345,0.0087160400162979,0.0264814123485157,0.0249320634092304,0.0182225968788142,0.187432154840532,0.00170697173974522,0.197989458273946,0.408958986062209,0.259038134612461,0.252835500984761,0.299249121071567,0.00109318428629886,0.261153704513845,0.252388297254891,0.00162958387016759
SSA_00003,0.320021695353503,0.587607167031558,0.466584449361213,0.0553226943235206,0.024565044895129,0.221725169976942,0.0444440144413386,0.0233926464905623,0.0152045268756347,0.00338094236811454,0.0350987574397523,0.00648694019665299,0.0034997453314064,0.0106888384460276,0.0165195933587479,0.13007181403022,0.0179677157851535,1.3940490874183,1.02622991712294,0.347797921735268,0.0362227244294328,0.2521756436812,0.00968370000725868,0.0806536932404216,0.00401510385270159,0.249030794849705,1.82735903708386,0.173097506306644,0.362078878198913,0.0850438422694979,0.649939842947932,0.057732289432577,0.0118065705897505,0.0844037807224153,1.02868719415918,1.15093744736854,0.00779815770297804,0.0149645660070049,0.00683820398634917,0.0142713006555724,0.877150479171973,0.00575939127740192,0.385957086408657,0.00585439956058655,0.00699967108992164,0.00660330035747579,0.0591697095989339,0.157008998530359,0.164369015766041,0.559704434359294,0.225301399977256,0.461426461149754,1.18771639375462,0.0426158027671899,0.182284159536507,0.0639138516251357,0.0112455769430684,0.0198808518760852,0.019256805886695,0.0170921575287999,0.0109661605989897,0.0265716146538789,0.00728318294224581,0.0140244836314145,0.0100869497237262,0.0695178819590672,0.0253744982996275,0.0169909984749821,0.00941861000937909,0.0281860411959615,0.00213682294083681,0.00220138040468491,0.00763932332564976,0.00690607418953802,0.00625916705566491,0.000966436538493199,0.00403984552849842,0.00786032863342044,0.00926490806261122,0.00955636955106839,0.00897034697116849,0.0273679799216743,0.00944525691991255,0.00615479813185673,0.0342871101051193,0.00901498659106409,0.0137493922328042,0.0064761600903719,0.00654901783031919,1.36171563557993,1.56189580722758,1.38664026306227,0.258919625759309,1.2590865461241,0.489302993553507,0.132243461020441,1.62151562391554,0.0799553578192747,0.136131536817619,0.00735441683604005,1.65663477519577,0.0182820887135918,0.0132709922794962,0.00771308524880789,0.00355007445090586,0.00618927223527007,0.023488918287288,0.00720282711485763,0.012365846563845,0,6.47318731272215e-07,0.00656377016260767,0.00661709396878384,0.00297728141173757,0.00830245559897193,0.0143381418195498,0.0705128409642245,0.00723410303850202,0.0546365119270055,0.00673371938924117,0.0353285824961357,0.00582644148863027,0.00524828221938164,0.0129544052168837,0.0513656061792362,0.01109527697612,0.00624518617997815,0.00539833598862409,0.0291022315376007,0.00526057125819766,0.0135351432140997,0.0369676925023088,0.0135412191412916,0.0168535056532856,0.00854303547610252,0.0314682509031992,0.00516874147823861,0.00452759160681274,0.0446067143416738,0.0101507684144684,6.32926508969244e-07,0.0056631101272319,0.0151582051505141,6.32926508969244e-07,0.00604707103398985,0.0108764196185324,0.0719703462487151,0.0601986353239303,0.00609666557194574,0.0546502250278849,0.000902069276756754,0.00279465821788658,0.0157410718862687,0.00600523764194381,0.0145917521402874,0.00996013955009018,0.00987492551292241,0.00554937460286075,0.00926653872377422,0.0124012591531566,0.0096893453142212,0.00545782759050743,0.703842954034236,0.0655617593954035,0.12033491217502,0.295262708800853,0.264758259261897,0.280854398749385,0.273934436478515,0.444680018663103,0.362288805693488,0.238025887870502,0.24433242792467,0.299900840170327,0.261599021382708,0.239774905520265,0.23832723346965,0.252764754611076,0.0814390720326586,0.0737007913377083,0.0140514357187033,0.00849040719293043,0.00370737855176475,0.0028032449115845,0.00308746971115039,0.00595559155219486,0.00583963284443992,0.00492300840713289,0.326438620896747,0.239606887406977,0.255181147494208,0.238624810873722,0,0.0693678037101649,0.00267334975704571,0.00323765714741205,0.00604520063563488,0.00429368491871573,0.00498148536359353,0.0030424862286497,0.00295542218141069,0.00278487631032511,0.00563743695371205,0.015144435351689,0.0164534478445136,0.0121912069729794,0.149859299693659,0.00245855581967926,0.151251363078875,0.256147366231053,0.228833363143839,0.227512368706153,0.240424998901249,0.00253588224891317,0.230976338912431,0.227877897503597,0.00888791526189532,0.00597337914623892,0.00437273386694773,0.0089986271532057,0.0128274596715078,0.0062380449363262,0.00669927449730312,0.442623462252194,1.10927590310115,0.851441489670085,0.0201733328406669,0.0052915098109017,0.0433051650704858,0.397101565012622,0.184220480750488,0.0323870516802316,0.266203655119695,1.45232625365538,0.164803954736019,0.712977498951998,0.142169284195884,0.368218690376482,0.325798723283933,0.346974248194803,0.341855385393156,0.552744461993013,0.455063057995097,0.305510414580227,0.313310486507066,0.379647979257855,0.328673963336861,0.308480699095969,0.305219873409949,0.326756993264804,0.095782133373611,0.0882007803077875,0.0161017408073946,0.00740214217189757,0.205841847957882,0.0126367362765012,0.0101734445998539,0.00532520677537175,0.00667544795094857,0.00537724487348632,0.403046384914142,0.309457951177108,0.31548809181285,0.305295016106007,6.32926508969244e-07,0.0862298336820531,0.0140290998939159,0.00596360530346357,0.0108973767624158,0.00636842404120773,0.00801559376967923,0.00796013659109353,0.00970942459342874,0.00357296153765342,0.00332010606986134,0.0239690506418866,0.0210300236261485,0.0151511579650732,0.388633104213348,0.0159054417599737,0.185079226223126,0.323311752822393,0.290478173967431,0.288568328139946,0.307153349724244,0.00240663560046955,0.29340755915969,0.289422271211009,0.0392592795950927
SSA_00004,0.604401366108055,0.737353524506942,0.40297027268305,0.0767552760405388,0.0145684246186681,0.113965205834291,0.0529215516042466,0.0270374215591704,0.019452115504423,0.00674258459402545,0.0320598641702336,0.0181084524197457,0.00256586507036859,0.0124672584528801,0.0197023151019127,0.0827649078837767,0.0182025483416643,0.40255041874418,0.27685810393284,0.148719547191719,0.034246594266646,0.13136643671214,0.00677012497147532,0.0711720134225302,0.0162217203157579,0.180210811178216,0.400465350321889,0.150064122215707,0.133702433650269,0.0670988583063369,0.156907950853375,0.0537422973156143,0.0114847418066547,0.0750858677248676,0.13391070851789,0.221084195731879,0.00673413844878771,0.0146507016749624,0.00720200921304696,0.0148941192882725,0.112512586710991,0.00644007843177034,0.0590983071649195,0.0181622947518845,0.0221056990544745,0.00550355007794277,0.0491857671116859,0.101062623519203,0.0987119046473035,0.0966354862301335,0.116889621940289,0.149606037703359,0.227709743815845,0.0572729739962746,0.219548701100765,0.070940933672975,0.00791761588750119,0.0228743163162542,0.0226395959272322,0.0183324862250095,0.0125440226366146,0.0334405276646052,0.0277462648386047,0.0082824646580466,0.00668814215461329,0.0245290330376531,0.0223318694531399,0.00513510240888831,0.0101540816603634,0.00963234425645625,0.00283507978081388,0.00118930803706738,0.0179268673656784,0.00976199715358923,0.00735758490016146,1.43435860322577e-06,0.00969233432731739,0.00700077644211411,0.00831134580600625,0.00923120771432856,0.00934296774848425,0.103896770936255,0.0119578192231713,0.00967062380173144,0.00661601434997961,0.00961165805423647,0.0820700766476803,0.0110518625168263,0.014271192640049,0.638276692013207,1.49232236418704,0.154372605522174,0.165916514738317,0.175969532538581,0.116443289998453,0.0806895262387955,0.412525189703954,0.0617858908209197,0.106186137048475,0.0088844462078024,0.852417358605319,0.0280827706986502,0.0169212981042546,0.0886856309530743,0.0159428898489222,0.0139476574910687,0.0251627130630342,0.00730067013382889,0.012457588307133,0,5.54678034369063e-06,0.00519931791650693,0.0324501262084176,0.00565714901001226,0.0112408123449308,0.0100064161788471,0.021527403411057,0.00628045891840609,0.0279745648649918,0.0312221536830219,0.379409480069615,0.101919552380842,0.259515535889529,0.0310225394790971,0.00664840995716742,0.0090029539178009,0.00854397723636395,0.125000833950811,0.026830244980916,0.0984638716458082,0.0103531835793008,0.0185695922678781,0.0164090228746179,0.0208454729566374,0.0195909573831064,0.0916260700011771,0.00965438367477283,0.00533193783768386,0.0417553907234931,0.00592146783675087,0,0.00554269530418302,0.00713914653993988,3.6350804713323e-07,0.00873993061987402,0.0163645460933143,0.0522678087487895,0.057525519645096,0.00621581182566639,0.040456102340395,0.0147599429383176,0.00692636277074206,0.022909448466888,0.0114938921037616,0.00687794767200592,0.00723101000477215,0.00999553471147352,0.0191618403787666,0.00946735252283184,0.0150931346319861,0.0131464358325085,0.00551324344792333,0.816397119424297,0.0596404896769615,0.25828324239778,0.524725627010964,0.319914662639822,0.411602122041455,0.367484941153699,0.740869101806002,0.359590318021544,0.180996237008032,0.225729898088869,0.226905324304816,0.220036302010898,0.120824523336421,0.106539813720143,0.188851544076095,0.132107716291533,0.0615175225042656,0.021819987130789,0.0116077017218053,0.00698717082780547,0.00578081082419951,0.00662303879829087,0.0221988358595454,0.00883327395134954,0.0079684146787555,0.588202561775495,0.189071550456892,0.230527622846855,0.187444909302853,0,0.0927209050635062,0.101006371905191,0.0147262398842348,0.170176446871915,0.0172623295076168,0.362172844858409,0.00503756610919987,110.850388406836,0.00591847822193042,0.00583087280658906,0.0461260097566151,0.0259235432844278,0.0186615769597577,0.102784836249161,0.0559434921283126,0.128710922248377,0.310368061476637,0.1601539313829,0.161581694072239,0.189267224111287,0.0254026984331839,0.163393699977084,0.0777631369086798,0.0218092805666765,0.1241525844267,0.00989025811040423,0.0122583272749269,0.0202809164486047,0.0232098388738542,0.0108225798363333,0.0203692734018973,0.290693023105934,0.283128062532628,0.0108007250434292,0.00557723343256013,0.0452030543893221,0.26225887279092,0.131610495557468,0.0395987514782696,0.541783454694361,2.72901492875344,0.206514128625931,0.217617139018356,0.175387946985378,0.303374220444439,0.0955113249979655,0.126826316232838,0.0771308176996259,0.295571202953933,0.107441440013977,0.0618095571167976,0.0613733693747223,0.0683381072024825,0.0374252047408075,0.0267633607456221,0.0141340105832218,0.0794240582663735,0.0687214557908342,0.0122667563421662,0.00914780160258305,0.0053716317834887,0.00318473100407144,0.00183639635679511,0.0026927218441547,0.00164281965008441,0.0036848810656097,0.00474401586297131,0.205533215118324,0.0367632332972895,0.0461189231683042,0.0447521967313355,3.6350804713323e-07,0.0373385406308097,0.0357970477329263,0.00196616590719626,0.00589228390930187,0.00324425384796035,0.00580938014738809,0.00130824143442911,0.00147500758042736,0.0127828222156719,0.00179209577257183,0.0475659522611847,0.0102251182468877,0.0123802449134678,0.0310101659125706,0.00123855994701079,0.0422134187433613,0.102935587152707,0.0401054073008474,0.0366752909146681,0.05693577846544,0.000895341070933784,0.0399144043228583,0.0234062159655785,0.00156354455057074
SSA_00005,0.504957515320079,0.960118836103409,0.671804102110383,0.0707423907487091,0.0121892882741815,0.276828483274176,0.0605490951539265,0.0312796457128601,0.0192264465101524,0.00389925004616458,0.0423926036906143,0.00331680001460308,0.00119756730507903,0.0126955388596691,0.0177528790154002,0.150792223355873,0.0225853332209412,0.92840429339781,0.704590830664592,0.389844160948557,0.0424493763409521,0.300270755585204,0.00837763896718899,0.0981697132354336,0.0239197628958992,0.329544831857537,0.649023268039405,0.2173185597386,0.375969243648198,0.104418723763062,0.474875432856722,0.0705090072673975,0.0122784723835411,0.102533312533428,0.494075678636918,0.628838268230809,0.00771678577969864,0.0166628292648865,0.00509713155932373,0.0179974688058129,0.483628984905556,0.00607722260126584,0.377550619691157,0.00363734927592527,0.00959709908800127,0.00450652575138046,0.0761930304142713,0.199589001413092,0.203985569362983,0.402679113858815,0.271135385284596,0.452970100200558,0.629573931471205,0.0619816060052812,0.246055788646743,0.087501167659672,0.00891076487945954,0.0251992519384517,0.0248769508976695,0.0228728854140505,0.0123988983490796,0.00623092219523683,0.0192925450009527,0.0133667115652491,0.00634029177324676,0.00448802540285686,0.00603591037016281,0.00757681641951758,0.00265475630475138,0.00627802992747858,9.88076752171493e-05,0.00287857811598529,0.00520942604601042,0.00490758405247169,0.00639837466633093,2.05028915325277e-06,0.00313028549850383,0.00715382992361202,0.00937117242873782,0.0105293514644631,0.0112352067093164,0.0061734147377617,0.0120967014979007,0.00996465759864766,0.00968761468202494,0.01085367962659,0.00584102276332649,0.00391939764462514,0.00728419671346588,0.956978738086501,1.20825622101716,0.95800935113362,0.326089785997621,0.334864165813677,0.488727211486757,0.167953418505147,1.42758218598519,0.105180797101905,0.183370517618249,0.0102615745096657,1.69863887754802,0.0226180924371702,0.0190072737176854,0.0320213532686821,0.00191661828373334,0.00405528671316029,0.0278201089071508,0.0064872612500112,0.0131313320940197,0,2.68112520863871e-07,0.0288110881247311,0.00422133178037029,0.0026450925568787,0.00493487620416947,0.00475542854380154,0.00531181332343862,0.0113660912315926,0.012190760756353,0.00809697469642712,0.00456259820679563,0.00481567888864825,0.00723200136910338,0.00307269088057446,0.00512037372019295,0.0221339629979851,0.00519736490273581,0.00357677314214372,0.00495553009815947,0.00588262625474885,0.00480136702411994,0.0103406717509921,0.016311253690266,0.0169773565627789,0.00380339598206913,0.00880049180107132,0.00276476534452594,0.0257568664566632,0.0463919706171091,0.00464224370619586,0,0.00442595490491405,0.00344678990954122,4.98270968017244e-07,0.00772050843277814,0.0161201235897147,0.0857297090718844,0.0847410734738832,0.00550460472449549,0.0657380158352939,0.00289078543715099,0.0142121727254161,0.00430321967622399,0.00297665764571521,0.00501825033218556,0.00743544133576725,0.0128536790307387,0.0050714197633469,0.00757563337259715,0.0171942697881417,0.00279100487983706,0.00484934301590507,1.0825392135825,0.0804183365459585,0.21164286915357,0.518677247574707,0.410470245318945,0.496311639627772,0.474585587204487,0.785581473290688,0.373840805291784,0.265192022932016,0.326033993671617,0.346378328893996,0.351644458851153,0.237733977897736,0.22364609728204,0.287217980690031,0.132620101889012,0.103580490349049,0.0193757326095944,0.0101920062870841,0.123106050952825,0.00325211982040757,0.00167465849156565,0.00624222555708825,0.00619325140026466,0.00785726947281369,0.621615786785343,0.153437357352101,0.358274397079867,0.290067976005681,0,0.116892118210306,0.00445579005659402,0.00263960670490725,0.00712847238008367,0.00247670808828624,0.0109188608269914,0.00172794286389734,0.0018619558198502,0.00204176259202471,0.00222013481502974,0.0338080250689673,0.0284022551711535,0.0208075134407337,0.180610022994729,0.00175267342888641,0.19951378380882,0.416890630125105,0.256735785685405,0.249220478728496,0.290536773934474,0.00363095279053714,0.259427067972191,0.240475789614661,0.00588141388404144,0.00480331742667694,0.00486797231774065,0.00319239370752285,0.00449283134156383,0.0184401488573724,0.00367590910459262,0.0133925583511274,0.731166540261546,0.757182695768533,0.0476969029722893,0.00658704939762311,0.0525294694869812,0.518968602854032,0.235631565335219,0.0412732862796099,0.419694515303566,3.38000339758978,0.207578670167829,0.492357940842471,0.157787294664544,0.378925796954603,0.333732555556181,0.401740344576849,0.38325138712738,0.642682168864789,0.415079956884061,0.20601868177775,0.261308352665591,0.272879236627403,0.282871713561841,0.185234230213548,0.178429381542745,0.220130495868794,0.101532943513161,0.0769551045637719,0.016984631501516,0.0076031228002697,0.00465085132184294,0.00407225051964736,0.00216606352134308,0.00958926353070282,0.00615682869042535,0.00474349322339584,0.506899500360845,0.121419321513339,0.284739976750233,0.231439928972809,7.63490577637212e-07,0.0841960296247979,0.225032161386657,0.00889132899859167,0.00883284987421351,0.0073521967844824,0.0189899792666529,0.00823622920421615,0.0126464369793172,0.00409618284796501,0.00275432968700796,0.0263143189633384,0.02234558241315,0.0160310047845173,0.139246436585774,0.00327746059587044,0.159538150294227,0.324251528859242,0.205746669220911,0.200227613235361,0.232839340935484,0.00208439004041964,0.205069445195098,0.197164612199141,0.00300426006068467
