Accession,ACa_400,ACa_600,ACa_800,ACa_1000,ACa_1250,ACa_300,ACa_250,ACa_200,ACa_100,ACa_75,ACa_25,GsCa_400,GsCa_600,GsCa_800,GsCa_1000,GsCa_1250,GsCa_300,GsCa_250,GsCa_200,GsCa_100,GsCa_75,GsCa_25,AQ_1800,AQ_1100,AQ_500,AQ_300,AQ_150,AQ_50
SSA_00001,43.2312,43.8431,44.3855,44.8754,45.3654,42.9808,42.3461,39.9566,22.9762,17.9383,5.93891,0.235198,0.225352,0.209165,0.19149,0.173673,0.248976,0.285046,0.328747,0.380949,0.431096,0.471149,43.2312,38.0285,19.8186,11.1358,2.46353,-1.22845
SSA_00003,43.2312,43.8431,44.3855,44.8754,45.3654,42.9808,42.3461,39.9566,22.9762,17.9383,5.93891,0.235198,0.225352,0.209165,0.19149,0.173673,0.248976,0.285046,0.328747,0.380949,0.431096,0.471149,43.2312,38.0285,19.8186,11.1358,2.46353,-1.22845
SSA_00004,43.2312,43.8431,44.3855,44.8754,45.3654,42.9808,42.3461,39.9566,22.9762,17.9383,5.93891,0.235198,0.225352,0.209165,0.19149,0.173673,0.248976,0.285046,0.328747,0.380949,0.431096,0.471149,43.2312,38.0285,19.8186,11.1358,2.46353,-1.22845
SSA_00005,43.2312,43.8431,44.3855,44.8754,45.3654,42.9808,42.3461,39.9566,22.9762,17.9383,5.93891,0.235198,0.225352,0.209165,0.19149,0.173673,0.248976,0.285046,0.328747,0.380949,0.431096,0.471149,43.2312,38.0285,19.8186,11.1358,2.46353,-1.22845
SSA_00006,43.2312,43.8431,44.3855,44.8754,45.3654,42.9808,42.3461,39.9566,22.9762,17.9383,5.93891,0.235198,0.225352,0.209165,0.19149,0.173673,0.248976,0.285046,0.328747,0.380949,0.431096,0.471149,43.2312,38.0285,19.8186,11.1358,2.46353,-1.22845
SSA_00007,43.2312,43.8431,44.3855,44.8754,45.3654,42.9808,42.3461,39.9566,22.9762,17.9383,5.93891,0.235198,0.225352,0.209165,0.19149,0.173673,0.248976,0.285046,0.328747,0.380949,0.431096,0.471149,43.2312,38.0285,19.8186,11.1358,2.46353,-1.22845
SSA_00008,43.2312,43.8431,44.3855,44.8754,45.3654,42.9808,42.3461,39.9566,22.9762,17.9383,5.93891,0.235198,0.225352,0.209165,0.19149,0.173673,0.248976,0.285046,0.328747,0.380949,0.431096,0.471149,43.2312,38.0285,19.8186,11.1358,2.46353,-1.22845
SSA_00009,43.2312,43.8431,44.3855,44.8754,45.3654,42.9808,42.3461,39.9566,22.9762,17.9383,5.93891,0.235198,0.225352,0.209165,0.19149,0.173673,0.248976,0.285046,0.328747,0.380949,0.431096,0.471149,43.2312,38.0285,19.8186,11.1358,2.46353,-1.22845
SSA_00010,43.2312,43.8431,44.3855,44.8754,45.3654,42.9808,42.3461,39.9566,22.9762,17.9383,5.93891,0.235198,0.225352,0.209165,0.19149,0.173673,0.248976,0.285046,0.328747,0.380949,0.431096,0.471149,43.2312,38.0285,19.8186,11.1358,2.46353,-1.22845
SSA_00013,43.2312,43.8431,44.3855,44.8754,45.3654,42.9808,42.3461,39.9566,22.9762,17.9383,5.93891,0.235198,0.225352,0.209165,0.19149,0.173673,0.248976,0.285046,0.328747,0.380949,0.431096,0.471149,43.2312,38.0285,19.8186,11.1358,2.46353,-1.22845
SSA_00018,43.2312,43.8431,44.3855,44.8754,45.3654,42.9808,42.3461,39.9566,22.9762,17.9383,5.93891,0.235198,0.225352,0.209165,0.19149,0.173673,0.248976,0.285046,0.328747,0.380949,0.431096,0.471149,43.2312,38.0285,19.8186,11.1358,2.46353,-1.22845
SSA_00024,43.2312,43.8431,44.3855,44.8754,45.3654,42.9808,42.3461,39.9566,22.9762,17.9383,5.93891,0.235198,0.225352,0.209165,0.19149,0.173673,0.248976,0.285046,0.328747,0.380949,0.431096,0.471149,43.2312,38.0285,19.8186,11.1358,2.46353,-1.22845
SSA_00033,43.2312,43.8431,44.3855,44.8754,45.3654,42.9808,42.3461,39.9566,22.9762,17.9383,5.93891,0.235198,0.225352,0.209165,0.19149,0.173673,0.248976,0.285046,0.328747,0.380949,0.431096,0.471149,43.2312,38.0285,19.8186,11.1358,2.46353,-1.22845
