Accession,ACa_400,ACa_600,ACa_800,ACa_1000,ACa_1250,ACa_300,ACa_250,ACa_200,ACa_100,ACa_75,ACa_25,GsCa_400,GsCa_600,GsCa_800,GsCa_1000,GsCa_1250,GsCa_300,GsCa_250,GsCa_200,GsCa_100,GsCa_75,GsCa_25,AQ_1800,AQ_1100,AQ_500,AQ_300,AQ_150,AQ_50
SSA_00186,35.4284,35.8933,36.3267,36.7379,37.1737,35.327,34.8697,33.618,19.8274,15.6362,5.15689,0.197974,0.189419,0.176013,0.161556,0.147085,0.204693,0.233637,0.269287,0.313289,0.357682,0.392407,35.4284,32.8803,19.1909,11.1025,3.34445,-1.22138
SSA_00187,35.4284,35.8933,36.3267,36.7379,37.1737,35.327,34.8697,33.618,19.8274,15.6362,5.15689,0.197974,0.189419,0.176013,0.161556,0.147085,0.204693,0.233637,0.269287,0.313289,0.357682,0.392407,35.4284,32.8803,19.1909,11.1025,3.34445,-1.22138
SSA_00197,35.4284,35.8933,36.3267,36.7379,37.1737,35.327,34.8697,33.618,19.8274,15.6362,5.15689,0.197974,0.189419,0.176013,0.161556,0.147085,0.204693,0.233637,0.269287,0.313289,0.357682,0.392407,35.4284,32.8803,19.1909,11.1025,3.34445,-1.22138
SSA_00204,35.4284,35.8933,36.3267,36.7379,37.1737,35.327,34.8697,33.618,19.8274,15.6362,5.15689,0.197974,0.189419,0.176013,0.161556,0.147085,0.204693,0.233637,0.269287,0.313289,0.357682,0.392407,35.4284,32.8803,19.1909,11.1025,3.34445,-1.22138
SSA_00209,35.4284,35.8933,36.3267,36.7379,37.1737,35.327,34.8697,33.618,19.8274,15.6362,5.15689,0.197974,0.189419,0.176013,0.161556,0.147085,0.204693,0.233637,0.269287,0.313289,0.357682,0.392407,35.4284,32.8803,19.1909,11.1025,3.34445,-1.22138
SSA_00216,35.4284,35.8933,36.3267,36.7379,37.1737,35.327,34.8697,33.618,19.8274,15.6362,5.15689,0.197974,0.189419,0.176013,0.161556,0.147085,0.204693,0.233637,0.269287,0.313289,0.357682,0.392407,35.4284,32.8803,19.1909,11.1025,3.34445,-1.22138
SSA_00222,35.4284,35.8933,36.3267,36.7379,37.1737,35.327,34.8697,33.618,19.8274,15.6362,5.15689,0.197974,0.189419,0.176013,0.161556,0.147085,0.204693,0.233637,0.269287,0.313289,0.357682,0.392407,35.4284,32.8803,19.1909,11.1025,3.34445,-1.22138
SSA_00227,35.4284,35.8933,36.3267,36.7379,37.1737,35.327,34.8697,33.618,19.8274,15.6362,5.15689,0.197974,0.189419,0.176013,0.161556,0.147085,0.204693,0.233637,0.269287,0.313289,0.357682,0.392407,35.4284,32.8803,19.1909,11.1025,3.34445,-1.22138
SSA_00229,35.4284,35.8933,36.3267,36.7379,37.1737,35.327,34.8697,33.618,19.8274,15.6362,5.15689,0.197974,0.189419,0.176013,0.161556,0.147085,0.204693,0.233637,0.269287,0.313289,0.357682,0.392407,35.4284,32.8803,19.1909,11.1025,3.34445,-1.22138
SSA_00235,35.4284,35.8933,36.3267,36.7379,37.1737,35.327,34.8697,33.618,19.8274,15.6362,5.15689,0.197974,0.189419,0.176013,0.161556,0.147085,0.204693,0.233637,0.269287,0.313289,0.357682,0.392407,35.4284,32.8803,19.1909,11.1025,3.34445,-1.22138
SSA_00238,35.4284,35.8933,36.3267,36.7379,37.1737,35.327,34.8697,33.618,19.8274,15.6362,5.15689,0.197974,0.189419,0.176013,0.161556,0.147085,0.204693,0.233637,0.269287,0.313289,0.357682,0.392407,35.4284,32.8803,19.1909,11.1025,3.34445,-1.22138
SSA_00239,35.4284,35.8933,36.3267,36.7379,37.1737,35.327,34.8697,33.618,19.8274,15.6362,5.15689,0.197974,0.189419,0.176013,0.161556,0.147085,0.204693,0.233637,0.269287,0.313289,0.357682,0.392407,35.4284,32.8803,19.1909,11.1025,3.34445,-1.22138
