Accession,ACa2022_400,ACa2022_600,ACa2022_800,ACa2022_1000,ACa2022_1250,ACa2022_300,ACa2022_250,ACa2022_200,ACa2022_100,ACa2022_75,ACa2022_25,ACa2023_400,ACa2023_600,ACa2023_800,ACa2023_1000,ACa2023_1250,ACa2023_300,ACa2023_250,ACa2023_200,ACa2023_100,ACa2023_75,ACa2023_25,GsCa2022_400,GsCa2022_600,GsCa2022_800,GsCa2022_1000,GsCa2022_1250,GsCa2022_300,GsCa2022_250,GsCa2022_200,GsCa2022_100,GsCa2022_75,GsCa2022_25,GsCa2023_400,GsCa2023_600,GsCa2023_800,GsCa2023_1000,GsCa2023_1250,GsCa2023_300,GsCa2023_250,GsCa2023_200,GsCa2023_100,GsCa2023_75,GsCa2023_25,AQ2022_1800,AQ2022_1100,AQ2022_500,AQ2022_300,AQ2022_150,AQ2022_50,AQ2023_1800,AQ2023_1100,AQ2023_500,AQ2023_300,AQ2023_150,AQ2023_50
SSA_00001,42.6074,43.2114,43.751,44.2455,44.7467,42.3803,41.7512,39.4507,22.7264,17.7439,5.87531,41.8653,42.4609,42.9969,43.4933,44.0028,41.6699,41.0508,38.8324,22.4099,17.5048,5.79739,0.233217,0.223252,0.207118,0.189572,0.171927,0.245009,0.280543,0.323586,0.375115,0.424793,0.464402,0.22982,0.219938,0.204043,0.186788,0.169454,0.239892,0.274878,0.317189,0.367912,0.416993,0.456092,35.4284,32.8803,19.1909,11.1025,3.34447,-1.22138,35.4284,32.8803,19.1909,11.1025,3.34447,-1.22138
SSA_00003,40.79,41.3597,41.8821,42.3722,42.8824,40.6098,40.0136,37.9664,21.9811,17.1797,5.68929,43.4928,44.1103,44.6522,45.1385,45.6214,43.2329,42.5973,40.171,23.0816,18.0208,5.96583,0.225646,0.215721,0.200041,0.183101,0.166131,0.233553,0.267544,0.308715,0.358292,0.406595,0.444937,0.236179,0.226354,0.21012,0.192371,0.174465,0.250663,0.286959,0.33094,0.383428,0.433779,0.47402,35.4284,32.8803,19.1909,11.1025,3.34447,-1.22138,35.4284,32.8803,19.1909,11.1025,3.34447,-1.22138
SSA_00004,40.1458,40.7063,41.2169,41.6992,42.2049,39.9769,39.3963,37.4499,21.7241,16.9885,5.6249,42.8422,43.4473,43.9828,44.4732,44.9693,42.6038,41.9725,39.6238,22.8072,17.8072,5.89627,0.223652,0.213604,0.197969,0.18115,0.164343,0.229804,0.263207,0.303705,0.352605,0.400465,0.438362,0.235631,0.225358,0.20892,0.1911,0.173214,0.246015,0.281815,0.325124,0.376895,0.426749,0.466527,35.4284,32.8803,19.1909,11.1025,3.34447,-1.22138,35.4284,32.8803,19.1909,11.1025,3.34447,-1.22138
SSA_00005,45.2779,45.8897,46.393,46.8191,47.2238,44.8898,44.2903,41.4695,23.6537,18.5094,6.12669,41.3167,41.8987,42.4314,42.927,43.4391,41.1276,40.5201,38.4115,22.2102,17.3506,5.74569,0.24619,0.235794,0.218656,0.199925,0.181034,0.258471,0.296831,0.342936,0.397263,0.44891,0.49051,0.226826,0.217103,0.201464,0.184487,0.167432,0.237233,0.271617,0.313308,0.363459,0.412161,0.450867,35.4284,32.8803,19.1909,11.1025,3.34447,-1.22138,35.4284,32.8803,19.1909,11.1025,3.34447,-1.22138
SSA_00006,42.3725,42.9734,43.5111,44.0061,44.5103,42.1455,41.5213,39.2912,22.6607,17.6883,5.85608,45.3121,45.9205,46.422,46.8462,47.2494,44.9152,44.3186,41.4986,23.6693,18.5208,6.13029,0.232494,0.222481,0.206362,0.188861,0.171277,0.244354,0.279542,0.322279,0.373576,0.423132,0.462562,0.246563,0.236116,0.218928,0.200153,0.181223,0.258746,0.297116,0.34325,0.397616,0.449296,0.490918,35.4284,32.8803,19.1909,11.1025,3.34447,-1.22138,35.4284,32.8803,19.1909,11.1025,3.34447,-1.22138
SSA_00007,39.5843,40.1291,40.6308,41.1064,41.6069,39.4221,38.8556,36.9841,21.4867,16.8144,5.56665,42.4043,43.0061,43.544,44.0389,44.5427,42.1776,41.5527,39.3138,22.6702,17.6962,5.85878,0.221049,0.211072,0.195621,0.179022,0.162446,0.226283,0.259219,0.299153,0.347453,0.394885,0.432397,0.232631,0.222617,0.206489,0.188977,0.171381,0.244456,0.279689,0.322467,0.373797,0.42337,0.462825,35.4284,32.8803,19.1909,11.1025,3.34447,-1.22138,35.4284,32.8803,19.1909,11.1025,3.34447,-1.22138
SSA_00008,42.0873,42.6766,43.2063,43.6986,44.2041,41.8677,41.2467,39.0065,22.5005,17.571,5.81865,42.8717,43.4786,44.0186,44.5111,45.0079,42.642,42.0081,39.6296,22.8007,17.8073,5.89697,0.233197,0.222785,0.206414,0.188752,0.171074,0.241192,0.276341,0.318854,0.369808,0.419098,0.45834,0.234424,0.224432,0.208212,0.190563,0.172806,0.245763,0.281679,0.325059,0.376849,0.426676,0.466486,35.4284,32.8803,19.1909,11.1025,3.34447,-1.22138,35.4284,32.8803,19.1909,11.1025,3.34447,-1.22138
SSA_00009,45.0767,45.6864,46.1951,46.6301,47.044,44.684,44.0815,41.4107,23.6707,18.4946,6.12005,42.2756,42.8675,43.3982,43.8901,44.3937,42.0547,41.4298,39.1382,22.5575,17.6175,5.8346,0.245563,0.235122,0.218,0.199314,0.180482,0.259715,0.297472,0.343202,0.397393,0.448988,0.490389,0.234064,0.223631,0.207198,0.189463,0.171705,0.241812,0.277218,0.319965,0.371107,0.420506,0.459888,35.4284,32.8803,19.1909,11.1025,3.34447,-1.22138,35.4284,32.8803,19.1909,11.1025,3.34447,-1.22138
SSA_00010,43.3066,43.9167,44.4521,44.9376,45.4238,43.0592,42.422,39.9538,22.9514,17.9281,5.93692,44.7615,45.3759,45.8952,46.3452,46.7743,44.4152,43.7958,41.1286,23.5226,18.3833,6.08466,0.237503,0.227235,0.21069,0.19272,0.174663,0.247791,0.284189,0.328064,0.380304,0.430446,0.470574,0.243336,0.233094,0.216211,0.197762,0.179156,0.257053,0.29468,0.340111,0.393932,0.445226,0.486408,35.4284,32.8803,19.1909,11.1025,3.34447,-1.22138,35.4284,32.8803,19.1909,11.1025,3.34447,-1.22138
SSA_00013,45.5388,46.1547,46.659,47.0767,47.4704,45.1165,44.5306,41.735,23.7986,18.6188,6.16114,43.8225,44.4351,44.967,45.4437,45.9133,43.5541,42.9147,40.3367,23.1259,18.0725,5.98459,0.244453,0.234651,0.217925,0.19948,0.180783,0.261536,0.299898,0.346223,0.400876,0.452776,0.494553,0.239802,0.229493,0.21279,0.194622,0.176348,0.250243,0.287217,0.331687,0.38446,0.434964,0.475473,35.4284,32.8803,19.1909,11.1025,3.34447,-1.22138,35.4284,32.8803,19.1909,11.1025,3.34447,-1.22138
