Plot,Replication,Block,Column,Accession
1072,1,8,9,SSA_00215
1073,1,1,10,SSA_00337
1074,1,2,10,SSA_00354
1075,1,3,10,SSA_00341
1076,1,4,10,SSA_00010
1077,1,5,10,SSA_00179
1078,1,6,10,SSA_00027
1079,1,7,10,SSA_00295
1080,1,8,10,SSA_00100
1081,1,1,11,SSA_00022
1082,1,2,11,SSA_00261
1083,1,3,11,SSA_00216
1084,1,4,11,SSA_00072
1085,1,5,11,SSA_00079
1086,1,6,11,SSA_00024
1087,1,7,11,SSA_00081
1088,1,8,11,SSA_00044
1089,1,1,12,SSA_00021
1090,1,2,12,SSA_00339
1091,1,3,12,SSA_00039
1092,1,4,12,SSA_00168
1093,1,5,12,SSA_00041
1094,1,6,12,SSA_00124
1095,1,7,12,SSA_00135
1096,1,8,12,SSA_00014
1097,1,1,13,SSA_00023
1098,1,2,13,SSA_00046
1099,1,3,13,SSA_00380
1100,1,4,13,SSA_00198
1101,1,5,13,SSA_00034
1102,1,6,13,SSA_00235
1103,1,7,13,SSA_00359
1104,1,8,13,SSA_00306
1105,1,1,14,SSA_00140
1106,1,2,14,SSA_00338
1107,1,3,14,SSA_00164
1108,1,4,14,SSA_00145
1109,1,5,14,SSA_00020
1110,1,6,14,SSA_00258
1111,1,7,14,SSA_00223
1112,1,8,14,SSA_00283
1113,1,1,15,SSA_00369
1114,1,2,15,SSA_00029
1115,1,3,15,SSA_00243
1116,1,4,15,SSA_00059
1117,1,5,15,SSA_00133
1118,1,6,15,SSA_00299
1119,1,7,15,SSA_00143
1120,1,8,15,SSA_00086
1121,1,1,16,SSA_00117
1122,1,2,16,SSA_00292
1123,1,3,16,SSA_00222
1124,1,4,16,SSA_00265
1125,1,5,16,SSA_00314
1126,1,6,16,SSA_00123
1127,1,7,16,SSA_00113
1128,1,8,16,SSA_00241
1129,1,1,17,SSA_00116
1130,1,2,17,SSA_00242
1131,1,3,17,SSA_00035
1132,1,4,17,SSA_00093
1133,1,5,17,SSA_00126
1134,1,6,17,SSA_00047
1135,1,7,17,SSA_00111
1136,1,8,17,SSA_00315
1137,1,1,18,SSA_00158
1138,1,2,18,SSA_00043
1139,1,3,18,SSA_00018
1140,1,4,18,SSA_00067
1141,1,5,18,SSA_00008
1142,1,6,18,SSA_00196
1143,1,7,18,SSA_00007
1144,1,8,18,SSA_00130
1145,1,1,19,SSA_00025
1146,1,2,19,SSA_00197
1147,1,3,19,SSA_00294
1148,1,4,19,SSA_00275
1149,1,5,19,SSA_00291
1150,1,6,19,SSA_00249
1151,1,7,19,SSA_00203
1152,1,8,19,SSA_00234
1153,1,1,20,SSA_00033
1154,1,2,20,SSA_00386
1155,1,3,20,SSA_00172
1156,1,4,20,SSA_00017
1157,1,5,20,SSA_00071
1158,1,6,20,SSA_00213
1159,1,7,20,SSA_00134
1160,1,8,20,SSA_00228
1161,1,1,21,SSA_00098
1162,1,2,21,SSA_00053
1163,1,3,21,SSA_00176
1164,1,4,21,SSA_00232
1165,1,5,21,SSA_00269
1166,1,6,21,SSA_00290
