Plot,Repeat,A_sat,gs_sat,ci_sat,iWUE_sat
1001,1,32.64957731,0.179360924,79.89136228,182.0328338
1001,1,24.71373171,0.10577327,4.709841717,233.648178
1001,2,22.71611749,0.1083196,41.97017413,209.7138243
1002,1,28.17406779,0.142336359,57.90753923,197.9400621
1002,2,33.91037795,0.213073654,115.0887458,159.14862
1002,3,41.88396902,0.255513353,102.9190347,163.9208616
1003,1,34.06644732,0.158822621,27.96652314,214.4936729
1003,3,23.51546387,0.151971215,128.899776,154.7363022
1004,1,23.76475815,0.143276726,111.4783125,165.8661449
1004,2,22.60087033,0.118563883,74.24870577,190.62188
1004,3,17.84085219,0.083334361,39.85518448,214.0875852
1005,1,1.423971779,0.029706639,309.2405325,47.93446286
1005,2,26.23511579,0.130549044,55.68392763,200.9598467
1005,3,12.63688316,0.07378067,110.957835,171.27634
1006,3,32.62352205,0.149426572,25.14240136,218.32477
1007,2,35.46572006,0.189076343,70.11174421,187.5735453
1007,3,15.66416092,0.080475878,71.35166281,194.6441755
1008,1,30.68774826,0.227782968,156.6208746,134.72363
1008,2,30.98185557,0.201107054,126.8563172,154.056533
1008,3,24.85100642,0.130531283,72.75694282,190.3835305
1009,1,20.83082856,0.113149391,85.52799335,184.1002268
1009,2,20.74925292,0.091649727,18.82298922,226.3973242
1009,3,30.5058924,0.159869505,68.27513168,190.8174576
1010,1,15.318577,0.07684043,64.47409537,199.3556901
1010,2,19.12776153,0.08986286,40.48022122,212.8550284
1010,3,35.62766749,0.174398408,44.0179128,204.2889486
1011,2,31.132829,0.149531991,40.22625137,208.2017955
1011,3,22.51170641,0.100291506,18.81111082,224.4627409
1012,1,43.71442369,0.394701901,187.4741909,110.7530103
1012,2,34.45622837,0.235777231,137.481135,146.1389134
1012,3,19.52063014,0.095480086,52.23636458,204.4471354
1013,1,21.9644448,0.113321905,68.68865763,193.8234689
1013,3,28.30373795,0.14190977,55.89081578,199.4488322
1014,1,18.43498736,0.082596365,24.89512872,223.1936882
1014,2,16.43321216,0.11602257,154.1345205,141.6380638
1014,3,21.33135117,0.103504127,48.74372642,206.0917926
1015,1,33.01882948,0.160576153,43.38510729,205.6272302
1015,2,26.19720256,0.133396808,62.99715966,196.3855283
1015,3,15.24258137,0.074963753,57.98611047,203.3326876
1016,1,15.86369136,0.089415127,97.48243799,177.4161931
1016,2,32.09319968,0.186646816,97.01433392,171.9461403
1016,3,42.56471283,0.23521096,76.87734483,180.9639857
1017,1,18.43243919,0.084266895,31.86476898,218.7387977
1017,2,15.4898854,0.070824958,34.75240681,218.7065938
1017,3,10.15897418,0.042095122,2.162540046,241.3337618
1018,1,25.92359882,0.141989572,84.71769441,182.5739627
1018,2,23.59933589,0.123959349,74.04880516,190.3796364
1018,3,38.99207178,0.211033007,71.22150968,184.767645
1019,1,29.26225769,0.143242128,48.06091828,204.2852763
1019,3,22.44467282,0.103601731,32.6658076,216.6438011
1020,1,21.7309189,0.124416662,99.59727482,174.6624486
1020,3,18.52862834,0.111595978,114.9347195,166.0331189
1021,1,0.885022768,0.010768033,255.107949,82.18982771
1021,2,14.41474001,0.062311464,13.94078188,231.3336751
1022,1,14.17525627,0.075063862,76.32600197,188.8426197
1022,3,26.86147374,0.127655802,38.80946598,210.421096
1023,1,38.54849723,0.194627894,52.28731898,198.0625509
1023,2,31.06727349,0.156317708,55.63790384,198.7444282
1023,3,27.33228222,0.122654458,20.17244128,222.8396968
1024,1,22.41608169,0.121399474,83.14259467,184.6472715
1024,2,22.84039732,0.129554753,95.67443673,176.2991842
1024,3,27.37372768,0.171224163,119.4967662,159.8707054
1025,1,23.4382254,0.167717141,153.1592107,139.7485389
1025,2,42.07371094,0.230100204,73.46453425,182.8495162
1025,3,34.65611783,0.200656378,91.74024965,172.7137617
1026,1,28.14453279,0.153846655,82.84193407,182.938867
1026,2,20.80429005,0.094171628,26.10580638,220.9188755
1026,3,30.25665208,0.150032978,51.14462369,201.6666763
1027,3,9.784664691,0.042155571,15.13015469,232.1084591
1028,1,14.00843452,0.072207145,73.7775314,194.0034408
1029,1,35.05032355,0.190755777,77.35257402,183.7444933
1029,3,16.08572561,0.094113731,109.965486,170.9179471
1030,1,25.88810736,0.118297237,26.17104661,218.8394924
1030,2,19.51424641,0.106640728,87.37588724,182.9905592
1030,3,27.7014837,0.145662559,71.87953596,190.1757314
1031,1,34.9157538,0.188657233,74.91294863,185.0750869
