"ID","Accession","Year","Plot","Block","Replicate","Repeat"
"2021_1037_1","SSA_00001",2021,1037,5,1,1
"2021_1037_2","SSA_00001",2021,1037,5,1,2
"2021_1037_3","SSA_00001",2021,1037,5,1,3
"2021_2161_1","SSA_00001",2021,2161,1,2,1
"2021_2161_2","SSA_00001",2021,2161,1,2,2
"2021_2161_3","SSA_00001",2021,2161,1,2,3
"2021_1064_1","SSA_00002",2021,1064,8,1,1
"2021_1064_2","SSA_00002",2021,1064,8,1,2
"2021_1064_3","SSA_00002",2021,1064,8,1,3
"2021_2226_1","SSA_00002",2021,2226,2,2,1
"2021_2226_2","SSA_00002",2021,2226,2,2,2
"2021_2226_3","SSA_00002",2021,2226,2,2,3
"2021_1180_1","SSA_00003",2021,1180,4,1,1
"2021_1180_2","SSA_00003",2021,1180,4,1,2
"2021_1180_3","SSA_00003",2021,1180,4,1,3
"2021_2095_1","SSA_00003",2021,2095,7,2,1
"2021_2095_2","SSA_00003",2021,2095,7,2,2
"2021_2095_3","SSA_00003",2021,2095,7,2,3
"2021_1007_1","SSA_00004",2021,1007,7,1,1
"2021_1007_2","SSA_00004",2021,1007,7,1,2
"2021_1007_3","SSA_00004",2021,1007,7,1,3
"2021_2063_1","SSA_00004",2021,2063,7,2,1
"2021_2063_2","SSA_00004",2021,2063,7,2,2
"2021_2063_3","SSA_00004",2021,2063,7,2,3
"2021_1307_1","SSA_00005",2021,1307,3,1,1
"2021_1307_2","SSA_00005",2021,1307,3,1,2
"2021_1307_3","SSA_00005",2021,1307,3,1,3
"2021_2222_1","SSA_00005",2021,2222,6,2,1
"2021_2222_2","SSA_00005",2021,2222,6,2,2
"2021_2222_3","SSA_00005",2021,2222,6,2,3
"2021_1165_1","SSA_00006",2021,1165,5,1,1
"2021_1165_2","SSA_00006",2021,1165,5,1,2
"2021_1165_3","SSA_00006",2021,1165,5,1,3
"2021_2122_1","SSA_00006",2021,2122,2,2,1
"2021_2122_2","SSA_00006",2021,2122,2,2,2
"2021_2122_3","SSA_00006",2021,2122,2,2,3
"2021_1143_1","SSA_00007",2021,1143,7,1,1
"2021_1143_2","SSA_00007",2021,1143,7,1,2
"2021_1143_3","SSA_00007",2021,1143,7,1,3
"2021_2172_1","SSA_00007",2021,2172,4,2,1
"2021_2172_2","SSA_00007",2021,2172,4,2,2
"2021_2172_3","SSA_00007",2021,2172,4,2,3
"2021_1010_1","SSA_00008",2021,1010,2,1,1
"2021_1010_2","SSA_00008",2021,1010,2,1,2
"2021_1010_3","SSA_00008",2021,1010,2,1,3
"2021_2227_1","SSA_00008",2021,2227,3,2,1
"2021_2227_2","SSA_00008",2021,2227,3,2,2
"2021_2227_3","SSA_00008",2021,2227,3,2,3
"2021_1202_1","SSA_00009",2021,1202,2,1,1
"2021_1202_2","SSA_00009",2021,1202,2,1,2
"2021_1202_3","SSA_00009",2021,1202,2,1,3
"2021_2066_1","SSA_00009",2021,2066,2,2,1
"2021_2066_2","SSA_00009",2021,2066,2,2,2
"2021_2066_3","SSA_00009",2021,2066,2,2,3
