"","SSA_00197","SSA_00262","SSA_00179","SSA_00001","SSA_00080","SSA_00119","SSA_00286","SSA_00050","SSA_00105","SSA_00005","SSA_00186","SSA_00006","SSA_00018","SSA_00121","SSA_00041","SSA_00033","SSA_00013","SSA_00003","SSA_00156","SSA_00007","SSA_00173","SSA_00187"
"Km1_CO2",4.5851052639614,4.489409583568,4.53818333956026,5.10556124185115,4.46236413369549,4.87145868138562,4.50053566474257,4.43095409003869,4.72750809825873,3.80285942297338,4.72267919817038,4.10999608175272,4.42224414011808,4.33413938904687,4.57150145766508,4.66447198103191,4.71882869911805,4.13872127453366,4.58612312109707,4.35655231415293,4.56497753558588,4.62024867818256
"Km2_HCO3",0.0284005918135109,0.0284001080775236,0.0284003412573106,0.028400231851245,0.0284005469228363,0.0284004760961682,0.0284003737506184,0.0284003245436524,0.0284002952418403,0.0284006459451416,0.028400146341981,0.0284002386163707,0.0284001678364357,0.028400330087618,0.0283999020627451,0.0284000909968643,0.0284003267273193,0.0284002528542096,0.0284003100926578,0.0284001539404381,0.0284002425735686,0.0284006818032012
"Km2_PEP",0.086291487077097,0.0974188666062474,0.0991773804606993,0.0934214114624742,0.100373091699234,0.0851109678550839,0.104955213261373,0.100711206893118,0.100180928232079,0.104097858859574,0.104622306493989,0.0973403736325691,0.0942154339607404,0.101357082911344,0.0980508219175038,0.094496849463134,0.0977722921734091,0.101076313223279,0.0930324277370565,0.102165090123213,0.104527132329531,0.0948795408866523
"Km6_CO2",0.0136918668183942,0.0136917274991973,0.0136918655920648,0.013691806635025,0.0136919905433021,0.0136919422035518,0.0136920561678785,0.0136918190084842,0.0136918681615162,0.0136919490599636,0.013691742244043,0.0136918096679323,0.0136919663092154,0.013691916677393,0.0136918288630372,0.0136919543723106,0.0136919856129732,0.0136918808486467,0.0136918679325763,0.0136920151837232,0.0136917068700654,0.0136921274659086
"Km6_O2",0.231154559755981,0.231154971475639,0.231153583256057,0.231150944133727,0.231152701314924,0.231154410079726,0.231152312275209,0.231153704638318,0.231154030746485,0.231154291606198,0.231152898220164,0.231149320765021,0.231156199965304,0.231154625957703,0.23115336794353,0.231153702873587,0.23115518485112,0.231158002377809,0.231157111670752,0.231153884810733,0.231150252108195,0.231155798426764
"Km7_PGA",7.2092046522762,7.45768795701639,8.63118324195816,5.76263900091753,6.01792602516206,6.57737398036006,8.31262935829786,5.89087874024907,8.26933720718598,9.16074257769312,6.65322260284705,7.70424452761347,5.31490704703617,7.23639488668345,5.37397373849905,7.03544152532193,7.55589794498817,7.76638036531871,8.08224843788051,4.48508863241219,6.98920652068303,5.8673926544051
"Km10_GAP",0.0579556206003824,0.0603329030264761,0.0689724113406874,0.0928230190383408,0.063982265255623,0.0531737408483079,0.0700501025312982,0.0667084664924857,0.0598858340221427,0.0569576582234034,0.0600050361367996,0.0788986979331612,0.0673430494702864,0.066002908205296,0.0734648618417157,0.0634870108227739,0.0591212753699812,0.0677042376354237,0.0463261931591439,0.0457635565788747,0.0650498597951834,0.0538558844755263
"Km12_DHAP",0.441993602916524,0.450275752650386,0.448781857338947,0.439641153380829,0.451081812359161,0.448168193614181,0.456445097572069,0.452177440477845,0.443146017370239,0.450044991076806,0.452429681503459,0.44296736370244,0.450025741055056,0.451537643945361,0.446170947821182,0.448512072075382,0.450077165148594,0.448968883117416,0.445862850345208,0.447225538537485,0.447384582167462,0.447309316697037
"Km12_E4P",0.186745007442009,0.163304250278424,0.170269789737198,0.155541711762426,0.138718948733721,0.162752619739316,0.139106164452465,0.169656879069386,0.148277938349421,0.200812545900284,0.14896559405798,0.143085888304292,0.139968162690525,0.145316890048386,0.15517672202279,0.153991192169263,0.170462993831519,0.215782280730313,0.180882512432327,0.173613959329829,0.164176229633509,0.147396302717985
"Km14_GAP",0.130716300171168,0.161332682689791,0.149392461661827,0.200310021415173,0.193605614260496,0.149891232152625,0.128845063194198,0.154522095576238,0.167750478432847,0.0768031985753785,0.171113711390592,0.167653983538057,0.146589017535515,0.134770905943426,0.134773374857758,0.133729918449508,0.15037169085665,0.186020709983552,0.142172204440103,0.0958273727459828,0.163782244430307,0.147356595919248
"Ki18_Pi",7.35495480438789,6.05157398539308,6.77751901690843,6.59219728463672,8.21152406608168,6.09854695205076,7.19909541019473,5.62421654714983,5.95943588802261,5.70328126846607,4.70324493575113,13.11934329192,7.02754292839432,6.86444977601291,8.19581475920544,7.44501573771201,5.92672412741968,8.02403499351641,5.57085086683814,5.99529340912251,7.51751429099411,5.51808857701388
"Km18_ATP",0.755565172687282,0.75555923449654,0.75557193754836,0.755583831525782,0.755582874921725,0.755577328420198,0.755576782841958,0.755569935517265,0.755582867818732,0.755534219481525,0.755590156488969,0.755561343307927,0.755556141692961,0.755579374656873,0.755572442880822,0.755571633336146,0.755568033203651,0.755564595725079,0.755569062301014,0.755547409396365,0.755580322713411,0.75557190294521
