"","SSA_00001","SSA_00075","SSA_00254","SSA_00113","SSA_00239","SSA_00080","SSA_00178","SSA_00238","SSA_00262","SSA_00110","SSA_00279","SSA_00271","SSA_00135","SSA_00050","SSA_00197","SSA_00367","SSA_00235","SSA_00138","SSA_00009","SSA_00018","SSA_00007","SSA_00286","SSA_00003"
"Km1_CO2",3.23655166745219,3.80018681230413,3.70272075793252,3.27612686672484,3.12310609542141,3.38548823749966,3.38611947739041,3.00590021306835,3.94744917560912,3.72443813778892,3.23954430501968,3.2974829422553,3.08566071474155,3.92891655533128,3.98939206210819,3.4619109682095,3.69799565272714,3.9760878712583,3.35944152523887,4.21187106682376,3.33632964662922,3.36092813864884,3.57158087228486
"Km2_HCO3",0.0229718971163457,0.0287640922237943,0.0320913967218755,0.0282535090041934,0.0272147092482491,0.0331823024886073,0.0270861352600916,0.0293591090651748,0.0219372556781663,0.0339769345683142,0.0302714997682282,0.0331722637814201,0.0307626248869396,0.0252044797068781,0.026727394231512,0.0317184378939834,0.0309911894030109,0.03211529702547,0.0250154621921745,0.0288884677220866,0.0230739354807442,0.0319731959689148,0.0255791370815385
"Km2_PEP",0.0819732790527265,0.124292200769287,0.111501523219572,0.139401641801677,0.111955272040996,0.137350741529873,0.101436904944724,0.129236220160843,0.10536673164265,0.141378209719743,0.10087323139197,0.149017695555927,0.12129107520861,0.11414650321898,0.100445877513846,0.12704291584899,0.112503616418599,0.111370053627572,0.10902358273982,0.116812801342788,0.0744456893375415,0.119894086062732,0.0904288384565823
"Km6_CO2",0.0128925389115224,0.0118313388834489,0.012969430163356,0.0121899392272702,0.0151421122568383,0.0161927208932255,0.0113865049253635,0.0146298534119615,0.01240200391225,0.0163275966182177,0.0137289691839866,0.0154338287345229,0.0149758336797589,0.0157073116677108,0.0143397052082013,0.0170140866116048,0.0149277766670727,0.0134619416527687,0.0182462298492694,0.013426966823416,0.0107977544915554,0.0152211984683185,0.0161334722146341
"Km6_O2",0.271784691365693,0.220227884244814,0.236065536889809,0.244155001215184,0.216004461786438,0.247025311112904,0.265883740071208,0.272724332355413,0.274623043987424,0.224400842774282,0.263913821313438,0.238662851308433,0.273397205839239,0.27533652651681,0.318922449360245,0.221206496255448,0.23816469498743,0.277636723696067,0.271357130705693,0.284684029275942,0.275288304555693,0.264512452957351,0.346127531467824
"Km6_RuBP",0.0314281235420789,0.0195012324797856,0.0200031137101214,0.0262512971810751,0.0179087933532308,0.0275043468319702,0.0248450552137573,0.0236043477569672,0.0218996681408923,0.0229094707979553,0.0268977363853517,0.0230557664012489,0.0249517569331144,0.0235159326896482,0.0262481911958757,0.0180077778612084,0.0246775550558944,0.0291267051213201,0.0210970327246331,0.0216895419838391,0.0231869747704386,0.0235922228268051,0.0235423780251154
"Km7_PGA",4.37862061105052,4.26291410405428,4.69874743261502,4.05638755903556,4.27701889411684,4.30000456476782,4.37894725265915,3.7997666142712,4.58366629933634,4.05418715129531,4.29862502723675,3.83381402623494,4.30469855337446,4.3327495208728,4.23972118320888,3.40071045824669,4.19120115279387,4.26336076677408,3.9752240123972,4.26830446351838,4.36245279907757,3.9348273190648,4.52356656219507
"Km10_DHAP",0.72150773121434,0.635557983260064,0.686340639185992,0.628723025633978,0.686190675991968,0.566031342730028,0.676995068287352,0.635851703565458,0.595884166130961,0.576958569140137,0.678111063715218,0.700776632024888,0.5907536334982,0.637962324287327,0.591052258861808,0.627146248673703,0.652136961788645,0.662352961381487,0.617952051890492,0.699078479738341,0.803267818286733,0.535606146022607,0.532952372365966
"Km10_GAP",0.0530709848106456,0.0459909685306798,0.0458495325724649,0.0593184981922065,0.0570828312712482,0.0573334608144633,0.0518596619712459,0.063856408820364,0.0356977069999533,0.0450277931068978,0.0631031259149683,0.0694254467697897,0.0535650620130692,0.0517141375972654,0.0430410535230446,0.051738729037827,0.0619445108425658,0.0474217193223658,0.0395202488163451,0.0635951855691816,0.0586403836678623,0.0579787869865158,0.0717306363587575
"Km12_DHAP",0.260375363376391,0.515571849349784,0.479344097130384,0.468752396066305,0.388983122848018,0.544992071785919,0.497876358348944,0.434963033891221,0.431454306968365,0.549957006480127,0.451080585576061,0.472787800537367,0.442217747804633,0.472514148038034,0.431546048079321,0.468783928533735,0.480124774046282,0.543811105405715,0.511869727243926,0.539510670445204,0.317201402059315,0.451293196523859,0.449934525609914
"Km12_E4P",0.167233003144528,0.186118673615036,0.205787278682924,0.219045939741419,0.18765451259396,0.195933278545547,0.18468280519112,0.179647662739774,0.197901517596744,0.209938289213625,0.180185610807474,0.209295721298659,0.201062555149285,0.18232490941435,0.230944164618013,0.216750021079323,0.176327640172854,0.217610138864705,0.235137266570594,0.246037181403503,0.163052583054422,0.217539743743688,0.235997109866269
"Km14_GAP",0.105042353674829,0.1192074073947,0.0928167388411601,0.127606951700084,0.116622843982395,0.135882472482357,0.124119494322928,0.13954263887086,0.114856370055519,0.123399378271756,0.130082186689683,0.154943407222684,0.124127216956437,0.148665819113833,0.120561763573653,0.118926034331883,0.124263335956571,0.0979223414806957,0.105823580892332,0.108801141073227,0.0696645225390308,0.111641913459319,0.0943707638156846
"Km15_GAP",0.114515403117988,0.0748719003141041,0.0915435117024568,0.0924340393003219,0.0983887302357776,0.0857718506939336,0.107176373528728,0.112426578778707,0.105575201665686,0.079292118785904,0.102297908407169,0.107930303130041,0.0764048738002473,0.116102361888009,0.0800860350290879,0.0886260225476552,0.100104222172145,0.0561027768347419,0.079476354344258,0.0841088049341252,0.0864075183410502,0.100234949243049,0.106759201488876
"Ki18_Pi",5.05964736696123,5.86687003526173,5.49429609931718,5.3684197636083,3.60595835888041,5.75750982080739,6.4111340086259,6.523014407436,6.42439151573166,6.55997547460937,5.17209000745076,4.80206195518841,6.25584936181142,6.10603065941765,8.67628593501334,5.20988626200264,6.29569415825705,5.97757927814754,5.29242542872406,7.04061688984019,5.74094304381426,6.08166288794689,7.55214483585621
"Km18_ATP",0.703163645954929,0.688126044960808,0.832827230880804,0.835348016850473,0.873647431973494,0.618021906915736,0.810089095077966,0.721673654055286,0.856977964759922,0.683655614151486,0.734526521123743,0.647270244975221,0.783229126828286,0.847574027974969,0.712756761996089,0.753176623920811,0.763045579545334,0.46061221387417,0.728128193542387,0.732014563245136,0.960967964466824,0.770475556389334,0.920156882479497
"Km18_Ru5P",0.055982175863826,0.0419805217240156,0.0423560285729644,0.0479737524984019,0.0495998144619241,0.039135458768254,0.0450309840155372,0.0572180737071972,0.0524189537446878,0.0440941169948698,0.0515298754194069,0.052762866099996,0.0405691183512392,0.0482011433010902,0.0413978611061112,0.0415354160635502,0.0516051713593478,0.0415669446736226,0.0394416528928694,0.0376799598350198,0.0687231497151569,0.0364058322794356,0.0345749969618668
"Km33_NADP",0.0523130757161656,0.0432057564465319,0.044690826469218,0.0485141019159054,0.0443329887037183,0.038535216087192,0.0490072487376475,0.0426490521701341,0.0432985682448944,0.0430772327483648,0.0500455591878768,0.0411241954922175,0.0468116579470581,0.0431275931017911,0.0507128969066391,0.042844489905446,0.0511930951090198,0.044884706127919,0.0445254369973126,0.0509089244306501,0.050617646539694,0.0452215258632039,0.0513399108372013
"Ki57",0.172457663620029,0.152551167836352,0.162380766925295,0.157454748110523,0.175573759110016,0.179552625165937,0.16052286246697,0.169745800703313,0.185678999279871,0.146193774280968,0.179008863131239,0.175039097079481,0.167301616390604,0.155039055143664,0.213485398140309,0.182859195198507,0.156685762143307,0.193633694919319,0.161634632849486,0.15675186128296,0.187962414744864,0.197084390831243,0.185595758795458
"Vm2y22",0.0906636183625095,0.121466456800459,0.0930800022062377,0.12613310991079,0.0998851667336966,0.124842887006089,0.0955220218869765,0.107981998420551,0.106042770457448,0.144397787113717,0.100849146156294,0.110900369981064,0.139968708921915,0.103502186082409,0.106386615688186,0.130548921620081,0.115071416339951,0.121222155816362,0.106989318681217,0.138108597332937,0.0565176603354748,0.129666504175081,0.105792940154055
"Vm3y22",0.116459999887952,0.102559027430795,0.0734703669051075,0.0905007284460083,0.0770585934954466,0.0864252888026546,0.0992992761575338,0.0841127665477121,0.0831631922198545,0.0826582169466739,0.0890594167007557,0.0770004957321909,0.0852109867632628,0.0858823450283911,0.0856739597374775,0.101506123851431,0.092612493821112,0.095226402580865,0.0895691691849769,0.0708377173412714,0.0852348283254341,0.0961969634922326,0.0918289563202736
"Vm4y22",0.0776885195518312,0.0650704217114969,0.079961512275679,0.07638991432663,0.0711007110146545,0.0631292529943705,0.0676602939518499,0.0739494914628175,0.0879376944605813,0.0777709673511344,0.0794910110373604,0.0612495635531953,0.0693078675493546,0.0786468626849309,0.0650942677264619,0.0724661204514024,0.0766455049995583,0.0545930702000243,0.0718943362511075,0.0638656613519591,0.0833923055139836,0.0742582270446097,0.0883961600412184
"Vm5y22",0.0659973877820114,0.0841804929846044,0.0842918929729911,0.0751486610287581,0.0767030092082817,0.0826251450070912,0.0948859848854034,0.0818210586759425,0.0771906726746897,0.081133637985275,0.0796713503955691,0.0684907288117591,0.0823055984357171,0.0748800741794201,0.107322987679223,0.0804632042462022,0.0664317321154513,0.0761218427135354,0.0889944954976098,0.107713435241048,0.0717098957918784,0.0826147190379068,0.112883634634575
"Vm6y22",0.0819075770216337,0.0974182478184539,0.0998061458012391,0.0923180050645116,0.10334933570126,0.0932027204777988,0.0853377935862116,0.0920524527553709,0.0956180472131753,0.104053134697906,0.103477150175829,0.0986687441848871,0.0973239025105693,0.103704196619239,0.083164592278866,0.105444345482208,0.102508681696929,0.0859493736749523,0.0962490339698371,0.102587939458279,0.104399738935818,0.103403016185056,0.0798343501295576
"Vm7_8y22",0.488710398536846,0.477422916638949,0.65033086919127,0.538541661704267,0.561919890249231,0.59661959683863,0.63926853553361,0.610365396644886,0.467405214189127,0.585729127736044,0.599336075163847,0.507353608321213,0.517911717852704,0.60691115907463,0.636620544464227,0.658292609605151,0.680429326523367,0.508863366607854,0.539343390553161,0.621580926880404,0.446160447908672,0.624806544976217,0.638147586697482
"Vm12y22",0.108085435712238,0.102635187842108,0.0848587746868214,0.120873910781395,0.0988749124014582,0.110600360166069,0.106562187228612,0.112519281368956,0.117995971663774,0.100929148241587,0.0968495982192957,0.111983154625137,0.105940833442435,0.0986235833907353,0.134946180138893,0.113762041960845,0.0910211436460804,0.129173023072738,0.0985304107474099,0.113937301782692,0.115049870829489,0.109071308544203,0.129873674134868
"Jmaxy22",0.82401511859052,0.744325261316971,0.934980246543691,0.663214667395729,0.719697775333947,0.746723052074838,0.814589471190029,0.751363175480193,0.6775304908215,0.926163119010729,0.838835112584365,0.596781057852065,0.832354870892745,0.813975129818407,0.743681041452667,0.775663490764544,0.850379759290745,0.738176796811692,0.919975102145514,0.694159660974798,0.852123908391572,0.877036562341003,0.843762487808493
"Vm33y22",0.252696155815858,0.202025192565153,0.267015618312538,0.228301794049533,0.221489081516527,0.262272290203662,0.227613573459974,0.220434478492957,0.262353602887147,0.232205411847141,0.232644266781981,0.255500452463843,0.214842178063976,0.247852606291522,0.268427650585453,0.231349586830791,0.227097407355167,0.236263983749193,0.271272076551883,0.23645761469511,0.210483154521092,0.224964231643679,0.321170210240736
"Vm35Mc_OAAy22",0.0892647593603341,0.108633394277777,0.109303418943324,0.0998030662595672,0.114212526382499,0.0878218585880323,0.102316357203104,0.0973749203536922,0.102183736498081,0.121911673711945,0.0913581662633923,0.0788053764804677,0.106018715309966,0.114483441408698,0.105350084910065,0.0964633141789808,0.0993746632862241,0.0979868086071869,0.0958214118733178,0.0965713810782945,0.106035551636631,0.083926463502441,0.105157577612181
"KaRac",13.3292966489449,13.0642611638488,10.8767371579105,15.9038899847856,11.9327572302748,15.2220489691748,13.5274481293982,14.8191595267992,14.1387115703663,13.8684200035659,12.8086091773086,15.7237969916933,15.3694380592998,14.2907197751366,10.8279416733498,14.6669474369467,13.5919834276776,12.1906603452984,12.268603603974,14.4058397411212,9.30646227705011,17.194027322009,11.7450111315047
"tao_ActRubisco",250.870640592021,253.817055044091,276.969828770579,250.019057839944,252.194069650006,235.33423833343,240.152683692658,226.967664139192,304.471505163967,224.319864526147,240.725974631588,247.319304646083,234.428540229052,277.305557185596,252.027440870155,260.310663857935,254.968224529043,243.085455207871,247.101473847597,263.294598054726,291.037457220213,231.641372414277,255.008386670559
"Perm_CO2",0.086106998400277,0.0927215859033014,0.1009606154185,0.0925856680902575,0.0899074812496139,0.0959033436963392,0.0898247550648523,0.0815565533450929,0.0873504959446342,0.102122077571712,0.0963948635484207,0.0782141464005362,0.0925638409577892,0.0717670127761498,0.101963498899341,0.103158290817431,0.0887287787562493,0.0807297726669666,0.0982330809116841,0.0858257005435762,0.0988694599417323,0.110067955005944,0.120072359559329
"gm",3.54958689547537,1.70019878988765,2.57101809033333,3.08658556514855,2.7515331814184,2.80064200787946,2.5066577356021,3.30907411346231,2.94288591015534,2.35986340369534,3.41652938093991,3.57098601372915,2.22180486704919,2.94859650859335,3.3736095243887,3.37539356560383,2.68902220866991,3.518414221408,2.85707401410254,2.52698224905767,3.49618030163104,2.75942138475162,3.64314011303672
"BBslope",3.20782900147541,3.07498528669897,3.3824081769741,3.02228715502393,3.07921200147724,2.81289060839195,3.1173407256046,3.03508605115602,3.0775152308843,3.26869725281795,3.11588473210868,2.95016836173214,3.11043034746052,3.19029987583556,3.16078302305191,2.91612331921326,3.18891111344817,2.99346541743959,2.96012494794652,3.18098665644775,3.38747699082238,2.82446592742073,3.10979206858431
"MRd",1.4712171475569,1.51617489775771,1.38281899329552,1.4674493095641,1.63396826192577,1.62456855104924,1.56117666627652,1.66547720122984,1.5414012847415,1.50032435574455,1.62077333008983,1.67498757557229,1.57852081583271,1.4899574891609,1.46954577723647,1.53779805539009,1.52947277263789,1.52227020563961,1.74035902055145,1.5806526286379,1.53651302434929,1.58376655227475,1.74212531287446
"Vm2y23",0.110499426673795,0.139880029406926,0.129266764086142,0.118293904405617,0.115078709111107,0.137887873457492,0.123516375622216,0.117265612537822,0.112182375426435,0.156524490082387,0.130937876367101,0.100816313927829,0.137807121052239,0.133739940210794,0.126988662011832,0.134955055231956,0.124729660409784,0.149504323081871,0.140059067016946,0.112465308064827,0.0874557880655338,0.132876347592427,0.130865380676744
"Vm3y23",0.108848995170046,0.120846423224675,0.100082744911071,0.0909651627724366,0.0948325074822844,0.105210473901419,0.108910117884452,0.0950555088283571,0.117073397006099,0.120156522063955,0.11291796077008,0.0786933123029916,0.113678670950855,0.113657597849243,0.146791225435579,0.0988964059825732,0.0946364080500469,0.0938189144713028,0.121455032375582,0.111010027453286,0.101913730152167,0.113741298532646,0.129761600082255
"Vm4y23",0.0944056655899678,0.0767322749938819,0.0910086228256113,0.0865689114879856,0.102581301522392,0.0795682043984396,0.0752700077811632,0.0888572571690515,0.082481471021062,0.0871498420971933,0.0917157463880741,0.0837707786258944,0.0876611789194584,0.0770499798328592,0.082232751792898,0.0825324314711337,0.0842576847451428,0.0891732041049694,0.098353790397079,0.0849830749525868,0.101612378240969,0.0847663877643617,0.0841666644945878
"Vm5y23",0.0491922493752578,0.0646528691776402,0.0453371016510173,0.0695224465973959,0.0703728516161499,0.0732158904043144,0.0658971554742713,0.0700218697571676,0.0591545743097256,0.071305527921161,0.0589211158540069,0.0773286227488514,0.0666450932151919,0.0685864421068852,0.0597819894776977,0.0575254226581628,0.0554503420919592,0.0551206566888184,0.0583372082060347,0.0652668599110142,0.034955809032574,0.0671051607296877,0.070092440610785
"Vm6y23",0.0485036157579833,0.0599218356682883,0.0515066966766407,0.0576772856535626,0.0512965523293076,0.0563873896450087,0.0591105606325508,0.0520982430265088,0.0593525142583994,0.0591701901017808,0.0552879533166971,0.0559185049576849,0.0586534762429787,0.0564739387488791,0.0638461530385739,0.0538257654374504,0.0546001193918888,0.0588368122660886,0.0554314454433798,0.0603011020796073,0.0507837239667783,0.0607411659723945,0.057495131716797
"Vm7_8y23",0.405942490492053,0.361687326687351,0.404924528941534,0.483119067451054,0.493783089203606,0.487202021586329,0.401618904302627,0.427048641696373,0.410107162038717,0.378618960297508,0.462655031726545,0.486715529492291,0.459375004618112,0.324790388327855,0.423909964710537,0.485595197075444,0.383561533832557,0.418153719039053,0.399289534758364,0.492037499177619,0.417983801707727,0.446718592237726,0.390643028420082
