"","SSA_00041","SSA_00105","SSA_00359","SSA_00138","SSA_00128","SSA_00024","SSA_00050","SSA_00004","SSA_00241","SSA_00235","SSA_00271","SSA_00204","SSA_00156","SSA_00216","SSA_00197","SSA_00033","SSA_00262","SSA_00238","SSA_00227","SSA_00068","SSA_00075","SSA_00151"
"Km1_CO2",1.37963035815364,3.97695938298886,3.36131594331269,3.46898409728418,3.15461111217752,3.0757269214006,4.1041734471953,3.26032355510551,2.17463208349541,2.83344226676099,3.16874446691543,3.93689629526545,2.72885740424354,2.92605199463845,4.12935901312472,3.04324201139628,3.90866115543566,2.37843476321398,3.94933649040964,3.46875673626063,3.89887068161386,2.14291685632337
"Km2_HCO3",0.0319301827441904,0.0290176777557668,0.0303203583231031,0.0256502582081641,0.037200627588741,0.0291751344902682,0.0249419056376626,0.0281432841928495,0.0253986346087103,0.0292727446653638,0.033747357763963,0.0295684253575585,0.0243874174632282,0.0313947716679659,0.0201342441172785,0.0284709724332563,0.0166045560887875,0.0308752173031408,0.0260985414071153,0.0250871382495943,0.0266313076881923,0.0329282286962474
"Km2_PEP",0.125613564289019,0.129805659175926,0.126763965795171,0.123367299757152,0.131094776395239,0.131456574758,0.127209019815872,0.130934262541213,0.127550917090265,0.125844275581247,0.137708914317604,0.134671273842056,0.129586967818676,0.131325113890896,0.129961250720425,0.129075081620416,0.13137146185993,0.128711839774501,0.119313407799838,0.133135486184717,0.129586130210929,0.121722205799956
"Km6_CO2",0.0164602487423762,0.015713852066026,0.0111646760744355,0.0134345544194898,0.0135230171323254,0.0139577567601646,0.0177539715902566,0.0152923833396718,0.0147648796698256,0.0149893732291854,0.0150386453993775,0.0170507959888726,0.0142618334396604,0.0152574109640118,0.0141046962559715,0.0132679144136105,0.0184247858970729,0.017142903498068,0.016108968854302,0.0137250289127542,0.0129302157802903,0.013276283500598
"Km6_O2",0.263236331924802,0.263229906524794,0.263231908720926,0.263232714765309,0.263230898434644,0.263232282972344,0.263231116409049,0.263233116196228,0.263232262550479,0.26323270288744,0.263233369337628,0.263231369555428,0.263235764787252,0.26323107829156,0.263236070634944,0.263234147609549,0.263233370079102,0.263233121527954,0.263234822111693,0.263231812440501,0.263229252479591,0.263230569459589
"Km6_RuBP",0.0213175115323244,0.0213173887180789,0.0213177158963199,0.0213175157884669,0.0213174093935691,0.0213174688378318,0.0213171822468579,0.0213174181133358,0.0213172790181617,0.0213174527350009,0.0213175419910031,0.0213175564428574,0.0213175200168112,0.0213176891534774,0.0213173902703708,0.0213173117187706,0.0213169222918103,0.021317514586765,0.0213174715989548,0.0213176671487803,0.0213172830613371,0.0213176405944144
"Km7_PGA",4.64177893375847,4.64167743885668,4.6417660583697,4.64172394671218,4.64179855553467,4.64176681664213,4.64171634281312,4.64175048364864,4.64174850530929,4.64175385669825,4.64169346745069,4.64178541796346,4.64176619447431,4.64166854892425,4.64169610053833,4.64178131532917,4.64163126322617,4.64169136097786,4.64165726363402,4.64177283884761,4.64177531069323,4.64173699429128
"Km10_DHAP",0.592205735324699,0.592213690941338,0.592208598265901,0.592209464823239,0.592201966005486,0.592207356362444,0.592217384353054,0.592206226092188,0.592209465185424,0.592212899959855,0.592210055978385,0.592208472918781,0.592213367887297,0.592208934903615,0.592210731375328,0.592207098304158,0.592211374854128,0.592210698031757,0.592205978796905,0.592207845257068,0.592206157975113,0.592207853840008
"Km10_GAP",0.0678406574882426,0.0544746829926095,0.0544252974467314,0.0492441136585649,0.0596641368557678,0.0583806679336017,0.0588705401671184,0.055908175254595,0.0566122070740404,0.0593607826224918,0.0677896162520863,0.0537781960835019,0.0528687887322577,0.057837867772485,0.0521215939413296,0.0568678121886999,0.0511659552198867,0.0604272652607904,0.0520364815290456,0.0620809887593136,0.0540312902439162,0.0540339282408466
"Km12_DHAP",0.433714747385389,0.433721519941156,0.43372169831655,0.433722800539412,0.433725636775198,0.433717413125216,0.433723076913323,0.433722619264221,0.433713161513872,0.433716369026999,0.433721873121531,0.433722997139963,0.433723328231129,0.433730389191392,0.433721072087455,0.433724175958479,0.433726751325266,0.433718943091668,0.433716833764839,0.433722370850268,0.433724670763181,0.433716094138575
