"","SSA_00050","SSA_00008","SSA_00262","SSA_00080","SSA_00097","SSA_00062","SSA_00367","SSA_00156","SSA_00216","SSA_00197","SSA_00222","SSA_00299","SSA_00187","SSA_00227","SSA_00003","SSA_00286","SSA_00304","SSA_00123","SSA_00209","SSA_00113","SSA_00024","SSA_00126","SSA_00009"
"Km1_CO2",3.99848785995903,3.19139428812379,3.90455363346168,3.33373923517042,2.73241898163301,3.22431925760867,3.303454226884,3.03240767935271,2.95059041550474,3.96548592915222,3.48176209228382,3.91267354450394,3.20656101063795,3.6985788092157,3.41724161505361,3.19410405443169,3.3697638807243,3.12136793479662,3.54821105839528,3.35397770447403,2.95606421311974,3.33392096785807,3.21829370522482
"Km2_HCO3",0.0214293576949536,0.0458924255198917,0.0156721309543655,0.0381011925221865,0.027801378706815,0.0345419967423617,0.039064802432854,0.033841720372661,0.0365865598342483,0.0268488906296359,0.0365251082015734,0.0261779799959268,0.0268102211025136,0.0413676302900196,0.0288288201408889,0.0397213057165543,0.0415682217977691,0.0418700551607598,0.032501199335847,0.0294234351014951,0.0286609251432596,0.0341425535742147,0.042807522813561
"Km2_PEP",0.126498773302183,0.126497436352802,0.126498288219741,0.126501167894887,0.126498934842284,0.126499306574721,0.126499881531687,0.126499166325862,0.126499005506889,0.126497183963764,0.126499245191011,0.126498702397745,0.126499246051243,0.126498684083171,0.126497017861707,0.126500380374337,0.126501433936625,0.126500267787794,0.126498610728817,0.126500444882097,0.12649875928742,0.126501885533167,0.126497947385938
"Km6_CO2",0.0141822579523398,0.0141821444554653,0.0141821302488633,0.0141823182902032,0.0141822092787043,0.0141820451445249,0.0141822057626321,0.0141820803477286,0.0141820848240103,0.0141820823571129,0.0141821583561396,0.0141820552017814,0.01418209542561,0.0141822287403753,0.0141821489902341,0.0141820981824087,0.0141820933343579,0.0141824470509174,0.0141821471949094,0.0141820604911685,0.0141822232506686,0.0141820233577708,0.0141821476972649
"Km6_O2",0.260624610915877,0.260626185965973,0.260626603658758,0.260624988764396,0.260627954837105,0.260626153644243,0.260624717365504,0.260628229093074,0.260626464299984,0.260633992004225,0.260625734048358,0.260624001159712,0.260625833887115,0.260627413932306,0.260631456063903,0.260626137196653,0.260621638679885,0.260626263098179,0.260628932904686,0.260625856097855,0.26062815799451,0.260624428472103,0.26062763090827
"Km6_RuBP",0.0205706516896523,0.0205708795627016,0.0205705904554758,0.0205710084482331,0.0205708299025957,0.0205709418132691,0.0205707193929016,0.0205709258757558,0.0205709371941528,0.0205708619629838,0.0205708338668944,0.0205706519962496,0.0205708585333697,0.0205707585349467,0.0205711320251393,0.0205708248864947,0.0205708872700557,0.0205707411058476,0.0205707361288067,0.0205709029410486,0.020570715352291,0.0205706901601305,0.0205709634881878
"Km7_PGA",4.62424302565003,4.62435555762746,4.62428105384836,4.62428740337995,4.62431329604518,4.62432064432787,4.62430921081314,4.6243156376976,4.6243098953667,4.62425104186234,4.62430464080989,4.62429067313087,4.62430771806267,4.62422992187447,4.6243218268395,4.62429851376719,4.6243035186038,4.62422869955812,4.62429954895473,4.62433269563503,4.6243572363975,4.62435724503983,4.62434612292061
"Km10_DHAP",0.643238575657321,0.643230304636098,0.643232196235012,0.643225612593473,0.643231078348176,0.643236380693363,0.643235200897366,0.643240709263716,0.64323621898837,0.64323195688867,0.643230154971204,0.643231354474303,0.643231366469957,0.64322894599648,0.643232667585272,0.643229532979019,0.643235286057323,0.643237033761471,0.64323620013759,0.643231035633608,0.643237422098546,0.643227099692941,0.643234402143921
"Km10_GAP",0.0568381777428558,0.0568390483423508,0.0568373509739638,0.0568388081059582,0.0568394122018136,0.056838423475965,0.0568384725483775,0.0568381581263102,0.0568380460304696,0.056836753254924,0.0568385179520287,0.0568373564996247,0.0568373850371564,0.0568381922925756,0.0568401189077381,0.0568384983034622,0.056838325326079,0.0568386692591916,0.0568384471865674,0.0568379409245094,0.0568388552574022,0.0568381100613982,0.0568377178996377
"Km12_DHAP",0.511898237709625,0.511915869180248,0.511900339256718,0.511903966309883,0.511891982814598,0.511901343374275,0.511895167686654,0.511904078581514,0.511904973866252,0.511904338885876,0.511909750661291,0.511904063537523,0.511904581528978,0.511909158273075,0.511896329105377,0.511896173941599,0.511900140567417,0.511895763836224,0.51190360262051,0.511900070450305,0.511898840723639,0.511903175554341,0.511901673625617
"Km12_E4P",0.225632977793812,0.225633843250682,0.22563294342969,0.225632378698604,0.225633763542189,0.225633315304784,0.225633842308624,0.225636384465905,0.225635564956786,0.22563662308284,0.22563446916578,0.225634065716045,0.225635723341137,0.225633943173779,0.225634973899624,0.225634193432281,0.225633940991149,0.225634474540683,0.225632302089826,0.225634908316648,0.225632900989291,0.225635765731107,0.225634670218229
"Km14_GAP",0.126609214939266,0.126608764743733,0.126608595300862,0.126612312545734,0.126608951395955,0.126608550852148,0.126608161389951,0.126605996515409,0.126606598149454,0.126609393203136,0.126609699328939,0.126608372220851,0.12660853643033,0.126610360205464,0.1266105746955,0.126608616824332,0.126608085199668,0.126610144618601,0.126611878788167,0.126608729342134,0.126611409846904,0.1266089686432,0.126608581113079
"Km15_GAP",0.0891208885153143,0.0861246026477094,0.085277385775115,0.0873656631633553,0.0867820059273587,0.0850595748813642,0.084548776230549,0.0803802334219367,0.0812319983358081,0.0838573169762622,0.0882138343824162,0.0863730088656047,0.08357123278166,0.0875883211405761,0.0911481469604411,0.0850348375263211,0.0831565418319449,0.0827726941648873,0.0913505261297018,0.0852499838440136,0.0878653748562267,0.0814878153447636,0.0847156056696055
