Accession,ACa2022_400,ACa2022_600,ACa2022_800,ACa2022_1000,ACa2022_1250,ACa2022_300,ACa2022_250,ACa2022_200,ACa2022_100,ACa2022_75,ACa2022_25,ACa2023_400,ACa2023_600,ACa2023_800,ACa2023_1000,ACa2023_1250,ACa2023_300,ACa2023_250,ACa2023_200,ACa2023_100,ACa2023_75,ACa2023_25,GsCa2022_400,GsCa2022_600,GsCa2022_800,GsCa2022_1000,GsCa2022_1250,GsCa2022_300,GsCa2022_250,GsCa2022_200,GsCa2022_100,GsCa2022_75,GsCa2022_25,GsCa2023_400,GsCa2023_600,GsCa2023_800,GsCa2023_1000,GsCa2023_1250,GsCa2023_300,GsCa2023_250,GsCa2023_200,GsCa2023_100,GsCa2023_75,GsCa2023_25,2022_PAR_1800,2022_PAR_1100,2022_PAR_500,2022_PAR_300,2022_PAR_150,2022_PAR_50,2023_PAR_1800,2023_PAR_1100,2023_PAR_500,2023_PAR_300,2023_PAR_150,2023_PAR_50
SSA_00126,37.2383,41.42,42.5712,43.1416,43.5269,29.8136,25.1762,20.281,9.92678,7.2691,2.02747,20.1072,21.2517,21.9384,22.4306,22.8819,18.3116,16.6156,14.3178,7.5726,5.61576,1.49595,0.138252,0.132148,0.123567,0.114451,0.105343,0.144318,0.147134,0.148519,0.14866,0.147599,0.143104,0.0887229,0.085224,0.0806595,0.0759499,0.0713256,0.0985574,0.105109,0.111004,0.11617,0.116901,0.113647,33.1002,31.3765,19.5644,11.6518,3.80281,-0.198278,15.5681,14.5473,13.5863,10.0056,4.17582,0.0622038
SSA_00128,29.9127,30.5849,30.8545,31.0667,31.2665,24.8733,21.1679,17.262,8.69189,6.56502,2.082,23.2368,23.6419,23.8504,24.0174,24.1793,20.3877,17.7277,14.6244,7.44405,5.67332,1.81421,0.0967886,0.093929,0.0890703,0.0837157,0.0782984,0.0982048,0.100491,0.102695,0.104715,0.106549,0.107668,0.0811898,0.0792609,0.0757714,0.0718586,0.0678519,0.0794918,0.0823486,0.0850947,0.0876749,0.0900789,0.0918488,23.7417,22.0434,19.2448,12.0819,5.44485,0.640236,17.7614,16.4048,15.227,11.854,5.47197,0.668947
SSA_00135,32.6467,38.6109,39.9141,40.5462,41.0003,25.1116,21.0986,16.9347,8.26667,6.06763,1.70357,27.6778,29.8046,30.4525,30.8358,31.1463,22.4152,19.1303,15.5433,7.66584,5.64779,1.58075,0.111926,0.108286,0.102568,0.0961765,0.0895859,0.113474,0.114519,0.115292,0.115298,0.114794,0.111892,0.0992619,0.0953979,0.0900112,0.084329,0.0786878,0.101815,0.104003,0.105838,0.106787,0.106852,0.104528,27.1868,25.9317,19.7478,11.9258,4.75122,0.239309,22.7366,21.3306,18.8589,11.4785,4.89872,0.297902
SSA_00138,40.5615,41.8977,42.6769,43.3142,43.9438,34.1712,29.1036,23.4774,11.8194,8.88734,2.63269,10.6327,11.2304,11.7361,12.1803,12.6721,10.3653,9.95273,8.69623,4.91312,3.7791,1.0218,0.173652,0.167933,0.1574,0.145595,0.133506,0.162273,0.167956,0.173395,0.178491,0.183021,0.185314,0.0609831,0.0612261,0.0604465,0.0590264,0.0572511,0.0633887,0.0663261,0.0697097,0.0733727,0.076815,0.0787259,36.0424,33.5965,20.8329,13.4591,5.92006,-0.129583,8.48804,7.93716,7.35413,6.36018,3.92078,-0.091433
SSA_00139,25.1009,25.8035,26.0298,26.1824,26.3246,22.107,19.3231,16.0218,8.0514,6.06361,1.76396,36.2881,37.6972,38.1827,38.5234,38.826,30.0015,25.4466,20.6637,10.1943,7.56338,2.16865,0.0930755,0.0915843,0.0876754,0.0829766,0.0779849,0.0972504,0.101773,0.106152,0.110045,0.11338,0.114494,0.13636,0.130936,0.122554,0.11354,0.104522,0.139308,0.142607,0.145698,0.148178,0.149963,0.148532,20.2902,18.8025,17.4261,13.5791,6.45059,0.566329,28.5513,26.6822,20.5725,12.4538,5.76713,0.360795
SSA_00151,32.1094,36.1524,37.4421,38.1876,38.7669,25.4682,21.5897,17.4412,8.54366,6.27701,1.78223,27.1037,28.9273,29.7133,30.2254,30.6518,22.6219,19.5156,15.9866,7.92514,5.84027,1.64896,0.111569,0.107234,0.101132,0.0945914,0.0880027,0.114776,0.116613,0.118016,0.118262,0.117833,0.114996,0.0986476,0.0946345,0.0892406,0.083618,0.0780667,0.103002,0.106103,0.108657,0.109949,0.109995,0.10762,24.9519,23.4741,19.5074,12.0492,4.42106,0.174845,22.1103,20.7181,18.4987,10.8997,4.71954,0.352739
SSA_00156,37.7835,41.1259,42.2624,42.9849,43.5833,30.3497,25.7599,20.8891,10.2723,7.55218,2.16559,29.5887,31.0987,31.7223,32.1353,32.4968,25.3058,22.3657,18.6927,9.44572,7.01686,2.01546,0.136198,0.129952,0.121362,0.112362,0.103454,0.140877,0.144127,0.146522,0.147167,0.146622,0.142986,0.112739,0.107632,0.100832,0.0937986,0.0869059,0.117676,0.124347,0.129967,0.133613,0.134795,0.132167,31.4089,29.7399,20.486,12.3443,5.79055,0.143357,21.7796,20.3051,18.7969,12.4596,5.7687,0.162952
SSA_00160,26.8799,35.5691,38.8489,40.226,41.0435,19.2252,16.1407,12.9323,6.16755,4.43225,0.993611,16.7422,19.17,20.623,21.6588,22.5977,13.1097,11.1886,9.08932,4.30202,3.00868,0.385403,0.0969403,0.0953821,0.0922437,0.0881412,0.0834187,0.0905575,0.0919286,0.0930581,0.0935107,0.0932896,0.0895596,0.0704795,0.0692056,0.0670387,0.0645438,0.0618833,0.0695194,0.0712121,0.0726924,0.0735454,0.0736101,0.0692722,24.7338,24.25,18.4898,10.5588,4.26122,-0.378843,14.7261,14.1672,13.675,9.09546,2.95057,-1.42423
SSA_00173,35.3925,42.7986,45.348,46.4996,47.164,26.9428,22.481,17.9703,8.6752,6.31559,1.68785,35.3358,42.7662,45.3055,46.4422,47.0949,26.988,22.5113,17.9911,8.68461,6.32212,1.69034,0.12881,0.12461,0.118103,0.110706,0.102902,0.129759,0.130709,0.131334,0.131076,0.130057,0.125484,0.128384,0.124259,0.117815,0.110465,0.102699,0.130003,0.130923,0.131519,0.131242,0.130207,0.125624,31.7703,30.9998,19.5252,11.6416,5.21597,0.132257,31.925,31.1367,19.5375,11.6509,5.22196,0.134193
SSA_00178,36.467,37.7757,38.6134,39.2926,39.9454,29.9205,25.4096,20.9255,10.6043,7.97477,2.31345,24.3968,25.1328,25.7968,26.3734,26.968,22.2729,19.0621,16.0358,8.35129,6.34235,1.80603,0.155559,0.148247,0.137929,0.127131,0.116486,0.142671,0.148495,0.153994,0.159044,0.163193,0.163737,0.111989,0.107534,0.101178,0.0944805,0.0878438,0.105229,0.111053,0.116606,0.122027,0.126726,0.128151,30.8783,29.0146,18.5005,10.8144,4.57569,0.179219,19.3873,18.1255,16.999,10.5674,4.42713,0.0801361
SSA_00179,25.5193,26.4977,27.3023,28.0236,28.8245,22.077,19.071,15.3969,7.77705,5.82771,1.73429,29.3241,30.7047,31.6451,32.4674,33.3413,24.2869,20.3131,16.4925,8.24823,6.14289,1.834,0.087505,0.0841362,0.0796549,0.0750458,0.0705498,0.0891921,0.092945,0.0957256,0.0977032,0.0988869,0.0979063,0.0961583,0.0922236,0.0869768,0.0815817,0.0763153,0.0985911,0.10089,0.10259,0.103685,0.104132,0.102818,21.654,20.6597,17.9367,10.6289,4.25735,-0.748595,24.8607,23.8018,18.2814,10.792,4.37143,-0.580616
SSA_00186,30.0869,31.1027,31.8403,32.4505,33.045,26.507,22.9812,19.3317,9.90784,7.44514,2.06392,35.7444,37.115,38.0211,38.7602,39.4698,30.1982,25.9683,21.5826,10.9115,8.15096,2.26388,0.137177,0.130546,0.121641,0.112448,0.103454,0.131818,0.140066,0.147833,0.154806,0.159963,0.158744,0.158308,0.150316,0.139535,0.128401,0.117506,0.151163,0.159256,0.166752,0.17317,0.177615,0.17538,24.0186,22.4747,19.5041,13.0771,5.62359,0.188748,28.6023,26.8992,21.0528,12.0536,5.52607,0.129656
SSA_00187,32.3242,32.6301,32.884,33.1186,33.3621,31.6912,29.8075,26.0001,14.0753,11.2028,3.80706,26.4408,26.6669,26.8512,27.0197,27.1971,26.0774,25.4507,22.9983,12.6408,10.1459,3.46893,0.121957,0.116863,0.109432,0.101575,0.0938016,0.13086,0.144762,0.159351,0.173855,0.187693,0.198927,0.10471,0.100716,0.094825,0.0885719,0.0823697,0.112671,0.12566,0.139482,0.153797,0.167497,0.178807,23.0003,21.2864,18.7885,11.7628,5.29842,0.584517,20.8758,19.2917,17.755,11.7638,5.31145,0.596932
SSA_00197,39.8707,40.6904,41.1356,41.5246,41.9138,32.6025,27.6413,22.5032,11.3409,8.54629,2.74729,26.5093,26.8654,27.1356,27.3717,27.6193,24.3901,21.8711,18.2764,9.47726,7.29865,2.38244,0.124749,0.118532,0.11034,0.101976,0.093875,0.127956,0.131081,0.133732,0.135784,0.137293,0.137127,0.0893025,0.0860819,0.0814671,0.076608,0.0718207,0.0943086,0.100438,0.106197,0.111066,0.11512,0.117241,28.8539,26.9166,21.0112,13.9941,5.95084,0.661688,20.961,19.4267,18.3685,12.6583,5.78481,0.78212
SSA_00204,26.2434,28.6467,29.5542,30.1084,30.5521,21.2669,18.1543,14.7404,7.21082,5.28036,1.42934,27.7637,30.9402,32.0137,32.6415,33.1322,22.1524,18.8092,15.2066,7.40995,5.42015,1.47123,0.0960764,0.0924759,0.0874954,0.0822209,0.0769527,0.0986338,0.100704,0.102422,0.10313,0.102987,0.100263,0.100089,0.096393,0.0911997,0.0856456,0.0800578,0.102383,0.104107,0.105501,0.105877,0.105561,0.10266,22.2145,20.9085,18.5643,11.0212,4.77576,0.336338,23.0628,21.7799,18.8902,11.0343,4.75283,0.332635
SSA_00209,23.8706,24.6094,24.953,25.2016,25.4357,19.782,17.1632,14.1888,7.23471,5.49669,1.71486,32.4536,33.9262,34.5228,34.934,35.2887,26.1879,22.2061,18.0327,9.04159,6.78114,2.10177,0.080464,0.0787693,0.0754806,0.0717239,0.0678313,0.0794154,0.0821404,0.0847839,0.0872548,0.0894924,0.0908454,0.105547,0.101617,0.0957903,0.0895753,0.0833718,0.107706,0.109328,0.110894,0.112284,0.113449,0.113636,18.8209,17.5045,16.0728,10.6958,4.64065,0.256179,25.8921,24.2588,18.5646,10.8441,4.71904,0.319373
SSA_00216,25.2627,27.208,27.7098,27.9876,28.2099,21.1886,18.1115,14.5624,6.98887,5.05563,1.30085,28.2537,32.0678,32.8603,33.2654,33.5742,22.4747,18.8908,15.0813,7.2072,5.21061,1.34836,0.0964437,0.092606,0.0873552,0.0818529,0.0764204,0.103431,0.105889,0.106736,0.106489,0.105394,0.101382,0.104241,0.100414,0.0948414,0.0888316,0.0827847,0.108538,0.109586,0.109956,0.109413,0.108171,0.103992,20.9769,19.5999,18.359,12.6161,5.90695,0.460684,23.4031,22.0596,20.1047,12.5599,5.89088,0.475077
SSA_00222,34.9375,39.9579,41.7818,42.8964,43.7561,26.9201,22.5165,18.0741,8.85963,6.52432,1.87644,38.6591,47.8462,49.4231,49.9132,50.1841,29.1219,24.3033,19.4391,9.49997,6.99041,2.02871,0.118849,0.11453,0.108139,0.101193,0.094111,0.120527,0.121519,0.122305,0.122516,0.122187,0.119476,0.129245,0.125552,0.118987,0.111298,0.103184,0.129619,0.130305,0.130794,0.130695,0.130101,0.127116,31.9936,31.0041,19.9236,11.9437,5.40737,0.0553501,34.6065,33.6671,20.1296,12.0961,5.48744,0.124563
SSA_00227,34.8244,36.5615,37.1436,37.5373,37.8784,28.5451,24.2594,19.7181,9.77666,7.25357,2.11498,26.4742,27.2427,27.5477,27.7665,27.971,23.3671,20.4895,17.0595,8.63964,6.50402,1.91032,0.126604,0.120905,0.11296,0.104657,0.0964808,0.130674,0.133762,0.136459,0.13825,0.139048,0.136711,0.100165,0.0964651,0.0910048,0.085198,0.079426,0.104413,0.109739,0.114614,0.118577,0.121463,0.120751,27.4286,25.6644,20.382,12.32,5.68171,0.475599,20.1683,18.6954,17.392,12.5815,5.59077,0.671063
SSA_00229,31.3849,33.2689,34.113,34.6518,35.0807,23.5916,20.2007,16.5311,8.23293,6.1364,1.73116,39.8766,42.0113,42.4589,42.6696,42.8147,32.2741,27.1419,21.8897,10.7617,7.95871,2.26846,0.12129,0.11718,0.110531,0.103213,0.0957518,0.108433,0.111673,0.114804,0.117579,0.119862,0.120112,0.151166,0.144901,0.135232,0.124809,0.114372,0.154145,0.156569,0.158821,0.160594,0.16178,0.159649,27.7623,26.148,18.1364,10.1883,4.31236,0.156333,34.6196,31.6891,18.3406,10.3568,4.44665,0.243258
SSA_00235,30.343,31.1391,31.7416,32.241,32.7195,27.4529,23.5924,19.8465,10.3187,7.84873,2.27742,36.1354,36.8649,37.3054,37.6501,37.9644,32.3161,27.8296,23.1194,11.848,8.98781,2.64527,0.138663,0.134665,0.127052,0.118417,0.109499,0.132817,0.140539,0.148181,0.155805,0.16267,0.166267,0.160462,0.155423,0.145921,0.135191,0.124162,0.154571,0.163326,0.171876,0.180149,0.187549,0.191468,25.0074,23.4716,17.4717,10.2569,4.13168,-0.637193,31.2064,28.7546,17.7529,10.4463,4.35402,-0.4268
SSA_00238,29.8084,33.6805,35.4782,36.6263,37.5474,23.5272,20.0966,16.3631,7.96903,5.76,1.32796,21.9115,23.6527,24.7096,25.4829,26.1864,18.6032,16.1602,13.426,6.68731,4.83086,1.00769,0.125477,0.120348,0.113301,0.105795,0.0982129,0.126403,0.13032,0.133238,0.134044,0.133226,0.126945,0.100121,0.096113,0.0907905,0.08525,0.0797593,0.104787,0.109365,0.113127,0.115258,0.115026,0.109186,25.7695,24.7559,18.3867,10.8594,4.06963,-0.141121,18.5399,17.5673,16.4413,9.99669,4.01193,-0.647706
