"","V1"
"Km2_HCO3",0.5
"Km2_PEP",0.250364307384007
"Km6_CO2",0.5
"Km6_O2",0.173405924545328
"Km7_PGA",0.01
"Km10_GAP",0.30736765036083
"Km12_DHAP",0.316320373787421
"Km12_E4P",0.154672115715221
"Km14_GAP",0.00976840350776911
"Km18_Ru5P",0.124001273838803
"Ki57",0.29833240325097
"Vm6(2022)",0.164583879845547
"Jmax(2022)",0.0253541610902175
"KaRac",0.01
"tao_ActRubisco",0.01
"Perm_CO2",0.930406665685587
"BBslope",0.0416641420684755
"MRd",0.51706790987925
"Vm6(2023)",0.5
"Jmax(2023)",0.0602598755243336
