"","V1"
"Km1_CO2",0.01
"Km2_HCO3",0.5
"Km2_PEP",0.232525456867283
"Km6_CO2",0.5
"Km6_O2",0.0432734345970107
"Km7_PGA",0.849748380415545
"Km10_GAP",0.156808153383654
"Km12_DHAP",0.0447483729115969
"Km12_E4P",0.523928412480368
"Km14_GAP",0.90995678124126
"Ki18_Pi",0.469797422598069
"Km18_ATP",0.37330152757617
"Km18_Ru5P",0.5
"Km33_NADP",0.5
"Ki57",0.965182954053731
"Vm2(2022)",0.292343244887888
"Vm3(2022)",0.809198622452095
"Vm4(2022)",0.0295405110809952
"Vm5(2022)",0.0560840421615293
"Vm6(2022)",0.0621831743745133
"Vm7_8(2022)",0.239119997620583
"Jmax(2022)",0.0365634754998609
"KaRac",0.915461000026178
"tao_ActRubisco",0.01
"Perm_CO2",0.157876809337176
"BBslope",0.0659077650401741
"MRd",0.126537238270976
"Vm2(2023)",0.270364959351718
"Vm3(2023)",0.108364760968834
"Vm4(2023)",0.315503690740696
"Vm5(2023)",0.0473588100982302
"Vm6(2023)",0.268631556490436
"Vm7_8(2023)",0.042268991866149
"Jmax(2023)",0.443790749824763
